dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.118569,3.690724,0.000198,0.019841,0.992063,49.603175,0.000265
0.020000,0.118542,3.690724,0.000226,0.001379,-0.923094,-95.757881,0.000186
0.020000,0.118487,3.690724,0.000281,0.002755,0.068773,49.593343,0.000029
0.020000,0.120496,3.690724,0.002290,0.100447,4.884622,240.792481,6.282978
0.020000,0.123561,3.690723,0.005355,0.153252,2.640235,-112.219345,6.282665
0.020000,0.127393,3.690720,0.009187,0.191594,1.917125,-36.155525,6.282276
0.020000,0.131992,3.690715,0.013786,0.229957,1.918114,0.049442,6.281811
0.020000,0.137358,3.690706,0.019153,0.268343,1.919291,0.058873,6.281272
0.020000,0.143494,3.690692,0.025288,0.306756,1.920676,0.069237,6.280660
0.020000,0.150398,3.690672,0.032192,0.345201,1.922240,0.078223,6.279978
0.020000,0.158071,3.690645,0.039866,0.383681,1.924027,0.089315,6.279226
0.020000,0.166515,3.690608,0.048310,0.422201,1.925989,0.098111,6.278409
0.020000,0.175730,3.690560,0.057525,0.460764,1.928157,0.108401,6.277527
0.020000,0.185718,3.690499,0.067513,0.499375,1.930521,0.118215,6.276585
0.020000,0.196478,3.690422,0.078273,0.538036,1.933081,0.127971,6.275584
0.020000,0.208013,3.690328,0.089808,0.576753,1.935832,0.137542,6.274527
0.020000,0.220323,3.690215,0.102119,0.615529,1.938790,0.147932,6.273419
0.020000,0.233409,3.690080,0.115206,0.654368,1.941937,0.157331,6.272263
0.020000,0.247274,3.689920,0.129072,0.693273,1.945282,0.167251,6.271062
0.020000,0.261918,3.689733,0.143717,0.732250,1.948820,0.176932,6.269821
0.020000,0.277342,3.689517,0.159143,0.771301,1.952558,0.186896,6.268544
0.020000,0.293549,3.689269,0.175351,0.810430,1.956484,0.196291,6.267235
0.020000,0.310540,3.688987,0.192344,0.849643,1.960606,0.206066,6.265900
0.020000,0.328315,3.688667,0.210123,0.888941,1.964919,0.215696,6.264542
0.020000,0.346879,3.688308,0.228690,0.928330,1.969447,0.226387,6.263168
0.020000,0.366231,3.687907,0.248046,0.967813,1.974132,0.234251,6.261782
0.020000,0.386374,3.687462,0.268194,1.007393,1.979032,0.244993,6.260390
0.020000,0.407309,3.686970,0.289135,1.047076,1.984119,0.254335,6.258999
0.020000,0.429040,3.686429,0.310873,1.086864,1.989402,0.264165,6.257613
0.020000,0.451567,3.685837,0.333408,1.126761,1.994866,0.273183,6.256240
0.020000,0.474894,3.685193,0.356743,1.166771,2.000525,0.282954,6.254885
0.020000,0.499022,3.684494,0.380881,1.206899,2.006374,0.292479,6.253556
0.020000,0.523953,3.683738,0.405824,1.247147,2.012411,0.301852,6.252259
0.020000,0.549691,3.682926,0.431574,1.287520,2.018631,0.310997,6.251002
0.020000,0.576237,3.682055,0.458135,1.328021,2.025052,0.321047,6.249791
0.020000,0.603594,3.681125,0.485508,1.368654,2.031661,0.330440,6.248635
0.020000,0.631765,3.680135,0.513696,1.409423,2.038450,0.339462,6.247541
0.020000,0.660753,3.679087,0.542703,1.450332,2.045433,0.349110,6.246517
0.020000,0.690560,3.677979,0.572531,1.491384,2.052614,0.359059,6.245571
0.020000,0.721190,3.676813,0.603182,1.532583,2.059969,0.367782,6.244712
0.020000,0.752644,3.675590,0.634661,1.573934,2.067534,0.378251,6.243948
0.020000,0.784928,3.674311,0.666970,1.615440,2.075284,0.387492,6.243288
0.020000,0.818043,3.672980,0.700112,1.657104,2.083225,0.397034,6.242742
0.020000,0.851994,3.671598,0.734091,1.698932,2.091374,0.407431,6.242318
