dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.006083,1.905331,0.000198,0.019841,0.992063,49.603175,6.268166
0.020000,0.006081,1.905331,0.000200,0.000094,-0.987342,-98.970298,6.268171
0.020000,0.006078,1.905332,0.000204,0.000189,0.004719,49.603095,6.268182
0.020000,0.006072,1.905332,0.000210,0.000283,0.004716,-0.000158,6.268198
0.020000,0.006064,1.905332,0.000217,0.000377,0.004712,-0.000238,6.268220
0.020000,0.006055,1.905332,0.000227,0.000471,0.004705,-0.000317,6.268247
0.020000,0.008730,1.905292,0.002902,0.133758,6.664309,332.980195,6.268279
0.020000,0.014272,1.905209,0.008444,0.277119,7.168050,25.187062,6.268317
0.020000,0.020605,1.905115,0.014778,0.316707,1.979442,-259.430414,6.268360
0.020000,0.027730,1.905010,0.021904,0.356297,1.979475,0.001632,6.268408
0.020000,0.035647,1.904893,0.029822,0.395886,1.979467,-0.000393,6.268462
0.020000,0.044356,1.904765,0.038532,0.435476,1.979501,0.001694,6.268521
0.020000,0.053856,1.904626,0.048033,0.475066,1.979508,0.000359,6.268585
0.020000,0.064148,1.904476,0.058326,0.514657,1.979525,0.000855,6.268655
0.020000,0.075232,1.904316,0.069411,0.554248,1.979554,0.001436,6.268729
0.020000,0.087107,1.904144,0.081288,0.593840,1.979575,0.001050,6.268809
0.020000,0.099775,1.903963,0.093956,0.633431,1.979594,0.000977,6.268894
0.020000,0.113234,1.903771,0.107417,0.673024,1.979621,0.001313,6.268985
0.020000,0.127485,1.903569,0.121669,0.712617,1.979648,0.001367,6.269080
0.020000,0.142527,1.903358,0.136713,0.752210,1.979676,0.001422,6.269180
0.020000,0.158362,1.903137,0.152550,0.791804,1.979706,0.001478,6.269286
0.020000,0.174988,1.902907,0.169178,0.831399,1.979737,0.001535,6.269396
0.020000,0.192407,1.902668,0.186597,0.870995,1.979777,0.002022,6.269512
0.020000,0.210617,1.902420,0.204809,0.910591,1.979807,0.001486,6.269632
0.020000,0.229619,1.902163,0.223813,0.950188,1.979838,0.001572,6.269758
0.020000,0.249413,1.901899,0.243609,0.989785,1.979883,0.002257,6.269888
0.020000,0.269999,1.901626,0.264196,1.029384,1.979922,0.001922,6.270023
0.020000,0.291376,1.901347,0.285576,1.068983,1.979958,0.001832,6.270163
0.020000,0.313546,1.901059,0.307748,1.108583,1.980007,0.002454,6.270307
0.020000,0.336508,1.900765,0.330711,1.148184,1.980049,0.002053,6.270456
0.020000,0.360262,1.900465,0.354467,1.187786,1.980090,0.002058,6.270610
0.020000,0.384808,1.900158,0.379015,1.227389,1.980149,0.002985,6.270768
0.020000,0.410146,1.899846,0.404355,1.266993,1.980190,0.002032,6.270931
0.020000,0.436276,1.899527,0.430487,1.306597,1.980240,0.002522,6.271098
0.020000,0.463198,1.899204,0.457411,1.346203,1.980294,0.002672,6.271270
0.020000,0.490912,1.898877,0.485127,1.385810,1.980348,0.002728,6.271446
0.020000,0.519418,1.898544,0.513635,1.425418,1.980404,0.002786,6.271626
0.020000,0.548717,1.898208,0.542936,1.465028,1.980461,0.002847,6.271810
0.020000,0.578808,1.897869,0.573029,1.504638,1.980519,0.002908,6.271999
0.020000,0.609691,1.897527,0.603914,1.544250,1.980579,0.002972,6.272191
0.020000,0.641366,1.897181,0.635591,1.583862,1.980639,0.003037,6.272388
0.020000,0.673834,1.896834,0.668060,1.623477,1.980709,0.003482,6.272588
0.020000,0.707094,1.896485,0.701322,1.663092,1.980770,0.003030,6.272793
0.020000,0.741146,1.896135,0.735376,1.702709,1.980831,0.003083,6.273001
0.020000,0.775991,1.895783,0.770223,1.742327,1.980912,0.004034,6.273212
0.020000,0.811628,1.895432,0.805862,1.781946,1.980968,0.002776,6.273428
0.020000,0.848058,1.895080,0.842293,1.821567,1.981052,0.004238,6.273646
0.020000,0.885280,1.894729,0.879517,1.861189,1.981114,0.003067,6.273869
0.020000,0.923295,1.894380,0.917533,1.900813,1.981195,0.004076,6.274094
0.020000,0.962102,1.894031,0.956342,1.940439,1.981271,0.003793,6.274323
0.020000,1.001702,1.893685,0.995943,1.980066,1.981345,0.003719,6.274555
0.020000,1.042094,1.893341,1.036337,2.019694,1.981426,0.004020,6.274790
0.020000,1.083279,1.893000,1.077524,2.059324,1.981507,0.004081,6.275029
0.020000,1.125257,1.892663,1.119503,2.098956,1.981590,0.004144,6.275270
0.020000,1.168028,1.892329,1.162275,2.138590,1.981675,0.004209,6.275514
0.020000,1.211591,1.892001,1.205839,2.178225,1.981760,0.004277,6.275760
0.020000,1.255947,1.891677,1.250196,2.217862,1.981847,0.004346,6.276009
0.020000,1.301096,1.891359,1.295346,2.257500,1.981935,0.004418,6.276261
0.020000,1.347038,1.891046,1.341289,2.297141,1.982025,0.004491,6.276515
