dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000827,1.555371,0.000198,0.019841,0.992063,49.603175,6.268166
0.020000,0.000827,1.555371,0.000992,0.059524,1.984127,49.603175,6.268171
0.020000,0.000827,1.555371,0.002579,0.099206,1.984127,0.000000,6.268182
0.020000,0.000827,1.555371,0.004960,0.138889,1.984127,0.000000,6.268198
0.020000,0.000827,1.555371,0.008135,0.178571,1.984127,-0.000000,6.268220
0.020000,0.000827,1.555371,0.012103,0.218254,1.984127,0.000000,6.268247
0.020000,0.003513,1.555331,0.016865,0.257937,1.984127,-0.000000,6.268279
0.020000,0.009068,1.555248,0.022421,0.297619,1.984127,0.000000,6.268317
0.020000,0.015416,1.555154,0.028770,0.337302,1.984127,-0.000000,6.268360
0.020000,0.022558,1.555048,0.035913,0.376984,1.984127,0.000000,6.268408
0.020000,0.030494,1.554931,0.043849,0.416667,1.984127,-0.000000,6.268462
0.020000,0.039223,1.554803,0.052579,0.456349,1.984127,0.000000,6.268521
0.020000,0.048746,1.554663,0.062103,0.496032,1.984127,-0.000000,6.268585
0.020000,0.059062,1.554513,0.072421,0.535714,1.984127,0.000000,6.268655
0.020000,0.070172,1.554352,0.083532,0.575397,1.984127,-0.000000,6.268729
0.020000,0.082076,1.554181,0.095437,0.615079,1.984127,0.000000,6.268809
0.020000,0.094773,1.553999,0.108135,0.654762,1.984127,0.000000,6.268894
0.020000,0.108264,1.553806,0.121627,0.694444,1.984127,-0.000000,6.268985
0.020000,0.122548,1.553604,0.135913,0.734127,1.984127,0.000000,6.269080
0.020000,0.137626,1.553392,0.150992,0.773810,1.984127,-0.000000,6.269180
0.020000,0.153497,1.553171,0.166865,0.813492,1.984127,0.000000,6.269286
0.020000,0.170162,1.552940,0.183532,0.853175,1.984127,0.000000,6.269396
0.020000,0.187621,1.552700,0.200992,0.892857,1.984127,-0.000000,6.269512
0.020000,0.205873,1.552452,0.219246,0.932540,1.984127,0.000000,6.269632
