dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.004430,1.205410,0.000198,0.019841,0.992063,49.603175,6.268166
0.020000,-0.004428,1.205410,0.000200,0.000094,-0.987342,-98.970298,6.268171
0.020000,-0.004424,1.205410,0.000204,0.000189,0.004719,49.603095,6.268182
0.020000,-0.004418,1.205410,0.000210,0.000283,0.004716,-0.000158,6.268198
0.020000,-0.004411,1.205410,0.000217,0.000377,0.004712,-0.000238,6.268220
0.020000,-0.004401,1.205410,0.000227,0.000471,0.004705,-0.000317,6.268247
0.020000,-0.001704,1.205370,0.002924,0.134888,6.720850,335.807265,6.268279
0.020000,0.003864,1.205287,0.008493,0.278437,7.177426,22.828769,6.268317
0.020000,0.010228,1.205192,0.014857,0.318213,1.988795,-259.431524,6.268360
0.020000,0.017387,1.205086,0.022017,0.357989,1.988803,0.000371,6.268408
0.020000,0.025341,1.204969,0.029973,0.397764,1.988766,-0.001822,6.268462
0.020000,0.034091,1.204840,0.038723,0.437540,1.988769,0.000115,6.268521
0.020000,0.043636,1.204701,0.048270,0.477314,1.988741,-0.001384,6.268585
0.020000,0.053977,1.204550,0.058611,0.517089,1.988720,-0.001045,6.268655
0.020000,0.065113,1.204389,0.069749,0.556863,1.988708,-0.000620,6.268729
0.020000,0.077044,1.204217,0.081681,0.596637,1.988684,-0.001166,6.268809
0.020000,0.089771,1.204034,0.094410,0.636410,1.988656,-0.001399,6.268894
0.020000,0.103294,1.203842,0.107933,0.676182,1.988632,-0.001220,6.268985
0.020000,0.117611,1.203639,0.122252,0.715955,1.988606,-0.001324,6.269080
0.020000,0.132724,1.203427,0.137367,0.755726,1.988577,-0.001428,6.269180
0.020000,0.148633,1.203205,0.153277,0.795497,1.988546,-0.001530,6.269286
0.020000,0.165336,1.202973,0.169982,0.835267,1.988514,-0.001632,6.269396
0.020000,0.182836,1.202733,0.187483,0.875037,1.988488,-0.001301,6.269512
0.020000,0.201130,1.202484,0.205779,0.914806,1.988448,-0.001999,6.269632
0.020000,0.220220,1.202226,0.224871,0.954574,1.988406,-0.002071,6.269758
0.020000,0.240105,1.201961,0.244757,0.994342,1.988375,-0.001542,6.269888
0.020000,0.260785,1.201687,0.265440,1.034108,1.988335,-0.002038,6.270023
0.020000,0.282261,1.201406,0.286917,1.073874,1.988289,-0.002287,6.270163
0.020000,0.304532,1.201117,0.309190,1.113639,1.988253,-0.001821,6.270307
0.020000,0.327598,1.200822,0.332258,1.153403,1.988205,-0.002384,6.270456
0.020000,0.351459,1.200520,0.356121,1.193166,1.988154,-0.002537,6.270610
0.020000,0.376116,1.200212,0.380780,1.232929,1.988119,-0.001765,6.270768
0.020000,0.401568,1.199898,0.406234,1.272690,1.988061,-0.002881,6.270931
0.020000,0.427815,1.199579,0.432483,1.312450,1.988010,-0.002548,6.271098
0.020000,0.454857,1.199254,0.459527,1.352209,1.987959,-0.002557,6.271270
0.020000,0.482695,1.198925,0.487366,1.391967,1.987906,-0.002660,6.271446
0.020000,0.511327,1.198591,0.516001,1.431725,1.987851,-0.002760,6.271626
0.020000,0.540755,1.198254,0.545430,1.471480,1.987793,-0.002859,6.271810
0.020000,0.570978,1.197913,0.575655,1.511235,1.987734,-0.002956,6.271999
0.020000,0.601995,1.197569,0.606675,1.550989,1.987673,-0.003052,6.272191
0.020000,0.633808,1.197222,0.638489,1.590741,1.987610,-0.003145,6.272388
0.020000,0.666416,1.196873,0.671099,1.630492,1.987553,-0.002858,6.272588
0.020000,0.699819,1.196523,0.704504,1.670241,1.987484,-0.003472,6.272793
0.020000,0.734017,1.196171,0.738704,1.709990,1.987412,-0.003578,6.273001
0.020000,0.769010,1.195818,0.773699,1.749737,1.987357,-0.002782,6.273212
0.020000,0.804798,1.195465,0.809488,1.789482,1.987273,-0.004204,6.273428
0.020000,0.841381,1.195112,0.846073,1.829227,1.987215,-0.002895,6.273646
0.020000,0.878759,1.194760,0.883452,1.868969,1.987130,-0.004231,6.273869
0.020000,0.916931,1.194408,0.921626,1.908710,1.987063,-0.003377,6.274094
0.020000,0.955899,1.194059,0.960595,1.948450,1.986986,-0.003821,6.274323
0.020000,0.995661,1.193711,1.000359,1.988188,1.986905,-0.004054,6.274555
0.020000,1.036218,1.193366,1.040918,2.027925,1.986827,-0.003912,6.274790
0.020000,1.077570,1.193023,1.082271,2.067660,1.986747,-0.004010,6.275029
0.020000,1.119716,1.192685,1.124419,2.107393,1.986664,-0.004106,6.275270
0.020000,1.162657,1.192350,1.167361,2.147125,1.986580,-0.004200,6.275514
0.020000,1.206393,1.192020,1.211098,2.186855,1.986495,-0.004291,6.275760
0.020000,1.250924,1.191695,1.255630,2.226583,1.986407,-0.004381,6.276009
0.020000,1.296249,1.191375,1.300956,2.266309,1.986318,-0.004469,6.276261
0.020000,1.342368,1.191062,1.347077,2.306034,1.986227,-0.004555,6.276515
0.020000,1.389283,1.190755,1.393992,2.345756,1.986136,-0.004541,6.276771
0.020000,1.436991,1.190455,1.441702,2.385477,1.986044,-0.004567,6.277030
0.020000,1.485494,1.190163,1.490205,2.425196,1.985944,-0.005028,6.277291
0.020000,1.534792,1.189879,1.539504,2.464913,1.985852,-0.004581,6.277553
0.020000,1.584685,1.189604,1.589397,2.494689,1.488804,-24.852422,6.277817
0.020000,1.634776,1.189342,1.639489,2.504586,0.494858,-49.697308,6.278079
0.020000,1.684866,1.189093,1.689580,2.504544,-0.002100,-24.847906,6.278338
0.020000,1.734955,1.188856,1.739670,2.504502,-0.002096,0.000219,6.278596
0.020000,1.785044,1.188633,1.789759,2.504460,-0.002101,-0.000255,6.278851
0.020000,1.835132,1.188422,1.839848,2.504418,-0.002096,0.000272,6.279103
0.020000,1.885219,1.188224,1.889935,2.504376,-0.002102,-0.000292,6.279353
0.020000,1.935306,1.188038,1.940022,2.504334,-0.002096,0.000285,6.279601
0.020000,1.985391,1.187865,1.990108,2.504292,-0.002101,-0.000268,6.279846
0.020000,2.035476,1.187704,2.040193,2.504251,-0.002097,0.000216,6.280089
0.020000,2.085560,1.187555,2.090277,2.504209,-0.002101,-0.000181,6.280329
0.020000,2.135643,1.187417,2.140360,2.504167,-0.002098,0.000137,6.280568
0.020000,2.185725,1.187292,2.190443,2.504125,-0.002100,-0.000109,6.280803
0.020000,2.235807,1.187179,2.240524,2.504083,-0.002099,0.000074,6.281037
0.020000,2.285888,1.187077,2.290605,2.504041,-0.002100,-0.000052,6.281267
0.020000,2.335967,1.186987,2.340685,2.503999,-0.002099,0.000025,6.281496
0.020000,2.386046,1.186908,2.390764,2.503957,-0.002099,-0.000009,6.281722
0.020000,2.436125,1.186840,2.440843,2.503915,-0.002099,-0.000011,6.281946
0.020000,2.486202,1.186784,2.490920,2.503873,-0.002099,0.000021,6.282167
0.020000,2.536279,1.186738,2.540997,2.503831,-0.002100,-0.000035,6.282386
0.020000,2.586354,1.186703,2.591072,2.503789,-0.002099,0.000039,6.282602
0.020000,2.636429,1.186680,2.641147,2.503747,-0.002100,-0.000048,6.282816
0.020000,2.686504,1.186666,2.691222,2.503705,-0.002099,0.000047,6.283028
0.020000,2.736577,1.186664,2.741295,2.503663,-0.002100,-0.000050,0.000052
0.020000,2.786649,1.186672,2.791367,2.503621,-0.002099,0.000045,0.000259
0.020000,2.836721,1.186690,2.841439,2.503579,-0.002100,-0.000042,0.000464
0.020000,2.886791,1.186718,2.891509,2.503537,-0.002099,0.000030,0.000666
0.020000,2.936861,1.186756,2.941579,2.503495,-0.002100,-0.000023,0.000865
0.020000,2.986930,1.186805,2.991648,2.503453,-0.002100,0.000010,0.001063
0.020000,3.036999,1.186863,3.041717,2.503411,-0.002100,-0.000005,0.001258
0.020000,3.087066,1.186931,3.091784,2.503369,-0.002100,-0.000003,0.001450
0.020000,3.137132,1.187008,3.141851,2.503327,-0.002100,0.000004,0.001640
0.020000,3.187198,1.187095,3.191916,2.503285,-0.002100,-0.000007,0.001828
0.020000,3.237263,1.187191,3.241981,2.503243,-0.002100,0.000005,0.002013
0.020000,3.287327,1.187296,3.292045,2.503201,-0.002100,-0.000003,0.002196
0.020000,3.337390,1.187411,3.342108,2.503159,-0.002100,-0.000002,0.002377
0.020000,3.387452,1.187534,3.392171,2.503117,-0.002100,0.000007,0.002555
0.020000,3.437513,1.187667,3.442232,2.503075,-0.002100,-0.000016,0.002730
0.020000,3.487574,1.187808,3.492293,2.503033,-0.002099,0.000024,0.002904
0.020000,3.537633,1.187957,3.542353,2.502991,-0.002100,-0.000036,0.003075
0.020000,3.587692,1.188115,3.592412,2.502949,-0.002099,0.000047,0.003243
0.020000,3.637750,1.188282,3.642470,2.502907,-0.002100,-0.000060,0.003409
0.020000,3.687807,1.188457,3.692527,2.502865,-0.002099,0.000073,0.003573
0.020000,3.737863,1.188639,3.742583,2.502823,-0.002101,-0.000089,0.003734
0.020000,3.787918,1.188830,3.792639,2.502781,-0.002099,0.000096,0.003893
0.020000,3.837973,1.189029,3.842694,2.502739,-0.002101,-0.000097,0.004050
0.020000,3.888026,1.189236,3.892748,2.502697,-0.002099,0.000092,0.004204
0.020000,3.938079,1.189450,3.942801,2.502655,-0.002101,-0.000083,0.004355
0.020000,3.988131,1.189672,3.992853,2.502613,-0.002099,0.000073,0.004505
0.020000,4.038181,1.189901,4.042905,2.502571,-0.002100,-0.000061,0.004652
0.020000,4.088231,1.190137,4.092955,2.502529,-0.002099,0.000049,0.004796
0.020000,4.138281,1.190381,4.143005,2.502487,-0.002100,-0.000035,0.004938
0.020000,4.188329,1.190632,4.193054,2.502445,-0.002100,0.000022,0.005078
0.020000,4.238376,1.190889,4.243102,2.502403,-0.002100,-0.000007,0.005215
0.020000,4.288423,1.191154,4.293149,2.502361,-0.002100,-0.000008,0.005350
0.020000,4.338468,1.191425,4.343195,2.502319,-0.002099,0.000024,0.005483
0.020000,4.388513,1.191702,4.393241,2.502277,-0.002100,-0.000039,0.005613
0.020000,4.438557,1.191986,4.443286,2.502235,-0.002099,0.000056,0.005740
0.020000,4.488600,1.192277,4.493330,2.502193,-0.002101,-0.000072,0.005866
0.020000,4.538642,1.192573,4.543373,2.502151,-0.002099,0.000089,0.005989
0.020000,4.588683,1.192876,4.593415,2.502109,-0.002101,-0.000105,0.006109
0.020000,4.638724,1.193185,4.643456,2.502067,-0.002098,0.000123,0.006227
0.020000,4.688763,1.193499,4.693497,2.502025,-0.002101,-0.000139,0.006343
0.020000,4.738802,1.193820,4.743536,2.501983,-0.002098,0.000142,0.006456
0.020000,4.788840,1.194145,4.793575,2.501941,-0.002101,-0.000130,0.006567
0.020000,4.838877,1.194477,4.843613,2.501899,-0.002099,0.000117,0.006676
0.020000,4.888913,1.194813,4.893650,2.501857,-0.002101,-0.000100,0.006782
0.020000,4.938948,1.195155,4.943686,2.501815,-0.002099,0.000084,0.006886
0.020000,4.988982,1.195502,4.993722,2.501773,-0.002100,-0.000066,0.006987
0.020000,5.039015,1.195855,5.043757,2.501731,-0.002099,0.000051,0.007086
0.020000,5.089048,1.196212,5.093790,2.501689,-0.002100,-0.000034,0.007182
0.020000,5.139080,1.196573,5.143823,2.501647,-0.002100,0.000019,0.007276
0.020000,5.189110,1.196940,5.193855,2.501605,-0.002100,-0.000002,0.007368
0.020000,5.239140,1.197310,5.243887,2.501563,-0.002100,-0.000013,0.007457
0.020000,5.289169,1.197686,5.293917,2.501521,-0.002099,0.000029,0.007544
0.020000,5.339197,1.198065,5.343947,2.501479,-0.002100,-0.000043,0.007629
0.020000,5.389225,1.198449,5.393975,2.501437,-0.002099,0.000058,0.007711
0.020000,5.439251,1.198837,5.444003,2.501395,-0.002100,-0.000071,0.007791
0.020000,5.489277,1.199228,5.494030,2.501353,-0.002099,0.000085,0.007868
0.020000,5.539301,1.199624,5.544057,2.501311,-0.002101,-0.000097,0.007943
0.020000,5.589325,1.200023,5.594082,2.501269,-0.002098,0.000109,0.008015
0.020000,5.639348,1.200426,5.644106,2.501227,-0.002101,-0.000119,0.008086
0.020000,5.689370,1.200832,5.694130,2.501185,-0.002098,0.000117,0.008153
0.020000,5.739391,1.201242,5.744153,2.501143,-0.002100,-0.000100,0.008219
0.020000,5.789411,1.201654,5.794175,2.501101,-0.002099,0.000086,0.008282
0.020000,5.839431,1.202070,5.844196,2.501059,-0.002100,-0.000071,0.008342
0.020000,5.889450,1.202489,5.894217,2.501017,-0.002099,0.000058,0.008400
0.020000,5.939467,1.202910,5.944236,2.500975,-0.002100,-0.000043,0.008456
0.020000,5.989484,1.203335,5.994255,2.500933,-0.002099,0.000032,0.008509
0.020000,6.039500,1.203761,6.044273,2.500891,-0.002100,-0.000019,0.008560
0.020000,6.089515,1.204191,6.094290,2.500849,-0.002099,0.000009,0.008609
0.020000,6.139530,1.204623,6.144306,2.500807,-0.002099,0.000002,0.008655
0.020000,6.189543,1.205057,6.194321,2.500765,-0.002100,-0.000011,0.008699
0.020000,6.239556,1.205493,6.244335,2.500723,-0.002099,0.000020,0.008740
0.020000,6.289567,1.205931,6.294349,2.500681,-0.002100,-0.000027,0.008779
0.020000,6.339578,1.206371,6.344362,2.500639,-0.002099,0.000034,0.008815
0.020000,6.389588,1.206812,6.394374,2.500597,-0.002100,-0.000039,0.008849
0.020000,6.439597,1.207256,6.444385,2.500555,-0.002099,0.000044,0.008881
0.020000,6.489605,1.207701,6.494395,2.500513,-0.002100,-0.000048,0.008910
0.020000,6.539613,1.208147,6.544405,2.500471,-0.002099,0.000050,0.008937
0.020000,6.589619,1.208595,6.594413,2.500429,-0.002100,-0.000049,0.008962
0.020000,6.639625,1.209043,6.644421,2.500387,-0.002099,0.000045,0.008984
0.020000,6.689630,1.209493,6.694428,2.500345,-0.002100,-0.000036,0.009004
0.020000,6.739634,1.209944,6.744434,2.500303,-0.002099,0.000028,0.009021
0.020000,6.789637,1.210395,6.794439,2.500261,-0.002100,-0.000021,0.009036
0.020000,6.839640,1.210847,6.844444,2.500219,-0.002099,0.000015,0.009049
0.020000,6.889641,1.211300,6.894447,2.500177,-0.002099,-0.000010,0.009059
0.020000,6.939642,1.211753,6.944450,2.500135,-0.002099,0.000006,0.009066
0.020000,6.989642,1.212207,6.994452,2.500093,-0.002099,-0.000003,0.009072
0.020000,7.039641,1.212660,7.044453,2.500051,-0.002099,0.000001,0.009075
0.020000,7.089639,1.213114,7.094453,2.500009,-0.002099,-0.000000,0.009075
0.020000,7.139636,1.213568,7.144452,2.499967,-0.002099,0.000001,0.009073
0.020000,7.189632,1.214021,7.194451,2.499925,-0.002099,-0.000002,0.009069
0.020000,7.239628,1.214475,7.244448,2.499883,-0.002099,0.000004,0.009062
0.020000,7.289623,1.214927,7.294445,2.499841,-0.002099,-0.000007,0.009053
0.020000,7.339617,1.215380,7.344441,2.499799,-0.002099,0.000011,0.009042
0.020000,7.389610,1.215832,7.394436,2.499757,-0.002100,-0.000017,0.009028
0.020000,7.439602,1.216283,7.444431,2.499715,-0.002099,0.000023,0.009012
0.020000,7.489594,1.216733,7.494424,2.499673,-0.002100,-0.000029,0.008993
0.020000,7.539584,1.217182,7.544417,2.499631,-0.002099,0.000034,0.008972
0.020000,7.589574,1.217630,7.594409,2.499589,-0.002100,-0.000036,0.008949
0.020000,7.639563,1.218076,7.644399,2.499547,-0.002099,0.000035,0.008923
0.020000,7.689551,1.218522,7.694390,2.499506,-0.002100,-0.000033,0.008895
0.020000,7.739538,1.218966,7.744379,2.499464,-0.002099,0.000030,0.008864
0.020000,7.789525,1.219408,7.794367,2.499422,-0.002100,-0.000026,0.008831
0.020000,7.839511,1.219848,7.844355,2.499380,-0.002099,0.000021,0.008795
0.020000,7.889495,1.220287,7.894342,2.499338,-0.002100,-0.000015,0.008757
0.020000,7.939479,1.220724,7.944328,2.499296,-0.002099,0.000008,0.008717
0.020000,7.989463,1.221158,7.994313,2.499254,-0.002099,-0.000001,0.008675
0.020000,8.039445,1.221591,8.044297,2.499212,-0.002100,-0.000009,0.008630
0.020000,8.089426,1.222021,8.094280,2.499170,-0.002099,0.000018,0.008582
0.020000,8.139407,1.222449,8.144263,2.499128,-0.002100,-0.000029,0.008532
0.020000,8.189387,1.222874,8.194244,2.499086,-0.002099,0.000039,0.008480
0.020000,8.239366,1.223296,8.244225,2.499044,-0.002100,-0.000052,0.008425
0.020000,8.289344,1.223716,8.294205,2.499002,-0.002099,0.000064,0.008368
0.020000,8.339322,1.224133,8.344185,2.498960,-0.002100,-0.000078,0.008309
0.020000,8.389299,1.224547,8.394163,2.498918,-0.002099,0.000092,0.008247
0.020000,8.439274,1.224957,8.444140,2.498876,-0.002101,-0.000101,0.008183
0.020000,8.489249,1.225364,8.494117,2.498834,-0.002098,0.000103,0.008116
0.020000,8.539224,1.225768,8.544093,2.498792,-0.002100,-0.000100,0.008047
0.020000,8.589197,1.226169,8.594068,2.498750,-0.002099,0.000088,0.007976
0.020000,8.639170,1.226565,8.644042,2.498708,-0.002100,-0.000078,0.007902
0.020000,8.689141,1.226958,8.694015,2.498666,-0.002099,0.000065,0.007825
0.020000,8.739112,1.227347,8.743988,2.498624,-0.002100,-0.000053,0.007747
0.020000,8.789082,1.227733,8.793960,2.498582,-0.002099,0.000039,0.007666
0.020000,8.839052,1.228114,8.843930,2.498540,-0.002100,-0.000026,0.007582
0.020000,8.889020,1.228490,8.893900,2.498498,-0.002100,0.000011,0.007497
0.020000,8.938988,1.228863,8.943869,2.498456,-0.002100,0.000003,0.007408
0.020000,8.988955,1.229231,8.993838,2.498414,-0.002100,-0.000019,0.007318
0.020000,9.038921,1.229594,9.043805,2.498372,-0.002099,0.000034,0.007225
0.020000,9.088886,1.229953,9.093772,2.498330,-0.002100,-0.000051,0.007129
