dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.241023,4.675713,0.000622,0.062165,3.108249,155.412426,6.282333
0.020000,7.240851,4.675713,0.000793,0.008581,-2.679192,-289.372051,6.282481
0.020000,7.240508,4.675713,0.001136,0.017159,0.428880,155.403626,6.282775
0.020000,7.240530,4.675713,0.001159,0.001117,-0.802085,-61.548272,0.000032
0.020000,7.249791,4.675716,0.010420,0.463042,23.096256,1194.917081,0.000621
0.020000,7.261367,4.675727,0.021996,0.578806,5.788215,-865.402046,0.001356
0.020000,7.275259,4.675752,0.035888,0.694592,5.789271,0.052769,0.002238
0.020000,7.291467,4.675797,0.052095,0.810393,5.790071,0.040027,0.003267
0.020000,7.309991,4.675868,0.070619,0.926202,5.790423,0.017583,0.004441
0.020000,7.330832,4.675975,0.091461,1.042082,5.794010,0.179368,0.005762
0.020000,7.353990,4.676125,0.114620,1.157922,5.791984,-0.101307,0.007227
0.020000,7.379466,4.676330,0.140096,1.273816,5.794744,0.137971,0.008838
0.020000,7.407260,4.676600,0.167891,1.389754,5.796887,0.107190,0.010592
0.020000,7.437372,4.676947,0.198005,1.505724,5.798481,0.079671,0.012490
0.020000,7.469804,4.677386,0.230440,1.621725,5.800044,0.078157,0.014532
0.020000,7.504554,4.677929,0.265195,1.737740,5.800777,0.036644,0.016715
0.020000,7.541625,4.678591,0.302272,1.853861,5.806045,0.263429,0.019040
0.020000,7.581017,4.679390,0.341672,1.969986,5.806255,0.010473,0.021506
0.020000,7.622730,4.680342,0.383395,2.086180,5.809677,0.171132,0.024111
0.020000,7.666764,4.681464,0.427444,2.202434,5.812694,0.150814,0.026855
0.020000,7.713120,4.682776,0.473819,2.318741,5.815359,0.133255,0.029737
0.020000,7.761800,4.684298,0.522522,2.435163,5.821103,0.287218,0.032754
0.020000,7.812802,4.686049,0.573554,2.551607,5.822206,0.055146,0.035907
0.020000,7.866127,4.688053,0.626917,2.668157,5.827504,0.264878,0.039193
0.020000,7.921777,4.690330,0.682613,2.784806,5.832458,0.247719,0.042611
