dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.240031,3.510713,0.000622,0.062165,3.108249,155.412426,6.282333
0.020000,7.240031,3.510713,0.003108,0.186495,6.216497,155.412426,6.282481
0.020000,7.240031,3.510713,0.008081,0.310825,6.216497,-0.000000,6.282775
0.020000,7.240567,3.510713,0.015541,0.435155,6.216497,0.000000,0.000032
0.020000,7.250514,3.510716,0.025488,0.559485,6.216497,-0.000000,0.000621
0.020000,7.262947,3.510729,0.037921,0.683815,6.216497,0.000000,0.001356
0.020000,7.277867,3.510755,0.052840,0.808145,6.216497,0.000000,0.002238
0.020000,7.295273,3.510803,0.070246,0.932475,6.216497,0.000000,0.003267
0.020000,7.315165,3.510880,0.090139,1.056804,6.216497,0.000000,0.004441
0.020000,7.337545,3.510994,0.112519,1.181134,6.216497,-0.000000,0.005762
0.020000,7.362410,3.511156,0.137385,1.305464,6.216497,0.000000,0.007227
0.020000,7.389761,3.511375,0.164737,1.429794,6.216497,-0.000000,0.008838
0.020000,7.419599,3.511665,0.194576,1.554124,6.216497,0.000000,0.010592
0.020000,7.451923,3.512038,0.226902,1.678454,6.216497,-0.000000,0.012490
0.020000,7.486732,3.512509,0.261715,1.802784,6.216497,0.000000,0.014532
0.020000,7.524026,3.513091,0.299014,1.927114,6.216497,-0.000000,0.016715
0.020000,7.563806,3.513803,0.338799,2.051444,6.216497,0.000000,0.019040
0.020000,7.606069,3.514660,0.381071,2.175774,6.216497,-0.000000,0.021506
0.020000,7.650817,3.515680,0.425830,2.300104,6.216497,0.000000,0.024111
0.020000,7.698047,3.516884,0.473075,2.424434,6.216497,0.000000,0.026855
0.020000,7.747758,3.518291,0.522807,2.548764,6.216497,0.000000,0.029737
0.020000,7.799952,3.519923,0.575026,2.673094,6.216497,-0.000000,0.032754
0.020000,7.854624,3.521800,0.629731,2.797424,6.216497,0.000000,0.035907
0.020000,7.911776,3.523947,0.686923,2.921754,6.216497,0.000000,0.039193
0.020000,7.971404,3.526388,0.746601,3.046084,6.216497,-0.000000,0.042611
0.020000,8.033508,3.529146,0.808766,3.170413,6.216497,0.000000,0.046160
0.020000,8.098085,3.532248,0.873418,3.294743,6.216497,-0.000000,0.049837
0.020000,8.165133,3.535720,0.940556,3.419073,6.216497,0.000000,0.053641
0.020000,8.234650,3.539590,1.010181,3.543403,6.216497,-0.000000,0.057570
0.020000,8.306634,3.543885,1.082292,3.667733,6.216497,0.000000,0.061621
0.020000,8.381080,3.548634,1.156890,3.792063,6.216497,0.000000,0.065793
0.020000,8.457987,3.553867,1.233975,3.916393,6.216497,-0.000000,0.070083
0.020000,8.537350,3.559614,1.313546,4.040723,6.216497,0.000000,0.074488
0.020000,8.619166,3.565906,1.395604,4.165053,6.216497,0.000000,0.079005
0.020000,8.703431,3.572774,1.480148,4.289383,6.216497,0.000000,0.083632
0.020000,8.790141,3.580249,1.567179,4.413713,6.216497,0.000000,0.088366
0.020000,8.879289,3.588365,1.656696,4.538043,6.216497,0.000000,0.093204
0.020000,8.970872,3.597154,1.748701,4.662373,6.216497,-0.000000,0.098141
0.020000,9.064885,3.606650,1.843191,4.786703,6.216497,0.000000,0.103176
