dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.239038,2.345713,0.000622,0.062165,3.108249,155.412426,6.282333
0.020000,7.239210,2.345713,0.000793,0.008581,-2.679192,-289.372051,6.282481
0.020000,7.239553,2.345713,0.001136,0.017159,0.428880,155.403626,6.282775
0.020000,7.240604,2.345713,0.002188,0.052576,1.770863,67.099152,0.000032
0.020000,7.251237,2.345716,0.012821,0.531629,23.952638,1109.088744,0.000621
0.020000,7.264527,2.345730,0.026111,0.664500,6.643541,-865.454855,0.001356
0.020000,7.280474,2.345758,0.042058,0.797367,6.643377,-0.008207,0.002238
0.020000,7.299079,2.345809,0.060662,0.930220,6.642626,-0.037558,0.003267
0.020000,7.320339,2.345891,0.081923,1.063041,6.641054,-0.078557,0.004441
0.020000,7.344257,2.346013,0.105841,1.195898,6.642880,0.091268,0.005762
0.020000,7.370830,2.346186,0.132414,1.328657,6.637932,-0.247384,0.007227
0.020000,7.400057,2.346421,0.161643,1.461420,6.638130,0.009914,0.008838
0.020000,7.431939,2.346731,0.193526,1.594165,6.637258,-0.043597,0.010592
0.020000,7.466474,2.347129,0.228063,1.726872,6.635373,-0.094267,0.012490
0.020000,7.503661,2.347632,0.265254,1.859533,6.633051,-0.116093,0.014532
0.020000,7.543499,2.348254,0.305096,1.992120,6.629355,-0.184833,0.016715
0.020000,7.585987,2.349014,0.347591,2.124729,6.630411,0.052813,0.019040
0.020000,7.631122,2.349929,0.392736,2.257232,6.625197,-0.260699,0.021506
0.020000,7.678903,2.351019,0.440530,2.389696,6.623170,-0.101365,0.024111
0.020000,7.729329,2.352304,0.490971,2.522099,6.620153,-0.150826,0.026855
0.020000,7.782396,2.353806,0.544060,2.654423,6.616184,-0.198474,0.029737
0.020000,7.838104,2.355547,0.599794,2.786726,6.615158,-0.051259,0.032754
0.020000,7.896447,2.357551,0.658172,2.918890,6.608211,-0.347354,0.035907
0.020000,7.957424,2.359842,0.719192,3.050998,6.605424,-0.139341,0.039193
0.020000,8.021031,2.362445,0.782853,3.183030,6.601572,-0.192620,0.042611
0.020000,8.087265,2.365387,0.849152,3.314964,6.596703,-0.243472,0.046160
0.020000,8.156121,2.368695,0.918088,3.446781,6.590866,-0.291821,0.049837
0.020000,8.227595,2.372396,0.989657,3.578478,6.584843,-0.301168,0.053641
0.020000,8.301682,2.376520,1.063859,3.710090,6.580578,-0.213227,0.057570
0.020000,8.378377,2.381096,1.140690,3.841561,6.573565,-0.350675,0.061621
0.020000,8.457674,2.386155,1.220148,3.972895,6.566679,-0.344306,0.065793
0.020000,8.539566,2.391727,1.302230,4.104084,6.559496,-0.359149,0.070083
