dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397908,5.661060,0.000618,0.024711,0.494225,9.884502,0.000031
0.050000,1.399781,5.661059,0.002491,0.037465,0.255074,-4.783019,6.282785
0.050000,1.403122,5.661057,0.005832,0.066814,0.586988,6.638270,6.282077
0.050000,1.407791,5.661049,0.010501,0.093386,0.531424,-1.111269,6.281108
0.050000,1.413781,5.661033,0.016491,0.119802,0.528335,-0.061793,6.279898
0.050000,1.421082,5.661004,0.023792,0.146021,0.524365,-0.079385,6.278477
0.050000,1.429682,5.660957,0.032392,0.171996,0.519517,-0.096966,6.276878
0.050000,1.439566,5.660886,0.042276,0.197686,0.513792,-0.114492,6.275141
0.050000,1.450717,5.660786,0.053429,0.223046,0.507194,-0.131964,6.273313
0.050000,1.463118,5.660651,0.065830,0.248032,0.499725,-0.149383,6.271446
0.050000,1.476747,5.660478,0.079460,0.272601,0.491387,-0.166752,6.269600
0.050000,1.491581,5.660264,0.094296,0.296711,0.482184,-0.184060,6.267838
0.050000,1.507595,5.660004,0.110312,0.320316,0.472117,-0.201352,6.266231
0.050000,1.524761,5.659701,0.127480,0.343376,0.461185,-0.218646,6.264857
0.050000,1.543050,5.659356,0.145773,0.365845,0.449386,-0.235973,6.263798
0.050000,1.562430,5.658973,0.165157,0.387681,0.436715,-0.253415,6.263143
0.050000,1.582868,5.658560,0.185599,0.408839,0.423164,-0.271018,6.262988
0.050000,1.604328,5.658131,0.207062,0.429275,0.408721,-0.288873,6.263434
0.050000,1.626771,5.657699,0.229510,0.448943,0.393369,-0.307037,6.264589
0.050000,1.650157,5.657286,0.252899,0.467798,0.377090,-0.325575,6.266568
0.050000,1.674444,5.656916,0.277189,0.485791,0.359865,-0.344499,6.269491
0.050000,1.699586,5.656619,0.302333,0.502875,0.341677,-0.363765,6.273487
0.050000,1.725535,5.656433,0.328283,0.519001,0.322517,-0.383203,6.278689
0.050000,1.752241,5.656397,0.354989,0.534120,0.302391,-0.402509,0.002055
0.050000,1.779650,5.656561,0.382398,0.548187,0.281335,-0.421125,0.010103
0.050000,1.807705,5.656977,0.410456,0.561158,0.259426,-0.438169,0.019802
0.050000,1.836345,5.657705,0.439106,0.572999,0.236808,-0.452361,0.031310
0.050000,1.865509,5.658811,0.468290,0.583685,0.213717,-0.461837,0.044790
0.050000,1.895128,5.660365,0.497951,0.593210,0.190513,-0.464077,0.060405
0.050000,1.925136,5.662445,0.528031,0.601597,0.167725,-0.455755,0.078316
0.050000,1.955463,5.665130,0.558476,0.608901,0.146088,-0.432746,0.098673
0.050000,1.986038,5.668505,0.589237,0.615230,0.126589,-0.389982,0.121614
0.050000,2.016797,5.672658,0.620275,0.620755,0.110485,-0.322076,0.147253
0.050000,2.047677,5.677681,0.651561,0.625720,0.099317,-0.223357,0.175668
0.050000,2.079411,5.683823,0.683884,0.646458,0.414742,6.308504,0.202589
0.050000,2.128405,5.693430,0.733811,0.998542,7.041695,132.539052,0.185533
0.050000,2.176733,5.702194,0.782927,0.982318,-0.324478,-147.323461,0.174234
0.050000,2.224181,5.710395,0.831078,0.963024,-0.385888,-1.228194,0.169122
0.050000,2.270524,5.718318,0.878093,0.940306,-0.454353,-1.369297,0.170680
0.050000,2.315513,5.726245,0.923776,0.913649,-0.533144,-1.575825,0.179459
0.050000,2.358866,5.734450,0.967898,0.882446,-0.624054,-1.818197,0.196100
0.050000,2.400262,5.743181,1.010205,0.846139,-0.726144,-2.041795,0.221319
0.050000,2.439354,5.752649,1.050428,0.804453,-0.833730,-2.151719,0.255871
0.050000,2.475798,5.763013,1.088317,0.757778,-0.933496,-1.995332,0.300458
0.050000,2.509311,5.774372,1.123702,0.707709,-1.001378,-1.357643,0.355555
0.050000,2.539760,5.786785,1.156584,0.657641,-1.001354,0.000494,0.421163
