dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397919,5.305460,0.000618,0.024711,0.494225,9.884502,0.000031
0.050000,1.399639,5.305459,0.002471,0.049423,0.494225,0.000000,6.282785
0.050000,1.402727,5.305457,0.005560,0.074134,0.494225,-0.000000,6.282077
0.050000,1.407052,5.305450,0.009885,0.098845,0.494225,0.000000,6.281108
0.050000,1.412612,5.305435,0.015445,0.123556,0.494225,-0.000000,6.279898
0.050000,1.419408,5.305408,0.022240,0.148268,0.494225,0.000000,6.278477
0.050000,1.427439,5.305364,0.030271,0.172979,0.494225,0.000000,6.276878
0.050000,1.436705,5.305297,0.039538,0.197690,0.494225,-0.000000,6.275141
0.050000,1.447207,5.305203,0.050040,0.222401,0.494225,0.000000,6.273313
0.050000,1.458944,5.305076,0.061778,0.247113,0.494225,0.000000,6.271446
0.050000,1.471916,5.304911,0.074752,0.271824,0.494225,0.000000,6.269600
0.050000,1.486124,5.304705,0.088961,0.296535,0.494225,-0.000000,6.267838
0.050000,1.501566,5.304456,0.104405,0.321246,0.494225,0.000000,6.266231
0.050000,1.518244,5.304161,0.121085,0.345958,0.494225,0.000000,6.264857
0.050000,1.536156,5.303822,0.139001,0.370669,0.494225,-0.000000,6.263798
0.050000,1.555304,5.303444,0.158152,0.395380,0.494225,0.000000,6.263143
0.050000,1.575686,5.303033,0.178539,0.420091,0.494225,0.000000,6.262988
0.050000,1.597304,5.302600,0.200161,0.444803,0.494225,-0.000000,6.263434
0.050000,1.620158,5.302160,0.223019,0.469514,0.494225,0.000000,6.264589
0.050000,1.644248,5.301735,0.247113,0.494225,0.494225,-0.000000,6.266568
0.050000,1.669574,5.301349,0.272442,0.518936,0.494225,0.000000,6.269491
0.050000,1.696137,5.301036,0.299006,0.543648,0.494225,0.000000,6.273487
0.050000,1.723936,5.300836,0.326806,0.568359,0.494225,0.000000,6.278689
0.050000,1.752972,5.300798,0.355842,0.593070,0.494225,-0.000000,0.002055
0.050000,1.783242,5.300979,0.386113,0.617781,0.494225,0.000000,0.010103
0.050000,1.814746,5.301447,0.417620,0.642493,0.494225,0.000000,0.019802
0.050000,1.847477,5.302279,0.450363,0.667204,0.494225,0.000000,0.031310
0.050000,1.881431,5.303567,0.484341,0.691915,0.494225,0.000000,0.044790
0.050000,1.916595,5.305414,0.519554,0.716626,0.494225,0.000000,0.060405
0.050000,1.952957,5.307935,0.556003,0.741338,0.494225,-0.000000,0.078316
0.050000,1.990494,5.311259,0.593688,0.766049,0.494225,0.000000,0.098673
0.050000,2.029178,5.315531,0.632608,0.790760,0.494225,-0.000000,0.121614
0.050000,2.068971,5.320907,0.672764,0.815471,0.494225,0.000000,0.147253
0.050000,2.109824,5.327554,0.714155,0.840183,0.494225,-0.000000,0.175668
0.050000,2.150960,5.335495,0.756782,0.864894,0.494225,0.000000,0.202589
0.050000,2.194003,5.343932,0.800645,0.889605,0.494225,-0.000000,0.185533
0.050000,2.238377,5.351978,0.845743,0.914316,0.494225,0.000000,0.174234
0.050000,2.284034,5.359868,0.892076,0.939028,0.494225,-0.000000,0.169122
0.050000,2.330923,5.367885,0.939645,0.963739,0.494225,0.000000,0.170680
0.050000,2.378987,5.376356,0.988450,0.988450,0.494225,-0.000000,0.179459
0.050000,2.428153,5.385665,1.038490,1.013161,0.494225,0.000000,0.196100
0.050000,2.478322,5.396254,1.089766,1.037873,0.494225,-0.000000,0.221319
0.050000,2.529352,5.408626,1.142278,1.062584,0.494225,0.000000,0.255871
0.050000,2.581041,5.423344,1.196025,1.087295,0.494225,0.000000,0.300458
0.050000,2.633099,5.441014,1.251007,1.112006,0.494225,0.000000,0.355555
0.050000,2.685137,5.462259,1.307225,1.136718,0.494225,0.000000,0.421163
0.050000,2.736652,5.487668,1.364679,1.161429,0.494225,0.000000,0.496502
0.050000,2.787044,5.517719,1.423368,1.186140,0.494225,-0.000000,0.579778
0.050000,2.835665,5.552713,1.483293,1.210851,0.494225,0.000000,0.668177
0.050000,2.882783,5.590600,1.544453,1.235563,0.494225,-0.000000,0.680840
0.050000,2.931111,5.630068,1.606849,1.260274,0.494225,0.000000,0.689072
0.050000,2.980027,5.670764,1.670481,1.284985,0.494225,-0.000000,0.699037
0.050000,3.029438,5.712790,1.735348,1.309696,0.494225,0.000000,0.710830
0.050000,3.079241,5.756254,1.801450,1.334408,0.494225,0.000000,0.724548
0.050000,3.129317,5.801273,1.868789,1.359119,0.494225,0.000000,0.740284
0.050000,3.179536,5.847968,1.937362,1.383830,0.494225,0.000000,0.758127
0.050000,3.229093,5.895816,2.006250,1.371680,-0.242997,-14.744448,0.777879
0.050000,3.277009,5.944016,2.074216,1.346969,-0.494225,-5.024555,0.799128
0.050000,3.323006,5.992359,2.140947,1.322258,-0.494225,-0.000000,0.821647
0.050000,3.366844,6.040313,2.206442,1.297547,-0.494225,0.000000,0.824697
0.050000,3.411403,6.086609,2.270702,1.272835,-0.494225,0.000000,0.785708
