dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397930,4.949860,0.000618,0.024711,0.494225,9.884502,0.000031
0.050000,1.399496,4.949859,0.002184,0.031333,0.132439,-7.235729,6.282785
0.050000,1.402333,4.949857,0.005022,0.056742,0.508175,7.514721,6.282077
0.050000,1.406313,4.949851,0.009001,0.079593,0.457026,-1.022970,6.281108
0.050000,1.411443,4.949837,0.014131,0.102599,0.460115,0.061777,6.279898
0.050000,1.417733,4.949812,0.020421,0.125803,0.464085,0.079398,6.278477
0.050000,1.425196,4.949771,0.027884,0.149250,0.468933,0.096961,6.276878
0.050000,1.433844,4.949709,0.036533,0.172983,0.474657,0.114489,6.275141
0.050000,1.443696,4.949620,0.046385,0.197046,0.481256,0.131967,6.273313
0.050000,1.454770,4.949500,0.057459,0.221482,0.488725,0.149386,6.271446
0.050000,1.467086,4.949344,0.069776,0.246335,0.497062,0.166746,6.269600
0.050000,1.480667,4.949147,0.083358,0.271648,0.506266,0.184070,6.267838
0.050000,1.495538,4.948907,0.098232,0.297465,0.516334,0.201355,6.266231
0.050000,1.511727,4.948621,0.114423,0.323828,0.527266,0.218640,6.264857
0.050000,1.529263,4.948289,0.131962,0.350781,0.539065,0.235982,6.263798
0.050000,1.548177,4.947915,0.150881,0.378368,0.551735,0.253412,6.263143
0.050000,1.568505,4.947505,0.171212,0.406633,0.565286,0.271020,6.262988
0.050000,1.590281,4.947069,0.192993,0.435619,0.579729,0.288862,6.263434
0.050000,1.613546,4.946622,0.216262,0.465373,0.595081,0.307023,6.264589
0.050000,1.638339,4.946184,0.241059,0.495941,0.611358,0.325549,6.266568
0.050000,1.664704,4.945782,0.267427,0.527370,0.628581,0.344462,6.269491
0.050000,1.692688,4.945453,0.295413,0.559708,0.646766,0.363702,6.273487
0.050000,1.722337,4.945240,0.325063,0.593004,0.665923,0.383128,6.278689
0.050000,1.753703,4.945199,0.356428,0.627307,0.686043,0.402399,0.002055
