dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.015569,5.587528,0.000619,0.024742,0.494832,9.896644,0.000033
0.050000,2.017134,5.587528,0.002184,0.031301,0.131179,-7.273055,6.283045
0.050000,2.020329,5.587527,0.005379,0.063900,0.651994,10.416291,6.282757
0.050000,2.024801,5.587525,0.009851,0.089438,0.510762,-2.824634,6.282357
0.050000,2.030548,5.587518,0.015598,0.114955,0.510322,-0.008801,6.281849
0.050000,2.037570,5.587507,0.022620,0.140442,0.509756,-0.011317,6.281235
0.050000,2.045865,5.587488,0.030915,0.165896,0.509065,-0.013836,6.280522
0.050000,2.055430,5.587458,0.040481,0.191308,0.508247,-0.016357,6.279714
0.050000,2.066264,5.587416,0.051314,0.216673,0.507303,-0.018877,6.278818
0.050000,2.078363,5.587357,0.063413,0.241985,0.506233,-0.021401,6.277842
0.050000,2.091725,5.587279,0.076775,0.267237,0.505037,-0.023925,6.276795
0.050000,2.106345,5.587177,0.091396,0.292422,0.503714,-0.026450,6.275685
0.050000,2.122222,5.587049,0.107273,0.317535,0.502265,-0.028977,6.274523
0.050000,2.139350,5.586890,0.124402,0.342570,0.500690,-0.031503,6.273319
0.050000,2.157724,5.586697,0.142778,0.367519,0.498989,-0.034028,6.272087
0.050000,2.177342,5.586467,0.162396,0.392377,0.497161,-0.036554,6.270838
0.050000,2.198197,5.586196,0.183253,0.417138,0.495207,-0.039076,6.269586
0.050000,2.220285,5.585882,0.205343,0.441794,0.493127,-0.041598,6.268347
0.050000,2.243599,5.585522,0.228660,0.466340,0.490921,-0.044118,6.267135
0.050000,2.268134,5.585114,0.253199,0.490770,0.488590,-0.046636,6.265966
0.050000,2.293884,5.584656,0.278952,0.515076,0.486132,-0.049152,6.264859
0.050000,2.320842,5.584147,0.305915,0.539254,0.483549,-0.051666,6.263832
0.050000,2.349001,5.583589,0.334080,0.563296,0.480840,-0.054179,6.262902
0.050000,2.378354,5.582981,0.363440,0.587196,0.478005,-0.056693,6.262091
0.050000,2.408895,5.582326,0.393987,0.610948,0.475045,-0.059206,6.261419
0.050000,2.440614,5.581627,0.425714,0.634546,0.471959,-0.061722,6.260908
0.050000,2.473505,5.580888,0.458614,0.657984,0.468747,-0.064241,6.260580
0.050000,2.507559,5.580116,0.492676,0.681254,0.465409,-0.066763,6.260460
0.050000,2.542768,5.579316,0.527894,0.704351,0.461944,-0.069290,6.260570
0.050000,2.579122,5.578500,0.564257,0.727269,0.458353,-0.071822,6.260937
0.050000,2.616613,5.577677,0.601757,0.750001,0.454635,-0.074357,6.261586
0.050000,2.655231,5.576860,0.640384,0.772540,0.450790,-0.076893,6.262545
0.050000,2.694967,5.576065,0.680128,0.794881,0.446819,-0.079425,6.263842
0.050000,2.735811,5.575308,0.720979,0.817017,0.442722,-0.081945,6.265505
0.050000,2.777752,5.574608,0.762926,0.838942,0.438500,-0.084444,6.267564
0.050000,2.820780,5.573988,0.805959,0.860650,0.434154,-0.086906,6.270049
0.050000,2.864884,5.573472,0.850066,0.882134,0.429689,-0.089309,6.272993
0.050000,2.910052,5.573087,0.895235,0.903390,0.425108,-0.091626,6.276426
0.050000,2.956272,5.572865,0.941456,0.924411,0.420417,-0.093822,6.280383
0.050000,3.003090,5.572831,0.988274,0.936369,0.239172,-3.624894,0.001046
0.050000,3.051926,5.572966,1.037110,0.976719,0.807006,11.356687,0.004605
0.050000,3.101678,5.573302,1.086863,0.995065,0.366905,-8.802034,0.009064
0.050000,3.152324,5.573895,1.137512,1.012980,0.358301,-0.172073,0.014483
0.050000,3.203839,5.574803,1.189035,1.030454,0.349494,-0.176139,0.020923
0.050000,3.256197,5.576091,1.241409,1.047480,0.340519,-0.179497,0.028448
0.050000,3.309371,5.577830,1.294612,1.064052,0.331429,-0.181807,0.037122
0.050000,3.363332,5.580097,1.348620,1.080167,0.322297,-0.182630,0.047009
0.050000,3.418048,5.582972,1.403411,1.095828,0.313225,-0.181435,0.058172
0.050000,3.473485,5.586543,1.458964,1.111045,0.304347,-0.177573,0.070674
0.050000,3.529608,5.590902,1.515255,1.125837,0.295832,-0.170303,0.084575
0.050000,3.586377,5.596148,1.572267,1.140232,0.287895,-0.158742,0.099931
0.050000,3.645698,5.602522,1.631929,1.193236,1.060092,15.443950,0.109435
0.050000,3.710969,5.609615,1.697584,1.313114,2.397550,26.749165,0.107441
0.050000,3.776612,5.616696,1.763608,1.320462,0.146975,-45.011505,0.107893
0.050000,3.842557,5.623925,1.829948,1.326809,0.126924,-0.401027,0.110931
0.050000,3.908734,5.631474,1.896554,1.332123,0.106293,-0.412622,0.116701
0.050000,3.975066,5.639525,1.963373,1.336383,0.085202,-0.421823,0.125350
0.050000,4.041472,5.648270,2.030352,1.339581,0.063956,-0.424908,0.137028
0.050000,4.107863,5.657909,2.097439,1.341737,0.043110,-0.416919,0.151881
0.050000,4.174143,5.668652,2.164585,1.342913,0.023531,-0.391576,0.170047
0.050000,4.240213,5.680713,2.231747,1.343237,0.006465,-0.341320,0.191645
0.050000,4.318491,5.695677,2.311442,1.593908,5.013435,100.139382,0.179940
0.050000,4.396858,5.709555,2.391028,1.591725,-0.043669,-101.142079,0.173559
0.050000,4.469942,5.722700,2.465285,1.485126,-2.131984,-41.766295,0.185646
0.050000,4.536404,5.736126,2.533089,1.356096,-2.580587,-8.972048,0.216729
0.050000,4.595011,5.750435,2.593417,1.206559,-2.990750,-8.203263,0.266210
0.050000,4.645713,5.765975,2.646448,1.060604,-2.919102,1.432962,0.332725
0.050000,4.689121,5.782880,2.693032,0.931685,-2.578370,6.814635,0.413879
0.050000,4.737322,5.806140,2.746551,1.070386,2.774020,107.047803,0.471068
