dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471450,5.246635,0.000618,0.024715,0.494301,9.886020,0.000012
0.050000,1.473171,5.246635,0.002472,0.049430,0.494301,0.000000,6.283028
0.050000,1.476261,5.246634,0.005561,0.074145,0.494301,0.000000,6.282747
0.050000,1.480586,5.246631,0.009886,0.098860,0.494301,0.000000,6.282361
0.050000,1.486147,5.246625,0.015447,0.123575,0.494301,0.000000,6.281874
0.050000,1.492943,5.246614,0.022244,0.148290,0.494301,0.000000,6.281294
0.050000,1.500976,5.246596,0.030276,0.173005,0.494301,-0.000000,6.280631
0.050000,1.510244,5.246569,0.039544,0.197720,0.494301,0.000000,6.279895
0.050000,1.520748,5.246530,0.050048,0.222435,0.494301,0.000000,6.279099
0.050000,1.532487,5.246477,0.061788,0.247151,0.494301,-0.000000,6.278258
0.050000,1.545462,5.246408,0.074763,0.271866,0.494301,0.000000,6.277387
0.050000,1.559673,5.246319,0.088974,0.296581,0.494301,0.000000,6.276504
0.050000,1.575120,5.246209,0.104421,0.321296,0.494301,0.000000,6.275629
0.050000,1.591802,5.246076,0.121104,0.346011,0.494301,-0.000000,6.274783
0.050000,1.609720,5.245918,0.139022,0.370726,0.494301,0.000000,6.273987
0.050000,1.628873,5.245734,0.158176,0.395441,0.494301,0.000000,6.273268
0.050000,1.649262,5.245526,0.178566,0.420156,0.494301,0.000000,6.272650
0.050000,1.670886,5.245292,0.200192,0.444871,0.494301,0.000000,6.272162
0.050000,1.693746,5.245036,0.223053,0.469586,0.494301,-0.000000,6.271833
0.050000,1.717842,5.244760,0.247151,0.494301,0.494301,0.000000,6.271694
0.050000,1.743173,5.244470,0.272483,0.519016,0.494301,0.000000,6.271778
0.050000,1.769740,5.244171,0.299052,0.543731,0.494301,-0.000000,6.272120
0.050000,1.797543,5.243871,0.326857,0.568446,0.494301,0.000000,6.272756
0.050000,1.826582,5.243582,0.355897,0.593161,0.494301,-0.000000,6.273724
0.050000,1.856856,5.243315,0.386173,0.617876,0.494301,0.000000,6.275063
0.050000,1.888367,5.243085,0.417684,0.642591,0.494301,0.000000,6.276814
0.050000,1.921114,5.242912,0.450432,0.667306,0.494301,-0.000000,6.279022
0.050000,1.955097,5.242815,0.484415,0.692021,0.494301,0.000000,6.281730
0.050000,1.990316,5.242820,0.519634,0.716736,0.494301,0.000000,0.001799
0.050000,2.026771,5.242954,0.556089,0.741452,0.494301,-0.000000,0.005648
0.050000,2.064460,5.243250,0.593779,0.766167,0.494301,0.000000,0.010141
0.050000,2.103383,5.243744,0.632705,0.790882,0.494301,-0.000000,0.015330
0.050000,2.143538,5.244477,0.672867,0.815597,0.494301,0.000000,0.021265
0.050000,2.184923,5.245494,0.714265,0.840312,0.494301,0.000000,0.028000
0.050000,2.227021,5.246822,0.756898,0.865027,0.494301,-0.000000,0.032995
0.050000,2.270873,5.248027,0.800768,0.889742,0.494301,0.000000,0.022193
0.050000,2.315971,5.248807,0.845873,0.914457,0.494301,-0.000000,0.012645
0.050000,2.362310,5.249197,0.892213,0.939172,0.494301,0.000000,0.004486
0.050000,2.409886,5.249246,0.939790,0.963887,0.494301,0.000000,6.281039
0.050000,2.458698,5.249012,0.988602,0.988602,0.494301,-0.000000,6.276071
0.050000,2.508744,5.248569,1.038650,1.013317,0.494301,0.000000,6.272910
0.050000,2.560025,5.248002,1.089934,1.038032,0.494301,-0.000000,6.271700
0.050000,2.612541,5.247413,1.142453,1.062747,0.494301,0.000000,6.272588
0.050000,2.666294,5.246918,1.196208,1.087462,0.494301,0.000000,6.275728
0.050000,2.721284,5.246649,1.251199,1.112177,0.494301,0.000000,6.281275
0.050000,2.776584,5.246448,1.307426,1.136892,0.494301,0.000000,6.274130
0.050000,2.834040,5.245608,1.364889,1.161607,0.494301,-0.000000,6.263436
0.050000,2.892721,5.244193,1.423587,1.186322,0.494301,0.000000,6.255162
0.050000,2.952626,5.242329,1.483521,1.211037,0.494301,0.000000,6.249476
0.050000,3.013757,5.240163,1.544691,1.235753,0.494301,0.000000,6.246544
0.050000,3.076120,5.237861,1.607096,1.260468,0.494301,0.000000,6.246540
0.050000,3.139721,5.235612,1.670737,1.285183,0.494301,-0.000000,6.249644
0.050000,3.204568,5.233626,1.735614,1.309898,0.494301,0.000000,6.256040
0.050000,3.270664,5.232139,1.801727,1.334613,0.494301,0.000000,6.265922
0.050000,3.338008,5.231413,1.869076,1.359328,0.494301,0.000000,6.279484
0.050000,3.406590,5.231736,1.937660,1.384043,0.494301,0.000000,0.013730
0.050000,3.476389,5.233423,2.007480,1.408758,0.494301,0.000000,0.035209
0.050000,3.547362,5.236813,2.078536,1.433473,0.494301,-0.000000,0.060882
0.050000,3.619444,5.242269,2.150827,1.458188,0.494301,0.000000,0.090847
0.050000,3.691906,5.249858,2.224355,1.482903,0.494301,0.000000,0.109085
0.050000,3.766234,5.257912,2.299118,1.507618,0.494301,0.000000,0.107317
0.050000,3.841792,5.266087,2.375116,1.532333,0.494301,0.000000,0.108799
0.050000,3.918551,5.274640,2.452351,1.557048,0.494301,-0.000000,0.113693
0.050000,3.995520,5.283732,2.529856,1.543138,-0.278195,-15.449919,0.122040
0.050000,4.071437,5.293469,2.606395,1.518423,-0.494301,-4.322122,0.133663
0.050000,4.145995,5.304033,2.681698,1.493708,-0.494301,0.000000,0.148373
0.050000,4.219152,5.315608,2.755765,1.468993,-0.494301,-0.000000,0.165996
0.050000,4.290858,5.328355,2.828597,1.444278,-0.494301,0.000000,0.186346
0.050000,4.360614,5.341850,2.900193,1.419563,-0.494301,0.000000,0.185042
0.050000,4.429860,5.354320,2.970554,1.394848,-0.494301,0.000000,0.173820
0.050000,4.497936,5.366315,3.039678,1.370133,-0.494301,0.000000,0.177415
0.050000,4.564664,5.378808,3.107567,1.345418,-0.494301,-0.000000,0.195083
0.050000,4.629857,5.392668,3.174220,1.320703,-0.494301,0.000000,0.226167
0.050000,4.693285,5.408659,3.239637,1.295988,-0.494301,0.000000,0.269940
0.050000,4.754655,5.427418,3.303819,1.271273,-0.494301,0.000000,0.325365
0.050000,4.813616,5.449426,3.366764,1.246558,-0.494301,0.000000,0.390864
0.050000,4.869498,5.474725,3.428474,1.221843,-0.494301,0.000000,0.452741
0.050000,4.923425,5.502088,3.488949,1.197128,-0.494301,-0.000000,0.485442
0.050000,4.975433,5.530446,3.548187,1.172413,-0.494301,0.000000,0.512082
0.050000,5.025683,5.559413,3.606190,1.147698,-0.494301,0.000000,0.532908
0.050000,5.074343,5.588647,3.662957,1.122983,-0.494301,0.000000,0.548225
0.050000,5.121577,5.617847,3.718488,1.098268,-0.494301,0.000000,0.558364
0.050000,5.167177,5.646508,3.772784,1.073552,-0.494301,-0.000000,0.559031
0.050000,5.212667,5.673817,3.825843,1.048837,-0.494301,0.000000,0.525044
0.050000,5.257765,5.699348,3.877667,1.024122,-0.494301,0.000000,0.507850
0.050000,5.302019,5.723857,3.928256,0.999407,-0.494301,0.000000,0.506213
0.050000,5.345056,5.748012,3.977608,0.974692,-0.494301,-0.000000,0.519023
0.050000,5.386546,5.772378,4.025725,0.949977,-0.494301,0.000000,0.545292
0.050000,5.426174,5.797421,4.072606,0.925262,-0.494301,0.000000,0.584026
0.050000,5.463634,5.823493,4.118251,0.900547,-0.494301,-0.000000,0.634031
0.050000,5.498630,5.850823,4.162661,0.875832,-0.494301,0.000000,0.693711
0.050000,5.530598,5.879220,4.205834,0.851117,-0.494301,-0.000000,0.759991
0.050000,5.560507,5.908615,4.247772,0.826402,-0.494301,0.000000,0.795089
0.050000,5.588388,5.938265,4.288475,0.801687,-0.494301,0.000000,0.838850
0.050000,5.614010,5.968277,4.327941,0.776972,-0.494301,-0.000000,0.891086
0.050000,5.637155,5.998698,4.366172,0.752257,-0.494301,0.000000,0.951346
0.050000,5.657625,6.029505,4.403167,0.727542,-0.494301,0.000000,1.018758
0.050000,5.675267,6.060601,4.438926,0.702827,-0.494301,-0.000000,1.091923
0.050000,5.689995,6.091816,4.473449,0.678112,-0.494301,0.000000,1.168920
0.050000,5.701808,6.122928,4.506737,0.653397,-0.494301,-0.000000,1.247473
0.050000,5.710803,6.153683,4.538789,0.628682,-0.494301,0.000000,1.325233
0.050000,5.717167,6.183828,4.569605,0.603967,-0.494301,0.000000,1.400106
0.050000,5.721156,6.213132,4.599186,0.579251,-0.494301,-0.000000,1.470494
0.050000,5.723832,6.240935,4.627530,0.554536,-0.494301,0.000000,1.469801
0.050000,5.726692,6.267893,4.654639,0.529821,-0.494301,0.000000,1.460932
0.050000,5.729607,6.293601,4.680512,0.505106,-0.494301,-0.000000,1.455346
0.050000,5.732483,6.318070,4.705150,0.480391,-0.494301,0.000000,1.452635
0.050000,5.735249,6.341308,4.728552,0.455676,-0.494301,-0.000000,1.452412
0.050000,5.737850,6.363320,4.750718,0.430961,-0.494301,0.000000,1.454316
0.050000,5.740247,6.384113,4.771648,0.406246,-0.494301,0.000000,1.458002
0.050000,5.742416,6.403687,4.791342,0.381531,-0.494301,0.000000,1.463149
0.050000,5.744343,6.422045,4.809801,0.356816,-0.494301,-0.000000,1.469453
0.050000,5.746026,6.439186,4.827024,0.332101,-0.494301,0.000000,1.476628
0.050000,5.747469,6.455108,4.843011,0.307386,-0.494301,0.000000,1.484407
0.050000,5.748683,6.469809,4.857762,0.282671,-0.494301,0.000000,1.492540
0.050000,5.749685,6.483287,4.871278,0.257956,-0.494301,-0.000000,1.500796
0.050000,5.750494,6.495541,4.883558,0.233241,-0.494301,0.000000,1.508962
0.050000,5.751134,6.506566,4.894602,0.208526,-0.494301,0.000000,1.516846
0.050000,5.751627,6.516362,4.904411,0.183811,-0.494301,-0.000000,1.524275
0.050000,5.751996,6.524927,4.912983,0.159096,-0.494301,0.000000,1.531095
0.050000,5.752265,6.532259,4.920320,0.134381,-0.494301,-0.000000,1.537173
0.050000,5.752455,6.538357,4.926421,0.109666,-0.494301,0.000000,1.542397
0.050000,5.752582,6.543221,4.931287,0.084950,-0.494301,-0.000000,1.546671
0.050000,5.752664,6.546849,4.934916,0.060235,-0.494301,-0.000000,1.549922
0.050000,5.752712,6.549243,4.937310,0.035520,-0.494301,0.000000,1.552096
0.050000,5.752733,6.550401,4.938468,0.010805,-0.494301,0.000000,1.553156
0.050000,5.752737,6.550671,4.938738,0.000000,-0.216106,5.563898,1.553404
0.050000,5.752737,6.550671,4.938738,0.000000,0.000000,4.322122,1.553404
0.050000,5.752737,6.550671,4.938738,0.000000,0.000000,0.000000,1.553404
