dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.015592,4.876328,0.000619,0.024742,0.494832,9.896644,0.000033
0.050000,2.017034,4.876328,0.002060,0.028833,0.081818,-8.260287,6.283045
0.050000,2.020024,4.876328,0.005051,0.059808,0.619505,10.753748,6.282757
0.050000,2.024212,4.876325,0.009238,0.083753,0.478902,-2.812063,6.282357
0.050000,2.029598,4.876319,0.014624,0.107720,0.479342,0.008800,6.281849
0.050000,2.036183,4.876308,0.021210,0.131715,0.479908,0.011318,6.281235
0.050000,2.043971,4.876290,0.028997,0.155745,0.480600,0.013836,6.280522
0.050000,2.052961,4.876263,0.037988,0.179816,0.481418,0.016355,6.279714
0.050000,2.063158,4.876223,0.048185,0.203934,0.482361,0.018878,6.278818
0.050000,2.074563,4.876167,0.059590,0.228106,0.483431,0.021400,6.277842
0.050000,2.087180,4.876093,0.072207,0.252337,0.484628,0.023925,6.276795
0.050000,2.101011,4.875997,0.086039,0.276635,0.485950,0.026451,6.275685
0.050000,2.116061,4.875875,0.101089,0.301005,0.487399,0.028976,6.274523
0.050000,2.132333,4.875725,0.117362,0.325453,0.488974,0.031503,6.273319
0.050000,2.149831,4.875541,0.134861,0.349987,0.490676,0.034029,6.272087
0.050000,2.168561,4.875321,0.153592,0.374612,0.492503,0.036553,6.270838
0.050000,2.188526,4.875062,0.173558,0.399335,0.494457,0.039077,6.269586
0.050000,2.209732,4.874761,0.194766,0.424162,0.496537,0.041599,6.268347
0.050000,2.232184,4.874414,0.217221,0.449099,0.498743,0.044119,6.267135
0.050000,2.255888,4.874019,0.240929,0.474153,0.501075,0.046637,6.265966
0.050000,2.280851,4.873575,0.265895,0.499330,0.503532,0.049153,6.264859
0.050000,2.307078,4.873081,0.292127,0.524635,0.506116,0.051666,6.263832
0.050000,2.334577,4.872535,0.319631,0.550077,0.508825,0.054180,6.262902
0.050000,2.363353,4.871939,0.348414,0.575660,0.511659,0.056693,6.262091
0.050000,2.393416,4.871295,0.378484,0.601391,0.514620,0.059206,6.261419
0.050000,2.424772,4.870603,0.409847,0.627276,0.517706,0.061722,6.260908
0.050000,2.457430,4.869870,0.442513,0.653322,0.520918,0.064240,6.260580
0.050000,2.491398,4.869099,0.476490,0.679535,0.524256,0.066762,6.260460
0.050000,2.526685,4.868298,0.511786,0.705921,0.527720,0.069288,6.260570
0.050000,2.563300,4.867476,0.548411,0.732486,0.531311,0.071819,6.260937
0.050000,2.601253,4.866643,0.586372,0.759238,0.535029,0.074352,6.261586
0.050000,2.640553,4.865812,0.625681,0.786181,0.538873,0.076887,6.262545
0.050000,2.681211,4.864998,0.666348,0.813323,0.542844,0.079417,6.263842
0.050000,2.723237,4.864219,0.708381,0.840670,0.546941,0.081935,6.265505
0.050000,2.766643,4.863495,0.751793,0.868229,0.551162,0.084431,6.267564
