dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.208407,4.435768,0.002481,0.049612,0.496118,4.961178,0.000329
0.100000,0.215454,4.435775,0.009528,0.070470,0.208584,-2.875337,0.001681
0.100000,0.227218,4.435808,0.021292,0.117642,0.471713,2.631292,0.003868
0.100000,0.243728,4.435896,0.037802,0.165100,0.474584,0.028712,0.006792
0.100000,0.265023,4.436078,0.059098,0.212961,0.478609,0.040247,0.010315
0.100000,0.291155,4.436400,0.085232,0.261340,0.483790,0.051811,0.014261
0.100000,0.322186,4.436909,0.116267,0.310353,0.490129,0.063385,0.018411
0.100000,0.358190,4.437648,0.152279,0.360115,0.497623,0.074946,0.022510
0.100000,0.399252,4.438653,0.193353,0.410742,0.506271,0.086473,0.026261
0.100000,0.445469,4.439942,0.239588,0.462349,0.516067,0.097960,0.029330
0.100000,0.496950,4.441511,0.291093,0.515050,0.527009,0.109423,0.031341
0.100000,0.553817,4.443317,0.347989,0.568960,0.539099,0.120901,0.031880
0.100000,0.616206,4.445274,0.410408,0.624194,0.552343,0.132439,0.030495
0.100000,0.684265,4.447234,0.478495,0.680869,0.566747,0.144042,0.026691
0.100000,0.758154,4.448974,0.552405,0.739099,0.582306,0.155590,0.019936
0.100000,0.838045,4.450176,0.632305,0.798997,0.598975,0.166682,0.009660
0.100000,0.921504,4.450497,0.715764,0.834595,0.355982,-2.429921,0.001964
0.100000,1.006338,4.450955,0.800600,0.848355,0.137600,-2.183820,0.008760
0.100000,1.096145,4.452048,0.890413,0.898131,0.497761,3.601610,0.015499
0.100000,1.190940,4.453834,0.985226,0.948128,0.499966,0.022041,0.022106
0.100000,1.290744,4.456365,1.085061,0.998356,0.502285,0.023195,0.028502
0.100000,1.395574,4.459680,1.189944,1.048828,0.504717,0.024319,0.034604
0.100000,1.505452,4.463804,1.299899,1.099554,0.507259,0.025418,0.040325
0.100000,1.626376,4.467915,1.420892,1.209930,1.103764,5.965051,0.022817
0.100000,1.753643,4.469495,1.548169,1.272769,0.628381,-4.753823,0.003200
0.100000,1.883817,4.469010,1.678345,1.301753,0.289847,-3.385344,6.273834
0.100000,2.016603,4.467373,1.811140,1.327957,0.262038,-0.278093,6.269300
0.100000,2.151722,4.465691,1.946270,1.351294,0.233369,-0.286689,6.273760
0.100000,2.288713,4.465255,2.083262,1.369920,0.186260,-0.471092,0.003827
0.100000,2.433341,4.466399,2.227895,1.446330,0.764098,5.778384,0.009721
0.100000,2.586990,4.467458,2.381547,1.536523,0.901938,1.378402,0.001721
0.100000,2.747007,4.466103,2.541570,1.600231,0.637074,-2.648640,6.262175
0.100000,2.904673,4.460499,2.699336,1.577656,-0.225750,-8.628246,6.234080
0.100000,3.056770,4.451197,2.851716,1.523804,-0.538523,-3.127728,6.210635
0.100000,3.202550,4.439133,2.997995,1.462790,-0.610140,-0.716167,6.191097
0.100000,3.342109,4.425090,3.138258,1.402631,-0.601590,0.085494,6.175173
0.100000,3.475564,4.409738,3.272594,1.343360,-0.592704,0.088864,6.162558
0.100000,3.603049,4.393636,3.401092,1.284978,-0.583823,0.088811,6.152947
0.100000,3.724697,4.377252,3.523838,1.227462,-0.575156,0.086664,6.146042
0.100000,3.845598,4.359200,3.646079,1.222413,-0.050489,5.246677,6.121210
0.100000,3.960334,4.339216,3.762542,1.164630,-0.577837,-5.273486,6.101842
0.100000,4.066996,4.319067,3.871090,1.085480,-0.791492,-2.136546,6.092591
0.100000,4.166155,4.299845,3.972095,1.010049,-0.754310,0.371819,6.092180
0.100000,4.258316,4.282309,4.065910,0.938150,-0.718990,0.353202,6.099398
0.100000,4.343909,4.266953,4.152870,0.869595,-0.685551,0.334387,6.113100
0.100000,4.423292,4.254055,4.233294,0.804243,-0.653523,0.320276,6.132189
0.100000,4.496769,4.243718,4.307494,0.741999,-0.622440,0.310834,6.155601
0.100000,4.569395,4.234769,4.380669,0.731752,-0.102474,5.199655,6.162913
0.100000,4.638489,4.226594,4.450246,0.695763,-0.359881,-2.574067,6.168190
0.100000,4.702403,4.219408,4.514563,0.643171,-0.525929,-1.660480,6.174488
0.100000,4.761221,4.213192,4.573708,0.591452,-0.517189,0.087402,6.181507
0.100000,4.815016,4.207902,4.627762,0.540545,-0.509070,0.081186,6.188969
0.100000,4.863854,4.203472,4.676801,0.490387,-0.501580,0.074902,6.196619
0.100000,4.907794,4.199824,4.720892,0.440914,-0.494730,0.068502,6.204220
0.100000,4.946889,4.196873,4.760098,0.392060,-0.488533,0.061970,6.211563
0.100000,4.981185,4.194530,4.794474,0.343760,-0.483001,0.055321,6.218456
0.100000,5.010724,4.192708,4.824069,0.295946,-0.478142,0.048591,6.224734
0.100000,5.035540,4.191324,4.848924,0.248550,-0.473959,0.041826,6.230253
0.100000,5.055665,4.190304,4.869075,0.201505,-0.470452,0.035070,6.234894
0.100000,5.071122,4.189585,4.884549,0.154743,-0.467616,0.028359,6.238559
0.100000,5.081932,4.189117,4.895369,0.108199,-0.465445,0.021713,6.241174
0.100000,5.088107,4.188862,4.901549,0.061806,-0.463931,0.015142,6.242687
0.100000,5.090038,4.188784,4.903481,0.019320,-0.424859,0.390722,6.243163
0.100000,5.090038,4.188784,4.903481,0.000000,-0.193197,2.316611,6.243163
0.100000,5.090038,4.188784,4.903481,0.000000,0.000000,1.931975,6.243163
