dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.208503,4.143668,0.002481,0.049612,0.496118,4.961178,0.000329
0.100000,0.215945,4.143675,0.009922,0.099224,0.496118,0.000000,0.001681
0.100000,0.228348,4.143710,0.022325,0.148835,0.496118,0.000000,0.003868
0.100000,0.245712,4.143803,0.039689,0.198447,0.496118,0.000000,0.006792
0.100000,0.268036,4.143994,0.062015,0.248059,0.496118,0.000000,0.010315
0.100000,0.295320,4.144330,0.089301,0.297671,0.496118,0.000000,0.014261
0.100000,0.327564,4.144858,0.121549,0.347282,0.496118,0.000000,0.018411
0.100000,0.364765,4.145622,0.158758,0.396894,0.496118,-0.000000,0.022510
0.100000,0.406922,4.146654,0.200928,0.446506,0.496118,0.000000,0.026261
0.100000,0.454035,4.147968,0.248059,0.496118,0.496118,0.000000,0.029330
0.100000,0.506103,4.149554,0.300151,0.545730,0.496118,0.000000,0.031341
0.100000,0.563128,4.151366,0.357205,0.595341,0.496118,-0.000000,0.031880
0.100000,0.625112,4.153310,0.419220,0.644953,0.496118,0.000000,0.030495
0.100000,0.692060,4.155238,0.486195,0.694565,0.496118,0.000000,0.026691
0.100000,0.763977,4.156932,0.558133,0.744177,0.496118,-0.000000,0.019936
0.100000,0.840866,4.158090,0.635031,0.793788,0.496118,0.000000,0.009660
0.100000,0.922078,4.158397,0.716890,0.843400,0.496118,0.000000,0.001964
0.100000,1.008897,4.158866,0.803711,0.893012,0.496118,0.000000,0.008760
0.100000,1.100672,4.159983,0.895493,0.942624,0.496118,0.000000,0.015499
0.100000,1.197397,4.161806,0.992236,0.992236,0.496118,-0.000000,0.022106
0.100000,1.299068,4.164384,1.093940,1.041847,0.496118,0.000000,0.028502
0.100000,1.405680,4.167754,1.200605,1.091459,0.496118,-0.000000,0.034604
0.100000,1.517228,4.171942,1.312232,1.141071,0.496118,0.000000,0.040325
0.100000,1.633040,4.175891,1.428819,1.190683,0.496118,0.000000,0.022817
0.100000,1.754577,4.177397,1.550368,1.240295,0.496118,0.000000,0.003200
0.100000,1.881086,4.176923,1.676878,1.289906,0.496118,0.000000,6.273834
0.100000,2.012547,4.175301,1.808349,1.339518,0.496118,0.000000,6.269300
0.100000,2.148969,4.173604,1.944782,1.389130,0.496118,0.000000,6.273760
0.100000,2.289831,4.173158,2.086175,1.438742,0.496118,-0.000000,0.003827
0.100000,2.436181,4.174312,2.232530,1.488353,0.496118,0.000000,0.009721
0.100000,2.587493,4.175359,2.383846,1.537965,0.496118,0.000000,0.001721
0.100000,2.740871,4.174067,2.537233,1.529773,-0.081922,-5.780402,6.262175
0.100000,2.890336,4.168751,2.687730,1.480161,-0.496118,-4.141954,6.234080
0.100000,3.035596,4.159865,2.833265,1.430549,-0.496118,0.000000,6.210635
0.100000,3.175689,4.148270,2.973840,1.380938,-0.496118,0.000000,6.191097
0.100000,3.310620,4.134693,3.109453,1.331326,-0.496118,0.000000,6.175173
0.100000,3.440415,4.119760,3.240105,1.281714,-0.496118,0.000000,6.162558
0.100000,3.565114,4.104010,3.365796,1.232102,-0.496118,0.000000,6.152947
0.100000,3.684763,4.087895,3.486525,1.182490,-0.496118,-0.000000,6.146042
0.100000,3.798492,4.070924,3.602294,1.132879,-0.496118,0.000000,6.121210
0.100000,3.907653,4.051906,3.713101,1.083267,-0.496118,0.000000,6.101842
0.100000,4.011659,4.032257,3.818947,1.033655,-0.496118,0.000000,6.092591
0.100000,4.110700,4.013057,3.919832,0.984043,-0.496118,0.000000,6.092180
0.100000,4.204934,3.995128,4.015756,0.934432,-0.496118,0.000000,6.099398
0.100000,4.294466,3.979068,4.106718,0.884820,-0.496118,-0.000000,6.113100
0.100000,4.379354,3.965278,4.192720,0.835208,-0.496118,0.000000,6.132189
0.100000,4.459602,3.953992,4.273760,0.785596,-0.496118,0.000000,6.155601
0.100000,4.534348,3.944779,4.349839,0.735984,-0.496118,0.000000,6.162913
0.100000,4.604973,3.936423,4.420957,0.686373,-0.496118,-0.000000,6.168190
0.100000,4.670715,3.929032,4.487113,0.636761,-0.496118,0.000000,6.174488
0.100000,4.731572,3.922601,4.548309,0.587149,-0.496118,0.000000,6.181507
0.100000,4.787536,3.917097,4.604543,0.537537,-0.496118,0.000000,6.188969
0.100000,4.838599,3.912465,4.655816,0.487926,-0.496118,-0.000000,6.196619
0.100000,4.884753,3.908634,4.702128,0.438314,-0.496118,0.000000,6.204220
0.100000,4.925986,3.905522,4.743479,0.388702,-0.496118,0.000000,6.211563
0.100000,4.962291,3.903042,4.779869,0.339090,-0.496118,-0.000000,6.218456
0.100000,4.993660,3.901106,4.811297,0.289478,-0.496118,0.000000,6.224734
0.100000,5.020086,3.899633,4.837764,0.239867,-0.496118,-0.000000,6.230253
0.100000,5.041564,3.898544,4.859271,0.190255,-0.496118,0.000000,6.234894
0.100000,5.058091,3.897776,4.875815,0.140643,-0.496118,0.000000,6.238559
0.100000,5.069664,3.897274,4.887399,0.091031,-0.496118,-0.000000,6.241174
0.100000,5.076281,3.897001,4.894022,0.041420,-0.496118,0.000000,6.242687
0.100000,5.078350,3.896918,4.896093,0.000000,-0.414195,0.819224,6.243163
0.100000,5.078350,3.896918,4.896093,0.000000,0.000000,4.141954,6.243163
0.100000,5.078350,3.896918,4.896093,0.000000,0.000000,0.000000,6.243163
