dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.208599,3.851568,0.002481,0.049612,0.496118,4.961178,0.000329
0.100000,0.216436,3.851576,0.010317,0.078365,0.287534,-2.085843,0.001681
0.100000,0.229477,3.851612,0.023359,0.130417,0.520522,2.329884,0.003868
0.100000,0.247695,3.851709,0.041577,0.182182,0.517650,-0.028715,0.006792
0.100000,0.271049,3.851909,0.064932,0.233545,0.513625,-0.040251,0.010315
0.100000,0.299486,3.852260,0.093370,0.284389,0.508444,-0.051813,0.014261
0.100000,0.332941,3.852808,0.126830,0.334600,0.502106,-0.063384,0.018411
0.100000,0.371339,3.853596,0.165237,0.384061,0.494612,-0.074941,0.022510
0.100000,0.414592,3.854654,0.208502,0.432658,0.485965,-0.086465,0.026261
0.100000,0.462601,3.855994,0.256530,0.480275,0.476170,-0.097950,0.029330
0.100000,0.515256,3.857598,0.309210,0.526797,0.465228,-0.109416,0.031341
0.100000,0.572439,3.859414,0.366421,0.572111,0.453138,-0.120904,0.031880
0.100000,0.634018,3.861346,0.428031,0.616100,0.439892,-0.132463,0.030495
0.100000,0.699856,3.863242,0.493896,0.658648,0.425481,-0.144105,0.026691
0.100000,0.769800,3.864890,0.563859,0.699639,0.409910,-0.155712,0.019936
0.100000,0.843688,3.866004,0.637756,0.738962,0.393221,-0.166893,0.009660
0.100000,0.922651,3.866298,0.716719,0.789638,0.506767,1.135465,0.001964
0.100000,1.011455,3.866777,0.805525,0.888054,0.984156,4.773884,0.008760
0.100000,1.105199,3.867918,0.899275,0.937501,0.494473,-4.896827,0.015499
0.100000,1.203854,3.869777,0.997948,0.986728,0.492270,-0.022033,0.022106
0.100000,1.307393,3.872402,1.101520,1.035723,0.489951,-0.023185,0.028502
0.100000,1.415786,3.875829,1.209968,1.084475,0.487520,-0.024308,0.034604
0.100000,1.529004,3.880079,1.323265,1.132973,0.484980,-0.025407,0.040325
0.100000,1.639704,3.883867,1.434030,1.107650,-0.253235,-7.382143,0.022817
0.100000,1.755512,3.885298,1.549847,1.158170,0.505200,7.584352,0.003200
0.100000,1.878354,3.884836,1.672690,1.228431,0.702612,1.974117,6.273834
0.100000,2.008491,3.883229,1.802836,1.301465,0.730341,0.277290,6.269300
0.100000,2.146215,3.881517,1.940572,1.377352,0.758866,0.285252,6.273760
0.100000,2.290949,3.881060,2.085306,1.447341,0.699891,-0.589753,0.003827
0.100000,2.439020,3.882226,2.233382,1.480761,0.334201,-3.656904,0.009721
0.100000,2.587995,3.883259,2.382360,1.489787,0.090258,-2.439423,0.001721
0.100000,2.734734,3.882032,2.529104,1.467441,-0.223459,-3.137174,6.262175
0.100000,2.875998,3.877003,2.670457,1.413527,-0.539141,-3.156825,6.234080
0.100000,3.014423,3.868533,2.809141,1.386840,-0.266863,2.722787,6.210635
0.100000,3.148828,3.857408,2.944006,1.348653,-0.381876,-1.150135,6.191097
0.100000,3.279131,3.844295,3.074967,1.309604,-0.390484,-0.086082,6.175173
0.100000,3.405265,3.829783,3.201933,1.269662,-0.399418,-0.089338,6.162558
0.100000,3.527179,3.814384,3.324816,1.228829,-0.408336,-0.089179,6.152947
0.100000,3.644829,3.798538,3.443529,1.187126,-0.417030,-0.086942,6.146042
0.100000,3.751386,3.782647,3.551264,1.077351,-1.097745,-6.807142,6.121210
0.100000,3.854973,3.764596,3.656412,1.051481,-0.258701,8.390439,6.101842
0.100000,3.956323,3.745446,3.759555,1.031434,-0.200472,0.582282,6.092591
0.100000,4.055246,3.726269,3.860320,1.007649,-0.237850,-0.373776,6.092180
0.100000,4.151551,3.707947,3.958352,0.980320,-0.273287,-0.354372,6.099398
0.100000,4.245024,3.691182,4.053316,0.949642,-0.306785,-0.334979,6.113100
0.100000,4.335415,3.676502,4.144892,0.915759,-0.338831,-0.320459,6.132189
0.100000,4.422436,3.664266,4.232769,0.878768,-0.369905,-0.310738,6.155601
0.100000,4.499301,3.654789,4.310216,0.774471,-1.042976,-6.730714,6.162913
0.100000,4.571457,3.646252,4.382875,0.726592,-0.478785,5.641908,6.168190
0.100000,4.639027,3.638656,4.450871,0.679961,-0.466312,0.124736,6.174488
0.100000,4.701923,3.632009,4.514117,0.632456,-0.475050,-0.087382,6.181507
0.100000,4.760056,3.626293,4.572531,0.584139,-0.483166,-0.081162,6.188969
0.100000,4.813345,3.621459,4.626038,0.535074,-0.490654,-0.074882,6.196619
0.100000,4.861711,3.617444,4.674571,0.485324,-0.497503,-0.068486,6.204220
0.100000,4.905083,3.614171,4.718066,0.434954,-0.503699,-0.061960,6.211563
0.100000,4.943397,3.611553,4.756469,0.384031,-0.509230,-0.055316,6.218456
0.100000,4.976596,3.609505,4.789731,0.332622,-0.514090,-0.048592,6.224734
0.100000,5.004632,3.607942,4.817811,0.280794,-0.518273,-0.041831,6.230253
0.100000,5.027464,3.606785,4.840672,0.228616,-0.521780,-0.035077,6.234894
0.100000,5.045060,3.605967,4.858288,0.176155,-0.524617,-0.028367,6.238559
0.100000,5.057396,3.605432,4.870635,0.123476,-0.526790,-0.021724,6.241174
0.100000,5.064455,3.605141,4.877700,0.070645,-0.528304,-0.015148,6.242687
0.100000,5.066663,3.605052,4.879910,0.022100,-0.485454,0.428499,6.243163
0.100000,5.066663,3.605052,4.879910,0.000000,-0.220998,2.644565,6.243163
0.100000,5.066663,3.605052,4.879910,0.000000,0.000000,2.209979,6.243163
