dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397928,4.513974,0.000619,0.024750,0.495003,9.900057,6.283160
0.050000,1.399478,4.513974,0.002170,0.031017,0.125330,-7.393467,0.000174
0.050000,1.402455,4.513975,0.005146,0.059523,0.570119,8.895799,0.000505
0.050000,1.406623,4.513978,0.009314,0.083359,0.476720,-1.867981,0.000964
0.050000,1.411984,4.513985,0.014675,0.107222,0.477260,0.010798,0.001549
0.050000,1.418540,4.513997,0.021231,0.131119,0.477955,0.013887,0.002253
0.050000,1.426292,4.514018,0.028984,0.155060,0.478804,0.016977,0.003070
0.050000,1.435245,4.514049,0.037936,0.179050,0.479807,0.020069,0.003995
0.050000,1.445400,4.514095,0.048091,0.203098,0.480965,0.023167,0.005018
0.050000,1.456760,4.514159,0.059452,0.227212,0.482279,0.026265,0.006131
0.050000,1.469330,4.514243,0.072022,0.251399,0.483747,0.029364,0.007323
0.050000,1.483113,4.514353,0.085805,0.275668,0.485370,0.032467,0.008583
0.050000,1.498113,4.514491,0.100806,0.300025,0.487148,0.035568,0.009898
0.050000,1.514336,4.514663,0.117030,0.324479,0.489082,0.038671,0.011254
0.050000,1.531787,4.514872,0.134482,0.349038,0.491171,0.041773,0.012638
0.050000,1.550471,4.515121,0.153168,0.373709,0.493414,0.044873,0.014032
0.050000,1.570394,4.515415,0.173093,0.398499,0.495813,0.047971,0.015421
0.050000,1.591562,4.515756,0.194263,0.423418,0.498366,0.051066,0.016786
0.050000,1.613982,4.516147,0.216687,0.448471,0.501074,0.054159,0.018109
0.050000,1.637661,4.516591,0.240370,0.473668,0.503936,0.057248,0.019369
0.050000,1.662607,4.517089,0.265321,0.499016,0.506953,0.060335,0.020545
0.050000,1.688827,4.517643,0.291547,0.524522,0.510124,0.063419,0.021614
0.050000,1.716330,4.518251,0.319057,0.550194,0.513449,0.066503,0.022554
0.050000,1.745125,4.518912,0.347859,0.576041,0.516929,0.069588,0.023339
0.050000,1.775220,4.519624,0.377963,0.602069,0.520562,0.072674,0.023945
0.050000,1.806625,4.520383,0.409377,0.628287,0.524351,0.075763,0.024345
0.050000,1.839350,4.521183,0.442112,0.654701,0.528293,0.078858,0.024511
0.050000,1.873406,4.522017,0.476178,0.681321,0.532391,0.081958,0.024413
0.050000,1.908803,4.522876,0.511586,0.708153,0.536645,0.085064,0.024023
0.050000,1.945553,4.523747,0.548346,0.735206,0.541053,0.088175,0.023309
0.050000,1.983668,4.524616,0.586470,0.762487,0.545618,0.091285,0.022240
0.050000,2.023159,4.525467,0.625970,0.790003,0.550337,0.094389,0.020781
0.050000,2.064039,4.526279,0.666859,0.817764,0.555211,0.097474,0.018899
0.050000,2.106321,4.527030,0.709147,0.845776,0.560237,0.100524,0.016559
0.050000,2.150018,4.527693,0.752850,0.874046,0.565413,0.103515,0.013723
0.050000,2.195144,4.528238,0.797979,0.902583,0.570733,0.106415,0.010355
0.050000,2.241712,4.528631,0.844549,0.931393,0.576192,0.109178,0.006416
0.050000,2.289527,4.528808,0.892363,0.956299,0.498119,-1.561463,0.000966
0.050000,2.338785,4.528738,0.941622,0.985165,0.577336,1.584337,6.279612
0.050000,2.388780,4.528475,0.991617,0.999908,0.294855,-5.649620,6.276480
0.050000,2.439469,4.528087,1.042308,1.013817,0.278184,-0.333427,6.274872
0.050000,2.490811,4.527654,1.093652,1.026872,0.261096,-0.341755,6.274908
0.050000,2.542762,4.527263,1.145604,1.039050,0.243561,-0.350692,6.276712
0.050000,2.595278,4.527012,1.198121,1.050329,0.225575,-0.359718,6.280410
0.050000,2.648312,4.527007,1.251155,1.060688,0.207177,-0.367966,0.002946
0.050000,2.701816,4.527366,1.304661,1.070111,0.188470,-0.374134,0.010823
0.050000,2.755740,4.528214,1.358590,1.078594,0.169651,-0.376391,0.020986
0.050000,2.808970,4.529666,1.411841,1.065007,-0.271743,-8.827869,0.033923
0.050000,2.864388,4.531909,1.467304,1.109264,0.885139,23.137629,0.046733
0.050000,2.921439,4.534917,1.524434,1.142606,0.666838,-4.366011,0.058336
0.050000,2.980153,4.538657,1.583267,1.176657,0.681036,0.283950,0.068631
0.050000,3.040561,4.543088,1.643837,1.211410,0.695059,0.280460,0.077520
0.050000,3.102698,4.548155,1.706180,1.246859,0.708981,0.278443,0.084905
0.050000,3.166600,4.553789,1.770331,1.283004,0.722891,0.278199,0.090688
0.050000,3.232308,4.559910,1.836323,1.319848,0.736886,0.279907,0.094770
0.050000,3.299013,4.566338,1.903337,1.340283,0.408698,-6.563761,0.097036
