dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397919,4.158374,0.000619,0.024750,0.495003,9.900057,6.283160
0.050000,1.399540,4.158374,0.002475,0.049500,0.495003,0.000000,0.000174
0.050000,1.402634,4.158375,0.005569,0.074250,0.495003,0.000000,0.000505
0.050000,1.406965,4.158378,0.009900,0.099001,0.495003,0.000000,0.000964
0.050000,1.412534,4.158385,0.015469,0.123751,0.495003,0.000000,0.001549
0.050000,1.419341,4.158398,0.022275,0.148501,0.495003,0.000000,0.002253
0.050000,1.427384,4.158419,0.030319,0.173251,0.495003,0.000000,0.003070
0.050000,1.436666,4.158452,0.039600,0.198001,0.495003,0.000000,0.003995
0.050000,1.447184,4.158500,0.050119,0.222751,0.495003,0.000000,0.005018
0.050000,1.458940,4.158565,0.061875,0.247501,0.495003,-0.000000,0.006131
0.050000,1.471934,4.158653,0.074869,0.272252,0.495003,0.000000,0.007323
0.050000,1.486165,4.158766,0.089101,0.297002,0.495003,0.000000,0.008583
0.050000,1.501633,4.158909,0.104569,0.321752,0.495003,0.000000,0.009898
0.050000,1.518338,4.159086,0.121276,0.346502,0.495003,-0.000000,0.011254
0.050000,1.536281,4.159300,0.139220,0.371252,0.495003,0.000000,0.012638
0.050000,1.555461,4.159556,0.158401,0.396002,0.495003,0.000000,0.014032
0.050000,1.575877,4.159857,0.178820,0.420752,0.495003,-0.000000,0.015421
0.050000,1.597531,4.160206,0.200476,0.445503,0.495003,0.000000,0.016786
0.050000,1.620421,4.160606,0.223370,0.470253,0.495003,-0.000000,0.018109
0.050000,1.644548,4.161058,0.247501,0.495003,0.495003,0.000000,0.019369
0.050000,1.669912,4.161565,0.272870,0.519753,0.495003,0.000000,0.020545
0.050000,1.696513,4.162126,0.299477,0.544503,0.495003,0.000000,0.021614
0.050000,1.724350,4.162741,0.327321,0.569253,0.495003,0.000000,0.022554
0.050000,1.753424,4.163409,0.356402,0.594003,0.495003,-0.000000,0.023339
0.050000,1.783734,4.164126,0.386721,0.618754,0.495003,0.000000,0.023945
0.050000,1.815281,4.164888,0.418277,0.643504,0.495003,-0.000000,0.024345
0.050000,1.848065,4.165690,0.451071,0.668254,0.495003,0.000000,0.024511
0.050000,1.882087,4.166523,0.485103,0.693004,0.495003,0.000000,0.024413
0.050000,1.917345,4.167378,0.520372,0.717754,0.495003,0.000000,0.024023
0.050000,1.953841,4.168243,0.556878,0.742504,0.495003,-0.000000,0.023309
0.050000,1.991576,4.169104,0.594622,0.767254,0.495003,0.000000,0.022240
0.050000,2.030548,4.169943,0.633604,0.792005,0.495003,-0.000000,0.020781
0.050000,2.070759,4.170743,0.673823,0.816755,0.495003,0.000000,0.018899
0.050000,2.112209,4.171479,0.715279,0.841505,0.495003,0.000000,0.016559
0.050000,2.154898,4.172127,0.757973,0.866255,0.495003,0.000000,0.013723
0.050000,2.198826,4.172657,0.801905,0.891005,0.495003,0.000000,0.010355
0.050000,2.243994,4.173038,0.847074,0.915755,0.495003,-0.000000,0.006416
0.050000,2.289870,4.173208,0.893480,0.940505,0.495003,0.000000,0.000966
0.050000,2.337514,4.173140,0.941124,0.965256,0.495003,-0.000000,6.279612
0.050000,2.386395,4.172883,0.990006,0.990006,0.495003,0.000000,6.276480
0.050000,2.436513,4.172500,1.040125,1.014756,0.495003,-0.000000,6.274872
0.050000,2.487867,4.172066,1.091481,1.039506,0.495003,0.000000,6.274908
0.050000,2.540460,4.171670,1.144075,1.064256,0.495003,0.000000,6.276712
0.050000,2.594291,4.171413,1.197907,1.089006,0.495003,-0.000000,6.280410
0.050000,2.649360,4.171409,1.252976,1.113756,0.495003,0.000000,0.002946
0.050000,2.705665,4.171787,1.309283,1.138507,0.495003,-0.000000,0.010823
0.050000,2.763202,4.172692,1.366827,1.163257,0.495003,0.000000,0.020986
0.050000,2.821031,4.174270,1.425608,1.188007,0.495003,0.000000,0.033923
0.050000,2.881000,4.176697,1.485627,1.212757,0.495003,0.000000,0.046733
0.050000,2.942172,4.179922,1.546884,1.237507,0.495003,0.000000,0.058336
0.050000,3.004539,4.183894,1.609378,1.262257,0.495003,-0.000000,0.068631
0.050000,3.068100,4.188556,1.673110,1.287007,0.495003,0.000000,0.077520
0.050000,3.132854,4.193836,1.738079,1.311758,0.495003,-0.000000,0.084905
0.050000,3.198804,4.199651,1.804285,1.336508,0.495003,0.000000,0.090688
0.050000,3.265958,4.205906,1.871730,1.361258,0.495003,-0.000000,0.094770
0.050000,3.333465,4.212410,1.939549,1.351531,-0.194543,-13.790916,0.097036
0.050000,3.400105,4.218922,2.006507,1.326781,-0.495003,-6.009198,0.097463
0.050000,3.465517,4.225283,2.072227,1.302030,-0.495003,0.000000,0.096134
0.050000,3.529710,4.231385,2.136710,1.277280,-0.495003,0.000000,0.093147
0.050000,3.592694,4.237133,2.199955,1.252530,-0.495003,0.000000,0.088597
0.050000,3.654474,4.242442,2.261963,1.227780,-0.495003,0.000000,0.082577
0.050000,3.714260,4.247179,2.322733,1.203030,-0.495003,0.000000,0.075745
0.050000,3.773631,4.251569,2.382266,1.178280,-0.495003,-0.000000,0.072017
0.050000,3.831781,4.255679,2.440561,1.153530,-0.495003,0.000000,0.069221
0.050000,3.888706,4.259567,2.497619,1.128779,-0.495003,-0.000000,0.067303
0.050000,3.944402,4.263287,2.553439,1.104029,-0.495003,0.000000,0.066210
0.050000,3.998866,4.266886,2.608022,1.079279,-0.495003,0.000000,0.065890
0.050000,4.052095,4.270406,2.661367,1.054529,-0.495003,0.000000,0.066293
