dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397910,3.802774,0.000619,0.024750,0.495003,9.900057,6.283160
0.050000,1.399602,3.802774,0.002312,0.033855,0.182104,-6.257971,0.000174
0.050000,1.402814,3.802775,0.005523,0.064228,0.607455,8.507021,0.000505
0.050000,1.407308,3.802778,0.010018,0.089892,0.513285,-1.883403,0.000964
0.050000,1.413085,3.802785,0.015794,0.115530,0.512745,-0.010797,0.001549
0.050000,1.420142,3.802799,0.022851,0.141132,0.512051,-0.013885,0.002253
0.050000,1.428476,3.802821,0.031185,0.166692,0.511202,-0.016977,0.003070
0.050000,1.438086,3.802855,0.040795,0.192202,0.510199,-0.020072,0.003995
0.050000,1.448969,3.802904,0.051678,0.217654,0.509040,-0.023166,0.005018
0.050000,1.461121,3.802972,0.063830,0.243041,0.507727,-0.026264,0.006131
0.050000,1.474538,3.803062,0.077248,0.268354,0.506259,-0.029365,0.007323
0.050000,1.489217,3.803179,0.091927,0.293585,0.504636,-0.032465,0.008583
0.050000,1.505153,3.803326,0.107863,0.318728,0.502857,-0.035569,0.009898
0.050000,1.522340,3.803508,0.125052,0.343774,0.500924,-0.038671,0.011254
0.050000,1.540775,3.803729,0.143488,0.368716,0.498835,-0.041772,0.012638
0.050000,1.560450,3.803991,0.163165,0.393546,0.496591,-0.044873,0.014032
0.050000,1.581361,3.804299,0.184078,0.418255,0.494193,-0.047970,0.015421
0.050000,1.603500,3.804656,0.206220,0.442837,0.491640,-0.051065,0.016786
0.050000,1.626860,3.805064,0.229584,0.467284,0.488932,-0.054157,0.018109
0.050000,1.651435,3.805525,0.254163,0.491587,0.486069,-0.057247,0.019369
0.050000,1.677217,3.806040,0.279950,0.515740,0.483053,-0.060334,0.020545
0.050000,1.704198,3.806609,0.306937,0.539734,0.479882,-0.063418,0.021614
0.050000,1.732369,3.807231,0.335115,0.563562,0.476557,-0.066503,0.022554
0.050000,1.761722,3.807906,0.364476,0.587216,0.473077,-0.069587,0.023339
0.050000,1.792248,3.808628,0.395010,0.610688,0.469444,-0.072674,0.023945
0.050000,1.823937,3.809394,0.426709,0.633971,0.465655,-0.075764,0.024345
0.050000,1.856780,3.810197,0.459562,0.657056,0.461712,-0.078859,0.024511
0.050000,1.890767,3.811029,0.493559,0.679937,0.457614,-0.081961,0.024413
0.050000,1.925887,3.811881,0.528689,0.702605,0.453361,-0.085068,0.024023
0.050000,1.962129,3.812740,0.564942,0.725053,0.448952,-0.088180,0.023309
0.050000,1.999483,3.813592,0.602305,0.747272,0.444387,-0.091293,0.022240
0.050000,2.037937,3.814420,0.640768,0.769255,0.439667,-0.094398,0.020781
0.050000,2.077479,3.815206,0.680318,0.790995,0.434793,-0.097487,0.018899
0.050000,2.118097,3.815928,0.720942,0.812483,0.429766,-0.100541,0.016559
0.050000,2.159778,3.816560,0.762627,0.833713,0.424589,-0.103537,0.013723
