dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471450,5.246635,0.000623,0.024907,0.498146,9.962916,6.283087
0.050000,1.473054,5.246635,0.002491,0.049815,0.498146,0.000000,0.000595
0.050000,1.476168,5.246639,0.005604,0.074722,0.498146,-0.000000,0.001745
0.050000,1.480526,5.246650,0.009963,0.099629,0.498146,0.000000,0.003344
0.050000,1.486130,5.246674,0.015567,0.124536,0.498146,0.000000,0.005378
0.050000,1.492980,5.246720,0.022417,0.149444,0.498146,-0.000000,0.007834
0.050000,1.501074,5.246795,0.030511,0.174351,0.498146,0.000000,0.010692
0.050000,1.510414,5.246910,0.039852,0.199258,0.498146,-0.000000,0.013930
0.050000,1.520998,5.247076,0.050437,0.224166,0.498146,0.000000,0.017523
0.050000,1.532827,5.247307,0.062268,0.249073,0.498146,0.000000,0.021440
0.050000,1.545900,5.247615,0.075345,0.273980,0.498146,0.000000,0.025649
0.050000,1.560216,5.248014,0.089666,0.298887,0.498146,-0.000000,0.030113
0.050000,1.575775,5.248520,0.105233,0.323795,0.498146,0.000000,0.034792
0.050000,1.592575,5.249145,0.122046,0.348702,0.498146,0.000000,0.039641
0.050000,1.610617,5.249906,0.140104,0.373609,0.498146,-0.000000,0.044614
0.050000,1.629899,5.250816,0.159407,0.398517,0.498146,0.000000,0.049658
0.050000,1.650419,5.251889,0.179955,0.423424,0.498146,0.000000,0.054718
0.050000,1.672177,5.253136,0.201749,0.448331,0.498146,-0.000000,0.059737
0.050000,1.695172,5.254569,0.224788,0.473239,0.498146,0.000000,0.064652
0.050000,1.719402,5.256196,0.249073,0.498146,0.498146,0.000000,0.069397
0.050000,1.744866,5.258025,0.274603,0.523053,0.498146,-0.000000,0.073903
0.050000,1.771564,5.260059,0.301378,0.547960,0.498146,0.000000,0.078098
0.050000,1.799495,5.262300,0.329399,0.572868,0.498146,-0.000000,0.081906
0.050000,1.828659,5.264744,0.358665,0.597775,0.498146,0.000000,0.085248
0.050000,1.859056,5.267386,0.389176,0.622682,0.498146,0.000000,0.088041
0.050000,1.890686,5.270215,0.420933,0.647590,0.498146,-0.000000,0.090199
0.050000,1.923552,5.273213,0.453935,0.672497,0.498146,0.000000,0.091632
0.050000,1.957655,5.276360,0.488183,0.697404,0.498146,0.000000,0.092248
0.050000,1.992997,5.279627,0.523676,0.722311,0.498146,-0.000000,0.091949
0.050000,2.029582,5.282980,0.560414,0.747219,0.498146,0.000000,0.090635
0.050000,2.067413,5.286375,0.598398,0.772126,0.498146,0.000000,0.088203
0.050000,2.106496,5.289763,0.637627,0.797033,0.498146,-0.000000,0.084543
0.050000,2.146834,5.293084,0.678101,0.821941,0.498146,0.000000,0.079545
0.050000,2.188431,5.296270,0.719821,0.846848,0.498146,0.000000,0.073093
0.050000,2.231294,5.299240,0.762786,0.871755,0.498146,-0.000000,0.065069
0.050000,2.275423,5.301906,0.806996,0.896662,0.498146,0.000000,0.055352
0.050000,2.320823,5.304165,0.852452,0.921570,0.498146,0.000000,0.043822
0.050000,2.366755,5.305906,0.899153,0.946477,0.498146,-0.000000,0.034591
0.050000,2.414672,5.307576,0.947100,0.971384,0.498146,0.000000,0.035077
0.050000,2.463833,5.309314,0.996292,0.996292,0.498146,-0.000000,0.035631
0.050000,2.514238,5.311127,1.046729,1.021199,0.498146,0.000000,0.036258
0.050000,2.565886,5.313018,1.098411,1.046106,0.498146,-0.000000,0.036961
0.050000,2.618777,5.314994,1.151339,1.071013,0.498146,0.000000,0.037745
0.050000,2.672911,5.317062,1.205513,1.095921,0.498146,-0.000000,0.038615
0.050000,2.728287,5.319228,1.260932,1.120828,0.498146,0.000000,0.039576
0.050000,2.784906,5.321499,1.317596,1.145735,0.498146,0.000000,0.040632
0.050000,2.842766,5.323885,1.375505,1.170643,0.498146,0.000000,0.041788
0.050000,2.901868,5.326393,1.434660,1.195550,0.498146,-0.000000,0.043050
0.050000,2.962210,5.329033,1.495060,1.220457,0.498146,0.000000,0.044421
0.050000,3.023793,5.331816,1.556706,1.245364,0.498146,-0.000000,0.045909
0.050000,3.086615,5.334752,1.619597,1.270272,0.498146,0.000000,0.047517
0.050000,3.149907,5.337886,1.683733,1.295179,0.498146,0.000000,0.051554
0.050000,3.215194,5.341400,1.749114,1.320086,0.498146,0.000000,0.056020
0.050000,3.281707,5.345288,1.815741,1.344994,0.498146,-0.000000,0.060783
0.050000,3.349444,5.349581,1.883614,1.369901,0.498146,0.000000,0.065855
0.050000,3.418399,5.354314,1.952732,1.394808,0.498146,-0.000000,0.071248
0.050000,3.488569,5.359523,2.023095,1.419716,0.498146,0.000000,0.076973
0.050000,3.559948,5.365244,2.094703,1.444623,0.498146,0.000000,0.083044
0.050000,3.632531,5.371519,2.167557,1.469530,0.498146,0.000000,0.089472
0.050000,3.706311,5.378389,2.241656,1.494437,0.498146,-0.000000,0.096269
0.050000,3.781280,5.385899,2.317001,1.519345,0.498146,0.000000,0.103448
0.050000,3.856593,5.394002,2.393591,1.544252,0.498146,-0.000000,0.111665
0.050000,3.933816,5.403729,2.471426,1.569159,0.498146,0.000000,0.138344
0.050000,4.012002,5.415576,2.550506,1.594067,0.498146,0.000000,0.161774
0.050000,4.091141,5.429328,2.630833,1.618974,0.498146,0.000000,0.181697
0.050000,4.171242,5.444744,2.712404,1.643881,0.498146,-0.000000,0.197890
0.050000,4.252334,5.461552,2.795221,1.668788,0.498146,0.000000,0.210149
0.050000,4.334468,5.479452,2.879283,1.693696,0.498146,-0.000000,0.218282
0.050000,4.417709,5.498115,2.964590,1.718603,0.498146,0.000000,0.222101
0.050000,4.502135,5.517184,3.051143,1.743510,0.498146,0.000000,0.221415
0.050000,4.587834,5.536269,3.138941,1.768418,0.498146,0.000000,0.216025
0.050000,4.674897,5.554942,3.227985,1.793325,0.498146,-0.000000,0.205724
0.050000,4.761881,5.571729,3.317586,1.790733,-0.051830,-10.999524,0.176579
