dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471415,4.891035,0.000623,0.024907,0.498146,9.962916,6.283087
0.050000,1.473266,4.891035,0.002474,0.037020,0.242260,-5.117713,0.000595
0.050000,1.476788,4.891039,0.005996,0.070448,0.668546,8.525723,0.001745
0.050000,1.481715,4.891052,0.010923,0.098543,0.561900,-2.132918,0.003344
0.050000,1.488043,4.891080,0.017251,0.126553,0.560216,-0.033693,0.005378
0.050000,1.495766,4.891131,0.024974,0.154455,0.558040,-0.043507,0.007834
0.050000,1.504876,4.891215,0.034085,0.182224,0.555372,-0.053362,0.010692
0.050000,1.515367,4.891344,0.044577,0.209834,0.552203,-0.063391,0.013930
0.050000,1.527229,4.891531,0.056440,0.237261,0.548531,-0.073438,0.017523
0.050000,1.540450,4.891789,0.069664,0.264478,0.544346,-0.083699,0.021440
0.050000,1.555019,4.892132,0.084237,0.291460,0.539645,-0.094014,0.025649
0.050000,1.570922,4.892575,0.100146,0.318182,0.534428,-0.104350,0.030113
0.050000,1.588144,4.893135,0.117376,0.344616,0.528686,-0.114830,0.034792
0.050000,1.606668,4.893825,0.135913,0.370737,0.522424,-0.125253,0.039641
0.050000,1.626476,4.894660,0.155739,0.396519,0.515638,-0.135703,0.044614
0.050000,1.647550,4.895655,0.176836,0.421936,0.508333,-0.146100,0.049658
0.050000,1.669867,4.896821,0.199184,0.446961,0.500513,-0.156402,0.054718
0.050000,1.693407,4.898170,0.222763,0.471571,0.492182,-0.166625,0.059737
0.050000,1.718146,4.899712,0.247550,0.495738,0.483347,-0.176699,0.064652
0.050000,1.744060,4.901452,0.273521,0.519439,0.474014,-0.186659,0.069397
0.050000,1.771122,4.903395,0.300654,0.542648,0.464190,-0.196480,0.073903
0.050000,1.799308,4.905543,0.328921,0.565342,0.453880,-0.206195,0.078098
0.050000,1.828589,4.907892,0.358296,0.587497,0.443089,-0.215831,0.081906
0.050000,1.858936,4.910436,0.388750,0.609087,0.431817,-0.225438,0.085248
0.050000,1.890323,4.913164,0.420255,0.630091,0.420063,-0.235070,0.088041
0.050000,1.922717,4.916060,0.452779,0.650482,0.407823,-0.244801,0.090199
0.050000,1.956091,4.919105,0.486291,0.670236,0.395089,-0.254685,0.091632
0.050000,1.990411,4.922272,0.520757,0.689329,0.381849,-0.264794,0.092248
0.050000,2.025648,4.925529,0.556144,0.707733,0.368092,-0.275152,0.091949
0.050000,2.061768,4.928839,0.592415,0.725424,0.353804,-0.285759,0.090635
0.050000,2.098738,4.932157,0.629533,0.742372,0.338976,-0.296549,0.088203
0.050000,2.136524,4.935433,0.667461,0.758553,0.323608,-0.307361,0.084543
0.050000,2.175090,4.938608,0.706158,0.773938,0.307713,-0.317913,0.079545
0.050000,2.214400,4.941619,0.745583,0.788505,0.291325,-0.327755,0.073093
0.050000,2.254416,4.944393,0.785695,0.802230,0.274515,-0.336206,0.065069
0.050000,2.295096,4.946851,0.826450,0.815100,0.257399,-0.342319,0.055352
0.050000,2.336401,4.948906,0.867805,0.827108,0.240159,-0.344797,0.043822
0.050000,2.379053,4.950519,0.910488,0.853654,0.530920,5.815212,0.034591
0.050000,2.427143,4.952195,0.958607,0.962387,2.174660,32.874813,0.035077
0.050000,2.476501,4.953940,1.007996,0.987779,0.507829,-33.336615,0.035631
0.050000,2.527129,4.955761,1.058656,1.013201,0.508436,0.012138,0.036258
0.050000,2.579026,4.957661,1.110589,1.038653,0.509059,0.012445,0.036961
0.050000,2.632196,4.959648,1.163796,1.064138,0.509696,0.012751,0.037745
0.050000,2.686639,4.961727,1.218279,1.089656,0.510349,0.013057,0.038615
0.050000,2.742357,4.963906,1.274039,1.115207,0.511017,0.013361,0.039576
0.050000,2.799351,4.966193,1.331079,1.140792,0.511700,0.013665,0.040632
0.050000,2.857622,4.968595,1.389399,1.166411,0.512399,0.013967,0.041788
0.050000,2.917172,4.971122,1.449002,1.192067,0.513112,0.014267,0.043050
0.050000,2.978001,4.973784,1.509890,1.217759,0.513840,0.014565,0.044421
0.050000,3.040112,4.976591,1.572065,1.243488,0.514583,0.014860,0.045909
0.050000,3.103506,4.979554,1.635528,1.269255,0.515341,0.015151,0.047517
0.050000,3.168231,4.982758,1.700332,1.296092,0.536732,0.427820,0.051554
0.050000,3.235104,4.986358,1.767302,1.339393,0.866024,6.585852,0.056020
0.050000,3.303308,4.990344,1.835622,1.366413,0.540399,-6.512503,0.060783
0.050000,3.372845,4.994752,1.905298,1.393517,0.542085,0.033724,0.065855
0.050000,3.443713,4.999616,1.976334,1.420707,0.543787,0.034037,0.071248
0.050000,3.515914,5.004976,2.048733,1.447982,0.545500,0.034259,0.076973
0.050000,3.589445,5.010870,2.122500,1.475343,0.547219,0.034374,0.083044
0.050000,3.664305,5.017342,2.197639,1.502790,0.548937,0.034365,0.089472
0.050000,3.740492,5.024436,2.274155,1.530322,0.550648,0.034211,0.096269
0.050000,3.818001,5.032200,2.352052,1.557939,0.552342,0.033894,0.103448
0.050000,3.896219,5.040617,2.430722,1.573390,0.309010,-4.866647,0.111665
0.050000,3.982854,5.051527,2.518042,1.746399,3.460190,63.023607,0.138344
0.050000,4.069279,5.064619,2.605452,1.748203,0.036076,-68.482280,0.161774
0.050000,4.155398,5.079582,2.692861,1.748188,-0.000297,-0.727472,0.181697
0.050000,4.241153,5.096084,2.780190,1.746572,-0.032322,-0.640498,0.197890
0.050000,4.326514,5.113775,2.867365,1.743507,-0.061291,-0.579375,0.210149
0.050000,4.411474,5.132290,2.954319,1.739080,-0.088553,-0.545249,0.218282
0.050000,4.496041,5.151250,3.040985,1.733312,-0.115349,-0.535924,0.222101
0.050000,4.580229,5.170265,3.127294,1.726179,-0.142659,-0.546199,0.221415
0.050000,4.664057,5.188934,3.213175,1.717627,-0.171050,-0.567816,0.216025
0.050000,4.747538,5.206840,3.298555,1.707602,-0.200505,-0.589092,0.205724
0.050000,4.824346,5.221658,3.376780,1.564493,-2.862179,-53.233493,0.176579
0.050000,4.905009,5.235145,3.458563,1.635661,1.423364,85.710864,0.156529
0.050000,4.988102,5.247755,3.542607,1.680881,0.904404,-10.379193,0.146337
0.050000,5.073336,5.260216,3.628747,1.722793,0.838249,-1.323105,0.145540
0.050000,5.160452,5.273286,3.716838,1.761832,0.780765,-1.149680,0.153734
0.050000,5.249203,5.287743,3.806758,1.798402,0.731417,-0.986958,0.170575
0.050000,5.339314,5.304374,3.898391,1.832660,0.685142,-0.925503,0.195739
0.050000,5.430449,5.323961,3.991608,1.864336,0.633520,-1.032446,0.228864
0.050000,5.522171,5.347247,4.086240,1.892632,0.565933,-1.351724,0.269476
0.050000,5.613906,5.374892,4.182050,1.916197,0.471299,-1.892685,0.316911
0.050000,5.704932,5.407415,4.278711,1.933233,0.340711,-2.611772,0.370250
0.050000,5.794396,5.445129,4.375800,1.941774,0.170825,-3.397708,0.428299
0.050000,5.864828,5.478186,4.453603,1.556067,-7.714145,-157.699396,0.437696
0.050000,5.928684,5.507705,4.523953,1.406988,-2.981579,94.651311,0.427516
0.050000,5.990345,5.535289,4.591502,1.350985,-1.120052,37.230538,0.412965
0.050000,6.049944,5.560769,4.656319,1.296337,-1.092954,0.541962,0.394233
0.050000,6.107590,5.584013,4.718474,1.243110,-1.064556,0.567962,0.371520
0.050000,6.163372,5.604925,4.778048,1.191468,-1.032834,0.634447,0.345049
0.050000,6.217367,5.623447,4.835132,1.141677,-0.995828,0.740113,0.315081
0.050000,6.269646,5.639555,4.889836,1.094083,-0.951881,0.878933,0.281923
0.050000,6.320279,5.653256,4.942290,1.049088,-0.899893,1.039762,0.245942
0.050000,6.369342,5.664592,4.992646,1.007109,-0.839580,1.206261,0.207561
0.050000,6.416918,5.673627,5.041072,0.968525,-0.771670,1.358205,0.167258
0.050000,6.466595,5.681201,5.091322,1.005013,0.729754,30.028470,0.137720
0.050000,6.516965,5.687496,5.142085,1.015242,0.204582,-10.503434,0.110985
0.050000,6.566529,5.692368,5.191887,0.996053,-0.383790,-11.767434,0.085053
0.050000,6.615260,5.695906,5.240746,0.977178,-0.377495,0.125905,0.059970
0.050000,6.663132,5.698198,5.288673,0.958541,-0.372728,0.095337,0.035768
0.050000,6.710122,5.699329,5.335677,0.940071,-0.369403,0.066498,0.012470
0.050000,6.756207,5.699387,5.381762,0.921701,-0.367405,0.039953,6.273277
0.050000,6.801366,5.698453,5.426930,0.903371,-0.366600,0.016096,6.251823
0.050000,6.845579,5.696609,5.471182,0.885029,-0.366846,-0.004909,6.231292
0.050000,6.888828,5.693936,5.514513,0.866629,-0.367994,-0.022957,6.211676
0.050000,6.931096,5.690509,5.556920,0.848134,-0.369902,-0.038167,6.192961
0.050000,6.972367,5.686402,5.598396,0.829512,-0.372434,-0.050640,6.175130
0.050000,7.012629,5.681687,5.638932,0.810739,-0.375466,-0.060642,6.158161
0.050000,7.051869,5.676432,5.678522,0.791795,-0.378881,-0.068298,6.142030
0.050000,7.080498,5.671986,5.707495,0.579447,-4.246948,-77.361346,6.101011
0.050000,7.101956,5.667388,5.729440,0.438899,-2.810962,28.719724,6.042273
0.050000,7.121675,5.661925,5.749902,0.409242,-0.593141,44.356423,5.982866
0.050000,7.139865,5.655699,5.769128,0.384517,-0.494500,1.972817,5.923485
0.050000,7.156743,5.648784,5.787367,0.364791,-0.394520,1.999598,5.864831
0.050000,7.172514,5.641225,5.804856,0.349783,-0.300159,1.887227,5.807569
0.050000,7.187358,5.633051,5.821802,0.338911,-0.217452,1.654143,5.752279
0.050000,7.201418,5.624285,5.838371,0.331382,-0.150579,1.337463,5.699432
