dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.309675,3.293357,0.000620,0.024792,0.495840,9.916804,0.000018
0.050000,1.311668,3.293356,0.002613,0.039873,0.301627,-3.884272,6.282652
0.050000,1.315094,3.293353,0.006039,0.068506,0.572660,5.420671,6.281735
0.050000,1.319888,3.293343,0.010833,0.095890,0.547664,-0.499929,6.280453
0.050000,1.326051,3.293321,0.016996,0.123253,0.547273,-0.007811,6.278809
0.050000,1.333580,3.293280,0.024526,0.150592,0.546770,-0.010070,6.276807
0.050000,1.342475,3.293213,0.033420,0.177899,0.546149,-0.012408,6.274452
0.050000,1.352733,3.293110,0.043679,0.205170,0.545410,-0.014794,6.271748
0.050000,1.364352,3.292959,0.055299,0.232397,0.544549,-0.017209,6.268702
0.050000,1.377329,3.292749,0.068278,0.259575,0.543563,-0.019729,6.265320
0.050000,1.391661,3.292466,0.082612,0.286698,0.542450,-0.022251,6.261611
0.050000,1.407345,3.292096,0.098300,0.313758,0.541204,-0.024919,6.257582
0.050000,1.424375,3.291623,0.115338,0.340749,0.539825,-0.027584,6.253245
0.050000,1.442749,3.291030,0.133721,0.367665,0.538307,-0.030352,6.248608
0.050000,1.462460,3.290300,0.153446,0.394497,0.536648,-0.033179,6.243685
0.050000,1.483504,3.289413,0.174508,0.421239,0.534847,-0.036029,6.238488
0.050000,1.505873,3.288351,0.196902,0.447884,0.532898,-0.038971,6.233030
0.050000,1.529561,3.287094,0.220623,0.474424,0.530802,-0.041926,6.227326
0.050000,1.554560,3.285622,0.245666,0.500852,0.528557,-0.044909,6.221393
0.050000,1.580862,3.283913,0.272024,0.527160,0.526161,-0.047906,6.215246
0.050000,1.608460,3.281947,0.299691,0.553341,0.523616,-0.050917,6.208904
0.050000,1.637342,3.279703,0.328660,0.579387,0.520921,-0.053885,6.202385
0.050000,1.667499,3.277159,0.358925,0.605291,0.518079,-0.056843,6.195710
0.050000,1.698921,3.274295,0.390477,0.631046,0.515092,-0.059739,6.188900
0.050000,1.731597,3.271090,0.423309,0.656644,0.511964,-0.062573,6.181976
0.050000,1.765514,3.267525,0.457413,0.682079,0.508697,-0.065327,6.174962
0.050000,1.800660,3.263580,0.492780,0.707344,0.505298,-0.067976,6.167882
0.050000,1.837023,3.259237,0.529402,0.732432,0.501772,-0.070527,6.160759
0.050000,1.874590,3.254477,0.567269,0.757338,0.498124,-0.072954,6.153621
0.050000,1.913347,3.249286,0.606372,0.782056,0.494362,-0.075250,6.146493
0.050000,1.953280,3.243648,0.646701,0.806581,0.490491,-0.077409,6.139403
0.050000,1.994375,3.237550,0.688246,0.830907,0.486519,-0.079444,6.132378
0.050000,2.036619,3.230980,0.730998,0.855030,0.482452,-0.081345,6.125447
0.050000,2.082674,3.223295,0.777689,0.933835,1.576104,21.873034,6.109122
0.050000,2.131343,3.214263,0.827190,0.990013,1.123572,-9.050634,6.090182
0.050000,2.181361,3.203972,0.878255,1.021305,0.625838,-9.954677,6.070327
0.050000,2.232690,3.192320,0.930890,1.052691,0.627724,0.037716,6.049545
0.050000,2.285285,3.179200,0.985097,1.084136,0.628891,0.023334,6.027827
0.050000,2.339093,3.164501,1.040876,1.115596,0.629191,0.006000,6.005172
