dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.193638,2.981875,0.002484,0.049677,0.496768,4.967675,0.000237
0.100000,0.201090,2.981881,0.009935,0.099354,0.496768,0.000000,0.001300
0.100000,0.213509,2.981908,0.022355,0.149030,0.496768,0.000000,0.002991
0.100000,0.230896,2.981979,0.039741,0.198707,0.496768,0.000000,0.005187
0.100000,0.253250,2.982124,0.062096,0.248384,0.496768,0.000000,0.007719
0.100000,0.280571,2.982372,0.089418,0.298061,0.496768,0.000000,0.010369
0.100000,0.312859,2.982749,0.121708,0.347737,0.496768,-0.000000,0.012869
0.100000,0.350113,2.983270,0.158966,0.397414,0.496768,0.000000,0.014904
0.100000,0.392333,2.983928,0.201191,0.447091,0.496768,0.000000,0.016111
0.100000,0.439519,2.984694,0.248384,0.496768,0.496768,-0.000000,0.016078
0.100000,0.491674,2.985495,0.300544,0.546444,0.496768,0.000000,0.014344
0.100000,0.548797,2.986212,0.357673,0.596121,0.496768,0.000000,0.010400
0.100000,0.610892,2.986662,0.419769,0.645798,0.496768,0.000000,0.003684
0.100000,0.677955,2.986587,0.486832,0.695475,0.496768,-0.000000,6.276772
0.100000,0.749979,2.985637,0.558863,0.745151,0.496768,0.000000,6.262635
0.100000,0.826943,2.983353,0.635862,0.794828,0.496768,0.000000,6.243762
0.100000,0.908800,2.979156,0.717829,0.844505,0.496768,0.000000,6.219435
0.100000,0.995463,2.972331,0.804763,0.894182,0.496768,0.000000,6.188953
0.100000,1.086022,2.962289,0.896665,0.943858,0.496768,-0.000000,6.160336
0.100000,1.182025,2.949375,0.993535,0.993535,0.496768,0.000000,6.138449
0.100000,1.282613,2.933488,1.095372,1.043212,0.496768,0.000000,6.114451
0.100000,1.387655,2.914182,1.202177,1.092889,0.496768,-0.000000,6.088226
0.100000,1.496989,2.890977,1.313950,1.142565,0.496768,0.000000,6.059675
0.100000,1.610409,2.863354,1.430690,1.192242,0.496768,-0.000000,6.028721
0.100000,1.727667,2.830766,1.552398,1.241919,0.496768,0.000000,5.995323
0.100000,1.847929,2.793077,1.679074,1.291596,0.496768,0.000000,5.971451
0.100000,1.973135,2.752416,1.810718,1.341272,0.496768,-0.000000,5.965003
0.100000,2.102525,2.708594,1.947329,1.390949,0.496768,0.000000,5.946202
0.100000,2.235410,2.659765,2.088907,1.440626,0.496768,0.000000,5.913684
0.100000,2.370823,2.603773,2.235454,1.490303,0.496768,-0.000000,5.866206
0.100000,2.509355,2.543963,2.386968,1.539979,0.496768,0.000000,5.912074
0.100000,2.653568,2.490837,2.540659,1.533842,-0.061374,-5.581412,5.934437
0.100000,2.794140,2.436034,2.691559,1.484165,-0.496768,-4.353939,5.874951
0.100000,2.924219,2.370125,2.837492,1.434488,-0.496768,-0.000000,5.741548
0.100000,3.042695,2.294875,2.978457,1.384812,-0.496768,0.000000,5.735665
0.100000,3.159965,2.226014,3.114454,1.335135,-0.496768,-0.000000,5.763852
0.100000,3.273838,2.161193,3.245484,1.285458,-0.496768,0.000000,5.762947
0.100000,3.382503,2.097299,3.371546,1.235781,-0.496768,0.000000,5.736078
0.100000,3.483891,2.032364,3.492640,1.186105,-0.496768,-0.000000,5.690756
0.100000,3.579425,1.966349,3.608767,1.136428,-0.496768,0.000000,5.666767
0.100000,3.669457,1.901155,3.719926,1.086751,-0.496768,0.000000,5.646610
0.100000,3.754306,1.837304,3.826117,1.037074,-0.496768,-0.000000,5.629954
0.100000,3.834260,1.775229,3.927341,0.987398,-0.496768,0.000000,5.616457
0.100000,3.909573,1.715287,4.023597,0.937721,-0.496768,-0.000000,5.605780
0.100000,3.980461,1.657768,4.114885,0.888044,-0.496768,0.000000,5.597596
0.100000,4.046188,1.603223,4.201205,0.838367,-0.496768,0.000000,5.574838
0.100000,4.107036,1.549231,4.282558,0.788691,-0.496768,0.000000,5.541337
0.100000,4.162692,1.496917,4.358944,0.739014,-0.496768,-0.000000,5.517341
0.100000,4.213749,1.446981,4.430361,0.689337,-0.496768,0.000000,5.501480
0.100000,4.260675,1.399933,4.496811,0.639660,-0.496768,0.000000,5.492423
0.100000,4.303822,1.356133,4.558293,0.589984,-0.496768,0.000000,5.488925
0.100000,4.343433,1.315824,4.614808,0.540307,-0.496768,-0.000000,5.489842
0.100000,4.379660,1.279154,4.666355,0.490630,-0.496768,0.000000,5.494132
0.100000,4.412579,1.246201,4.712934,0.440953,-0.496768,0.000000,5.500846
0.100000,4.442209,1.216984,4.754545,0.391277,-0.496768,-0.000000,5.509127
0.100000,4.468525,1.191484,4.791189,0.341600,-0.496768,0.000000,5.518206
0.100000,4.491474,1.169651,4.822865,0.291923,-0.496768,-0.000000,5.527403
0.100000,4.510989,1.151416,4.849574,0.242246,-0.496768,0.000000,5.536128
0.100000,4.526996,1.136705,4.871315,0.192570,-0.496768,0.000000,5.543885
0.100000,4.539426,1.125443,4.888088,0.142893,-0.496768,0.000000,5.550270
0.100000,4.548219,1.117565,4.899893,0.093216,-0.496768,0.000000,5.554972
0.100000,4.553329,1.113022,4.906731,0.043539,-0.496768,0.000000,5.557774
0.100000,4.554958,1.111578,4.908908,0.000000,-0.435394,0.613736,5.558678
0.100000,4.554958,1.111578,4.908908,0.000000,0.000000,4.353939,5.558678
0.100000,4.554958,1.111578,4.908908,0.000000,0.000000,0.000000,5.558678
