dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.193708,2.689775,0.002484,0.049677,0.496768,4.967675,0.000237
0.100000,0.201470,2.689781,0.010246,0.077620,0.279430,-2.173372,0.001300
0.100000,0.214383,2.689809,0.023159,0.129130,0.515097,2.356669,0.002991
0.100000,0.232411,2.689883,0.041187,0.180284,0.511546,-0.035510,0.005187
0.100000,0.255505,2.690033,0.064281,0.230942,0.506577,-0.049690,0.007719
0.100000,0.283600,2.690288,0.092377,0.280961,0.500193,-0.063842,0.010369
0.100000,0.316617,2.690674,0.125398,0.330201,0.492397,-0.077958,0.012869
0.100000,0.354466,2.691202,0.163250,0.378520,0.483193,-0.092046,0.014904
0.100000,0.397038,2.691866,0.205827,0.425778,0.472579,-0.106136,0.016111
0.100000,0.444215,2.692631,0.253011,0.471833,0.460550,-0.120286,0.016078
0.100000,0.495864,2.693425,0.304665,0.516542,0.447093,-0.134577,0.014344
0.100000,0.551835,2.694128,0.360641,0.559761,0.432185,-0.149079,0.010400
0.100000,0.611968,2.694564,0.420775,0.601342,0.415808,-0.163769,0.003684
0.100000,0.676082,2.694493,0.484889,0.641138,0.397968,-0.178394,6.276772
0.100000,0.743977,2.693598,0.552790,0.679013,0.378746,-0.192223,6.262635
0.100000,0.815431,2.691480,0.624275,0.714851,0.358378,-0.203677,6.243762
0.100000,0.890192,2.687649,0.699134,0.748590,0.337396,-0.209820,6.219435
0.100000,0.967978,2.681527,0.777162,0.780273,0.316821,-0.205754,6.188953
0.100000,1.050227,2.672391,0.859917,0.827549,0.472768,1.559469,6.160336
0.100000,1.139894,2.660330,0.950391,0.904746,0.771965,2.991972,6.138449
0.100000,1.233559,2.645536,1.045216,0.948253,0.435070,-3.368948,6.114451
0.100000,1.331068,2.627616,1.144358,0.991420,0.431670,-0.034001,6.088226
0.100000,1.432243,2.606143,1.247788,1.034293,0.428732,-0.029381,6.059675
0.100000,1.536880,2.580660,1.355482,1.076944,0.426509,-0.022231,6.028721
0.100000,1.644739,2.550685,1.467430,1.119474,0.425298,-0.012108,5.995323
0.100000,1.758339,2.515055,1.586486,1.190564,0.710897,2.855984,5.971451
0.100000,1.881754,2.474978,1.716245,1.297594,1.070307,3.594103,5.965003
0.100000,2.005944,2.432923,1.847363,1.311174,0.135801,-9.345058,5.946202
0.100000,2.129918,2.387380,1.979437,1.320744,0.095698,-0.401034,5.913684
0.100000,2.252522,2.336701,2.112103,1.326655,0.059112,-0.365861,5.866206
0.100000,2.403425,2.271748,2.276390,1.642875,3.162196,31.030847,5.912074
0.100000,2.553751,2.216321,2.436609,1.602191,-0.406836,-35.690321,5.934437
0.100000,2.678180,2.167937,2.570114,1.335047,-2.671442,-22.646060,5.874951
0.100000,2.773630,2.119834,2.677000,1.068863,-2.661843,0.095986,5.741548
0.100000,2.890636,2.045474,2.815636,1.386355,3.174920,58.367630,5.735665
0.100000,3.014996,1.972427,2.959862,1.442260,0.559055,-26.158649,5.763852
0.100000,3.128639,1.907738,3.090627,1.307650,-1.346106,-19.051613,5.762947
0.100000,3.230547,1.847835,3.208837,1.182102,-1.255477,0.906287,5.736078
0.100000,3.320789,1.790042,3.315999,1.071617,-1.104851,1.506263,5.690756
0.100000,3.410557,1.728008,3.425116,1.091167,0.195498,13.003494,5.666767
0.100000,3.495819,1.666267,3.530385,1.052695,-0.384719,-5.802175,5.646610
0.100000,3.576780,1.605341,3.631710,1.013248,-0.394464,-0.097450,5.629954
0.100000,3.653620,1.545682,3.728990,0.972802,-0.404462,-0.099973,5.616457
0.100000,3.726493,1.487682,3.822127,0.931367,-0.414352,-0.098905,5.605780
0.100000,3.795524,1.431669,3.911024,0.888975,-0.423916,-0.095641,5.597596
0.100000,3.856154,1.381392,3.989789,0.787641,-1.013345,-5.894283,5.574838
0.100000,3.909678,1.333888,4.061352,0.715639,-0.720020,2.933250,5.541337
0.100000,3.960224,1.286372,4.130727,0.693742,-0.218967,5.010529,5.517341
0.100000,4.007967,1.239673,4.197511,0.667840,-0.259021,-0.400538,5.501480
0.100000,4.053024,1.194498,4.261315,0.638041,-0.297989,-0.389686,5.492423
0.100000,4.095454,1.151426,4.321775,0.604603,-0.334381,-0.363922,5.488925
0.100000,4.135253,1.110926,4.378558,0.567824,-0.367789,-0.334077,5.489842
0.100000,4.172361,1.073365,4.431358,0.527999,-0.398259,-0.304696,5.494132
0.100000,4.206666,1.039024,4.479898,0.485403,-0.425954,-0.276952,5.500846
0.100000,4.238019,1.008109,4.523928,0.440303,-0.451005,-0.250507,5.509127
0.100000,4.266239,0.980764,4.563224,0.392956,-0.473465,-0.224602,5.518206
0.100000,4.291135,0.957079,4.597586,0.343624,-0.493323,-0.198585,5.527403
0.100000,4.312512,0.937105,4.626843,0.292570,-0.510535,-0.172116,5.536128
0.100000,4.330188,0.920861,4.650850,0.240065,-0.525052,-0.145175,5.543885
0.100000,4.344000,0.908346,4.669488,0.186380,-0.536847,-0.117942,5.550270
0.100000,4.353816,0.899552,4.682667,0.131789,-0.545913,-0.090664,5.554972
0.100000,4.359537,0.894465,4.690323,0.076562,-0.552268,-0.063550,5.557774
0.100000,4.361364,0.892846,4.692764,0.024411,-0.521517,0.307516,5.558678
0.100000,4.361364,0.892846,4.692764,0.000000,-0.244107,2.774096,5.558678
0.100000,4.361364,0.892846,4.692764,0.000000,0.000000,2.441069,5.558678
