dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471438,3.337475,0.000620,0.024800,0.496000,9.920000,0.000034
0.050000,1.473028,3.337475,0.002211,0.031812,0.140245,-7.115098,6.283030
0.050000,1.476240,3.337474,0.005423,0.064241,0.648575,10.166591,6.282715
0.050000,1.480736,3.337471,0.009919,0.089924,0.513658,-2.698326,6.282276
0.050000,1.486516,3.337464,0.015699,0.115593,0.513388,-0.005400,6.281714
0.050000,1.493578,3.337451,0.022761,0.141245,0.513041,-0.006938,6.281033
0.050000,1.501922,3.337430,0.031105,0.166876,0.512617,-0.008491,6.280235
0.050000,1.511546,3.337397,0.040729,0.192482,0.512115,-0.010036,6.279323
0.050000,1.522449,3.337350,0.051632,0.218059,0.511536,-0.011592,6.278303
0.050000,1.534629,3.337283,0.063812,0.243603,0.510878,-0.013146,6.277178
0.050000,1.548084,3.337194,0.077267,0.269110,0.510143,-0.014702,6.275953
0.050000,1.562813,3.337078,0.091996,0.294576,0.509330,-0.016268,6.274634
0.050000,1.578812,3.336930,0.107996,0.319998,0.508438,-0.017828,6.273229
0.050000,1.596079,3.336745,0.125265,0.345372,0.507468,-0.019398,6.271742
0.050000,1.614613,3.336518,0.143799,0.370693,0.506420,-0.020960,6.270182
0.050000,1.634409,3.336245,0.163597,0.395957,0.505294,-0.022537,6.268557
0.050000,1.655464,3.335919,0.184655,0.421162,0.504089,-0.024102,6.266875
0.050000,1.677776,3.335536,0.206970,0.446302,0.502805,-0.025677,6.265146
0.050000,1.701340,3.335090,0.230539,0.471374,0.501443,-0.027242,6.263378
0.050000,1.726154,3.334576,0.255358,0.496374,0.500002,-0.028814,6.261582
0.050000,1.752212,3.333989,0.281423,0.521298,0.498483,-0.030382,6.259768
0.050000,1.779511,3.333324,0.308730,0.546143,0.496885,-0.031945,6.257948
0.050000,1.808047,3.332578,0.337275,0.570903,0.495210,-0.033509,6.256134
0.050000,1.837814,3.331745,0.367054,0.595576,0.493457,-0.035067,6.254337
0.050000,1.868808,3.330823,0.398062,0.620157,0.491626,-0.036623,6.252572
0.050000,1.901024,3.329809,0.430294,0.644643,0.489717,-0.038174,6.250850
0.050000,1.934457,3.328699,0.463745,0.669030,0.487731,-0.039723,6.249187
0.050000,1.969102,3.327493,0.498411,0.693313,0.485667,-0.041268,6.247596
0.050000,2.004953,3.326189,0.534285,0.717489,0.483527,-0.042811,6.246093
0.050000,2.042004,3.324788,0.571363,0.741555,0.481309,-0.044353,6.244693
0.050000,2.080250,3.323290,0.609638,0.765506,0.479014,-0.045893,6.243413
0.050000,2.119685,3.321697,0.649105,0.789338,0.476643,-0.047435,6.242269
0.050000,2.160302,3.320014,0.689758,0.813047,0.474194,-0.048976,6.241278
0.050000,2.202096,3.318243,0.731589,0.836631,0.471668,-0.050524,6.240458
0.050000,2.245060,3.316392,0.774593,0.860084,0.469064,-0.052074,6.239828
0.050000,2.289189,3.314467,0.818763,0.883403,0.466382,-0.053631,6.239405
0.050000,2.334474,3.312478,0.864093,0.906584,0.463623,-0.055195,6.239211
0.050000,2.380910,3.310435,0.910574,0.929623,0.460784,-0.056766,6.239264
0.050000,2.428491,3.308350,0.958200,0.952517,0.457867,-0.058344,6.239585
0.050000,2.480104,3.305926,1.009870,1.033404,1.617755,23.197748,6.230318
0.050000,2.534448,3.302717,1.064309,1.088772,1.107355,-10.207994,6.218454
0.050000,2.589195,3.298892,1.119189,1.097603,0.176621,-18.614683,6.208835
0.050000,2.644280,3.294578,1.174443,1.105085,0.149636,-0.539687,6.201652
0.050000,2.699644,3.289915,1.230003,1.111209,0.122474,-0.543256,6.197095
0.050000,2.755230,3.285055,1.285801,1.115952,0.094860,-0.552270,6.195358
0.050000,2.810980,3.280167,1.341765,1.119280,0.066568,-0.565839,6.196640
0.050000,2.866838,3.275432,1.397823,1.121154,0.037476,-0.581847,6.201146
0.050000,2.922742,3.271042,1.453899,1.121536,0.007645,-0.596613,6.209085
0.050000,2.978631,3.267201,1.509920,1.120407,-0.022579,-0.604487,6.220669
0.050000,3.034435,3.264121,1.565809,1.117785,-0.052450,-0.597421,6.236108
0.050000,3.098653,3.261038,1.630101,1.285846,3.361226,68.273518,6.229745
0.050000,3.166273,3.257039,1.697839,1.354747,1.378027,-39.663970,6.218840
0.050000,3.234333,3.252341,1.766061,1.364437,0.193796,-23.684629,6.210060
0.050000,3.302789,3.247088,1.834718,1.373142,0.174102,-0.393885,6.203544
0.050000,3.371600,3.241440,1.903761,1.380863,0.154412,-0.393792,6.199429
0.050000,3.440731,3.235566,1.973140,1.387589,0.134515,-0.397948,6.197856
0.050000,3.510144,3.229651,2.042805,1.393301,0.114244,-0.405408,6.198967
0.050000,3.579805,3.223892,2.112704,1.397977,0.093520,-0.414474,6.202907
0.050000,3.649055,3.218542,2.182161,1.389129,-0.176967,-5.409744,6.209630
0.050000,3.720615,3.213483,2.253899,1.434776,0.912942,21.798175,6.215370
0.050000,3.793909,3.208677,2.327350,1.469012,0.684731,-4.564211,6.219783
0.050000,3.868953,3.204035,2.402538,1.503758,0.694911,0.203584,6.222798
0.050000,3.945768,3.199461,2.479489,1.539018,0.705203,0.205846,6.224342
0.050000,4.024372,3.194840,2.558229,1.574800,0.715647,0.208887,6.224342
0.050000,4.104785,3.190049,2.638785,1.611114,0.726267,0.212403,6.222723
0.050000,4.187025,3.184945,2.721183,1.647967,0.737064,0.215936,6.219410
0.050000,4.271109,3.179372,2.805451,1.685367,0.748007,0.218851,6.214324
0.050000,4.353889,3.173460,2.888442,1.659814,-0.511059,-25.181324,6.214620
0.050000,4.432054,3.168876,2.966741,1.565982,-1.876638,-27.311561,6.233292
0.050000,4.513992,3.165317,3.048756,1.640305,1.486449,67.261723,6.245003
0.050000,4.599783,3.162285,3.134601,1.716885,1.531604,0.903104,6.249434
0.050000,4.689514,3.159170,3.224386,1.795708,1.576456,0.897039,6.246269
0.050000,4.783274,3.155246,3.318228,1.876839,1.622631,0.923504,6.235182
0.050000,4.881128,3.149658,3.416242,1.960279,1.668787,0.923126,6.215847
0.050000,4.966598,3.143455,3.501936,1.713891,-4.927752,-131.930789,6.233308
0.050000,5.035679,3.142539,3.571024,1.381746,-6.642907,-34.303094,0.017332
0.050000,5.114429,3.145689,3.649837,1.576258,3.890247,210.663069,0.057214
0.050000,5.202868,3.151514,3.738467,1.772603,3.926900,0.733069,0.069501
0.050000,5.301087,3.157813,3.836888,1.968428,3.916499,-0.208028,0.054252
0.050000,5.401016,3.161708,3.936892,2.000081,0.633060,-65.668766,0.032809
0.050000,5.490609,3.165129,4.026551,1.793169,-4.138229,-95.425793,0.042205
0.050000,5.582908,3.169166,4.118938,1.847745,1.091506,104.594712,0.043928
0.050000,5.677940,3.173120,4.214053,1.902297,1.091036,-0.009409,0.037980
0.050000,5.775735,3.176229,4.311897,1.956878,1.091628,0.011837,0.024356
0.050000,5.876296,3.177667,4.412468,2.011423,1.090891,-0.014741,0.003060
0.050000,5.979569,3.176548,4.515747,2.065591,1.083369,-0.150434,6.257327
0.050000,6.065377,3.174349,4.601583,1.716723,-6.977352,-161.214426,6.275559
0.050000,6.146565,3.175181,4.682776,1.623843,-1.857598,102.395087,0.025568
0.050000,6.232499,3.178331,4.768767,1.719825,1.919636,75.544677,0.045274
0.050000,6.322829,3.182808,4.859208,1.808827,1.780040,-2.791909,0.051489
0.050000,6.416894,3.187425,4.953386,1.883559,1.494640,-5.708002,0.044472
0.050000,6.514304,3.190892,5.050858,1.949445,1.317710,-3.538615,0.024700
0.050000,6.614876,3.191859,5.151435,2.011533,1.241759,-1.519021,6.275889
0.050000,6.706350,3.189714,5.242934,1.829971,-3.631231,-97.459784,6.263854
0.050000,6.773824,3.190476,5.310412,1.349566,-9.608096,-119.537299,0.034764
0.050000,6.851624,3.194236,5.388303,1.557827,4.165210,275.466117,0.056109
0.050000,6.939007,3.198952,5.475813,1.750196,3.847373,-6.356743,0.046921
0.050000,7.035744,3.201824,5.572593,1.935601,3.708100,-2.785463,0.008161
0.050000,7.141682,3.199286,5.678561,2.119351,3.675007,-0.661858,6.223221
0.050000,7.255789,3.187087,5.793318,2.295145,3.515891,-3.182317,6.126824
0.050000,7.374935,3.161032,5.915280,2.439246,2.882009,-12.677637,6.006596
0.050000,7.493389,3.118685,6.041076,2.515920,1.533492,-26.970357,5.872040
0.050000,7.594492,3.066953,6.154645,2.271375,-4.890910,-128.488039,5.767298
0.050000,7.622255,3.054195,6.185199,0.611079,-33.205914,-566.300070,5.893823
0.050000,7.683565,3.030543,6.250913,1.314289,14.064190,945.402086,5.918027
0.050000,7.774211,2.992800,6.349103,1.963800,12.990223,-21.479355,5.847362
0.050000,7.887785,2.928663,6.479535,2.608636,12.896731,-1.869830,5.682179
0.050000,8.004480,2.826674,6.634518,3.099658,9.820423,-61.526166,5.443851
0.050000,8.090146,2.705566,6.782861,2.966852,-2.656109,-249.530630,5.219663
0.050000,8.143660,2.584568,6.915165,2.646087,-6.415294,-75.183706,5.038666
0.050000,8.173557,2.465660,7.037774,2.452174,-3.878273,50.740416,4.881601
0.050000,8.185169,2.358690,7.145372,2.151959,-6.004293,-42.520404,4.763441
0.050000,8.186097,2.266744,7.237322,1.839014,-6.258903,-5.092202,4.685907
0.050000,8.182268,2.189080,7.315081,1.555181,-5.676659,11.644894,4.644845
0.050000,8.176185,2.114107,7.390301,1.504388,-1.015866,93.215846,4.606039
0.050000,8.163474,2.027219,7.478113,1.756248,5.037207,121.061468,4.529687
0.050000,8.146197,1.947819,7.559371,1.625160,-2.621771,-153.179549,4.468304
0.050000,8.126455,1.875928,7.633924,1.491052,-2.682157,-1.207739,4.422308
0.050000,8.105922,1.811072,7.701953,1.360576,-2.609509,1.452963,4.391182
0.050000,8.085842,1.752596,7.763780,1.236540,-2.480730,2.575594,4.374014
0.050000,8.067100,1.699859,7.819748,1.119374,-2.343323,2.748141,4.369836
0.050000,8.050302,1.652316,7.870172,1.008466,-2.218152,2.503406,4.377765
0.050000,8.035837,1.609542,7.915326,0.903083,-2.107655,2.209945,4.397023
0.050000,8.015210,1.548537,7.979723,1.287951,7.697357,196.100242,4.357107
0.050000,7.986408,1.478861,8.055117,1.507880,4.398573,-65.975687,4.284307
0.050000,7.954707,1.415012,8.126403,1.425714,-1.643304,-120.837541,4.219585
0.050000,7.921429,1.357041,8.193247,1.336886,-1.776571,-2.665337,4.163876
0.050000,7.887682,1.304648,8.255567,1.246401,-1.809703,-0.662629,4.117412
