dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.471450,2.981875,0.000620,0.024800,0.496000,9.920000,0.000034
0.050000,1.472973,2.981875,0.002480,0.049600,0.496000,0.000000,6.283030
0.050000,1.476073,2.981874,0.005580,0.074400,0.496000,0.000000,6.282715
0.050000,1.480413,2.981871,0.009920,0.099200,0.496000,0.000000,6.282276
0.050000,1.485993,2.981865,0.015500,0.124000,0.496000,-0.000000,6.281714
0.050000,1.492813,2.981852,0.022320,0.148800,0.496000,0.000000,6.281033
0.050000,1.500873,2.981832,0.030380,0.173600,0.496000,-0.000000,6.280235
0.050000,1.510173,2.981800,0.039680,0.198400,0.496000,0.000000,6.279323
0.050000,1.520713,2.981754,0.050220,0.223200,0.496000,-0.000000,6.278303
0.050000,1.532493,2.981690,0.062000,0.248000,0.496000,0.000000,6.277178
0.050000,1.545512,2.981603,0.075020,0.272800,0.496000,0.000000,6.275953
0.050000,1.559772,2.981491,0.089280,0.297600,0.496000,-0.000000,6.274634
0.050000,1.575271,2.981347,0.104780,0.322400,0.496000,0.000000,6.273229
0.050000,1.592010,2.981168,0.121520,0.347200,0.496000,0.000000,6.271742
0.050000,1.609989,2.980948,0.139500,0.372000,0.496000,0.000000,6.270182
0.050000,1.629207,2.980683,0.158720,0.396800,0.496000,-0.000000,6.268557
0.050000,1.649665,2.980366,0.179180,0.421600,0.496000,-0.000000,6.266875
0.050000,1.671361,2.979993,0.200880,0.446400,0.496000,0.000000,6.265146
0.050000,1.694297,2.979559,0.223820,0.471200,0.496000,0.000000,6.263378
0.050000,1.718472,2.979059,0.248000,0.496000,0.496000,-0.000000,6.261582
0.050000,1.743886,2.978486,0.273420,0.520800,0.496000,0.000000,6.259768
0.050000,1.770538,2.977838,0.300080,0.545600,0.496000,0.000000,6.257948
0.050000,1.798428,2.977108,0.327980,0.570400,0.496000,-0.000000,6.256134
0.050000,1.827557,2.976293,0.357120,0.595200,0.496000,0.000000,6.254337
0.050000,1.857923,2.975390,0.387500,0.620000,0.496000,-0.000000,6.252572
0.050000,1.889528,2.974395,0.419120,0.644800,0.496000,0.000000,6.250850
0.050000,1.922370,2.973305,0.451980,0.669600,0.496000,-0.000000,6.249187
0.050000,1.956449,2.972118,0.486080,0.694400,0.496000,0.000000,6.247596
0.050000,1.991766,2.970834,0.521420,0.719200,0.496000,0.000000,6.246093
0.050000,2.028319,2.969451,0.558000,0.744000,0.496000,0.000000,6.244693
0.050000,2.066111,2.967971,0.595820,0.768800,0.496000,-0.000000,6.243413
0.050000,2.105139,2.966395,0.634880,0.793600,0.496000,0.000000,6.242269
0.050000,2.145404,2.964726,0.675180,0.818400,0.496000,-0.000000,6.241278
0.050000,2.186907,2.962968,0.716720,0.843200,0.496000,0.000000,6.240458
0.050000,2.229647,2.961126,0.759500,0.868000,0.496000,0.000000,6.239828
0.050000,2.273625,2.959208,0.803520,0.892800,0.496000,-0.000000,6.239405
0.050000,2.318842,2.957222,0.848780,0.917600,0.496000,0.000000,6.239211
0.050000,2.365297,2.955178,0.895280,0.942400,0.496000,0.000000,6.239264
0.050000,2.412991,2.953088,0.943020,0.967200,0.496000,-0.000000,6.239585
0.050000,2.461313,2.950823,0.992000,0.992000,0.496000,0.000000,6.230318
0.050000,2.511445,2.947862,1.042220,1.016800,0.496000,0.000000,6.218454
0.050000,2.562780,2.944275,1.093680,1.041600,0.496000,0.000000,6.208835
0.050000,2.615319,2.940160,1.146380,1.066400,0.496000,-0.000000,6.201652
0.050000,2.669068,2.935631,1.200320,1.091200,0.496000,0.000000,6.197095
0.050000,2.724039,2.930826,1.255500,1.116000,0.496000,-0.000000,6.195358
0.050000,2.780243,2.925898,1.311920,1.140800,0.496000,0.000000,6.196640
0.050000,2.837697,2.921028,1.369580,1.165600,0.496000,0.000000,6.201146
0.050000,2.896416,2.916418,1.428480,1.190400,0.496000,-0.000000,6.209085
0.050000,2.956414,2.912296,1.488620,1.215200,0.496000,0.000000,6.220669
0.050000,3.017701,2.908915,1.550000,1.240000,0.496000,0.000000,6.236108
0.050000,3.079659,2.905946,1.612620,1.264800,0.496000,0.000000,6.229745
0.050000,3.143407,2.902175,1.676480,1.289600,0.496000,-0.000000,6.218840
0.050000,3.208353,2.897691,1.741580,1.314400,0.496000,0.000000,6.210060
0.050000,3.274498,2.892615,1.807920,1.339200,0.496000,0.000000,6.203544
0.050000,3.341851,2.887086,1.875500,1.364000,0.496000,0.000000,6.199429
0.050000,3.410424,2.881260,1.944320,1.388800,0.496000,0.000000,6.197856
0.050000,3.480231,2.875312,2.014380,1.413600,0.496000,0.000000,6.198967
0.050000,3.551289,2.869437,2.085680,1.438400,0.496000,-0.000000,6.202907
0.050000,3.622923,2.863903,2.158220,1.463200,0.496000,0.000000,6.209630
0.050000,3.696519,2.858701,2.232000,1.488000,0.496000,0.000000,6.215370
0.050000,3.771378,2.853791,2.307020,1.512800,0.496000,-0.000000,6.219783
0.050000,3.847493,2.849084,2.383280,1.537600,0.496000,0.000000,6.222798
0.050000,3.924855,2.844476,2.460780,1.562400,0.496000,0.000000,6.224342
0.050000,4.003460,2.839856,2.539520,1.587200,0.496000,0.000000,6.224342
0.050000,4.083298,2.835099,2.619500,1.612000,0.496000,-0.000000,6.222723
0.050000,4.164362,2.830068,2.700720,1.636800,0.496000,0.000000,6.219410
0.050000,4.246642,2.824615,2.783180,1.661600,0.496000,0.000000,6.214324
0.050000,4.329527,2.818696,2.866880,1.686400,0.496000,0.000000,6.214620
0.050000,4.414319,2.813718,2.951820,1.711200,0.496000,0.000000,6.233292
0.050000,4.500418,2.809976,3.038000,1.736000,0.496000,0.000000,6.245003
0.050000,4.587783,2.806887,3.125420,1.760800,0.496000,-0.000000,6.249434
0.050000,4.676390,2.803812,3.214080,1.785600,0.496000,0.000000,6.246269
0.050000,4.766211,2.800056,3.303980,1.810400,0.496000,0.000000,6.235182
0.050000,4.857201,2.794864,3.395120,1.835200,0.496000,-0.000000,6.215847
0.050000,4.948869,2.788297,3.487500,1.860000,0.496000,0.000000,6.233308
0.050000,5.041842,2.786992,3.580500,1.860000,0.000000,-9.920000,0.017332
0.050000,5.134763,2.790671,3.673500,1.860000,0.000000,0.000000,0.057214
0.050000,5.227562,2.796772,3.766500,1.860000,0.000000,0.000000,0.069501
0.050000,5.320370,2.802736,3.859500,1.860000,0.000000,0.000000,0.054252
0.050000,5.412680,2.806299,3.952500,1.860000,0.000000,0.000000,0.032809
0.050000,5.505612,2.809846,4.045500,1.860000,0.000000,0.000000,0.042205
0.050000,5.598523,2.813909,4.138500,1.860000,0.000000,0.000000,0.043928
0.050000,5.691443,2.817776,4.231500,1.860000,0.000000,0.000000,0.037980
0.050000,5.784395,2.820734,4.324500,1.860000,0.000000,0.000000,0.024356
0.050000,5.877384,2.822068,4.417500,1.860000,0.000000,0.000000,0.003060
0.050000,5.970375,2.821067,4.510500,1.860000,0.000000,0.000000,6.257327
0.050000,6.062665,2.818759,4.603500,1.860000,0.000000,0.000000,6.275559
0.050000,6.155656,2.819698,4.696500,1.860000,0.000000,0.000000,0.025568
0.050000,6.248593,2.823096,4.789500,1.860000,0.000000,0.000000,0.045274
0.050000,6.341130,2.827680,4.882151,1.846059,-0.278812,-5.576245,0.051489
0.050000,6.432703,2.832177,4.973834,1.821259,-0.496000,-4.343755,0.044472
0.050000,6.523087,2.835400,5.064277,1.796459,-0.496000,0.000000,0.024700
0.050000,6.612282,2.836269,5.153480,1.771659,-0.496000,0.000000,6.275889
0.050000,6.699476,2.834181,5.241443,1.746859,-0.496000,-0.000000,6.263854
0.050000,6.786184,2.835091,5.328166,1.722059,-0.496000,0.000000,0.034764
0.050000,6.871566,2.839195,5.413649,1.697259,-0.496000,0.000000,0.056109
0.050000,6.955686,2.843743,5.497892,1.672459,-0.496000,0.000000,0.046921
0.050000,7.038646,2.846236,5.580895,1.647659,-0.496000,0.000000,0.008161
0.050000,7.120371,2.844325,5.662658,1.622859,-0.496000,0.000000,6.223221
0.050000,7.200413,2.835825,5.743181,1.598059,-0.496000,-0.000000,6.126824
0.050000,7.277830,2.818948,5.822464,1.573259,-0.496000,0.000000,6.006596
0.050000,7.351271,2.792720,5.900507,1.548459,-0.496000,0.000000,5.872040
0.050000,7.419072,2.757632,5.977310,1.523659,-0.496000,0.000000,5.767298
0.050000,7.487270,2.725212,6.052873,1.498859,-0.496000,-0.000000,5.893823
0.050000,7.556581,2.698388,6.127196,1.474059,-0.496000,0.000000,5.918027
0.050000,7.624092,2.670440,6.200279,1.449259,-0.496000,0.000000,5.847362
0.050000,7.686703,2.635376,6.272122,1.424459,-0.496000,-0.000000,5.682179
0.050000,7.739843,2.589148,6.342725,1.399659,-0.496000,0.000000,5.443851
0.050000,7.779326,2.532817,6.412088,1.374859,-0.496000,-0.000000,5.219663
0.050000,7.806821,2.470591,6.480211,1.350059,-0.496000,0.000000,5.038666
0.050000,7.823035,2.405775,6.547094,1.325259,-0.496000,0.000000,4.881601
0.050000,7.830032,2.340544,6.612737,1.300459,-0.496000,0.000000,4.763441
0.050000,7.830622,2.276160,6.677140,1.275659,-0.496000,-0.000000,4.685907
0.050000,7.827479,2.213080,6.740303,1.250859,-0.496000,0.000000,4.644845
0.050000,7.822594,2.151853,6.802226,1.226059,-0.496000,0.000000,4.606039
0.050000,7.813793,2.091827,6.862909,1.201259,-0.496000,0.000000,4.529687
0.050000,7.801138,2.033756,6.922352,1.176459,-0.496000,-0.000000,4.468304
0.050000,7.785712,1.977640,6.980555,1.151659,-0.496000,0.000000,4.422308
0.050000,7.768509,1.923339,7.037518,1.126859,-0.496000,-0.000000,4.391182
0.050000,7.750407,1.870639,7.093241,1.102059,-0.496000,0.000000,4.374014
0.050000,7.732160,1.819303,7.147724,1.077259,-0.496000,0.000000,4.369836
0.050000,7.714425,1.769100,7.200967,1.052459,-0.496000,-0.000000,4.377765
0.050000,7.697774,1.719836,7.252969,1.027659,-0.496000,0.000000,4.397023
