dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.193498,2.689775,0.002447,0.048947,0.489474,4.894737,6.282783
0.100000,0.200310,2.689766,0.009259,0.068115,0.191676,-2.977977,6.280967
0.100000,0.211683,2.689724,0.020632,0.113732,0.456169,2.644929,6.278010
0.100000,0.227649,2.689609,0.036598,0.159660,0.459280,0.031115,6.274020
0.100000,0.248250,2.689370,0.057201,0.206025,0.463650,0.043692,6.269145
0.100000,0.273541,2.688943,0.082496,0.252953,0.469285,0.056355,6.263580
0.100000,0.303591,2.688262,0.112553,0.300573,0.476192,0.069069,6.257560
0.100000,0.338477,2.687257,0.147454,0.349010,0.484370,0.081783,6.251365
0.100000,0.378292,2.685866,0.187293,0.398391,0.493814,0.094438,6.245318
0.100000,0.423139,2.684037,0.232177,0.448842,0.504513,0.106993,6.239787
0.100000,0.473135,2.681744,0.282226,0.500488,0.516457,0.119440,6.235180
0.100000,0.528412,2.678990,0.337571,0.553452,0.529640,0.131828,6.231947
0.100000,0.589115,2.675824,0.398357,0.607859,0.544066,0.144255,6.230583
0.100000,0.655408,2.672354,0.464741,0.663834,0.559750,0.156838,6.231625
0.100000,0.727469,2.668763,0.536891,0.721505,0.576713,0.169632,6.235654
0.100000,0.805494,2.665328,0.614991,0.781001,0.594960,0.182473,6.243295
0.100000,0.889689,2.662444,0.699236,0.842444,0.614433,0.194730,6.255215
0.100000,0.980264,2.660645,0.789829,0.905937,0.634924,0.204913,6.272116
0.100000,1.073358,2.660363,0.882923,0.930941,0.250047,-3.848778,0.000000
0.100000,1.168806,2.660363,0.978371,0.954474,0.235324,-0.147229,0.000000
0.100000,1.269148,2.660363,1.078713,1.003421,0.489474,2.541500,0.000000
0.100000,1.374384,2.660363,1.183950,1.052368,0.489474,0.000000,0.000000
0.100000,1.484516,2.660363,1.294081,1.101316,0.489474,-0.000000,0.000000
0.100000,1.599542,2.660363,1.409108,1.150263,0.489474,-0.000000,0.000000
0.100000,1.719463,2.660363,1.529029,1.199211,0.489474,0.000000,0.000000
0.100000,1.846824,2.661140,1.656392,1.273629,0.744181,2.547077,0.011139
0.100000,1.977481,2.662906,1.787061,1.306690,0.330612,-4.135698,0.014420
0.100000,2.110351,2.664536,1.919941,1.328803,0.221127,-1.094847,0.008516
0.100000,2.245138,2.664715,2.054728,1.347872,0.190697,-0.304303,6.275572
0.100000,2.381496,2.661939,2.191114,1.363858,0.159856,-0.308408,6.248168
0.100000,2.519630,2.654539,2.329446,1.383320,0.194620,0.347639,6.212752
0.100000,2.668415,2.642487,2.478719,1.492730,1.094105,8.994851,6.195945
0.100000,2.828907,2.628678,2.639803,1.610846,1.181159,0.870543,6.202813
0.100000,3.002078,2.617228,2.813353,1.735492,1.246459,0.653001,6.235621
0.100000,3.163507,2.608059,2.975041,1.616887,-1.186054,-24.325129,6.213081
0.100000,3.332587,2.594732,3.144646,1.696044,0.791568,19.776219,6.198848
0.100000,3.511459,2.579607,3.324156,1.795106,0.990623,1.990550,6.201768
0.100000,3.702387,2.566352,3.515544,1.913877,1.187716,1.970924,6.230990
0.100000,3.892006,2.558242,3.705336,1.897919,-0.159586,-13.473015,6.243977
0.100000,4.071025,2.549701,3.884558,1.792225,-1.056938,-8.973520,6.220788
0.100000,4.239017,2.534753,4.053215,1.686564,-1.056614,0.003242,6.161498
0.100000,4.442803,2.514631,4.257992,2.047772,3.612085,46.686984,6.228084
0.100000,4.640082,2.508688,4.455360,1.973679,-0.740933,-43.530175,6.267048
0.100000,4.816956,2.504174,4.632292,1.769320,-2.043584,-13.026515,6.236030
0.100000,4.981805,2.490051,4.797745,1.654528,-1.147921,8.956630,6.167434
0.100000,5.169523,2.467828,4.986774,1.890292,2.357633,35.055544,6.177810
0.100000,5.383411,2.454467,5.201078,2.143046,2.527544,1.699107,6.277161
0.100000,5.617232,2.475014,5.435800,2.347215,2.041693,-4.858511,0.161739
0.100000,5.804841,2.509583,5.626568,1.907679,-4.395366,-64.370592,0.178081
0.100000,5.949954,2.528018,5.772846,1.462786,-4.448931,-0.535650,0.042476
0.100000,6.127331,2.526955,5.950227,1.773803,3.110171,75.591027,0.015388
0.100000,6.323126,2.534271,6.146158,1.959315,1.855128,-12.550432,0.050814
0.100000,6.500533,2.542523,6.323757,1.775993,-1.833229,-36.883569,0.033220
0.100000,6.658756,2.543199,6.481982,1.582247,-1.937459,-1.042302,6.249333
0.100000,6.855948,2.545813,6.679191,1.972093,3.898460,58.359186,0.051991
0.100000,7.016113,2.553715,6.839551,1.603592,-3.685011,-75.834705,0.025658
0.100000,7.137088,2.549744,6.960591,1.210403,-3.931890,-2.468796,6.164993
0.100000,7.221859,2.530113,7.047605,0.870143,-3.402592,5.292980,5.921801
0.100000,7.342437,2.469538,7.182543,1.349383,4.792398,81.949907,5.860488
0.100000,7.486580,2.411917,7.337777,1.552337,2.029537,-27.628615,5.883691
0.100000,7.523320,2.393154,7.379031,0.412540,-11.397968,-134.275049,5.533649
0.100000,7.528156,2.382270,7.390942,0.119107,-2.934330,84.636385,5.100761
0.100000,7.537494,2.337595,7.436582,0.456403,3.372954,63.072840,4.799538
0.100000,7.537191,2.251007,7.523170,0.865880,4.094777,7.218224,4.654934
0.100000,7.528758,2.157645,7.616913,0.937429,0.715486,-33.792907,4.553177
0.100000,7.509889,2.075159,7.701529,0.846157,-0.912717,-16.282036,4.435256
0.100000,7.480053,1.982418,7.798951,0.974226,1.280691,21.934086,4.377814
0.100000,7.443884,1.880348,7.907240,1.082892,1.086654,-1.940371,4.374286
0.100000,7.410489,1.780883,8.012162,1.049212,-0.336798,-14.234517,4.377890
0.100000,7.387524,1.727974,8.069840,0.576780,-4.724316,-43.875180,4.234778
0.100000,7.355324,1.673711,8.132938,0.630981,0.542004,52.663192,4.126914
0.100000,7.315008,1.617763,8.201897,0.689597,0.586163,0.441594,4.055819
0.100000,7.268836,1.560493,8.275462,0.735649,0.460516,-1.256466,4.017212
0.100000,7.219317,1.502058,8.352057,0.765950,0.303010,-1.575059,4.005723
0.100000,7.172714,1.447147,8.424078,0.720208,-0.457421,-7.604310,3.997212
0.100000,7.151904,1.426705,8.453249,0.291709,-4.284989,-38.275688,3.856959
0.100000,7.120522,1.402046,8.493160,0.399116,1.074075,53.590646,3.770196
0.100000,7.080779,1.374618,8.541449,0.482883,0.837667,-2.364084,3.728838
0.100000,7.035881,1.345096,8.595183,0.537343,0.544601,-2.930660,3.722869
0.100000,6.988730,1.313531,8.651925,0.567416,0.300736,-2.438643,3.743956
0.100000,6.941797,1.279913,8.709656,0.577308,0.098919,-2.018179,3.785197
0.100000,6.897234,1.244602,8.766513,0.568575,-0.087336,-1.862541,3.840216
0.100000,6.856860,1.208532,8.820652,0.541392,-0.271831,-1.844959,3.902691
0.100000,6.822009,1.173178,8.870296,0.496439,-0.449522,-1.776902,3.966533
0.100000,6.793383,1.140285,8.913901,0.436050,-0.603899,-1.543773,4.026451
0.100000,6.771064,1.111530,8.950301,0.364002,-0.720473,-1.165744,4.078453
0.100000,6.754695,1.088271,8.978743,0.284421,-0.795809,-0.753358,4.119959
0.100000,6.743735,1.071456,8.998815,0.200716,-0.837053,-0.412438,4.149563
0.100000,6.737675,1.061666,9.010328,0.115132,-0.855837,-0.187841,4.166621
0.100000,6.735812,1.058581,9.013932,0.036038,-0.790945,0.648919,4.171969
0.100000,6.735812,1.058581,9.013932,0.000000,-0.360378,4.305676,4.171969
