dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.193782,3.273975,0.002493,0.049858,0.498583,4.985834,6.282772
0.100000,0.201801,3.273964,0.010512,0.080191,0.303325,-1.952582,6.280922
0.100000,0.215145,3.273914,0.023856,0.133437,0.532458,2.291330,6.277912
0.100000,0.233780,3.273777,0.042492,0.186360,0.529229,-0.032293,6.273854
0.100000,0.257662,3.273495,0.066375,0.238829,0.524694,-0.045346,6.268901
0.100000,0.286729,3.272997,0.095446,0.290714,0.518846,-0.058484,6.263255
0.100000,0.320908,3.272209,0.129634,0.341881,0.511679,-0.071673,6.257160
0.100000,0.360111,3.271064,0.168854,0.392201,0.503193,-0.084857,6.250907
0.100000,0.404237,3.269501,0.213008,0.441540,0.493396,-0.097974,6.244832
0.100000,0.453173,3.267482,0.261985,0.489770,0.482297,-0.110986,6.239315
0.100000,0.506791,3.265000,0.315661,0.536761,0.469908,-0.123892,6.234779
0.100000,0.564957,3.262083,0.373900,0.582384,0.456233,-0.136751,6.231694
0.100000,0.627522,3.258811,0.436551,0.626511,0.441265,-0.149675,6.230570
0.100000,0.694332,3.255324,0.503452,0.669009,0.424986,-0.162792,6.231966
0.100000,0.765221,3.251832,0.574426,0.709746,0.407371,-0.176152,6.236485
0.100000,0.840011,3.248624,0.649285,0.748588,0.388416,-0.189545,6.244775
0.100000,0.918510,3.246081,0.727826,0.785407,0.368194,-0.202221,6.257527
0.100000,1.000509,3.244679,0.809836,0.820102,0.346950,-0.212445,6.275469
0.100000,1.085062,3.245031,0.894390,0.845540,0.254376,-0.925737,0.016216
0.100000,1.177545,3.247381,0.986903,0.925129,0.795887,5.415114,0.032340
0.100000,1.278778,3.250935,1.088198,1.012952,0.878232,0.823450,0.035471
0.100000,1.389403,3.254340,1.198876,1.106781,0.938292,0.600593,0.023546
0.100000,1.510101,3.255580,1.319580,1.207039,1.002580,0.642885,6.277539
0.100000,1.641414,3.251822,1.450946,1.313664,1.066251,0.636712,6.228883
0.100000,1.775055,3.240586,1.585060,1.341132,0.274681,-7.915708,6.185601
0.100000,1.891628,3.231509,1.701985,1.169254,-1.718778,-19.934585,6.220545
0.100000,2.021147,3.224235,1.831709,1.297235,1.279808,29.985863,6.228764
0.100000,2.164314,3.215229,1.975158,1.434494,1.372587,0.927786,6.207053
0.100000,2.321654,3.199256,2.133307,1.581492,1.469977,0.973903,6.152027
0.100000,2.477615,3.173330,2.291408,1.581006,-0.004858,-14.748354,6.111933
0.100000,2.615089,3.153075,2.430366,1.389585,-1.914206,-19.093475,6.156773
0.100000,2.766195,3.135561,2.582483,1.521173,1.315874,32.300793,6.173667
0.100000,2.931220,3.116685,2.748584,1.661010,1.398378,0.825047,6.159757
0.100000,3.103986,3.091778,2.923137,1.745527,0.845167,-5.532114,6.131560
0.100000,3.241778,3.079390,3.061485,1.383476,-3.620514,-44.656812,6.237914
0.100000,3.402744,3.074894,3.222514,1.610288,2.268126,58.886399,6.258161
0.100000,3.582097,3.066051,3.402084,1.795706,1.854177,-4.139492,6.197777
0.100000,3.775621,3.037365,3.597723,1.956389,1.606834,-2.473422,6.064914
0.100000,3.902683,3.012043,3.727284,1.295608,-6.607809,-82.146430,6.139398
0.100000,4.044944,2.993709,3.870721,1.434372,1.387632,79.954412,6.151599
0.100000,4.212120,2.964733,4.040389,1.696681,2.623089,12.354563,6.056713
0.100000,4.394380,2.905246,4.232112,1.917224,2.205436,-4.176531,5.868499
0.100000,4.476105,2.866186,4.322691,0.905796,-10.114280,-123.197157,6.008669
0.100000,4.561900,2.851618,4.409714,0.870230,-0.355660,97.586198,6.145542
0.100000,4.726962,2.818182,4.578129,1.684147,8.139173,84.948333,5.986228
0.100000,4.882059,2.748476,4.748170,1.700408,0.162603,-79.765699,5.802081
0.100000,4.969449,2.706130,4.845279,0.971092,-7.293159,-74.557619,5.853373
0.100000,5.065058,2.663150,4.950104,1.048255,0.771635,80.647941,5.861215
0.100000,5.165655,2.616507,5.060989,1.108845,0.605894,-1.657414,5.831232
0.100000,5.246796,2.575063,5.152101,0.911119,-1.977255,-25.831487,5.850438
0.100000,5.294833,2.558364,5.202958,0.508573,-4.025460,-20.482052,5.991713
0.100000,5.385718,2.530933,5.297892,0.949341,4.407673,84.331326,5.965128
0.100000,5.507524,2.480018,5.429912,1.320193,3.708522,-6.991502,5.793964
0.100000,5.636132,2.386986,5.588641,1.587291,2.670984,-10.375387,5.513049
0.100000,5.717545,2.286282,5.718137,1.294959,-2.923322,-55.943058,5.314741
0.100000,5.709649,2.296045,5.730692,0.125558,-11.694013,-87.706908,5.587919
0.100000,5.733199,2.279489,5.759480,0.287873,1.623152,133.171653,5.702418
0.100000,5.784819,2.245701,5.821174,0.616944,3.290712,16.675593,5.687227
0.100000,5.853342,2.193750,5.907164,0.859904,2.429594,-8.611175,5.571626
0.100000,5.924070,2.120580,6.008930,1.017660,1.577566,-8.520282,5.384605
0.100000,5.969196,2.054392,6.089038,0.801076,-2.165839,-37.434054,5.253703
0.100000,5.996667,2.005142,6.145431,0.563929,-2.371467,-2.056277,5.188355
0.100000,6.018062,1.960464,6.194967,0.495363,-0.685660,16.858067,5.129421
0.100000,6.034194,1.921389,6.237242,0.422743,-0.726208,-0.405480,5.078289
0.100000,6.045935,1.888689,6.271986,0.347441,-0.753014,-0.268054,5.035874
0.100000,6.054110,1.862891,6.299048,0.270624,-0.768168,-0.151543,5.002693
0.100000,6.059418,1.844323,6.318360,0.193114,-0.775102,-0.069338,4.978981
0.100000,6.062379,1.833171,6.329898,0.115385,-0.777289,-0.021873,4.964812
0.100000,6.063326,1.829465,6.333723,0.038253,-0.771326,0.059627,4.960116
0.100000,6.063326,1.829465,6.333723,0.000000,-0.382526,3.888000,4.960116
0.100000,6.063326,1.829465,6.333723,0.000000,0.000000,3.825265,4.960116
