dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.193661,2.981875,0.002493,0.049858,0.498583,4.985834,6.282772
0.100000,0.201140,2.981865,0.009972,0.099717,0.498583,0.000000,6.280922
0.100000,0.213605,2.981818,0.022436,0.149575,0.498583,0.000000,6.277912
0.100000,0.231055,2.981690,0.039887,0.199433,0.498583,0.000000,6.273854
0.100000,0.253489,2.981425,0.062323,0.249292,0.498583,0.000000,6.268901
0.100000,0.280907,2.980955,0.089745,0.299150,0.498583,0.000000,6.263255
0.100000,0.313307,2.980208,0.122153,0.349008,0.498583,0.000000,6.257160
0.100000,0.350684,2.979116,0.159547,0.398867,0.498583,0.000000,6.250907
0.100000,0.393037,2.977616,0.201926,0.448725,0.498583,-0.000000,6.244832
0.100000,0.440362,2.975664,0.249292,0.498583,0.498583,0.000000,6.239315
0.100000,0.492658,2.973242,0.301643,0.548442,0.498583,-0.000000,6.234779
0.100000,0.549923,2.970370,0.358980,0.598300,0.498583,0.000000,6.231694
0.100000,0.612160,2.967115,0.421303,0.648158,0.498583,0.000000,6.230570
0.100000,0.679378,2.963607,0.488612,0.698017,0.498583,0.000000,6.231966
0.100000,0.751585,2.960050,0.560906,0.747875,0.498583,0.000000,6.236485
0.100000,0.828794,2.956739,0.638187,0.797733,0.498583,0.000000,6.244775
0.100000,0.911017,2.954077,0.720453,0.847592,0.498583,0.000000,6.257527
0.100000,0.998255,2.952588,0.807705,0.897450,0.498583,-0.000000,6.275469
0.100000,1.089798,2.952969,0.899943,0.947309,0.498583,0.000000,0.016216
0.100000,1.186990,2.955434,0.997167,0.997167,0.498583,0.000000,0.032340
0.100000,1.289137,2.959019,1.099376,1.047025,0.498583,-0.000000,0.035471
0.100000,1.396281,2.962321,1.206572,1.096884,0.498583,0.000000,0.023546
0.100000,1.508452,2.963484,1.318753,1.146742,0.498583,0.000000,6.277539
0.100000,1.625560,2.960153,1.435920,1.196600,0.498583,0.000000,6.228883
0.100000,1.746596,2.949876,1.558073,1.246459,0.498583,0.000000,6.185601
0.100000,1.873343,2.939982,1.685212,1.296317,0.498583,0.000000,6.220545
0.100000,2.005259,2.932567,1.817337,1.346175,0.498583,0.000000,6.228764
0.100000,2.142097,2.923975,1.954447,1.396034,0.498583,0.000000,6.207053
0.100000,2.283453,2.909664,2.096543,1.445892,0.498583,0.000000,6.152027
0.100000,2.427836,2.885503,2.243625,1.495750,0.498583,0.000000,6.111933
0.100000,2.578262,2.863306,2.395693,1.545609,0.498583,0.000000,6.156773
0.100000,2.734268,2.845211,2.552747,1.595467,0.498583,0.000000,6.173667
0.100000,2.895258,2.826807,2.714787,1.645325,0.498583,0.000000,6.159757
0.100000,3.059866,2.803029,2.881812,1.695184,0.498583,0.000000,6.131560
0.100000,3.228559,2.787589,3.051291,1.694395,-0.007891,-5.064743,6.237914
0.100000,3.395435,2.782885,3.218238,1.644536,-0.498583,-4.906926,6.258161
0.100000,3.557179,2.775016,3.380198,1.594678,-0.498583,0.000000,6.197777
0.100000,3.712369,2.752195,3.537173,1.544820,-0.498583,-0.000000,6.064914
0.100000,3.860828,2.722957,3.689162,1.494961,-0.498583,0.000000,6.139398
0.100000,4.006619,2.704134,3.836166,1.445103,-0.498583,0.000000,6.151599
0.100000,4.146531,2.680092,3.978183,1.395245,-0.498583,0.000000,6.056713
0.100000,4.276692,2.637904,4.115214,1.345386,-0.498583,0.000000,5.868499
0.100000,4.396922,2.585024,4.247260,1.295528,-0.498583,0.000000,6.008669
0.100000,4.521821,2.562281,4.374320,1.245669,-0.498583,0.000000,6.145542
0.100000,4.641490,2.538867,4.496394,1.195811,-0.498583,0.000000,5.986228
0.100000,4.746887,2.489534,4.613482,1.145953,-0.498583,0.000000,5.802081
0.100000,4.847730,2.440598,4.725585,1.096094,-0.498583,0.000000,5.853373
0.100000,4.945426,2.396672,4.832701,1.046236,-0.498583,0.000000,5.861215
0.100000,5.038088,2.353735,4.934832,0.996378,-0.498583,-0.000000,5.831232
0.100000,5.124299,2.309890,5.031977,0.946519,-0.498583,0.000000,5.850438
0.100000,5.210894,2.278584,5.124136,0.896661,-0.498583,0.000000,5.991713
0.100000,5.294372,2.253484,5.211309,0.846803,-0.498583,0.000000,5.965128
0.100000,5.370255,2.222181,5.293496,0.796944,-0.498583,-0.000000,5.793964
0.100000,5.432762,2.177312,5.370698,0.747086,-0.498583,0.000000,5.513049
0.100000,5.476853,2.120784,5.442913,0.697228,-0.498583,0.000000,5.314741
0.100000,5.522533,2.071747,5.510143,0.647369,-0.498583,0.000000,5.587919
0.100000,5.572934,2.035281,5.572387,0.597511,-0.498583,0.000000,5.702418
0.100000,5.620862,2.003956,5.629645,0.547653,-0.498583,-0.000000,5.687227
0.100000,5.662596,1.972529,5.681918,0.497794,-0.498583,0.000000,5.571626
0.100000,5.695518,1.938683,5.729204,0.447936,-0.498583,-0.000000,5.384605
0.100000,5.718857,1.903883,5.771505,0.398078,-0.498583,0.000000,5.253703
0.100000,5.737034,1.871303,5.808820,0.348219,-0.498583,-0.000000,5.188355
0.100000,5.750996,1.842150,5.841149,0.298361,-0.498583,-0.000000,5.129421
0.100000,5.761430,1.816879,5.868492,0.248503,-0.498583,0.000000,5.078289
0.100000,5.768985,1.795838,5.890849,0.198644,-0.498583,-0.000000,5.035874
0.100000,5.774233,1.779279,5.908221,0.148786,-0.498583,0.000000,5.002693
0.100000,5.777637,1.767371,5.920607,0.098928,-0.498583,0.000000,4.978981
0.100000,5.779536,1.760219,5.928006,0.049069,-0.498583,0.000000,4.964812
0.100000,5.780143,1.757842,5.930460,0.000000,-0.490693,0.078908,4.960116
0.100000,5.780143,1.757842,5.930460,0.000000,0.000000,4.906926,4.960116
0.100000,5.780143,1.757842,5.930460,0.000000,0.000000,0.000000,4.960116
