dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.324613,2.611569,0.000625,0.024991,0.499815,9.996292,6.283182
0.050000,1.326476,2.611569,0.002487,0.037246,0.245109,-5.094109,6.283148
0.050000,1.329576,2.611569,0.005587,0.062006,0.495195,5.001725,6.283082
0.050000,1.333909,2.611568,0.009920,0.086659,0.493065,-0.042615,6.282968
0.050000,1.339467,2.611566,0.015478,0.111163,0.490081,-0.059665,6.282786
0.050000,1.346241,2.611563,0.022252,0.135476,0.486245,-0.076720,6.282508
0.050000,1.354218,2.611556,0.030230,0.159553,0.481556,-0.093785,6.282102
0.050000,1.363386,2.611543,0.039398,0.183354,0.476013,-0.110864,6.281529
0.050000,1.373728,2.611522,0.049739,0.206835,0.469615,-0.127968,6.280744
0.050000,1.385225,2.611488,0.061237,0.229953,0.462360,-0.145100,6.279695
0.050000,1.397859,2.611436,0.073870,0.252665,0.454246,-0.162273,6.278326
0.050000,1.411605,2.611357,0.087617,0.274929,0.445271,-0.179490,6.276573
0.050000,1.426439,2.611243,0.102452,0.296700,0.435434,-0.196755,6.274368
0.050000,1.442335,2.611082,0.118349,0.317937,0.424731,-0.214058,6.271635
0.050000,1.459264,2.610859,0.135278,0.338595,0.413162,-0.231371,6.268292
0.050000,1.477193,2.610556,0.153210,0.358631,0.400730,-0.248647,6.264254
0.050000,1.496089,2.610154,0.172110,0.378003,0.387441,-0.265778,6.259425
0.050000,1.515915,2.609627,0.191943,0.396669,0.373310,-0.282615,6.253706
0.050000,1.536633,2.608948,0.212673,0.414587,0.358365,-0.298909,6.246994
0.050000,1.558202,2.608084,0.234259,0.431720,0.342650,-0.314295,6.239176
0.050000,1.580577,2.606999,0.256660,0.448032,0.326237,-0.328252,6.230138
0.050000,1.603713,2.605652,0.279835,0.463493,0.309235,-0.340053,6.219761
0.050000,1.627560,2.603998,0.303739,0.478083,0.291799,-0.348714,6.207921
0.050000,1.652067,2.601987,0.328329,0.491791,0.274152,-0.352937,6.194495
0.050000,1.677181,2.599565,0.353560,0.504621,0.256598,-0.351075,6.179359
0.050000,1.710214,2.596138,0.386770,0.664209,3.191766,58.703345,6.185016
0.050000,1.747344,2.592706,0.424058,0.745751,1.630838,-31.218560,6.196757
0.050000,1.785237,2.589625,0.462076,0.760361,0.292206,-26.772636,6.207038
0.050000,1.823810,2.586855,0.500749,0.773454,0.261848,-0.607157,6.215646
0.050000,1.862979,2.584344,0.539998,0.784993,0.230795,-0.621065,6.222363
0.050000,1.902659,2.582027,0.579745,0.794939,0.198906,-0.637765,6.226964
0.050000,1.942760,2.579824,0.619907,0.803239,0.166000,-0.658135,6.229218
0.050000,1.983193,2.577642,0.660399,0.809832,0.131877,-0.682460,6.228885
0.050000,2.023862,2.575377,0.701131,0.814651,0.096368,-0.710173,6.225716
0.050000,2.064669,2.572912,0.742012,0.817621,0.059396,-0.739444,6.219451
0.050000,2.105507,2.570120,0.782946,0.818674,0.021063,-0.766662,6.209820
0.050000,2.146266,2.566865,0.823834,0.817762,-0.018227,-0.785799,6.196548
0.050000,2.186827,2.563005,0.864578,0.814882,-0.057612,-0.787699,6.179357
