dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,-0.190767,3.528476,0.002447,0.048947,0.489474,4.894737,0.785466
0.100000,-0.185659,3.533586,0.009673,0.072256,0.233088,-2.563862,0.785794
0.100000,-0.177138,3.542118,0.021731,0.120576,0.483200,2.501122,0.786298
0.100000,-0.165194,3.554091,0.038643,0.169120,0.485438,0.022379,0.786916
0.100000,-0.149809,3.569533,0.060440,0.217977,0.488570,0.031323,0.787559
0.100000,-0.130959,3.588476,0.087164,0.267236,0.492596,0.040260,0.788114
0.100000,-0.108610,3.610955,0.118863,0.316988,0.497516,0.049196,0.788443
0.100000,-0.082716,3.637008,0.155595,0.367321,0.503330,0.058139,0.788382
0.100000,-0.053217,3.666668,0.197427,0.418325,0.510040,0.067101,0.787743
0.100000,-0.020033,3.699965,0.244436,0.470090,0.517650,0.076101,0.786312
0.100000,0.016937,3.736917,0.296707,0.522706,0.526165,0.085154,0.783848
0.100000,0.057821,3.777529,0.354333,0.576266,0.535592,0.094270,0.780088
0.100000,0.102780,3.821784,0.417419,0.630859,0.545935,0.103425,0.774740
0.100000,0.152011,3.869640,0.486077,0.686578,0.557188,0.112535,0.767488
0.100000,0.205755,3.921017,0.560428,0.743511,0.569329,0.121407,0.757989
0.100000,0.264303,3.975790,0.640602,0.801740,0.582295,0.129657,0.745880
0.100000,0.327997,4.033773,0.726736,0.861336,0.595956,0.136615,0.730775
0.100000,0.397234,4.094711,0.818970,0.922343,0.610075,0.141188,0.712277
0.100000,0.472468,4.158253,0.917447,0.984768,0.624246,0.141710,0.689988
0.100000,0.552999,4.223002,1.020780,1.033335,0.485668,-1.385778,0.664344
0.100000,0.639308,4.288972,1.129414,1.086331,0.529960,0.442924,0.641022
0.100000,0.731155,4.355824,1.243014,1.136004,0.496729,-0.332312,0.617495
0.100000,0.828576,4.423283,1.361511,1.184975,0.489711,-0.070186,0.593961
0.100000,0.931581,4.491092,1.484832,1.233206,0.482315,-0.073960,0.570628
0.100000,1.040150,4.559017,1.612899,1.280672,0.474656,-0.076589,0.547712
0.100000,1.154241,4.626856,1.745635,1.327357,0.466851,-0.078048,0.525433
0.100000,1.273783,4.694444,1.882961,1.373258,0.459010,-0.078408,0.504010
0.100000,1.398684,4.761657,2.024799,1.418381,0.451226,-0.077837,0.483664
0.100000,1.528833,4.828420,2.171072,1.462737,0.443567,-0.076595,0.464609
0.100000,1.663645,4.894487,2.321203,1.501305,0.385679,-0.578882,0.446713
0.100000,1.806050,4.960729,2.478261,1.570577,0.692721,3.070418,0.424858
0.100000,1.952742,5.025493,2.638613,1.603523,0.329453,-3.632674,0.407507
0.100000,2.103241,5.089280,2.802072,1.634588,0.310650,-0.188033,0.395188
0.100000,2.255648,5.152174,2.966946,1.648742,0.141543,-1.691071,0.390403
0.100000,2.404803,5.215698,3.129065,1.621189,-0.275529,-4.170720,0.409376
0.100000,2.568823,5.286096,3.307554,1.784891,1.637016,19.125456,0.396082
0.100000,2.751133,5.357757,3.503442,1.958885,1.739946,1.029295,0.347572
0.100000,2.955265,5.422478,3.717589,2.141469,1.825841,0.858948,0.261349
0.100000,3.143014,5.466519,3.910434,1.928451,-2.130185,-39.560252,0.239276
0.100000,3.315327,5.511411,4.088499,1.780648,-1.478023,6.521617,0.261580
0.100000,3.505301,5.560193,4.284636,1.961369,1.807207,32.852303,0.233054
0.100000,3.715602,5.602111,4.499074,2.144379,1.830099,0.228915,0.152919
0.100000,3.946835,5.623181,4.731265,2.321912,1.775328,-0.547708,0.022557
0.100000,4.171510,5.611893,4.956223,2.249580,-0.723323,-24.986512,6.191752
0.100000,4.329984,5.604116,5.114888,1.586650,-6.629300,-59.059767,6.268513
0.100000,4.503145,5.605320,5.288053,1.731651,1.450019,80.793183,0.021394
0.100000,4.690380,5.609599,5.475337,1.872836,1.411845,-0.381732,0.017784
0.100000,4.891806,5.609433,5.676763,2.014265,1.414293,0.024475,6.257542
0.100000,5.107252,5.595446,5.892663,2.158998,1.447328,0.330347,6.173278
0.100000,5.333779,5.556736,6.122474,2.298105,1.391065,-0.562630,6.049663
0.100000,5.562714,5.483698,6.362778,2.403039,1.049345,-3.417200,5.896287
0.100000,5.765047,5.385868,6.587520,2.247421,-1.556176,-26.055211,5.784367
0.100000,5.945985,5.278717,6.797805,2.102855,-1.445660,1.105169,5.715956
0.100000,6.113803,5.165912,7.000013,2.022073,-0.807821,6.378386,5.670329
0.100000,6.271023,5.052252,7.194014,1.940014,-0.820591,-0.127700,5.647816
0.100000,6.420402,4.941718,7.379842,1.858285,-0.817296,0.032953,5.648299
0.100000,6.592735,4.806564,7.598852,2.190091,3.318059,41.353544,5.552961
0.100000,6.758083,4.634103,7.837772,2.389207,1.991163,-13.268957,5.403512
0.100000,6.892645,4.448936,8.066668,2.288961,-1.002461,-29.936240,5.282488
0.100000,7.001277,4.260854,8.283868,2.171997,-1.169642,-1.671808,5.194553
0.100000,7.088114,4.086513,8.478639,1.947707,-2.242892,-10.732503,5.167475
0.100000,7.175092,3.896283,8.687810,2.091709,1.440021,36.829131,5.102207
0.100000,7.250514,3.666674,8.929489,2.416798,3.250881,18.108595,4.944919
0.100000,7.281478,3.395901,9.202027,2.725375,3.085771,-1.651100,4.699622
0.100000,7.239160,3.116702,9.484414,2.823873,0.984988,-21.007829,4.425944
0.100000,7.195558,2.952727,9.654087,1.696729,-11.271441,-122.564281,4.468889
0.100000,7.149654,2.768650,9.843802,1.897151,2.004221,132.756612,4.458438
0.100000,7.091501,2.568005,10.052704,2.089016,1.918650,-0.855709,4.393932
0.100000,7.007741,2.355177,10.281421,2.287176,1.981595,0.629450,4.273412
0.100000,6.884977,2.141586,10.527779,2.463574,1.763980,-2.176144,4.102832
0.100000,6.725116,1.953105,10.774924,2.471451,0.078776,-16.852043,3.926506
0.100000,6.588463,1.818374,10.966826,1.919018,-5.524331,-56.031071,3.909903
0.100000,6.442619,1.682236,11.166336,1.995099,0.760811,62.851425,3.871877
0.100000,6.284254,1.548343,11.373717,2.073811,0.787112,0.263010,3.811662
0.100000,6.110324,1.421433,11.589025,2.153081,0.792701,0.055883,3.729070
0.100000,5.919089,1.307529,11.811612,2.225873,0.727927,-0.647738,3.625903
0.100000,5.711425,1.213339,12.039639,2.280266,0.543922,-1.840049,3.507341
0.100000,5.515593,1.147053,12.246385,2.067460,-2.128060,-26.719817,3.446050
0.100000,5.326773,1.090959,12.443361,1.969758,-0.977013,11.510466,3.415163
0.100000,5.137457,1.040712,12.639232,1.958710,-0.110485,8.665283,3.387386
0.100000,4.947991,0.995701,12.833971,1.947392,-0.113178,-0.026931,3.362797
0.100000,4.758659,0.955294,13.027566,1.935952,-0.114403,-0.012256,3.341427
