dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.059652,3.276000,0.000620,0.024800,0.496000,9.920000,0.785382
0.050000,0.060721,3.277069,0.002480,0.049600,0.496000,0.000000,0.785468
0.050000,0.062912,3.279261,0.005580,0.074400,0.496000,0.000000,0.785609
0.050000,0.065980,3.282331,0.009920,0.099200,0.496000,0.000000,0.785800
0.050000,0.069924,3.286279,0.015500,0.124000,0.496000,-0.000000,0.786036
0.050000,0.074743,3.291105,0.022320,0.148800,0.496000,0.000000,0.786310
0.050000,0.080436,3.296810,0.030380,0.173600,0.496000,-0.000000,0.786612
0.050000,0.087003,3.303395,0.039680,0.198400,0.496000,0.000000,0.786933
0.050000,0.094443,3.310861,0.050220,0.223200,0.496000,-0.000000,0.787260
0.050000,0.102756,3.319208,0.062000,0.248000,0.496000,0.000000,0.787579
0.050000,0.111941,3.328436,0.075020,0.272800,0.496000,0.000000,0.787876
0.050000,0.121998,3.338545,0.089280,0.297600,0.496000,-0.000000,0.788132
0.050000,0.132927,3.349537,0.104780,0.322400,0.496000,0.000000,0.788330
0.050000,0.144728,3.361409,0.121520,0.347200,0.496000,0.000000,0.788450
0.050000,0.157403,3.374162,0.139500,0.372000,0.496000,0.000000,0.788469
0.050000,0.170952,3.387793,0.158720,0.396800,0.496000,-0.000000,0.788364
0.050000,0.185378,3.402302,0.179180,0.421600,0.496000,-0.000000,0.788111
0.050000,0.200684,3.417685,0.200880,0.446400,0.496000,0.000000,0.787682
0.050000,0.216873,3.433938,0.223820,0.471200,0.496000,0.000000,0.787049
0.050000,0.233950,3.451057,0.248000,0.496000,0.496000,-0.000000,0.786183
0.050000,0.251920,3.469036,0.273420,0.520800,0.496000,0.000000,0.785051
0.050000,0.270791,3.487868,0.300080,0.545600,0.496000,0.000000,0.783621
0.050000,0.290571,3.507544,0.327980,0.570400,0.496000,-0.000000,0.781857
0.050000,0.311271,3.528054,0.357120,0.595200,0.496000,0.000000,0.779724
0.050000,0.332901,3.549387,0.387500,0.620000,0.496000,-0.000000,0.777183
0.050000,0.355475,3.571528,0.419120,0.644800,0.496000,0.000000,0.774194
0.050000,0.379008,3.594462,0.451980,0.669600,0.496000,-0.000000,0.770715
0.050000,0.403519,3.618169,0.486080,0.694400,0.496000,0.000000,0.766704
0.050000,0.429026,3.642629,0.521420,0.719200,0.496000,0.000000,0.762116
0.050000,0.455552,3.667818,0.558000,0.744000,0.496000,0.000000,0.756906
0.050000,0.483121,3.693708,0.595820,0.768800,0.496000,-0.000000,0.751024
0.050000,0.511760,3.720269,0.634880,0.793600,0.496000,0.000000,0.744423
0.050000,0.541499,3.747466,0.675180,0.818400,0.496000,-0.000000,0.737053
0.050000,0.572370,3.775261,0.716720,0.843200,0.496000,0.000000,0.728863
0.050000,0.604408,3.803610,0.759500,0.868000,0.496000,0.000000,0.719802
0.050000,0.637651,3.832466,0.803520,0.892800,0.496000,-0.000000,0.709819
0.050000,0.672139,3.861775,0.848780,0.917600,0.496000,0.000000,0.698863
0.050000,0.707914,3.891479,0.895280,0.942400,0.496000,0.000000,0.686884
0.050000,0.745023,3.921513,0.943020,0.967200,0.496000,-0.000000,0.673836
0.050000,0.782531,3.951063,0.992000,0.992000,0.496000,0.000000,0.661263
0.050000,0.822346,3.981670,1.042220,1.016800,0.496000,0.000000,0.649540
0.050000,0.863510,4.012551,1.093680,1.041600,0.496000,0.000000,0.637747
