dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.312162,3.025616,0.002447,0.048947,0.489474,4.894737,0.785466
0.100000,0.317435,3.030891,0.009906,0.074586,0.256386,-2.330875,0.785794
0.100000,0.326209,3.039676,0.022322,0.124161,0.495748,2.393614,0.786298
0.100000,0.338463,3.051960,0.039673,0.173512,0.493510,-0.022379,0.786916
0.100000,0.354170,3.067726,0.061928,0.222549,0.490377,-0.031322,0.787559
0.100000,0.373299,3.086949,0.089047,0.271185,0.486351,-0.040260,0.788114
0.100000,0.395813,3.109594,0.120979,0.319328,0.481432,-0.049196,0.788443
0.100000,0.421676,3.135617,0.157668,0.366890,0.475618,-0.058139,0.788382
0.100000,0.450856,3.164955,0.199046,0.413780,0.468908,-0.067103,0.787743
0.100000,0.483321,3.197530,0.245037,0.459910,0.461297,-0.076106,0.786312
0.100000,0.519052,3.233244,0.295556,0.505188,0.452780,-0.085166,0.783848
0.100000,0.558038,3.271971,0.350509,0.549523,0.443351,-0.094292,0.780088
0.100000,0.600286,3.313559,0.409791,0.592824,0.433005,-0.103464,0.774740
0.100000,0.645818,3.357820,0.473291,0.634998,0.421745,-0.112600,0.767488
0.100000,0.694679,3.404530,0.540886,0.675958,0.409594,-0.121507,0.757989
0.100000,0.746937,3.453420,0.612448,0.715619,0.396613,-0.129806,0.745880
0.100000,0.802685,3.504173,0.687840,0.753912,0.382930,-0.136830,0.730775
0.100000,0.862046,3.556421,0.766919,0.790790,0.368782,-0.141487,0.712277
0.100000,0.925167,3.609737,0.849543,0.826247,0.354571,-0.142111,0.689988
0.100000,0.991485,3.663060,0.934640,0.850963,0.247161,-1.074095,0.664344
0.100000,1.064616,3.718956,1.026686,0.920466,0.695026,4.478647,0.641022
0.100000,1.142936,3.775960,1.123555,0.968685,0.482187,-2.128389,0.617495
0.100000,1.226598,3.833890,1.225315,1.017606,0.489214,0.070269,0.593961
0.100000,1.315743,3.892573,1.332042,1.067268,0.496619,0.074054,0.570628
0.100000,1.410498,3.951853,1.443812,1.117697,0.504289,0.076696,0.547712
0.100000,1.510970,4.011592,1.560702,1.168907,0.512105,0.078162,0.525433
0.100000,1.617250,4.071679,1.682793,1.220903,0.519957,0.078524,0.504010
0.100000,1.729411,4.132034,1.810161,1.273678,0.527753,0.077953,0.483664
0.100000,1.847503,4.192609,1.942883,1.327220,0.535423,0.076700,0.464609
0.100000,1.970886,4.253076,2.080286,1.374031,0.468104,-0.673190,0.446713
0.100000,2.099201,4.312757,2.221801,1.415153,0.411219,-0.568845,0.424858
0.100000,2.234606,4.372532,2.369813,1.480123,0.649702,2.384824,0.407507
0.100000,2.377040,4.432896,2.524510,1.546971,0.668483,0.187815,0.395188
0.100000,2.526303,4.494488,2.685981,1.614710,0.677390,0.089071,0.390403
0.100000,2.687887,4.563265,2.861594,1.756127,1.414164,7.367737,0.409376
0.100000,2.843208,4.629958,3.030628,1.690344,-0.657822,-20.719858,0.396082
0.100000,2.993379,4.689085,3.192020,1.613919,-0.764249,-1.064275,0.347572
0.100000,3.139028,4.735428,3.344865,1.528442,-0.854775,-0.905260,0.261349
0.100000,3.311568,4.775582,3.522015,1.771507,2.430647,32.854228,0.239276
0.100000,3.499249,4.824405,3.715942,1.939268,1.677613,-7.530339,0.261580
0.100000,3.669552,4.868220,3.891792,1.758498,-1.807697,-34.853104,0.233054
0.100000,3.823935,4.899210,4.049254,1.574619,-1.838790,-0.310934,0.152919
0.100000,3.962877,4.912162,4.188798,1.395443,-1.791767,0.470232,0.022557
0.100000,4.106573,4.903664,4.332746,1.439475,0.440321,22.320881,6.191752
0.100000,4.319549,4.892993,4.545989,2.132433,6.929585,64.892636,6.268513
0.100000,4.518359,4.894282,4.744803,1.988143,-1.442900,-83.724842,0.021394
0.100000,4.703027,4.898512,4.929519,1.847158,-1.409850,0.330495,0.017784
0.100000,4.873570,4.898467,5.100063,1.705439,-1.417195,-0.073445,6.257542
0.100000,5.029244,4.888537,5.256053,1.559897,-1.455415,-0.382207,6.173278
0.100000,5.169204,4.864840,5.398004,1.419519,-1.403785,0.516301,6.049663
0.100000,5.294366,4.825067,5.529334,1.313298,-1.062207,3.415787,5.896287
0.100000,5.424817,4.761329,5.674524,1.451894,1.385956,24.481622,5.784367
0.100000,5.563859,4.678896,5.836165,1.616417,1.645239,2.592831,5.715956
0.100000,5.704717,4.584144,6.005926,1.697603,0.811852,-8.333864,5.670329
0.100000,5.848944,4.479841,6.183916,1.779906,0.823033,0.111806,5.647816
0.100000,5.998599,4.369103,6.370088,1.861714,0.818081,-0.049521,5.648299
0.100000,6.118338,4.276703,6.521333,1.512454,-3.492595,-43.106761,5.552961
0.100000,6.210082,4.180782,6.654065,1.327320,-1.851342,16.412534,5.403512
0.100000,6.293923,4.065091,6.796941,1.428765,1.014445,28.657869,5.282488
0.100000,6.371158,3.931073,6.951622,1.546803,1.180385,1.659402,5.194553
0.100000,6.449297,3.773912,7.127136,1.755144,2.083408,9.030230,5.167475
0.100000,6.517247,3.626013,7.289898,1.627617,-1.275276,-33.586837,5.102207
0.100000,6.558455,3.502784,7.419834,1.299359,-3.282575,-20.072994,4.944919
0.100000,6.570336,3.404981,7.518357,0.985228,-3.141306,1.412687,4.699622
0.100000,6.556938,3.317647,7.606712,0.883549,-1.016792,21.245143,4.425944
0.100000,6.505338,3.124198,7.806924,2.002126,11.185772,122.025641,4.468889
0.100000,6.461264,2.947324,7.989207,1.822825,-1.793018,-129.787898,4.458438
0.100000,6.416061,2.790683,8.152240,1.630332,-1.924922,-1.319045,4.393932
0.100000,6.363972,2.657447,8.295296,1.430564,-1.997681,-0.727589,4.273412
0.100000,6.301862,2.548751,8.420486,1.251893,-1.786718,2.109631,4.102832
0.100000,6.222466,2.456243,8.542394,1.219082,-0.328109,14.586089,3.926506
0.100000,6.094236,2.329788,8.722488,1.800938,5.818563,61.466719,3.909903
0.100000,5.968191,2.212069,8.894955,1.724675,-0.762626,-65.811888,3.871877
0.100000,5.842570,2.105766,9.059518,1.645626,-0.790492,-0.278657,3.811662
0.100000,5.716132,2.013394,9.216104,1.565860,-0.797661,-0.071697,3.729070
0.100000,5.587955,1.936938,9.365351,1.492473,-0.733868,0.637933,3.625903
0.100000,5.457065,1.877498,9.509106,1.437550,-0.549237,1.846306,3.507341
0.100000,5.302392,1.825544,9.672271,1.631648,1.940981,24.902178,3.446050
0.100000,5.134628,1.775711,9.847280,1.750094,1.184461,-7.565198,3.415163
0.100000,4.964403,1.730536,10.023397,1.761171,0.110768,-10.736928,3.387386
0.100000,4.791950,1.689572,10.200649,1.772514,0.113437,0.026688,3.362797
0.100000,4.617481,1.652341,10.379046,1.783977,0.114633,0.011963,3.341427
0.100000,4.444206,1.619009,10.555498,1.764517,-0.194602,-3.092345,3.317756
0.100000,4.274908,1.592518,10.726857,1.713584,-0.509333,-3.147312,3.276616
0.100000,4.103174,1.572469,10.899757,1.729004,0.154203,6.635356,3.239806
0.100000,3.929236,1.558232,11.074276,1.745190,0.161854,0.076516,3.207541
0.100000,3.753407,1.549127,11.250341,1.760646,0.154560,-0.072941,3.179946
0.100000,3.578202,1.544458,11.425608,1.752673,-0.079724,-2.342847,3.157315
0.100000,3.410743,1.543420,11.593071,1.674627,-0.780469,-7.007442,3.129064
0.100000,3.270729,1.551987,11.733346,1.402751,-2.718752,-19.382839,3.035693
0.100000,3.129002,1.572482,11.876547,1.432014,0.292623,30.113758,2.964257
0.100000,2.985877,1.602077,12.022700,1.461532,0.295182,0.025589,2.914843
0.100000,2.841675,1.637804,12.171262,1.485619,0.240868,-0.543140,2.885940
0.100000,2.696533,1.676770,12.321543,1.502813,0.171944,-0.689239,2.875625
0.100000,2.557416,1.715075,12.465838,1.442942,-0.598715,-7.706598,2.865133
0.100000,2.426774,1.753659,12.602059,1.362211,-0.807310,-2.085950,2.842814
0.100000,2.303127,1.793474,12.731958,1.298995,-0.632152,1.751587,2.816485
0.100000,2.186446,1.834701,12.855708,1.237501,-0.614944,0.172077,2.786630
0.100000,2.076674,1.877408,12.973494,1.177862,-0.596387,0.185566,2.753770
