dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.868499,4.352205,0.000620,0.024800,0.496000,9.920000,6.283172
0.050000,0.869439,4.352205,0.001560,0.018804,-0.119925,-12.318507,0.000014
0.050000,0.872523,4.352205,0.004644,0.061672,0.857370,19.545906,0.000060
0.050000,0.876840,4.352206,0.008961,0.086339,0.493331,-7.280772,0.000125
0.050000,0.882390,4.352207,0.014511,0.111003,0.493285,-0.000930,0.000209
0.050000,0.889173,4.352208,0.021294,0.135664,0.493225,-0.001194,0.000312
0.050000,0.897189,4.352211,0.029310,0.160322,0.493152,-0.001462,0.000436
0.050000,0.906438,4.352216,0.038559,0.184975,0.493066,-0.001725,0.000580
0.050000,0.916919,4.352223,0.049040,0.209624,0.492966,-0.001991,0.000745
0.050000,0.928633,4.352233,0.060753,0.234266,0.492853,-0.002258,0.000933
0.050000,0.941578,4.352246,0.073699,0.258903,0.492727,-0.002524,0.001143
0.050000,0.955754,4.352264,0.087875,0.283532,0.492588,-0.002787,0.001378
0.050000,0.971162,4.352287,0.103283,0.308154,0.492435,-0.003056,0.001638
0.050000,0.987800,4.352317,0.119921,0.332767,0.492269,-0.003320,0.001923
0.050000,1.005669,4.352354,0.137790,0.357372,0.492090,-0.003586,0.002237
0.050000,1.024767,4.352400,0.156888,0.381967,0.491897,-0.003851,0.002579
0.050000,1.045095,4.352456,0.177216,0.406551,0.491691,-0.004119,0.002951
0.050000,1.066651,4.352524,0.198772,0.431125,0.491472,-0.004383,0.003356
0.050000,1.089435,4.352606,0.221556,0.455687,0.491240,-0.004651,0.003793
0.050000,1.113447,4.352702,0.245568,0.480236,0.490994,-0.004916,0.004266
0.050000,1.138685,4.352817,0.270807,0.504773,0.490735,-0.005181,0.004776
0.050000,1.165149,4.352950,0.297272,0.529296,0.490462,-0.005449,0.005325
0.050000,1.192839,4.353106,0.324962,0.553805,0.490177,-0.005713,0.005915
0.050000,1.221754,4.353286,0.353877,0.578299,0.489878,-0.005981,0.006548
0.050000,1.251892,4.353493,0.384016,0.602777,0.489565,-0.006246,0.007226
0.050000,1.283253,4.353731,0.415378,0.627239,0.489240,-0.006512,0.007952
0.050000,1.315836,4.354003,0.447962,0.651684,0.488901,-0.006776,0.008727
0.050000,1.349640,4.354312,0.481767,0.676112,0.488549,-0.007044,0.009555
0.050000,1.384664,4.354662,0.516793,0.700521,0.488183,-0.007308,0.010438
0.050000,1.420908,4.355057,0.553039,0.724911,0.487805,-0.007573,0.011379
0.050000,1.458369,4.355502,0.590503,0.749282,0.487413,-0.007838,0.012380
0.050000,1.497048,4.356002,0.629185,0.773632,0.487008,-0.008102,0.013444
0.050000,1.536942,4.356560,0.669083,0.797962,0.486590,-0.008364,0.014574
0.050000,1.578050,4.357184,0.710196,0.822270,0.486158,-0.008629,0.015773
0.050000,1.620373,4.357878,0.752524,0.846555,0.485714,-0.008890,0.017045
0.050000,1.663907,4.358650,0.796065,0.870818,0.485256,-0.009151,0.018392
0.050000,1.708651,4.359505,0.840818,0.895057,0.484786,-0.009410,0.019818
0.050000,1.754605,4.360450,0.886781,0.919272,0.484302,-0.009668,0.021327
0.050000,1.801767,4.361493,0.933954,0.943463,0.483806,-0.009924,0.022921
0.050000,1.850135,4.362643,0.982336,0.967628,0.483297,-0.010178,0.024604
0.050000,1.899707,4.363906,1.031924,0.991766,0.482776,-0.010429,0.026381
0.050000,1.950482,4.365294,1.082718,1.015878,0.482242,-0.010677,0.028254
0.050000,2.002458,4.366814,1.134716,1.039963,0.481695,-0.010923,0.030228
0.050000,2.055633,4.368477,1.187917,1.064020,0.481137,-0.011162,0.032306
0.050000,2.110005,4.370293,1.242320,1.088048,0.480567,-0.011399,0.034492
0.050000,2.165572,4.372274,1.297922,1.112048,0.479986,-0.011630,0.036792
