dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.868494,3.996605,0.000620,0.024800,0.496000,9.920000,6.283172
0.050000,0.869444,3.996605,0.002480,0.049600,0.496000,0.000000,0.000014
0.050000,0.872544,3.996605,0.005580,0.074400,0.496000,0.000000,0.000060
0.050000,0.876884,3.996606,0.009920,0.099200,0.496000,0.000000,0.000125
0.050000,0.882464,3.996607,0.015500,0.124000,0.496000,-0.000000,0.000209
0.050000,0.889284,3.996608,0.022320,0.148800,0.496000,0.000000,0.000312
0.050000,0.897344,3.996611,0.030380,0.173600,0.496000,-0.000000,0.000436
0.050000,0.906644,3.996616,0.039680,0.198400,0.496000,0.000000,0.000580
0.050000,0.917184,3.996623,0.050220,0.223200,0.496000,-0.000000,0.000745
0.050000,0.928964,3.996633,0.062000,0.248000,0.496000,0.000000,0.000933
0.050000,0.941984,3.996646,0.075020,0.272800,0.496000,0.000000,0.001143
0.050000,0.956244,3.996664,0.089280,0.297600,0.496000,-0.000000,0.001378
0.050000,0.971744,3.996688,0.104780,0.322400,0.496000,0.000000,0.001638
0.050000,0.988484,3.996718,0.121520,0.347200,0.496000,0.000000,0.001923
0.050000,1.006464,3.996755,0.139500,0.372000,0.496000,0.000000,0.002237
0.050000,1.025684,3.996801,0.158720,0.396800,0.496000,-0.000000,0.002579
0.050000,1.046144,3.996858,0.179180,0.421600,0.496000,-0.000000,0.002951
0.050000,1.067844,3.996926,0.200880,0.446400,0.496000,0.000000,0.003356
0.050000,1.090784,3.997008,0.223820,0.471200,0.496000,0.000000,0.003793
0.050000,1.114964,3.997106,0.248000,0.496000,0.496000,-0.000000,0.004266
0.050000,1.140383,3.997221,0.273420,0.520800,0.496000,0.000000,0.004776
0.050000,1.167043,3.997355,0.300080,0.545600,0.496000,0.000000,0.005325
0.050000,1.194943,3.997512,0.327980,0.570400,0.496000,-0.000000,0.005915
0.050000,1.224082,3.997693,0.357120,0.595200,0.496000,0.000000,0.006548
0.050000,1.254461,3.997903,0.387500,0.620000,0.496000,-0.000000,0.007226
0.050000,1.286080,3.998143,0.419120,0.644800,0.496000,0.000000,0.007952
0.050000,1.318939,3.998417,0.451980,0.669600,0.496000,-0.000000,0.008727
0.050000,1.353038,3.998728,0.486080,0.694400,0.496000,0.000000,0.009555
0.050000,1.388376,3.999081,0.521420,0.719200,0.496000,0.000000,0.010438
0.050000,1.424954,3.999480,0.558000,0.744000,0.496000,0.000000,0.011379
0.050000,1.462771,3.999930,0.595820,0.768800,0.496000,-0.000000,0.012380
0.050000,1.501828,4.000434,0.634880,0.793600,0.496000,0.000000,0.013444
0.050000,1.542124,4.000998,0.675180,0.818400,0.496000,-0.000000,0.014574
0.050000,1.583659,4.001628,0.716720,0.843200,0.496000,0.000000,0.015773
0.050000,1.626433,4.002330,0.759500,0.868000,0.496000,0.000000,0.017045
0.050000,1.670447,4.003110,0.803520,0.892800,0.496000,-0.000000,0.018392
0.050000,1.715698,4.003974,0.848780,0.917600,0.496000,0.000000,0.019818
0.050000,1.762188,4.004931,0.895280,0.942400,0.496000,0.000000,0.021327
0.050000,1.809917,4.005987,0.943020,0.967200,0.496000,-0.000000,0.022921
0.050000,1.858883,4.007150,0.992000,0.992000,0.496000,0.000000,0.024604
0.050000,1.909087,4.008430,1.042220,1.016800,0.496000,0.000000,0.026381
0.050000,1.960527,4.009836,1.093680,1.041600,0.496000,0.000000,0.028254
0.050000,2.013205,4.011376,1.146380,1.066400,0.496000,-0.000000,0.030228
0.050000,2.067119,4.013062,1.200320,1.091200,0.496000,0.000000,0.032306
0.050000,2.122268,4.014904,1.255500,1.116000,0.496000,-0.000000,0.034492
0.050000,2.178652,4.016915,1.311920,1.140800,0.496000,0.000000,0.036792
0.050000,2.236270,4.019105,1.369580,1.165600,0.496000,0.000000,0.039207
0.050000,2.295122,4.021488,1.428480,1.190400,0.496000,-0.000000,0.041744
0.050000,2.355206,4.024077,1.488620,1.215200,0.496000,0.000000,0.044407
0.050000,2.415080,4.026787,1.550000,1.240000,0.496000,0.000000,0.043359
0.050000,2.477653,4.029186,1.612620,1.264800,0.496000,0.000000,0.033568
0.050000,2.541486,4.031058,1.676480,1.289600,0.496000,-0.000000,0.025369
0.050000,2.606570,4.032487,1.741580,1.314400,0.496000,0.000000,0.018863
0.050000,2.672901,4.033571,1.807920,1.339200,0.496000,0.000000,0.014152
0.050000,2.740476,4.034421,1.875500,1.364000,0.496000,0.000000,0.011340
0.050000,2.809292,4.035162,1.944320,1.388800,0.496000,0.000000,0.010533
0.050000,2.879347,4.035933,2.014380,1.413600,0.496000,0.000000,0.011843
0.050000,2.950641,4.036891,2.085680,1.438400,0.496000,-0.000000,0.015386
0.050000,3.023169,4.038207,2.158220,1.463200,0.496000,0.000000,0.021283
0.050000,3.096925,4.040071,2.232000,1.488000,0.496000,0.000000,0.029658
0.050000,3.171899,4.042692,2.307020,1.512800,0.496000,-0.000000,0.040641
0.050000,3.248073,4.046296,2.383280,1.537600,0.496000,0.000000,0.054360
0.050000,3.325421,4.051131,2.460780,1.562400,0.496000,0.000000,0.070940
0.050000,3.403905,4.057463,2.539520,1.587200,0.496000,0.000000,0.090500
0.050000,3.483471,4.065573,2.619500,1.612000,0.496000,-0.000000,0.113139
0.050000,3.564047,4.075764,2.700720,1.636800,0.496000,0.000000,0.138930
0.050000,3.645538,4.088346,2.783180,1.661600,0.496000,0.000000,0.167908
0.050000,3.727826,4.103640,2.866880,1.686400,0.496000,0.000000,0.200056
0.050000,3.810761,4.121965,2.951820,1.711200,0.496000,0.000000,0.235286
0.050000,3.893750,4.142053,3.038000,1.736000,0.496000,0.000000,0.224112
0.050000,3.979210,4.160452,3.125420,1.760800,0.496000,-0.000000,0.203261
0.050000,4.066085,4.178152,3.214080,1.785600,0.496000,0.000000,0.202061
0.050000,4.154009,4.196889,3.303980,1.810400,0.496000,0.000000,0.221332
0.050000,4.242531,4.218552,3.395120,1.835200,0.496000,-0.000000,0.262318
0.050000,4.330974,4.245179,3.487500,1.860000,0.496000,0.000000,0.326318
0.050000,4.417724,4.278616,3.580500,1.860000,0.000000,-9.920000,0.413030
0.050000,4.500824,4.320272,3.673500,1.860000,0.000000,0.000000,0.519108
0.050000,4.578677,4.371043,3.766500,1.860000,0.000000,0.000000,0.638089
0.050000,4.650465,4.429380,3.859500,1.860000,0.000000,0.000000,0.719869
0.050000,4.718289,4.492988,3.952500,1.860000,0.000000,0.000000,0.784768
0.050000,4.782271,4.560466,4.045500,1.860000,0.000000,0.000000,0.837048
0.050000,4.843102,4.630804,4.138500,1.860000,0.000000,0.000000,0.876263
0.050000,4.901604,4.703095,4.231500,1.860000,0.000000,0.000000,0.902449
0.050000,4.957388,4.775850,4.324500,1.860000,0.000000,0.000000,0.932467
0.050000,5.011786,4.851278,4.417500,1.860000,0.000000,0.000000,0.958064
0.050000,5.064566,4.927848,4.510500,1.860000,0.000000,0.000000,0.975082
0.050000,5.116365,5.005087,4.603500,1.860000,0.000000,0.000000,0.983625
0.050000,5.167828,5.082550,4.696500,1.860000,0.000000,0.000000,0.983761
0.050000,5.219606,5.159803,4.789500,1.860000,0.000000,0.000000,0.975489
0.050000,5.272345,5.236403,4.882500,1.860000,0.000000,0.000000,0.958746
0.050000,5.326681,5.311875,4.975500,1.860000,0.000000,0.000000,0.933427
0.050000,5.383230,5.385702,5.068500,1.860000,0.000000,0.000000,0.899447
0.050000,5.442562,5.457307,5.161500,1.860000,0.000000,0.000000,0.856831
0.050000,5.505181,5.526054,5.254500,1.860000,0.000000,0.000000,0.805832
0.050000,5.571478,5.591254,5.347500,1.860000,0.000000,0.000000,0.747069
0.050000,5.641699,5.652205,5.440500,1.860000,0.000000,0.000000,0.681635
0.050000,5.715903,5.708233,5.533500,1.860000,0.000000,0.000000,0.611131
0.050000,5.791993,5.759714,5.626500,1.860000,0.000000,0.000000,0.611765
0.050000,5.866542,5.815295,5.719500,1.860000,0.000000,0.000000,0.667865
0.050000,5.938169,5.874599,5.812500,1.860000,0.000000,0.000000,0.713438
0.050000,6.007364,5.936730,5.905500,1.860000,0.000000,0.000000,0.748033
0.050000,6.074727,6.000846,5.998500,1.860000,0.000000,0.000000,0.771545
0.050000,6.140926,6.066164,6.091500,1.860000,0.000000,0.000000,0.784026
0.050000,6.206667,6.131945,6.184500,1.860000,0.000000,0.000000,0.785540
0.050000,6.272669,6.197464,6.277500,1.860000,0.000000,0.000000,0.776099
0.050000,6.339640,6.261989,6.370500,1.860000,0.000000,0.000000,0.755647
0.050000,6.408264,6.324751,6.463500,1.860000,0.000000,0.000000,0.724119
0.050000,6.479164,6.384925,6.556500,1.860000,0.000000,0.000000,0.681557
0.050000,6.552864,6.441628,6.649500,1.860000,0.000000,0.000000,0.628296
0.050000,6.628268,6.493547,6.742500,1.860000,0.000000,0.000000,0.586017
0.050000,6.706407,6.543974,6.835500,1.860000,0.000000,0.000000,0.560275
0.050000,6.785803,6.592397,6.928500,1.860000,0.000000,0.000000,0.535159
0.050000,6.866375,6.638839,7.021500,1.860000,0.000000,0.000000,0.510741
0.050000,6.948039,6.683330,7.114500,1.860000,0.000000,0.000000,0.487083
0.050000,7.030717,6.725910,7.207500,1.860000,0.000000,0.000000,0.464240
0.050000,7.114328,6.766627,7.300500,1.860000,0.000000,0.000000,0.442257
0.050000,7.198796,6.805534,7.393500,1.860000,0.000000,0.000000,0.421172
0.050000,7.284049,6.842690,7.486500,1.860000,0.000000,0.000000,0.401013
0.050000,7.370018,6.878161,7.579500,1.860000,0.000000,0.000000,0.381803
0.050000,7.456635,6.912016,7.672500,1.860000,0.000000,0.000000,0.363556
0.050000,7.543840,6.944328,7.765500,1.860000,0.000000,0.000000,0.346282
0.050000,7.631576,6.975171,7.858500,1.860000,0.000000,0.000000,0.329984
0.050000,7.719788,7.004623,7.951500,1.860000,0.000000,0.000000,0.314662
0.050000,7.808428,7.032764,8.044500,1.860000,0.000000,0.000000,0.300311
0.050000,7.896378,7.059408,8.137500,1.860000,0.000000,0.000000,0.294315
0.050000,7.984942,7.087775,8.230500,1.860000,0.000000,0.000000,0.323524
0.050000,8.072837,7.118162,8.323500,1.860000,0.000000,0.000000,0.340105
0.050000,8.160413,7.149459,8.416500,1.860000,0.000000,0.000000,0.344276
0.050000,8.248051,7.180580,8.509500,1.860000,0.000000,0.000000,0.336097
0.050000,8.336126,7.210435,8.602500,1.860000,0.000000,0.000000,0.315450
0.050000,8.424973,7.237903,8.695500,1.860000,0.000000,0.000000,0.282091
0.050000,8.514838,7.261812,8.788500,1.860000,0.000000,0.000000,0.235805
0.050000,8.605834,7.280950,8.881500,1.860000,0.000000,0.000000,0.176669
0.050000,8.697879,7.294108,8.974500,1.860000,0.000000,0.000000,0.105413
0.050000,8.790654,7.300181,9.067500,1.860000,0.000000,0.000000,0.023785
0.050000,8.883604,7.298295,9.160500,1.860000,0.000000,0.000000,6.217896
0.050000,8.974876,7.288327,9.253500,1.860000,0.000000,0.000000,6.147994
0.050000,9.067121,7.276511,9.346500,1.860000,0.000000,0.000000,6.162751
0.050000,9.159505,7.265830,9.439500,1.860000,0.000000,0.000000,6.172592
0.050000,9.251966,7.255832,9.532500,1.860000,0.000000,0.000000,6.177533
0.050000,9.344452,7.246064,9.625500,1.860000,0.000000,0.000000,6.177584
0.050000,9.436914,7.236076,9.718500,1.860000,0.000000,0.000000,6.172744
0.050000,9.529300,7.225413,9.811500,1.860000,0.000000,0.000000,6.163003
0.050000,9.621549,7.213625,9.904500,1.860000,0.000000,0.000000,6.148348
0.050000,9.713582,7.200259,9.997500,1.860000,0.000000,0.000000,6.128772
0.050000,9.805298,7.184870,10.090500,1.860000,0.000000,0.000000,6.104292
0.050000,9.896565,7.167019,10.183500,1.860000,0.000000,0.000000,6.074971
0.050000,9.987220,7.146285,10.276500,1.860000,0.000000,0.000000,6.040945
0.050000,10.077061,7.122277,10.369500,1.860000,0.000000,0.000000,6.002454
0.050000,10.164866,7.096210,10.462500,1.860000,0.000000,0.000000,5.997150
0.050000,10.254157,7.070211,10.555500,1.860000,0.000000,0.000000,6.001283
0.050000,10.343459,7.044245,10.648500,1.860000,0.000000,0.000000,5.997926
0.050000,10.432573,7.017645,10.741500,1.860000,0.000000,0.000000,5.987028
0.050000,10.521285,6.989736,10.834500,1.860000,0.000000,0.000000,5.968431
0.050000,10.609344,6.959834,10.927500,1.860000,0.000000,0.000000,5.941895
0.050000,10.696444,6.927251,11.020500,1.860000,0.000000,0.000000,5.907147
0.050000,10.782207,6.891302,11.113500,1.860000,0.000000,0.000000,5.863959
0.050000,10.866166,6.851326,11.206500,1.860000,0.000000,0.000000,5.812266
0.050000,10.947759,6.806728,11.299500,1.860000,0.000000,0.000000,5.752318
0.050000,11.026339,6.757021,11.392500,1.860000,0.000000,0.000000,5.684839
0.050000,11.101208,6.701887,11.485500,1.860000,0.000000,0.000000,5.611143
0.050000,11.171670,6.641226,11.578500,1.860000,0.000000,0.000000,5.533132
0.050000,11.237111,6.575182,11.671500,1.860000,0.000000,0.000000,5.453133
0.050000,11.297067,6.504120,11.764500,1.860000,0.000000,0.000000,5.373580
0.050000,11.350891,6.429658,11.857500,1.860000,0.000000,0.000000,5.309440
0.050000,11.401162,6.351428,11.950500,1.860000,0.000000,0.000000,5.257730
0.050000,11.447350,6.270720,12.043500,1.860000,0.000000,0.000000,5.206819
0.050000,11.489424,6.187792,12.136500,1.860000,0.000000,0.000000,5.157250
0.050000,11.527411,6.102914,12.229500,1.860000,0.000000,0.000000,5.109504
0.050000,11.561398,6.016356,12.322500,1.860000,0.000000,0.000000,5.063980
0.050000,11.591521,5.928377,12.415500,1.860000,0.000000,0.000000,5.020988
0.050000,11.617956,5.839219,12.508500,1.860000,0.000000,0.000000,4.980740
0.050000,11.640911,5.749102,12.601500,1.860000,0.000000,0.000000,4.943366
0.050000,11.660616,5.658219,12.694500,1.860000,0.000000,0.000000,4.908920
0.050000,11.677313,5.566734,12.787500,1.860000,0.000000,0.000000,4.877395
0.050000,11.691251,5.474787,12.880500,1.860000,0.000000,0.000000,4.848745
0.050000,11.702631,5.383585,12.973500,1.860000,0.000000,0.000000,4.824015
0.050000,11.711706,5.291032,13.066500,1.860000,0.000000,0.000000,4.795591
0.050000,11.717967,5.198247,13.159500,1.860000,0.000000,0.000000,4.763286
0.050000,11.721044,5.105303,13.252500,1.860000,0.000000,0.000000,4.727025
0.050000,11.720565,5.012310,13.345500,1.860000,0.000000,0.000000,4.686793
0.050000,11.716165,4.919422,13.438500,1.860000,0.000000,0.000000,4.642673
0.050000,11.707499,4.826836,13.531500,1.860000,0.000000,0.000000,4.594865
0.050000,11.694262,4.734793,13.624500,1.860000,0.000000,0.000000,4.543718
0.050000,11.676202,4.643575,13.717500,1.860000,0.000000,0.000000,4.489734
0.050000,11.653144,4.553491,13.810500,1.860000,0.000000,0.000000,4.433566
0.050000,11.624996,4.464867,13.903500,1.860000,0.000000,0.000000,4.375991
0.050000,11.592433,4.378917,13.996500,1.860000,0.000000,0.000000,4.335553
0.050000,11.557634,4.292674,14.089500,1.860000,0.000000,0.000000,4.320432
0.050000,11.521080,4.207162,14.182500,1.860000,0.000000,0.000000,4.294579
0.050000,11.481853,4.122845,14.275500,1.860000,0.000000,0.000000,4.257345
0.050000,11.439020,4.040307,14.368500,1.860000,0.000000,0.000000,4.207974
0.050000,11.391660,3.960287,14.461500,1.860000,0.000000,0.000000,4.145829
0.050000,11.338928,3.883708,14.554500,1.860000,0.000000,0.000000,4.070766
0.050000,11.280162,3.811666,14.647500,1.860000,0.000000,0.000000,3.983635
0.050000,11.215013,3.745350,14.740500,1.860000,0.000000,0.000000,3.886738
0.050000,11.143558,3.685890,14.833500,1.860000,0.000000,0.000000,3.783913
0.050000,11.066327,3.634153,14.926500,1.860000,0.000000,0.000000,3.679969
0.050000,10.984206,3.590590,15.019500,1.860000,0.000000,0.000000,3.579603
0.050000,10.900649,3.553235,15.112500,1.860000,0.000000,0.000000,3.554953
0.050000,10.815243,3.516430,15.205500,1.860000,0.000000,0.000000,3.541883
0.050000,10.729349,3.480779,15.298500,1.860000,0.000000,0.000000,3.528006
0.050000,10.642954,3.446358,15.391500,1.860000,0.000000,0.000000,3.513320
0.050000,10.556050,3.413245,15.484500,1.860000,0.000000,0.000000,3.497825
0.050000,10.468630,3.381518,15.577500,1.860000,0.000000,0.000000,3.481523
0.050000,10.380693,3.351255,15.670500,1.860000,0.000000,0.000000,3.464421
0.050000,10.292240,3.322535,15.763500,1.860000,0.000000,0.000000,3.446530
0.050000,10.203276,3.295437,15.856500,1.860000,0.000000,0.000000,3.427864
0.050000,10.113813,3.270039,15.949500,1.860000,0.000000,0.000000,3.408442
0.050000,10.023865,3.246415,16.042500,1.860000,0.000000,0.000000,3.388291
0.050000,9.933452,3.224641,16.135500,1.860000,0.000000,0.000000,3.367439
0.050000,9.842598,3.204787,16.228500,1.860000,0.000000,0.000000,3.345924
0.050000,9.751332,3.186921,16.321500,1.860000,0.000000,0.000000,3.323788
0.050000,9.659689,3.171106,16.414500,1.860000,0.000000,0.000000,3.301078
0.050000,9.568826,3.157547,16.507500,1.860000,0.000000,0.000000,3.280608
0.050000,9.476822,3.143981,16.600500,1.860000,0.000000,0.000000,3.294743
0.050000,9.384990,3.129290,16.693500,1.860000,0.000000,0.000000,3.305090
0.050000,9.293285,3.113822,16.786500,1.860000,0.000000,0.000000,3.311651
0.050000,9.201654,3.097927,16.879500,1.860000,0.000000,0.000000,3.314431
0.050000,9.110036,3.081949,16.972500,1.860000,0.000000,0.000000,3.313432
0.050000,9.018373,3.066237,17.065500,1.860000,0.000000,0.000000,3.308653
0.050000,8.926608,3.051136,17.158500,1.860000,0.000000,0.000000,3.300090
0.050000,8.834690,3.036996,17.251500,1.860000,0.000000,0.000000,3.287740
0.050000,8.742580,3.024167,17.344500,1.860000,0.000000,0.000000,3.271604
0.050000,8.650254,3.012999,17.437500,1.860000,0.000000,0.000000,3.251701
0.050000,8.557708,3.003844,17.530500,1.860000,0.000000,0.000000,3.228072
0.050000,8.464960,2.997048,17.623500,1.860000,0.000000,0.000000,3.200799
0.050000,8.373590,2.992893,17.716500,1.860000,0.000000,0.000000,3.173666
0.050000,8.280610,2.991113,17.809500,1.860000,0.000000,0.000000,3.148150
0.050000,8.187613,2.991608,17.902500,1.860000,0.000000,0.000000,3.124753
0.050000,8.094650,2.994177,17.995500,1.860000,0.000000,0.000000,3.103551
0.050000,8.001758,2.998612,18.088500,1.860000,0.000000,0.000000,3.084597
0.050000,7.908958,3.004701,18.181500,1.860000,0.000000,0.000000,3.067925
0.050000,7.816264,3.012230,18.274500,1.860000,0.000000,0.000000,3.053555
0.050000,7.723678,3.020983,18.367500,1.860000,0.000000,0.000000,3.041494
0.050000,7.631192,3.030745,18.460500,1.860000,0.000000,0.000000,3.031743
0.050000,7.538793,3.041303,18.553500,1.860000,0.000000,0.000000,3.024299
0.050000,7.446463,3.052441,18.646500,1.860000,0.000000,0.000000,3.019158
0.050000,7.354177,3.063948,18.739500,1.860000,0.000000,0.000000,3.016314
0.050000,7.261912,3.075611,18.832500,1.860000,0.000000,0.000000,3.015765
0.050000,7.169639,3.087220,18.925500,1.860000,0.000000,0.000000,3.017511
0.050000,7.077333,3.098561,19.018500,1.860000,0.000000,0.000000,3.021553
0.050000,6.984970,3.109422,19.111500,1.860000,0.000000,0.000000,3.027894
0.050000,6.894241,3.119655,19.204500,1.860000,0.000000,0.000000,3.026256
0.050000,6.801913,3.130805,19.297500,1.860000,0.000000,0.000000,3.016725
0.050000,6.709688,3.142787,19.390500,1.860000,0.000000,0.000000,3.008249
0.050000,6.617561,3.155501,19.483500,1.860000,0.000000,0.000000,3.000829
0.050000,6.525524,3.168850,19.576500,1.860000,0.000000,0.000000,2.994469
0.050000,6.433567,3.182735,19.669500,1.860000,0.000000,0.000000,2.989170
0.050000,6.341677,3.197058,19.762500,1.860000,0.000000,0.000000,2.984931
0.050000,6.249840,3.211722,19.855500,1.860000,0.000000,0.000000,2.981754
0.050000,6.158043,3.226629,19.948500,1.860000,0.000000,0.000000,2.979637
0.050000,6.066269,3.241682,20.041500,1.860000,0.000000,0.000000,2.978580
0.050000,5.974503,3.256783,20.134500,1.860000,0.000000,0.000000,2.978584
0.050000,5.882729,3.271835,20.227500,1.860000,0.000000,0.000000,2.979648
0.050000,5.790932,3.286741,20.320500,1.860000,0.000000,0.000000,2.981773
0.050000,5.699095,3.301403,20.413500,1.860000,0.000000,0.000000,2.984958
0.050000,5.607204,3.315723,20.506500,1.860000,0.000000,0.000000,2.989204
0.050000,5.515246,3.329605,20.599500,1.860000,0.000000,0.000000,2.994511
0.050000,5.423208,3.342950,20.692500,1.860000,0.000000,0.000000,3.000878
0.050000,5.331081,3.355659,20.785500,1.860000,0.000000,0.000000,3.008305
