dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.869416,3.704505,0.002447,0.048947,0.489474,4.894737,0.000014
0.100000,0.876790,3.704506,0.009821,0.073741,0.247934,-2.415394,0.000123
0.100000,0.889081,3.704508,0.022112,0.122908,0.491676,2.437418,0.000308
0.100000,0.906289,3.704516,0.039321,0.172087,0.491782,0.001062,0.000572
0.100000,0.928417,3.704532,0.061449,0.221280,0.491931,0.001487,0.000920
0.100000,0.955466,3.704563,0.088498,0.270492,0.492122,0.001912,0.001359
0.100000,0.987439,3.704615,0.120471,0.319728,0.492356,0.002337,0.001896
0.100000,1.024338,3.704697,0.157370,0.368991,0.492632,0.002762,0.002541
0.100000,1.066167,3.704819,0.199199,0.418286,0.492951,0.003187,0.003306
0.100000,1.112928,3.704994,0.245960,0.467617,0.493312,0.003613,0.004202
0.100000,1.164626,3.705238,0.297659,0.516989,0.493716,0.004039,0.005243
0.100000,1.221266,3.705569,0.354300,0.566405,0.494162,0.004464,0.006445
0.100000,1.282851,3.706008,0.415887,0.615870,0.494651,0.004890,0.007824
0.100000,1.349387,3.706580,0.482425,0.665388,0.495183,0.005315,0.009398
0.100000,1.420880,3.707316,0.553922,0.714964,0.495757,0.005739,0.011188
0.100000,1.497335,3.708248,0.630382,0.764601,0.496373,0.006163,0.013213
0.100000,1.578757,3.709416,0.711812,0.814304,0.497032,0.006585,0.015498
0.100000,1.665152,3.710865,0.798220,0.864078,0.497732,0.007006,0.018065
0.100000,1.756527,3.712646,0.889613,0.913925,0.498474,0.007423,0.020941
0.100000,1.852888,3.714817,0.985998,0.963851,0.499258,0.007835,0.024151
0.100000,1.954240,3.717445,1.087384,1.013859,0.500082,0.008241,0.027725
0.100000,2.060588,3.720603,1.193779,1.063954,0.500946,0.008639,0.031691
0.100000,2.171938,3.724376,1.305193,1.114139,0.501848,0.009024,0.036081
0.100000,2.288294,3.728856,1.421635,1.164417,0.502788,0.009395,0.040927
0.100000,2.409658,3.734147,1.543114,1.214794,0.503762,0.009745,0.046263
0.100000,2.527612,3.738484,1.661147,1.180335,-0.344587,-8.483490,0.027997
0.100000,2.653677,3.741153,1.787241,1.260940,0.806048,11.506351,0.015619
