dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.006162,1.910931,0.002447,0.048947,0.489474,4.894737,6.268181
0.100000,0.006144,1.910931,0.002465,0.000177,-0.487700,-9.771738,6.268231
0.100000,0.013962,1.910815,0.010283,0.078182,0.780044,12.677446,6.268314
0.100000,0.031050,1.910562,0.027374,0.170903,0.927216,1.471713,6.268430
0.100000,0.053021,1.910239,0.049347,0.219734,0.488310,-4.389056,6.268579
0.100000,0.079875,1.909849,0.076204,0.268567,0.488321,0.000108,6.268760
0.100000,0.111612,1.909395,0.107944,0.317400,0.488335,0.000137,6.268973
0.100000,0.148232,1.908879,0.144567,0.366235,0.488350,0.000155,6.269218
0.100000,0.189735,1.908305,0.186074,0.415072,0.488369,0.000188,6.269494
0.100000,0.236122,1.907677,0.232465,0.463911,0.488390,0.000208,6.269800
0.100000,0.287392,1.906999,0.283741,0.512752,0.488413,0.000228,6.270136
0.100000,0.343547,1.906276,0.339900,0.561596,0.488439,0.000261,6.270501
0.100000,0.404587,1.905514,0.400945,0.610443,0.488467,0.000280,6.270895
0.100000,0.470511,1.904718,0.466874,0.659292,0.488497,0.000306,6.271316
0.100000,0.541321,1.903893,0.537688,0.708145,0.488530,0.000331,6.271763
0.100000,0.617016,1.903046,0.613389,0.757002,0.488566,0.000355,6.272236
0.100000,0.697598,1.902184,0.693975,0.805862,0.488604,0.000379,6.272734
0.100000,0.783066,1.901313,0.779447,0.854727,0.488644,0.000405,6.273255
0.100000,0.873422,1.900441,0.869807,0.903596,0.488687,0.000430,6.273798
0.100000,0.968665,1.899573,0.965054,0.952469,0.488732,0.000450,6.274362
0.100000,1.068796,1.898719,1.065189,1.001347,0.488781,0.000482,6.274945
0.100000,1.173815,1.897885,1.170212,1.050230,0.488831,0.000502,6.275546
0.100000,1.283724,1.897080,1.280123,1.099118,0.488883,0.000526,6.276164
0.100000,1.398523,1.896310,1.394925,1.148012,0.488939,0.000553,6.276797
0.100000,1.518212,1.895584,1.514616,1.196912,0.488996,0.000576,6.277444
0.100000,1.642792,1.894910,1.639198,1.245817,0.489056,0.000603,6.278102
0.100000,1.772263,1.894296,1.768670,1.294729,0.489119,0.000624,6.278770
0.100000,1.906627,1.893748,1.903035,1.343648,0.489184,0.000651,6.279446
0.100000,2.045883,1.893275,2.042293,1.392573,0.489251,0.000674,6.280129
0.100000,2.190033,1.892884,2.186443,1.441505,0.489321,0.000700,6.280816
0.100000,2.339077,1.892582,2.335487,1.490444,0.489394,0.000723,6.281505
0.100000,2.493016,1.892377,2.489427,1.539391,0.489469,0.000749,6.282194
0.100000,2.651851,1.892275,2.648261,1.588346,0.489546,0.000773,6.282881
0.100000,2.815582,1.892281,2.811992,1.637308,0.489626,0.000798,0.000379
0.100000,2.984210,1.892402,2.980620,1.686279,0.489708,0.000822,0.001055
0.100000,3.157735,1.892644,3.154146,1.735258,0.489793,0.000847,0.001722
0.100000,3.336160,1.893010,3.332570,1.784246,0.489880,0.000871,0.002378
0.100000,3.519483,1.893505,3.515895,1.833243,0.489969,0.000896,0.003020
0.100000,3.705263,1.894124,3.701675,1.857804,0.245606,-2.443637,0.003638
0.100000,3.891053,1.894855,3.887467,1.857922,0.001181,-2.444247,0.004222
0.100000,4.076856,1.895691,4.073271,1.858040,0.001181,0.000000,0.004773
0.100000,4.262669,1.896627,4.259087,1.858158,0.001181,-0.000000,0.005291
0.100000,4.448494,1.897655,4.444915,1.858276,0.001181,-0.000000,0.005776
0.100000,4.634330,1.898771,4.630754,1.858394,0.001181,-0.000000,0.006227
0.100000,4.820177,1.899968,4.816606,1.858513,0.001181,-0.000000,0.006646
0.100000,5.006036,1.901239,5.002469,1.858631,0.001181,0.000000,0.007031
0.100000,5.191906,1.902579,5.188343,1.858749,0.001181,-0.000000,0.007383
0.100000,5.377787,1.903982,5.374230,1.858867,0.001181,-0.000000,0.007701
0.100000,5.563680,1.905441,5.560129,1.858985,0.001181,-0.000000,0.007987
0.100000,5.749584,1.906949,5.746039,1.859103,0.001181,-0.000000,0.008239
0.100000,5.935500,1.908502,5.931961,1.859221,0.001181,-0.000000,0.008458
0.100000,6.121427,1.910092,6.117895,1.859339,0.001181,-0.000000,0.008644
0.100000,6.307366,1.911714,6.303841,1.859457,0.001181,-0.000000,0.008797
0.100000,6.493316,1.913362,6.489798,1.859575,0.001181,-0.000000,0.008916
0.100000,6.679278,1.915028,6.675768,1.859693,0.001181,-0.000000,0.009002
0.100000,6.865251,1.916708,6.861749,1.859811,0.001181,-0.000000,0.009055
0.100000,7.051237,1.918395,7.047742,1.859929,0.001181,-0.000000,0.009075
0.100000,7.237234,1.920082,7.233746,1.860048,0.001181,-0.000000,0.009062
0.100000,7.423243,1.921764,7.419763,1.860166,0.001181,-0.000000,0.009015
0.100000,7.609264,1.923434,7.605791,1.860284,0.001181,0.000000,0.008935
0.100000,7.795296,1.925086,7.791831,1.860402,0.001181,0.000000,0.008823
0.100000,7.981341,1.926715,7.977883,1.860520,0.001181,0.000000,0.008676
0.100000,8.167398,1.928313,8.163947,1.860638,0.001181,0.000000,0.008497
0.100000,8.353467,1.929875,8.350023,1.860756,0.001181,0.000000,0.008284
0.100000,8.539548,1.931394,8.536110,1.860874,0.001181,0.000000,0.008039
0.100000,8.725642,1.932864,8.722209,1.860992,0.001181,0.000000,0.007760
0.100000,8.911747,1.934280,8.908320,1.861110,0.001181,0.000000,0.007447
0.100000,9.097865,1.935634,9.094443,1.861228,0.001181,0.000000,0.007102
0.100000,9.283996,1.936922,9.280578,1.861346,0.001181,0.000000,0.006723
0.100000,9.470138,1.938135,9.466724,1.861464,0.001181,0.000000,0.006312
0.100000,9.656293,1.939269,9.652883,1.861582,0.001181,-0.000000,0.005867
0.100000,9.842460,1.940317,9.839053,1.861701,0.001181,0.000000,0.005388
0.100000,10.028639,1.941274,10.025235,1.861819,0.001181,0.000000,0.004877
0.100000,10.214831,1.942131,10.211428,1.861937,0.001181,0.000000,0.004332
0.100000,10.401035,1.942885,10.397634,1.862055,0.001181,0.000000,0.003754
0.100000,10.587251,1.943528,10.583851,1.862173,0.001181,-0.000000,0.003143
0.100000,10.771758,1.944049,10.768359,1.845080,-0.170933,-1.721136,0.002505
0.100000,10.952106,1.944442,10.948707,1.803477,-0.416026,-2.450935,0.001850
0.100000,11.127563,1.944709,11.124164,1.754573,-0.489044,-0.730180,0.001183
0.100000,11.298129,1.944853,11.294730,1.705659,-0.489132,-0.000878,0.000506
0.100000,11.463802,1.944881,11.460404,1.656738,-0.489218,-0.000854,6.283007
0.100000,11.624583,1.944797,11.621184,1.607808,-0.489300,-0.000829,6.282318
0.100000,11.780470,1.944608,11.777071,1.558869,-0.489381,-0.000805,6.281626
0.100000,11.931462,1.944321,11.928064,1.509924,-0.489459,-0.000781,6.280934
0.100000,12.077559,1.943942,12.074161,1.460970,-0.489535,-0.000755,6.280244
0.100000,12.218759,1.943478,12.215362,1.412009,-0.489608,-0.000732,6.279557
0.100000,12.355062,1.942937,12.351666,1.363042,-0.489678,-0.000707,6.278877
0.100000,12.486467,1.942327,12.483072,1.314067,-0.489747,-0.000682,6.278203
0.100000,12.612974,1.941655,12.609581,1.265086,-0.489812,-0.000658,6.277540
0.100000,12.734582,1.940929,12.731191,1.216098,-0.489876,-0.000632,6.276888
0.100000,12.851289,1.940157,12.847901,1.167104,-0.489937,-0.000611,6.276248
0.100000,12.963097,1.939346,12.959712,1.118105,-0.489995,-0.000582,6.275624
0.100000,13.070004,1.938505,13.066622,1.069100,-0.490051,-0.000561,6.275015
0.100000,13.172009,1.937642,13.168631,1.020089,-0.490104,-0.000533,6.274425
0.100000,13.269112,1.936764,13.265738,0.971074,-0.490155,-0.000512,6.273853
0.100000,13.361313,1.935878,13.357943,0.922053,-0.490204,-0.000483,6.273302
0.100000,13.448612,1.934992,13.445246,0.873028,-0.490250,-0.000463,6.272773
0.100000,13.531007,1.934113,13.527646,0.823999,-0.490293,-0.000434,6.272267
0.100000,13.608499,1.933249,13.605143,0.774966,-0.490335,-0.000415,6.271785
0.100000,13.681087,1.932405,13.677736,0.725928,-0.490373,-0.000384,6.271329
0.100000,13.748770,1.931587,13.745424,0.676887,-0.490410,-0.000364,6.270899
0.100000,13.811550,1.930803,13.808209,0.627843,-0.490443,-0.000336,6.270496
0.100000,13.869425,1.930058,13.866088,0.578795,-0.490475,-0.000315,6.270121
0.100000,13.922394,1.929357,13.919063,0.529745,-0.490504,-0.000290,6.269775
0.100000,13.970459,1.928705,13.967132,0.480692,-0.490530,-0.000259,6.269459
0.100000,14.013619,1.928106,14.010295,0.431637,-0.490554,-0.000245,6.269173
0.100000,14.051873,1.927565,14.048553,0.382579,-0.490576,-0.000214,6.268919
0.100000,14.085221,1.927086,14.081905,0.333520,-0.490595,-0.000188,6.268696
0.100000,14.113664,1.926671,14.110351,0.284458,-0.490612,-0.000169,6.268504
0.100000,14.137201,1.926323,14.133891,0.235396,-0.490626,-0.000142,6.268346
0.100000,14.155832,1.926046,14.152524,0.186332,-0.490637,-0.000115,6.268220
0.100000,14.169558,1.925840,14.166251,0.137267,-0.490647,-0.000095,6.268126
0.100000,14.178377,1.925707,14.175071,0.088202,-0.490654,-0.000070,6.268067
0.100000,14.182290,1.925647,14.178985,0.039136,-0.490658,-0.000038,6.268040
0.100000,14.183020,1.925636,14.179715,0.007302,-0.318347,1.723107,6.268035
0.100000,14.183020,1.925636,14.179715,0.000000,-0.073017,2.453299,6.268035
