dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000827,1.555371,0.002447,0.048947,0.489474,4.894737,6.268181
0.100000,0.000827,1.555371,0.009789,0.097895,0.489474,0.000000,6.268231
0.100000,0.008674,1.555254,0.022026,0.146842,0.489474,0.000000,6.268314
0.100000,0.025803,1.555000,0.039158,0.195789,0.489474,0.000000,6.268430
0.100000,0.047827,1.554677,0.061184,0.244737,0.489474,0.000000,6.268579
0.100000,0.074745,1.554286,0.088105,0.293684,0.489474,-0.000000,6.268760
0.100000,0.106558,1.553831,0.119921,0.342632,0.489474,0.000000,6.268973
0.100000,0.143265,1.553313,0.156632,0.391579,0.489474,0.000000,6.269218
0.100000,0.184866,1.552738,0.198237,0.440526,0.489474,0.000000,6.269494
0.100000,0.231362,1.552108,0.244737,0.489474,0.489474,-0.000000,6.269800
0.100000,0.282752,1.551429,0.296132,0.538421,0.489474,0.000000,6.270136
0.100000,0.339037,1.550705,0.352421,0.587368,0.489474,-0.000000,6.270501
0.100000,0.400216,1.549941,0.413605,0.636316,0.489474,0.000000,6.270895
0.100000,0.466291,1.549143,0.479684,0.685263,0.489474,-0.000000,6.271316
0.100000,0.537259,1.548316,0.550658,0.734211,0.489474,0.000000,6.271763
0.100000,0.613123,1.547468,0.626526,0.783158,0.489474,-0.000000,6.272236
0.100000,0.693882,1.546604,0.707289,0.832105,0.489474,0.000000,6.272734
0.100000,0.779535,1.545731,0.792947,0.881053,0.489474,-0.000000,6.273255
0.100000,0.870083,1.544856,0.883500,0.930000,0.489474,0.000000,6.273798
0.100000,0.965527,1.543987,0.978947,0.978947,0.489474,0.000000,6.274362
0.100000,1.065865,1.543131,1.079289,1.027895,0.489474,0.000000,6.274945
0.100000,1.171099,1.542296,1.184526,1.076842,0.489474,-0.000000,6.275546
0.100000,1.281227,1.541489,1.294658,1.125789,0.489474,0.000000,6.276164
0.100000,1.396251,1.540717,1.409684,1.174737,0.489474,-0.000000,6.276797
0.100000,1.516170,1.539990,1.529605,1.223684,0.489474,0.000000,6.277444
0.100000,1.640984,1.539315,1.654421,1.272632,0.489474,-0.000000,6.278102
0.100000,1.770693,1.538699,1.784132,1.321579,0.489474,0.000000,6.278770
0.100000,1.905297,1.538150,1.918737,1.370526,0.489474,-0.000000,6.279446
0.100000,2.044796,1.537677,2.058237,1.419474,0.489474,0.000000,6.280129
0.100000,2.189191,1.537285,2.202632,1.468421,0.489474,-0.000000,6.280816
0.100000,2.338480,1.536983,2.351921,1.517368,0.489474,0.000000,6.281505
0.100000,2.492664,1.536777,2.506105,1.566316,0.489474,-0.000000,6.282194
0.100000,2.651743,1.536675,2.665184,1.615263,0.489474,0.000000,6.282881
0.100000,2.815716,1.536681,2.829158,1.664211,0.489474,-0.000000,0.000379
0.100000,2.984585,1.536802,2.998026,1.713158,0.489474,0.000000,0.001055
0.100000,3.158348,1.537044,3.171789,1.762105,0.489474,0.000000,0.001722
0.100000,3.337005,1.537411,3.350447,1.811053,0.489474,0.000000,0.002378
0.100000,3.520557,1.537907,3.534000,1.860000,0.489474,0.000000,0.003020
0.100000,3.706556,1.538526,3.720000,1.860000,0.000000,-4.894737,0.003638
0.100000,3.892555,1.539258,3.906000,1.860000,0.000000,0.000000,0.004222
0.100000,4.078553,1.540095,4.092000,1.860000,0.000000,0.000000,0.004773
0.100000,4.264551,1.541032,4.278000,1.860000,0.000000,0.000000,0.005291
0.100000,4.450548,1.542061,4.464000,1.860000,0.000000,0.000000,0.005776
0.100000,4.636544,1.543178,4.650000,1.860000,0.000000,0.000000,0.006227
0.100000,4.822540,1.544376,4.836000,1.860000,0.000000,0.000000,0.006646
0.100000,5.008536,1.545648,5.022000,1.860000,0.000000,0.000000,0.007031
0.100000,5.194531,1.546989,5.208000,1.860000,0.000000,0.000000,0.007383
0.100000,5.380526,1.548392,5.394000,1.860000,0.000000,0.000000,0.007701
0.100000,5.566520,1.549852,5.580000,1.860000,0.000000,0.000000,0.007987
0.100000,5.752514,1.551361,5.766000,1.860000,0.000000,0.000000,0.008239
0.100000,5.938508,1.552915,5.952000,1.860000,0.000000,0.000000,0.008458
0.100000,6.124501,1.554506,6.138000,1.860000,0.000000,0.000000,0.008644
0.100000,6.310494,1.556128,6.324000,1.860000,0.000000,0.000000,0.008797
0.100000,6.496486,1.557776,6.510000,1.860000,0.000000,0.000000,0.008916
0.100000,6.682479,1.559443,6.696000,1.860000,0.000000,0.000000,0.009002
0.100000,6.868471,1.561123,6.882000,1.860000,0.000000,0.000000,0.009055
0.100000,7.054464,1.562809,7.068000,1.860000,0.000000,0.000000,0.009075
0.100000,7.240456,1.564497,7.254000,1.860000,0.000000,0.000000,0.009062
0.100000,7.426448,1.566178,7.440000,1.860000,0.000000,0.000000,0.009015
0.100000,7.612441,1.567848,7.626000,1.860000,0.000000,0.000000,0.008935
0.100000,7.798434,1.569500,7.812000,1.860000,0.000000,0.000000,0.008823
0.100000,7.984427,1.571128,7.998000,1.860000,0.000000,0.000000,0.008676
0.100000,8.170420,1.572726,8.184000,1.860000,0.000000,0.000000,0.008497
0.100000,8.356413,1.574287,8.370000,1.860000,0.000000,0.000000,0.008284
0.100000,8.542407,1.575805,8.556000,1.860000,0.000000,0.000000,0.008039
0.100000,8.728401,1.577275,8.742000,1.860000,0.000000,0.000000,0.007760
0.100000,8.914396,1.578690,8.928000,1.860000,0.000000,0.000000,0.007447
0.100000,9.100391,1.580043,9.114000,1.860000,0.000000,0.000000,0.007102
0.100000,9.286386,1.581330,9.300000,1.860000,0.000000,0.000000,0.006723
0.100000,9.472382,1.582542,9.486000,1.860000,0.000000,0.000000,0.006312
0.100000,9.658379,1.583675,9.672000,1.860000,0.000000,0.000000,0.005867
0.100000,9.844376,1.584723,9.858000,1.860000,0.000000,0.000000,0.005388
0.100000,10.030374,1.585678,10.044000,1.860000,0.000000,0.000000,0.004877
0.100000,10.216372,1.586535,10.230000,1.860000,0.000000,0.000000,0.004332
0.100000,10.402370,1.587287,10.416000,1.860000,0.000000,0.000000,0.003754
0.100000,10.588369,1.587929,10.602000,1.860000,0.000000,0.000000,0.003143
0.100000,10.772649,1.588450,10.786281,1.825621,-0.343793,-3.437930,0.002505
0.100000,10.952764,1.588843,10.966396,1.776673,-0.489474,-1.456807,0.001850
0.100000,11.127983,1.589109,11.141616,1.727726,-0.489474,-0.000000,0.001183
0.100000,11.298308,1.589253,11.311941,1.678779,-0.489474,0.000000,0.000506
0.100000,11.463739,1.589281,11.477371,1.629831,-0.489474,-0.000000,6.283007
