dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.004446,1.205411,0.000200,0.020000,1.000000,50.000000,6.268121
0.020000,-0.004432,1.205410,0.000213,0.000660,-0.966983,-98.349174,6.268158
0.020000,-0.004406,1.205410,0.000240,0.001319,0.032952,49.996784,6.268234
0.020000,-0.002543,1.205382,0.002102,0.093138,4.590955,227.900130,6.268347
0.020000,0.000709,1.205334,0.005355,0.162628,3.474500,-55.822763,6.268497
0.020000,0.004774,1.205275,0.009420,0.203276,2.032373,-72.106327,6.268684
0.020000,0.009652,1.205205,0.014299,0.243917,2.032053,-0.015981,6.268908
0.020000,0.015342,1.205124,0.019990,0.284550,2.031665,-0.019411,6.269168
0.020000,0.021845,1.205034,0.026493,0.325175,2.031217,-0.022403,6.269464
0.020000,0.029160,1.204935,0.033809,0.365789,2.030702,-0.025734,6.269795
0.020000,0.037287,1.204828,0.041937,0.406391,2.030122,-0.029046,6.270160
0.020000,0.046226,1.204713,0.050877,0.446981,2.029481,-0.032017,6.270559
0.020000,0.055976,1.204592,0.060628,0.487556,2.028771,-0.035493,6.270990
0.020000,0.066538,1.204466,0.071190,0.528116,2.027999,-0.038608,6.271454
0.020000,0.077910,1.204335,0.082563,0.568659,2.027165,-0.041711,6.271949
0.020000,0.090093,1.204201,0.094747,0.609185,2.026261,-0.045195,6.272474
0.020000,0.103087,1.204066,0.107741,0.649691,2.025297,-0.048217,6.273028
0.020000,0.116889,1.203929,0.121544,0.690176,2.024266,-0.051518,6.273609
0.020000,0.131502,1.203794,0.136157,0.730639,2.023171,-0.054758,6.274217
0.020000,0.146923,1.203661,0.151579,0.771080,2.022013,-0.057930,6.274850
0.020000,0.163152,1.203531,0.167808,0.811495,2.020788,-0.061208,6.275507
0.020000,0.180189,1.203406,0.184846,0.851885,2.019500,-0.064413,6.276186
0.020000,0.198034,1.203287,0.202691,0.892248,2.018147,-0.067673,6.276886
0.020000,0.216685,1.203176,0.221343,0.932583,2.016729,-0.070868,6.277605
0.020000,0.236143,1.203075,0.240801,0.972888,2.015247,-0.074114,6.278342
0.020000,0.256406,1.202984,0.261064,1.013162,2.013700,-0.077332,6.279094
0.020000,0.277474,1.202906,0.282132,1.053404,2.012089,-0.080570,6.279860
0.020000,0.299346,1.202842,0.304004,1.093612,2.010413,-0.083780,6.280637
0.020000,0.322021,1.202793,0.326680,1.133785,2.008673,-0.087022,6.281425
0.020000,0.345500,1.202761,0.350158,1.173923,2.006868,-0.090234,6.282221
0.020000,0.369780,1.202748,0.374439,1.214023,2.004999,-0.093446,6.283022
0.020000,0.394862,1.202754,0.399520,1.254084,2.003066,-0.096681,0.000642
0.020000,0.420744,1.202781,0.425402,1.294105,2.001068,-0.099909,0.001448
0.020000,0.447426,1.202830,0.452084,1.334085,1.999005,-0.103118,0.002252
0.020000,0.474906,1.202903,0.479565,1.374023,1.996880,-0.106250,0.003054
0.020000,0.503184,1.203001,0.507843,1.413917,1.994688,-0.109607,0.003849
0.020000,0.532259,1.203124,0.536918,1.453766,1.992435,-0.112676,0.004636
0.020000,0.562130,1.203274,0.566790,1.493568,1.990115,-0.115954,0.005411
0.020000,0.592796,1.203452,0.597456,1.533322,1.987732,-0.119180,0.006172
0.020000,0.624256,1.203658,0.628917,1.573028,1.985286,-0.122294,0.006917
0.020000,0.656509,1.203893,0.661170,1.612684,1.982775,-0.125549,0.007641
0.020000,0.689554,1.204157,0.694216,1.652288,1.980201,-0.128719,0.008344
0.020000,0.723389,1.204451,0.728053,1.691839,1.977560,-0.132012,0.009020
0.020000,0.758014,1.204775,0.762680,1.731336,1.974859,-0.135046,0.009668
0.020000,0.793428,1.205128,0.798095,1.770778,1.972092,-0.138372,0.010284
0.020000,0.829629,1.205511,0.834298,1.810163,1.969262,-0.141506,0.010865
