dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.618489,1.484490,0.000620,0.024800,0.496000,9.920000,6.283184
0.050000,0.619952,1.484490,0.002083,0.029268,0.089360,-8.132802,0.000004
0.050000,0.623049,1.484490,0.005180,0.061941,0.653451,11.281821,0.000012
0.050000,0.627385,1.484490,0.009516,0.086708,0.495347,-3.162074,0.000025
0.050000,0.632958,1.484491,0.015089,0.111466,0.495170,-0.003542,0.000044
0.050000,0.639769,1.484491,0.021900,0.136214,0.494942,-0.004554,0.000070
0.050000,0.647816,1.484492,0.029947,0.160947,0.494664,-0.005566,0.000106
0.050000,0.657099,1.484493,0.039230,0.185664,0.494335,-0.006578,0.000153
0.050000,0.667617,1.484495,0.049748,0.210361,0.493956,-0.007590,0.000215
0.050000,0.679369,1.484498,0.061500,0.235038,0.493526,-0.008602,0.000294
0.050000,0.692354,1.484502,0.074485,0.259690,0.493045,-0.009614,0.000394
0.050000,0.706569,1.484509,0.088701,0.284316,0.492514,-0.010626,0.000518
0.050000,0.722015,1.484518,0.104146,0.308912,0.491932,-0.011638,0.000671
0.050000,0.738689,1.484530,0.120820,0.333477,0.491299,-0.012651,0.000857
0.050000,0.756589,1.484548,0.138720,0.358008,0.490616,-0.013664,0.001081
0.050000,0.775714,1.484571,0.157846,0.382502,0.489882,-0.014677,0.001348
0.050000,0.796062,1.484602,0.178193,0.406957,0.489098,-0.015690,0.001663
0.050000,0.817631,1.484641,0.199762,0.431370,0.488263,-0.016704,0.002033
0.050000,0.840417,1.484692,0.222549,0.455739,0.487377,-0.017717,0.002463
0.050000,0.864420,1.484757,0.246552,0.480061,0.486440,-0.018732,0.002961
0.050000,0.889637,1.484839,0.271769,0.504333,0.485453,-0.019745,0.003533
0.050000,0.916064,1.484941,0.298196,0.528554,0.484415,-0.020760,0.004186
0.050000,0.943700,1.485067,0.325832,0.552721,0.483326,-0.021775,0.004928
0.050000,0.972541,1.485221,0.354674,0.576830,0.482187,-0.022789,0.005768
0.050000,1.002585,1.485408,0.384718,0.600880,0.480996,-0.023803,0.006713
0.050000,1.033827,1.485634,0.415961,0.624867,0.479756,-0.024816,0.007772
0.050000,1.066266,1.485905,0.448401,0.648791,0.478464,-0.025827,0.008954
0.050000,1.099896,1.486228,0.482033,0.672647,0.477122,-0.026837,0.010269
0.050000,1.134716,1.486611,0.516855,0.696433,0.475730,-0.027843,0.011727
0.050000,1.170721,1.487062,0.552862,0.720148,0.474288,-0.028846,0.013337
0.050000,1.207906,1.487591,0.590051,0.743788,0.472796,-0.029842,0.015110
0.050000,1.246269,1.488207,0.628419,0.767350,0.471254,-0.030832,0.017058
0.050000,1.285804,1.488924,0.667961,0.790833,0.469664,-0.031811,0.019190
0.050000,1.326507,1.489752,0.708672,0.814235,0.468025,-0.032777,0.021520
0.050000,1.368374,1.490705,0.750550,0.837552,0.466339,-0.033728,0.024057
0.050000,1.411399,1.491800,0.793589,0.860782,0.464606,-0.034657,0.026816
0.050000,1.455578,1.493050,0.837785,0.883923,0.462828,-0.035563,0.029807
0.050000,1.500904,1.494474,0.883134,0.906974,0.461006,-0.036435,0.033045
0.050000,1.547372,1.496091,0.929630,0.929931,0.459142,-0.037271,0.036542
0.050000,1.594977,1.497920,0.977270,0.952793,0.457239,-0.038058,0.040311
0.050000,1.644465,1.499955,1.026800,0.990605,0.756242,5.980064,0.039722
0.050000,1.697320,1.501943,1.079692,1.057842,1.344745,11.770044,0.035694
0.050000,1.750945,1.503780,1.133349,1.073126,0.305677,-20.781352,0.033005
0.050000,1.805301,1.505533,1.187733,1.087689,0.291259,-0.288365,0.031755
0.050000,1.860349,1.507283,1.242809,1.101510,0.276431,-0.296554,0.032049
0.050000,1.916047,1.509115,1.298537,1.114568,0.261153,-0.305562,0.033994
0.050000,1.972353,1.511126,1.354879,1.126838,0.245405,-0.314961,0.037701
0.050000,2.029222,1.513421,1.411794,1.138298,0.229201,-0.324083,0.043283
0.050000,2.086605,1.516114,1.469240,1.148929,0.212605,-0.331909,0.050857
0.050000,2.144451,1.519330,1.527176,1.158716,0.195754,-0.337021,0.060542
0.050000,2.202706,1.523199,1.585559,1.167660,0.178879,-0.337510,0.072456
0.050000,2.261310,1.527861,1.644348,1.175777,0.162333,-0.330914,0.086715
0.050000,2.320199,1.533465,1.703503,1.183108,0.146625,-0.314156,0.103431
0.050000,2.379307,1.540164,1.762990,1.189730,0.132444,-0.283634,0.122701
0.050000,2.438564,1.548119,1.822778,1.195764,0.120683,-0.235207,0.144609
0.050000,2.501632,1.557926,1.886604,1.276528,1.615263,29.891601,0.156254
0.050000,2.572013,1.568864,1.957830,1.424507,2.959580,26.886337,0.152977
0.050000,2.641672,1.579651,2.028320,1.409797,-0.294201,-65.075629,0.155255
0.050000,2.710441,1.590665,2.097964,1.392897,-0.338000,-0.875981,0.163397
0.050000,2.778129,1.602286,2.166643,1.373570,-0.386529,-0.970579,0.177741
0.050000,2.844526,1.614890,2.234226,1.351651,-0.438373,-1.036872,0.198653
0.050000,2.909399,1.628849,2.300583,1.327158,-0.489875,-1.030043,0.226493
0.050000,2.972505,1.644517,2.365605,1.300441,-0.534341,-0.889329,0.261573
0.050000,3.033608,1.662228,2.429224,1.272372,-0.561371,-0.540593,0.304084
0.050000,3.092511,1.682294,2.491450,1.244529,-0.556866,0.090103,0.353991
0.050000,3.149086,1.705010,2.552415,1.219299,-0.504603,1.045267,0.410928
0.050000,3.205124,1.731536,2.614414,1.239978,0.413589,18.363839,0.466186
0.050000,3.272657,1.766376,2.690405,1.519810,5.596635,103.660919,0.487862
0.050000,3.337634,1.802062,2.764537,1.482635,-0.743491,-126.802522,0.518248
0.050000,3.399511,1.838920,2.836560,1.440460,-0.843497,-2.000131,0.558047
0.050000,3.457725,1.877224,2.906245,1.393702,-0.935163,-1.833311,0.607899
0.050000,3.511751,1.917197,2.973451,1.344123,-0.991579,-1.128331,0.668202
0.050000,3.561188,1.959046,3.038222,1.295426,-0.973951,0.352565,0.738830
0.050000,3.605836,2.003032,3.100898,1.253515,-0.838207,2.714885,0.818828
0.050000,3.645737,2.049558,3.162191,1.225856,-0.553193,5.700279,0.906195
0.050000,3.683237,2.102276,3.226885,1.293889,1.360668,38.277223,0.983088
0.050000,3.733413,2.177988,3.317715,1.816588,10.453980,181.866247,0.989191
0.050000,3.781453,2.252026,3.405972,1.765156,-1.028652,-229.652648,1.002525
0.050000,3.826847,2.324655,3.491621,1.712972,-1.043670,-0.300355,1.023194
