dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.618488,1.128890,0.000620,0.024800,0.496000,9.920000,6.283184
0.050000,0.619953,1.128890,0.002480,0.049600,0.496000,0.000000,0.000004
0.050000,0.623053,1.128890,0.005580,0.074400,0.496000,0.000000,0.000012
0.050000,0.627393,1.128890,0.009920,0.099200,0.496000,0.000000,0.000025
0.050000,0.632973,1.128891,0.015500,0.124000,0.496000,-0.000000,0.000044
0.050000,0.639793,1.128891,0.022320,0.148800,0.496000,0.000000,0.000070
0.050000,0.647853,1.128892,0.030380,0.173600,0.496000,-0.000000,0.000106
0.050000,0.657153,1.128893,0.039680,0.198400,0.496000,0.000000,0.000153
0.050000,0.667693,1.128895,0.050220,0.223200,0.496000,-0.000000,0.000215
0.050000,0.679473,1.128898,0.062000,0.248000,0.496000,0.000000,0.000294
0.050000,0.692493,1.128902,0.075020,0.272800,0.496000,0.000000,0.000394
0.050000,0.706753,1.128909,0.089280,0.297600,0.496000,-0.000000,0.000518
0.050000,0.722253,1.128918,0.104780,0.322400,0.496000,0.000000,0.000671
0.050000,0.738993,1.128931,0.121520,0.347200,0.496000,0.000000,0.000857
0.050000,0.756973,1.128948,0.139500,0.372000,0.496000,0.000000,0.001081
0.050000,0.776193,1.128971,0.158720,0.396800,0.496000,-0.000000,0.001348
0.050000,0.796653,1.129002,0.179180,0.421600,0.496000,-0.000000,0.001663
0.050000,0.818353,1.129042,0.200880,0.446400,0.496000,0.000000,0.002033
0.050000,0.841293,1.129094,0.223820,0.471200,0.496000,0.000000,0.002463
0.050000,0.865473,1.129159,0.248000,0.496000,0.496000,-0.000000,0.002961
0.050000,0.890893,1.129241,0.273420,0.520800,0.496000,0.000000,0.003533
0.050000,0.917553,1.129344,0.300080,0.545600,0.496000,0.000000,0.004186
0.050000,0.945453,1.129471,0.327980,0.570400,0.496000,-0.000000,0.004928
0.050000,0.974592,1.129627,0.357120,0.595200,0.496000,0.000000,0.005768
0.050000,1.004972,1.129816,0.387500,0.620000,0.496000,-0.000000,0.006713
0.050000,1.036591,1.130045,0.419120,0.644800,0.496000,0.000000,0.007772
0.050000,1.069450,1.130320,0.451980,0.669600,0.496000,-0.000000,0.008954
0.050000,1.103548,1.130647,0.486080,0.694400,0.496000,0.000000,0.010269
0.050000,1.138886,1.131036,0.521420,0.719200,0.496000,0.000000,0.011727
0.050000,1.175463,1.131494,0.558000,0.744000,0.496000,0.000000,0.013337
0.050000,1.213279,1.132031,0.595820,0.768800,0.496000,-0.000000,0.015110
0.050000,1.252334,1.132659,0.634880,0.793600,0.496000,0.000000,0.017058
0.050000,1.292628,1.133389,0.675180,0.818400,0.496000,-0.000000,0.019190
0.050000,1.334159,1.134234,0.716720,0.843200,0.496000,0.000000,0.021520
0.050000,1.376928,1.135208,0.759500,0.868000,0.496000,0.000000,0.024057
0.050000,1.420934,1.136327,0.803520,0.892800,0.496000,-0.000000,0.026816
0.050000,1.466175,1.137608,0.848780,0.917600,0.496000,0.000000,0.029807
0.050000,1.512653,1.139068,0.895280,0.942400,0.496000,0.000000,0.033045
0.050000,1.560364,1.140728,0.943020,0.967200,0.496000,-0.000000,0.036542
0.050000,1.609307,1.142609,0.992000,0.992000,0.496000,0.000000,0.040311
0.050000,1.658587,1.144636,1.042220,1.016800,0.496000,0.000000,0.039722
0.050000,1.710010,1.146570,1.093680,1.041600,0.496000,0.000000,0.035694
0.050000,1.762679,1.148373,1.146380,1.066400,0.496000,-0.000000,0.033005
0.050000,1.816591,1.150113,1.200320,1.091200,0.496000,0.000000,0.031755
0.050000,1.871743,1.151865,1.255500,1.116000,0.496000,-0.000000,0.032049
0.050000,1.928133,1.153720,1.311920,1.140800,0.496000,0.000000,0.033994
0.050000,1.985756,1.155779,1.369580,1.165600,0.496000,0.000000,0.037701
0.050000,2.044608,1.158154,1.428480,1.190400,0.496000,-0.000000,0.043283
0.050000,2.104682,1.160974,1.488620,1.215200,0.496000,0.000000,0.050857
0.050000,2.165967,1.164381,1.550000,1.240000,0.496000,0.000000,0.060542
0.050000,2.228449,1.168532,1.612620,1.264800,0.496000,0.000000,0.072456
0.050000,2.292107,1.173597,1.676480,1.289600,0.496000,-0.000000,0.086715
0.050000,2.356913,1.179765,1.741580,1.314400,0.496000,0.000000,0.103431
0.050000,2.422830,1.187238,1.807920,1.339200,0.496000,0.000000,0.122701
0.050000,2.489808,1.196230,1.875500,1.364000,0.496000,0.000000,0.144609
0.050000,2.556970,1.206659,1.944320,1.388800,0.496000,0.000000,0.156254
0.050000,2.626200,1.217416,2.014380,1.413600,0.496000,0.000000,0.152977
0.050000,2.696660,1.228328,2.085680,1.438400,0.496000,-0.000000,0.155255
0.050000,2.768286,1.239802,2.158220,1.463200,0.496000,0.000000,0.163397
0.050000,2.841001,1.252288,2.232000,1.488000,0.496000,0.000000,0.177741
0.050000,2.914703,1.266284,2.307020,1.512800,0.496000,-0.000000,0.198653
0.050000,2.989253,1.282331,2.383280,1.537600,0.496000,0.000000,0.226493
0.050000,3.064463,1.301013,2.460780,1.562400,0.496000,0.000000,0.261573
0.050000,3.140082,1.322942,2.539520,1.587200,0.496000,0.000000,0.304084
0.050000,3.215777,1.348743,2.619500,1.612000,0.496000,-0.000000,0.353991
0.050000,3.291134,1.379014,2.700720,1.636800,0.496000,0.000000,0.410928
0.050000,3.364960,1.413882,2.783180,1.661600,0.496000,0.000000,0.466186
0.050000,3.439340,1.452261,2.866880,1.686400,0.496000,0.000000,0.487862
0.050000,3.513784,1.493156,2.951820,1.711200,0.496000,0.000000,0.518248
0.050000,3.587812,1.537268,3.038000,1.736000,0.496000,0.000000,0.558047
0.050000,3.660824,1.585330,3.125420,1.760800,0.496000,-0.000000,0.607899
0.050000,3.732072,1.638073,3.214080,1.785600,0.496000,0.000000,0.668202
0.050000,3.800657,1.696166,3.303980,1.810400,0.496000,0.000000,0.738830
0.050000,3.865547,1.760129,3.395120,1.835200,0.496000,-0.000000,0.818828
0.050000,3.925653,1.830243,3.487500,1.860000,0.496000,0.000000,0.906195
0.050000,3.979172,1.905112,3.580500,1.860000,0.000000,-9.920000,0.983088
0.050000,4.030546,1.982634,3.673500,1.860000,0.000000,0.000000,0.989191
0.050000,4.081165,2.060650,3.766500,1.860000,0.000000,0.000000,1.002525
0.050000,4.130450,2.139515,3.859500,1.860000,0.000000,0.000000,1.023194
0.050000,4.177797,2.219557,3.952500,1.860000,0.000000,0.000000,1.051320
0.050000,4.222566,2.301066,4.045500,1.860000,0.000000,0.000000,1.086990
0.050000,4.264086,2.384275,4.138500,1.860000,0.000000,0.000000,1.130179
0.050000,4.301552,2.469070,4.231212,1.848492,-0.230158,-4.603159,1.180484
0.050000,4.334113,2.554893,4.323017,1.823692,-0.496000,-5.316841,1.236901
0.050000,4.361192,2.641299,4.413582,1.798892,-0.496000,0.000000,1.298121
0.050000,4.382480,2.728034,4.502906,1.774092,-0.496000,-0.000000,1.362711
0.050000,4.397928,2.814121,4.590991,1.749292,-0.496000,0.000000,1.421988
0.050000,4.408657,2.900292,4.677835,1.724492,-0.496000,0.000000,1.470000
0.050000,4.415649,2.985606,4.763440,1.699692,-0.496000,0.000000,1.506167
0.050000,4.419985,3.069857,4.847805,1.674892,-0.496000,0.000000,1.530769
0.050000,4.422676,3.152937,4.930929,1.650092,-0.496000,-0.000000,1.544287
0.050000,4.424656,3.234798,5.012814,1.625292,-0.496000,0.000000,1.547238
0.050000,4.426776,3.315415,5.093458,1.600492,-0.496000,0.000000,1.540103
0.050000,4.428749,3.394041,5.172863,1.575692,-0.496000,-0.000000,1.558625
0.050000,4.428751,3.472204,5.251028,1.550892,-0.496000,0.000000,1.581887
0.050000,4.427212,3.549113,5.327952,1.526092,-0.496000,0.000000,1.598704
0.050000,4.424661,3.624754,5.403637,1.501292,-0.496000,0.000000,1.609351
0.050000,4.421579,3.699134,5.478081,1.476492,-0.496000,0.000000,1.614118
0.050000,4.418406,3.772270,5.551286,1.451692,-0.496000,0.000000,1.613293
0.050000,4.415537,3.844178,5.623251,1.426892,-0.496000,-0.000000,1.607153
0.050000,4.413332,3.914867,5.693975,1.402092,-0.496000,0.000000,1.595965
0.050000,4.412109,3.984340,5.763460,1.377292,-0.496000,0.000000,1.579998
0.050000,4.412153,4.052584,5.831704,1.352492,-0.496000,0.000000,1.559532
0.050000,4.413733,4.118993,5.898709,1.327692,-0.496000,-0.000000,1.533044
0.050000,4.417008,4.184675,5.964474,1.302892,-0.496000,0.000000,1.510313
0.050000,4.421403,4.249049,6.028998,1.278092,-0.496000,-0.000000,1.496322
0.050000,4.426335,4.312141,6.092283,1.253292,-0.496000,0.000000,1.490590
0.050000,4.431281,4.373988,6.154327,1.228492,-0.496000,-0.000000,1.492643
0.050000,4.435781,4.434626,6.215132,1.203692,-0.496000,0.000000,1.502029
0.050000,4.439425,4.494078,6.274697,1.178892,-0.496000,0.000000,1.518311
0.050000,4.441855,4.552351,6.333021,1.154092,-0.496000,0.000000,1.541047
0.050000,4.442764,4.609426,6.390106,1.129292,-0.496000,0.000000,1.569753
0.050000,4.441950,4.664026,6.445950,1.104492,-0.496000,-0.000000,1.598517
0.050000,4.440652,4.718615,6.500555,1.079692,-0.496000,0.000000,1.590691
0.050000,4.439782,4.771972,6.553920,1.054892,-0.496000,0.000000,1.583630
0.050000,4.439280,4.824095,6.606044,1.030092,-0.496000,0.000000,1.577296
0.050000,4.439096,4.874979,6.656929,1.005292,-0.496000,-0.000000,1.571649
0.050000,4.439179,4.924623,6.706573,0.980492,-0.496000,0.000000,1.566653
0.050000,4.439488,4.973027,6.754978,0.955692,-0.496000,0.000000,1.562270
0.050000,4.439982,5.020189,6.802143,0.930892,-0.496000,0.000000,1.558463
0.050000,4.440625,5.066109,6.848067,0.906092,-0.496000,-0.000000,1.555196
0.050000,4.441385,5.110787,6.892752,0.881292,-0.496000,0.000000,1.552435
0.050000,4.442234,5.154223,6.936197,0.856492,-0.496000,0.000000,1.550145
0.050000,4.443146,5.196418,6.978401,0.831692,-0.496000,0.000000,1.548292
0.050000,4.444098,5.237372,7.019366,0.806892,-0.496000,-0.000000,1.546845
0.050000,4.445072,5.277084,7.059090,0.782092,-0.496000,0.000000,1.545772
0.050000,4.446050,5.315556,7.097575,0.757292,-0.496000,-0.000000,1.545042
0.050000,4.447018,5.352789,7.134820,0.732492,-0.496000,0.000000,1.544626
0.050000,4.447963,5.388781,7.170824,0.707692,-0.496000,0.000000,1.544495
0.050000,4.448876,5.423533,7.205589,0.682892,-0.496000,0.000000,1.544622
0.050000,4.449748,5.457047,7.239113,0.658092,-0.496000,0.000000,1.544980
0.050000,4.450573,5.489321,7.271398,0.633292,-0.496000,-0.000000,1.545544
0.050000,4.451346,5.520356,7.302443,0.608492,-0.496000,0.000000,1.546288
0.050000,4.452063,5.550152,7.332247,0.583692,-0.496000,-0.000000,1.547190
0.050000,4.452723,5.578709,7.360812,0.558892,-0.496000,0.000000,1.548226
0.050000,4.453324,5.606027,7.388136,0.534092,-0.496000,0.000000,1.549374
0.050000,4.453867,5.632106,7.414221,0.509292,-0.496000,0.000000,1.550613
0.050000,4.454353,5.656945,7.439066,0.484492,-0.496000,-0.000000,1.551924
0.050000,4.454782,5.680546,7.462670,0.459692,-0.496000,0.000000,1.553287
0.050000,4.455158,5.702908,7.485035,0.434892,-0.496000,0.000000,1.554685
0.050000,4.455484,5.724030,7.506159,0.410092,-0.496000,0.000000,1.556099
0.050000,4.455762,5.743912,7.526044,0.385292,-0.496000,-0.000000,1.557515
0.050000,4.455997,5.762555,7.544689,0.360492,-0.496000,0.000000,1.558916
0.050000,4.456192,5.779959,7.562093,0.335692,-0.496000,0.000000,1.560289
0.050000,4.456351,5.796123,7.578258,0.310892,-0.496000,-0.000000,1.561620
0.050000,4.456478,5.811047,7.593182,0.286092,-0.496000,0.000000,1.562896
0.050000,4.456578,5.824731,7.606867,0.261292,-0.496000,0.000000,1.564107
0.050000,4.456654,5.837175,7.619312,0.236492,-0.496000,-0.000000,1.565241
0.050000,4.456711,5.848380,7.630516,0.211692,-0.496000,-0.000000,1.566290
0.050000,4.456751,5.858344,7.640481,0.186892,-0.496000,0.000000,1.567244
0.050000,4.456778,5.867069,7.649205,0.162092,-0.496000,-0.000000,1.568097
0.050000,4.456796,5.874554,7.656690,0.137292,-0.496000,0.000000,1.568841
0.050000,4.456806,5.880798,7.662935,0.112492,-0.496000,0.000000,1.569470
0.050000,4.456811,5.885803,7.667939,0.087692,-0.496000,-0.000000,1.569980
0.050000,4.456814,5.889567,7.671704,0.062892,-0.496000,0.000000,1.570367
0.050000,4.456814,5.892092,7.674228,0.038092,-0.496000,0.000000,1.570628
0.050000,4.456815,5.893377,7.675513,0.013292,-0.496000,-0.000000,1.570762
0.050000,4.456815,5.893709,7.675845,0.000000,-0.265842,4.603159,1.570796
0.050000,4.456815,5.893709,7.675845,0.000000,0.000000,5.316841,1.570796
