dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.619922,0.836790,0.002447,0.048947,0.489474,4.894737,0.000004
0.100000,0.627270,0.836790,0.009796,0.073482,0.245350,-2.441239,0.000025
0.100000,0.639520,0.836791,0.022045,0.122498,0.490152,2.448024,0.000069
0.100000,0.656675,0.836793,0.039201,0.171553,0.490557,0.004048,0.000150
0.100000,0.678742,0.836798,0.061267,0.220666,0.491124,0.005667,0.000288
0.100000,0.705727,0.836808,0.088252,0.269851,0.491852,0.007286,0.000507
0.100000,0.737639,0.836829,0.120165,0.319125,0.492743,0.008905,0.000838
0.100000,0.774490,0.836869,0.157015,0.368505,0.493795,0.010525,0.001317
0.100000,0.816290,0.836937,0.198816,0.418006,0.495010,0.012146,0.001986
0.100000,0.863055,0.837051,0.245580,0.467644,0.496386,0.013767,0.002891
0.100000,0.914798,0.837230,0.297324,0.517437,0.497925,0.015389,0.004086
0.100000,0.971537,0.837505,0.354064,0.567399,0.499627,0.017011,0.005628
0.100000,1.033291,0.837911,0.415819,0.617548,0.501490,0.018633,0.007581
0.100000,1.100078,0.838497,0.482609,0.667900,0.503515,0.020253,0.010016
0.100000,1.171920,0.839322,0.554456,0.718470,0.505702,0.021867,0.013006
0.100000,1.248840,0.840459,0.631383,0.769275,0.508049,0.023469,0.016631
0.100000,1.330858,0.841998,0.713416,0.820330,0.510554,0.025050,0.020979
0.100000,1.417999,0.844047,0.800581,0.871652,0.513213,0.026595,0.026140
0.100000,1.510285,0.846736,0.892907,0.923254,0.516022,0.028084,0.032209
0.100000,1.607738,0.850215,0.990422,0.975151,0.518970,0.029483,0.039288
0.100000,1.706341,0.854146,1.089103,0.986811,0.116604,-4.023655,0.036681
0.100000,1.810141,0.857659,1.192962,1.038588,0.517772,4.011677,0.031964
0.100000,1.920583,0.861202,1.303461,1.104992,0.664032,1.462596,0.033222
0.100000,2.037891,0.865509,1.420848,1.173867,0.688750,0.247180,0.041304
0.100000,2.162279,0.871559,1.545383,1.245352,0.714853,0.261032,0.057105
0.100000,2.293920,0.880615,1.677336,1.319528,0.741763,0.269101,0.081550
0.100000,2.432883,0.894259,1.816966,1.396305,0.767767,0.260046,0.115534
0.100000,2.577899,0.914223,1.963350,1.463843,0.675381,-0.923864,0.158816
0.100000,2.714265,0.935451,2.101358,1.380078,-0.837654,-15.130353,0.153708
0.100000,2.861870,0.959366,2.250888,1.495299,1.152217,19.898708,0.171295
0.100000,3.020754,0.990057,2.412709,1.618212,1.229125,0.769082,0.214240
0.100000,3.190293,1.032942,2.587588,1.748790,1.305785,0.766603,0.285215
0.100000,3.368159,1.094555,2.775823,1.882350,1.335602,0.298167,0.385300
0.100000,3.540054,1.175282,2.965731,1.899077,0.167268,-11.683336,0.477096
0.100000,3.703483,1.265670,3.152490,1.867586,-0.314908,-4.821763,0.538444
0.100000,3.872511,1.377778,3.355316,2.028268,1.606817,19.217248,0.638232
0.100000,4.039535,1.520200,3.574819,2.195022,1.667543,0.607267,0.778682
0.100000,4.191360,1.697950,3.808583,2.337640,1.426180,-2.413631,0.951582
0.100000,4.300979,1.862496,4.006299,1.977161,-3.604789,-50.309696,0.994949
0.100000,4.405767,2.030576,4.204369,1.980697,0.035356,36.401451,1.036318
0.100000,4.505104,2.211948,4.411162,2.067930,0.872326,8.369701,1.107653
0.100000,4.591137,2.407067,4.624406,2.132445,0.645151,-2.271744,1.207361
