dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.427297,3.411006,0.000624,0.024972,0.499437,9.988733,0.000096
0.050000,1.429549,3.411005,0.002876,0.045044,0.401440,-1.959942,6.281859
0.050000,1.433512,3.410995,0.006839,0.079250,0.684124,5.653682,6.279494
0.050000,1.439056,3.410965,0.012383,0.110879,0.632578,-1.030905,6.276193
0.050000,1.446177,3.410901,0.019505,0.142435,0.631116,-0.029243,6.271966
0.050000,1.454871,3.410781,0.028199,0.173893,0.629174,-0.038839,6.266827
0.050000,1.465130,3.410582,0.038461,0.205229,0.626718,-0.049120,6.260793
0.050000,1.476947,3.410276,0.050281,0.236413,0.623678,-0.060805,6.253886
0.050000,1.490310,3.409833,0.063652,0.267414,0.620014,-0.073276,6.246131
0.050000,1.505208,3.409216,0.078562,0.298197,0.615666,-0.086972,6.237559
0.050000,1.521623,3.408390,0.094998,0.328725,0.610563,-0.102046,6.228205
0.050000,1.539539,3.407313,0.112946,0.358958,0.604658,-0.118105,6.218112
0.050000,1.558933,3.405944,0.132389,0.388852,0.597875,-0.135664,6.207327
0.050000,1.579781,3.404239,0.153307,0.418361,0.590181,-0.153882,6.195903
0.050000,1.602056,3.402155,0.175679,0.447438,0.581529,-0.173036,6.183902
0.050000,1.625725,3.399647,0.199480,0.476032,0.571890,-0.192781,6.171392
0.050000,1.650754,3.396672,0.224685,0.504095,0.561258,-0.212635,6.158448
0.050000,1.677103,3.393189,0.251264,0.531577,0.549631,-0.232540,6.145150
0.050000,1.704732,3.389159,0.279185,0.558428,0.537037,-0.251883,6.131588
0.050000,1.733596,3.384545,0.308416,0.584604,0.523521,-0.270320,6.117856
0.050000,1.763648,3.379316,0.338919,0.610061,0.509138,-0.287663,6.104056
0.050000,1.794838,3.373445,0.370657,0.634759,0.493963,-0.303503,6.090295
0.050000,1.827116,3.366910,0.403590,0.658664,0.478082,-0.317610,6.076684
0.050000,1.860431,3.359697,0.437677,0.681743,0.461585,-0.329940,6.063339
