dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.427365,2.699806,0.000624,0.024972,0.499437,9.988733,0.000096
0.050000,1.428606,2.699806,0.001865,0.024819,-0.003053,-10.049796,6.281859
0.050000,1.430887,2.699800,0.004146,0.045609,0.415800,8.377067,6.279494
0.050000,1.434083,2.699783,0.007342,0.063924,0.366292,-0.990170,6.276193
0.050000,1.438198,2.699745,0.011457,0.082311,0.367754,0.029252,6.271966
0.050000,1.443238,2.699676,0.016497,0.100796,0.369694,0.038795,6.266827
0.050000,1.449207,2.699560,0.022467,0.119404,0.372159,0.049306,6.260793
0.050000,1.456112,2.699382,0.029376,0.138164,0.375189,0.060598,6.253886
0.050000,1.463963,2.699121,0.037231,0.157106,0.378850,0.073208,6.246131
0.050000,1.472769,2.698757,0.046044,0.176266,0.383200,0.087006,6.237559
0.050000,1.482541,2.698264,0.055828,0.195681,0.388298,0.101953,6.228205
0.050000,1.493291,2.697618,0.066598,0.215391,0.394210,0.118251,6.218112
0.050000,1.505034,2.696789,0.078370,0.235441,0.400984,0.135472,6.207327
0.050000,1.517785,2.695746,0.091164,0.255875,0.408679,0.153900,6.195903
0.050000,1.531562,2.694457,0.105001,0.276741,0.417331,0.173054,6.183902
0.050000,1.546383,2.692886,0.119905,0.298090,0.426968,0.192726,6.171392
0.050000,1.562270,2.690998,0.135904,0.319970,0.437604,0.212717,6.158448
0.050000,1.579244,2.688754,0.153025,0.342431,0.449229,0.232499,6.145150
0.050000,1.597329,2.686116,0.171301,0.365522,0.461821,0.251856,6.131588
0.050000,1.616549,2.683043,0.190766,0.389289,0.475342,0.270405,6.117856
0.050000,1.636931,2.679496,0.211455,0.413776,0.489727,0.287701,6.104056
0.050000,1.658504,2.675435,0.233406,0.439021,0.504903,0.303527,6.090295
0.050000,1.681294,2.670820,0.256659,0.465060,0.520787,0.317682,6.076684
0.050000,1.705333,2.665614,0.281255,0.491925,0.537287,0.330006,6.063339
0.050000,1.730652,2.659782,0.307237,0.519640,0.554314,0.340535,6.050380
0.050000,1.757283,2.653289,0.334648,0.548229,0.571784,0.349387,6.037929
0.050000,1.785262,2.646107,0.363534,0.577711,0.589626,0.356858,6.026113
0.050000,1.814624,2.638211,0.393939,0.608100,0.607792,0.363302,6.015058
0.050000,1.845407,2.629581,0.425910,0.639413,0.626256,0.369296,6.004895
0.050000,1.877655,2.620203,0.459493,0.671664,0.645023,0.375326,5.995755
0.050000,1.911411,2.610073,0.494736,0.704871,0.664132,0.382192,5.987773
0.050000,1.946725,2.599191,0.531689,0.739054,0.683657,0.390490,5.981086
0.050000,1.983652,2.587571,0.570401,0.774239,0.703703,0.400919,5.975835
0.050000,2.022252,2.575235,0.610924,0.810459,0.724410,0.414144,5.972165
0.050000,2.058466,2.563440,0.649010,0.761727,-0.974653,-33.981253,5.960031
0.050000,2.094058,2.551142,0.686668,0.753151,-0.171510,16.062852,5.941283
0.050000,2.130967,2.537632,0.725971,0.786073,0.658426,16.598728,5.923652
0.050000,2.169234,2.522883,0.766982,0.820213,0.682806,0.487598,5.907311
0.050000,2.208904,2.506877,0.809760,0.855555,0.706839,0.480661,5.892427
0.050000,2.250029,2.489607,0.854364,0.892080,0.730509,0.473392,5.879168
0.050000,2.292666,2.471079,0.900853,0.929774,0.753871,0.467243,5.867697
0.050000,2.336879,2.451310,0.949284,0.968626,0.777051,0.463604,5.858178
0.050000,2.382743,2.430336,0.999716,1.008638,0.800231,0.463601,5.850773
0.050000,2.430341,2.408207,1.052207,1.049820,0.823632,0.468019,5.845647
0.050000,2.479770,2.384991,1.106816,1.092194,0.847491,0.477173,5.842968
0.050000,2.531140,2.360778,1.163606,1.135796,0.872030,0.490789,5.842909
0.050000,2.584572,2.335679,1.222640,1.180667,0.897422,0.507840,5.845648
0.050000,2.632691,2.313092,1.275797,1.063146,-2.350417,-64.956787,5.830253
0.050000,2.673272,2.292260,1.321412,0.912303,-3.016855,-13.328758,5.788244
0.050000,2.714782,2.268760,1.369112,0.954008,0.834100,77.019093,5.748588
0.050000,2.757300,2.242494,1.419089,0.999529,0.910415,1.526301,5.711820
0.050000,2.800899,2.213396,1.471507,1.048362,0.976660,1.324908,5.678406
0.050000,2.845660,2.181437,1.526506,1.099988,1.032529,1.117378,5.648739
0.050000,2.891672,2.146625,1.584203,1.153938,1.078988,0.929191,5.623145
0.050000,2.939045,2.109008,1.644695,1.209835,1.117950,0.779228,5.601899
0.050000,2.987917,2.068666,1.708066,1.267429,1.151875,0.678504,5.585238
0.050000,3.038464,2.025716,1.774396,1.326600,1.183421,0.630928,5.573384
0.050000,3.084116,1.986067,1.834863,1.209334,-2.345318,-70.574785,5.545831
0.050000,3.119501,1.951691,1.884197,0.986669,-4.453300,-42.159635,5.489349
0.050000,3.164054,1.905510,1.948365,1.283375,5.934109,207.748174,5.478081
0.050000,3.218891,1.849900,2.026465,1.561997,5.572457,-7.233036,5.509509
0.050000,3.286240,1.788383,2.117680,1.824297,5.245985,-6.529450,5.581375
0.050000,3.359553,1.732003,2.210165,1.849700,0.508069,-94.758324,5.661994
0.050000,3.389253,1.708993,2.247737,0.751430,-21.965411,-449.469590,5.589997
0.050000,3.420716,1.681224,2.289701,0.839290,1.757211,474.452433,5.533857
0.050000,3.453986,1.648897,2.336090,0.927777,1.769728,0.250340,5.493664
0.050000,3.489095,1.612501,2.386659,1.011383,1.672132,-1.951916,5.468733
0.050000,3.526176,1.572683,2.441070,1.088216,1.536659,-2.709468,5.458113
0.050000,3.565487,1.530149,2.498987,1.158349,1.402663,-2.679918,5.460865
0.050000,3.607382,1.485641,2.560112,1.222501,1.283032,-2.392620,5.476151
