dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.383570,3.322769,0.000620,0.024800,0.496000,9.920000,6.282969
0.050000,1.385935,3.322767,0.002985,0.047292,0.449848,-0.923037,6.281550
0.050000,1.389864,3.322756,0.006913,0.078577,0.625683,3.516694,6.279220
0.050000,1.395338,3.322725,0.012388,0.109494,0.618340,-0.146847,6.276029
0.050000,1.402333,3.322661,0.019383,0.139895,0.608028,-0.206259,6.272050
0.050000,1.410814,3.322547,0.027864,0.169631,0.594717,-0.266201,6.267378
0.050000,1.420739,3.322364,0.037792,0.198550,0.578386,-0.326620,6.262126
0.050000,1.432061,3.322093,0.049117,0.226501,0.559017,-0.387389,6.256431
0.050000,1.444722,3.321716,0.061784,0.253331,0.536604,-0.448259,6.250451
0.050000,1.458658,3.321216,0.075728,0.278889,0.511155,-0.508982,6.244364
0.050000,1.473795,3.320582,0.090879,0.303024,0.482691,-0.569279,6.238371
0.050000,1.490056,3.319805,0.107158,0.325586,0.451242,-0.628976,6.232692
0.050000,1.507353,3.318885,0.124480,0.346428,0.416841,-0.688024,6.227570
0.050000,1.525593,3.317829,0.142750,0.365403,0.379512,-0.746575,6.223267
0.050000,1.544675,3.316651,0.161868,0.382366,0.339263,-0.804991,6.220066
0.050000,1.564492,3.315378,0.181727,0.397170,0.296073,-0.863800,6.218270
0.050000,1.584932,3.314045,0.202210,0.409665,0.249893,-0.923584,6.218205
0.050000,1.605874,3.312700,0.223195,0.419698,0.200657,-0.984734,6.220216
0.050000,1.627190,3.311399,0.244551,0.427113,0.148305,-1.047042,6.224672
0.050000,1.648745,3.310210,0.266138,0.431755,0.092850,-1.109096,6.231961
0.050000,1.670396,3.309208,0.287812,0.433479,0.034481,-1.167387,6.242495
0.050000,1.691992,3.308475,0.309421,0.432166,-0.026273,-1.215080,6.256701
0.050000,1.713376,3.308096,0.330808,0.427751,-0.088298,-1.240491,6.275014
0.050000,1.738168,3.308080,0.355600,0.495847,1.361923,29.004415,0.002070
0.050000,1.767402,3.308189,0.384834,0.584676,1.776589,8.293325,0.005293
0.050000,1.798011,3.308396,0.415444,0.612191,0.550298,-24.525827,0.008134
