dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.383494,2.967169,0.000620,0.024800,0.496000,9.920000,6.282969
0.050000,1.385354,2.967167,0.002480,0.049600,0.496000,0.000000,6.281550
0.050000,1.388454,2.967159,0.005580,0.074400,0.496000,0.000000,6.279220
0.050000,1.392793,2.967134,0.009920,0.099200,0.496000,0.000000,6.276029
0.050000,1.398373,2.967083,0.015500,0.124000,0.496000,-0.000000,6.272050
0.050000,1.405193,2.966991,0.022320,0.148800,0.496000,0.000000,6.267378
0.050000,1.413251,2.966843,0.030380,0.173600,0.496000,-0.000000,6.262126
0.050000,1.422549,2.966620,0.039680,0.198400,0.496000,0.000000,6.256431
0.050000,1.433084,2.966306,0.050220,0.223200,0.496000,-0.000000,6.250451
0.050000,1.444856,2.965884,0.062000,0.248000,0.496000,0.000000,6.244364
0.050000,1.457865,2.965339,0.075020,0.272800,0.496000,0.000000,6.238371
0.050000,1.472109,2.964659,0.089280,0.297600,0.496000,-0.000000,6.232692
0.050000,1.487587,2.963835,0.104780,0.322400,0.496000,0.000000,6.227570
0.050000,1.504299,2.962867,0.121520,0.347200,0.496000,0.000000,6.223267
0.050000,1.522244,2.961759,0.139500,0.372000,0.496000,0.000000,6.220066
0.050000,1.541425,2.960527,0.158720,0.396800,0.496000,-0.000000,6.218270
0.050000,1.561842,2.959196,0.179180,0.421600,0.496000,-0.000000,6.218205
0.050000,1.583497,2.957805,0.200880,0.446400,0.496000,0.000000,6.220216
0.050000,1.606394,2.956408,0.223820,0.471200,0.496000,0.000000,6.224672
0.050000,1.630538,2.955076,0.248000,0.496000,0.496000,-0.000000,6.231961
0.050000,1.655930,2.953902,0.273420,0.520800,0.496000,0.000000,6.242495
0.050000,1.682575,2.953000,0.300080,0.545600,0.496000,0.000000,6.256701
0.050000,1.710470,2.952508,0.327980,0.570400,0.496000,-0.000000,6.275014
0.050000,1.738904,2.952481,0.357120,0.595200,0.496000,0.000000,0.002070
0.050000,1.769284,2.952594,0.387500,0.620000,0.496000,-0.000000,0.005293
0.050000,1.800903,2.952808,0.419120,0.644800,0.496000,0.000000,0.008134
0.050000,1.833762,2.953116,0.451980,0.669600,0.496000,-0.000000,0.010533
0.050000,1.867859,2.953509,0.486080,0.694400,0.496000,0.000000,0.012424
0.050000,1.903196,2.953973,0.521420,0.719200,0.496000,0.000000,0.013741
0.050000,1.939773,2.954491,0.558000,0.744000,0.496000,0.000000,0.014416
0.050000,1.977589,2.955037,0.595820,0.768800,0.496000,-0.000000,0.014378
0.050000,2.016645,2.955585,0.634880,0.793600,0.496000,0.000000,0.013553
0.050000,2.056942,2.956100,0.675180,0.818400,0.496000,-0.000000,0.011865
0.050000,2.098479,2.956542,0.716720,0.843200,0.496000,0.000000,0.009235
0.050000,2.141258,2.956862,0.759500,0.868000,0.496000,0.000000,0.005582
0.050000,2.185278,2.957007,0.803520,0.892800,0.496000,-0.000000,0.000823
0.050000,2.230538,2.956913,0.848780,0.917600,0.496000,0.000000,6.278057
0.050000,2.277036,2.956511,0.895280,0.942400,0.496000,0.000000,6.270827
0.050000,2.324769,2.955721,0.943020,0.967200,0.496000,-0.000000,6.262230
0.050000,2.373732,2.954453,0.992000,0.992000,0.496000,0.000000,6.252175
0.050000,2.423918,2.952611,1.042220,1.016800,0.496000,0.000000,6.240576
0.050000,2.474711,2.950091,1.093680,1.041600,0.496000,0.000000,6.226909
0.050000,2.527308,2.946807,1.146380,1.066400,0.496000,-0.000000,6.215208
0.050000,2.581105,2.942883,1.200320,1.091200,0.496000,0.000000,6.206024
0.050000,2.636105,2.938438,1.255500,1.116000,0.496000,-0.000000,6.199554
0.050000,2.692318,2.933611,1.311920,1.140800,0.496000,0.000000,6.195999
0.050000,2.749757,2.928562,1.369580,1.165600,0.496000,0.000000,6.195561
0.050000,2.808437,2.923476,1.428480,1.190400,0.496000,-0.000000,6.198448
0.050000,2.868376,2.918561,1.488620,1.215200,0.496000,0.000000,6.204874
0.050000,2.929590,2.914052,1.550000,1.240000,0.496000,0.000000,6.215057
0.050000,2.992091,2.910212,1.612620,1.264800,0.496000,0.000000,6.229215
0.050000,3.055289,2.907192,1.676480,1.289600,0.496000,-0.000000,6.234510
0.050000,3.120290,2.903622,1.741580,1.314400,0.496000,0.000000,6.222533
0.050000,3.186487,2.899264,1.807920,1.339200,0.496000,0.000000,6.212753
0.050000,3.253880,2.894243,1.875500,1.364000,0.496000,0.000000,6.205312
0.050000,3.322476,2.888704,1.944320,1.388800,0.496000,0.000000,6.200352
0.050000,3.392288,2.882810,2.014380,1.413600,0.496000,0.000000,6.198015
0.050000,3.463329,2.876743,2.085680,1.438400,0.496000,-0.000000,6.198447
0.050000,3.535618,2.870707,2.158220,1.463200,0.496000,0.000000,6.201794
0.050000,3.609171,2.864926,2.232000,1.488000,0.496000,0.000000,6.208209
0.050000,3.683331,2.859952,2.307020,1.512800,0.496000,-0.000000,6.224633
0.050000,3.759488,2.856002,2.383280,1.537600,0.496000,0.000000,6.237075
0.050000,3.836918,2.852718,2.460780,1.562400,0.496000,0.000000,6.243484
0.050000,3.915598,2.849639,2.539520,1.587200,0.496000,0.000000,6.243567
0.050000,3.995506,2.846254,2.619500,1.612000,0.496000,-0.000000,6.237015
0.050000,4.076614,2.842004,2.700720,1.636800,0.496000,0.000000,6.223513
0.050000,4.158874,2.836281,2.783180,1.661600,0.496000,0.000000,6.202742
0.050000,4.242202,2.828425,2.866880,1.686400,0.496000,0.000000,6.174427
0.050000,4.325882,2.817973,2.951820,1.711200,0.496000,0.000000,6.157140
0.050000,4.411624,2.809378,3.038000,1.736000,0.496000,0.000000,6.206979
0.050000,4.498896,2.804379,3.125420,1.760800,0.496000,-0.000000,6.242394
0.050000,4.587516,2.801773,3.214080,1.785600,0.496000,0.000000,6.262510
0.050000,4.677403,2.800223,3.303980,1.810400,0.496000,0.000000,6.266669
0.050000,4.768521,2.798278,3.395120,1.835200,0.496000,-0.000000,6.254208
0.050000,4.860815,2.794359,3.487500,1.860000,0.496000,0.000000,6.224411
0.050000,4.953042,2.786993,3.580500,1.860000,0.000000,-9.920000,6.183996
0.050000,5.045463,2.776646,3.673500,1.860000,0.000000,0.000000,6.163093
0.050000,5.137779,2.765393,3.766500,1.860000,0.000000,0.000000,6.164376
0.050000,5.230226,2.755283,3.859500,1.860000,0.000000,0.000000,6.187849
0.050000,5.322961,2.748375,3.952500,1.860000,0.000000,0.000000,6.233490
0.050000,5.415298,2.746947,4.045500,1.860000,0.000000,0.000000,0.031017
0.050000,5.507973,2.754329,4.138500,1.860000,0.000000,0.000000,0.121789
0.050000,5.599898,2.768356,4.231500,1.860000,0.000000,0.000000,0.174684
0.050000,5.691306,2.785485,4.324500,1.860000,0.000000,0.000000,0.189491
0.050000,5.782782,2.802239,4.417500,1.860000,0.000000,0.000000,0.166460
0.050000,5.874870,2.815127,4.510500,1.860000,0.000000,0.000000,0.105264
0.050000,5.967671,2.820602,4.603500,1.860000,0.000000,0.000000,0.006599
0.050000,6.059970,2.818781,4.696500,1.860000,0.000000,0.000000,6.274397
0.050000,6.152962,2.819630,4.789500,1.860000,0.000000,0.000000,0.024796
0.050000,6.245900,2.822974,4.882500,1.860000,0.000000,0.000000,0.044893
0.050000,6.338690,2.827554,4.975404,1.856141,-0.077185,-1.543703,0.051496
0.050000,6.430765,2.832090,5.067591,1.831341,-0.496000,-8.376297,0.044756
0.050000,6.521652,2.835365,5.158538,1.806541,-0.496000,0.000000,0.025113
0.050000,6.611351,2.836275,5.248245,1.781741,-0.496000,-0.000000,6.276286
0.050000,6.699049,2.834189,5.336712,1.756941,-0.496000,0.000000,6.263504
0.050000,6.786261,2.835094,5.423939,1.732141,-0.496000,-0.000000,0.034798
0.050000,6.872146,2.839228,5.509926,1.707341,-0.496000,0.000000,0.056148
0.050000,6.956770,2.843794,5.594673,1.682541,-0.496000,-0.000000,0.046607
0.050000,7.040235,2.846248,5.678180,1.657741,-0.496000,0.000000,0.007124
0.050000,7.122460,2.844197,5.760447,1.632941,-0.496000,0.000000,6.221080
0.050000,7.202978,2.835416,5.841474,1.608141,-0.496000,0.000000,6.123252
0.050000,7.280811,2.818093,5.921261,1.583341,-0.496000,0.000000,6.001482
0.050000,7.354571,2.791268,5.999808,1.558541,-0.496000,-0.000000,5.865634
0.050000,7.422656,2.755622,6.077115,1.533741,-0.496000,0.000000,5.776920
0.050000,7.491542,2.723470,6.153182,1.508941,-0.496000,0.000000,5.898146
0.050000,7.561360,2.696557,6.228009,1.484141,-0.496000,0.000000,5.916167
0.050000,7.629177,2.668043,6.301596,1.459341,-0.496000,-0.000000,5.837891
0.050000,7.691723,2.631866,6.373943,1.434541,-0.496000,0.000000,5.663879
0.050000,7.744212,2.584161,6.445050,1.409741,-0.496000,0.000000,5.419652
0.050000,7.782731,2.526549,6.514917,1.384941,-0.496000,0.000000,5.200487
0.050000,7.809198,2.463333,6.583544,1.360141,-0.496000,0.000000,5.019259
0.050000,7.824339,2.397738,6.650931,1.335341,-0.496000,-0.000000,4.864831
0.050000,7.830418,2.331907,6.717078,1.310541,-0.496000,0.000000,4.750838
0.050000,7.830342,2.267014,6.781985,1.285741,-0.496000,0.000000,4.677880
0.050000,7.826811,2.203449,6.845652,1.260941,-0.496000,0.000000,4.641454
0.050000,7.821447,2.141760,6.908079,1.236141,-0.496000,-0.000000,4.592391
0.050000,7.811792,2.081354,6.969266,1.211341,-0.496000,0.000000,4.517647
0.050000,7.798385,2.022935,7.029214,1.186541,-0.496000,0.000000,4.458377
0.050000,7.782331,1.966470,7.087921,1.161741,-0.496000,0.000000,4.414809
0.050000,7.764637,1.911797,7.145388,1.136941,-0.496000,-0.000000,4.386313
0.050000,7.746185,1.858684,7.201615,1.112141,-0.496000,0.000000,4.371932
0.050000,7.727737,1.806884,7.256602,1.087341,-0.496000,0.000000,4.370692
0.050000,7.709955,1.756164,7.310349,1.062541,-0.496000,0.000000,4.381727
0.050000,7.693421,1.706330,7.362856,1.037741,-0.496000,0.000000,4.404265
0.050000,7.676553,1.658515,7.414123,1.012941,-0.496000,-0.000000,4.334944
0.050000,7.656440,1.612721,7.464150,0.988141,-0.496000,0.000000,4.263185
0.050000,7.633856,1.569485,7.512937,0.963341,-0.496000,0.000000,4.200130
0.050000,7.609423,1.528702,7.560484,0.938541,-0.496000,0.000000,4.146531
0.050000,7.583717,1.490190,7.606791,0.913741,-0.496000,-0.000000,4.102454
0.050000,7.557238,1.453725,7.651858,0.888941,-0.496000,-0.000000,4.067519
0.050000,7.530413,1.419068,7.695685,0.864141,-0.496000,0.000000,4.041109
0.050000,7.503596,1.385985,7.738272,0.839341,-0.496000,0.000000,4.022519
0.050000,7.477082,1.354259,7.779619,0.814541,-0.496000,-0.000000,4.011052
0.050000,7.451112,1.323696,7.819726,0.789741,-0.496000,0.000000,4.006052
0.050000,7.425884,1.294129,7.858593,0.764941,-0.496000,-0.000000,4.006928
0.050000,7.401564,1.265418,7.896220,0.740141,-0.496000,0.000000,4.013146
0.050000,7.377741,1.238656,7.932607,0.715341,-0.496000,0.000000,3.946432
0.050000,7.352502,1.214206,7.967754,0.690541,-0.496000,0.000000,3.877748
0.050000,7.326743,1.192163,8.001661,0.665741,-0.496000,-0.000000,3.822996
0.050000,7.300932,1.172144,8.034328,0.640941,-0.496000,0.000000,3.781444
0.050000,7.275433,1.153777,8.065755,0.616141,-0.496000,-0.000000,3.751867
0.050000,7.250519,1.136731,8.095942,0.591341,-0.496000,0.000000,3.732912
0.050000,7.226399,1.120727,8.124889,0.566541,-0.496000,-0.000000,3.723288
0.050000,7.203228,1.105535,8.152596,0.541741,-0.496000,0.000000,3.721830
0.050000,7.181126,1.090975,8.179064,0.516941,-0.496000,0.000000,3.727506
0.050000,7.160182,1.076912,8.204291,0.492141,-0.496000,-0.000000,3.739388
0.050000,7.140466,1.063251,8.228278,0.467341,-0.496000,0.000000,3.756620
0.050000,7.122025,1.049934,8.251025,0.442541,-0.496000,0.000000,3.778382
0.050000,7.104893,1.036933,8.272532,0.417741,-0.496000,0.000000,3.803867
