dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.383417,2.611569,0.000620,0.024800,0.496000,9.920000,6.282969
0.050000,1.384772,2.611568,0.001975,0.027108,0.046152,-8.996964,6.281550
0.050000,1.387043,2.611561,0.004247,0.045423,0.366317,6.403296,6.279220
0.050000,1.390249,2.611544,0.007452,0.064106,0.373658,0.146837,6.276029
0.050000,1.394414,2.611505,0.011617,0.083305,0.383971,0.206251,6.272050
0.050000,1.399572,2.611436,0.016776,0.103169,0.397280,0.266188,6.267378
0.050000,1.405763,2.611321,0.022968,0.123849,0.413611,0.326616,6.262126
0.050000,1.413036,2.611147,0.030243,0.145498,0.432980,0.387379,6.256431
0.050000,1.421446,2.610897,0.038656,0.168268,0.455394,0.448266,6.250451
0.050000,1.431055,2.610552,0.048272,0.192310,0.480843,0.508990,6.244364
0.050000,1.441934,2.610096,0.059161,0.217776,0.509308,0.569299,6.238371
0.050000,1.454161,2.609512,0.071401,0.244814,0.540758,0.629001,6.232692
0.050000,1.467820,2.608785,0.085080,0.273572,0.575161,0.688055,6.227570
0.050000,1.483004,2.607905,0.100290,0.304196,0.612491,0.746605,6.223267
0.050000,1.499814,2.606867,0.117131,0.336833,0.652741,0.805009,6.220066
0.050000,1.518357,2.605676,0.135713,0.371630,0.695931,0.863797,6.218270
0.050000,1.538751,2.604346,0.156150,0.408735,0.742109,0.923545,6.218205
0.050000,1.561120,2.602910,0.178565,0.448302,0.791340,0.984633,6.220216
0.050000,1.585599,2.601416,0.203089,0.490486,0.843683,1.046855,6.224672
0.050000,1.612330,2.599943,0.229861,0.535443,0.899122,1.108790,6.231961
0.050000,1.641465,2.598597,0.259027,0.583316,0.957468,1.166914,6.242495
0.050000,1.673158,2.597524,0.290738,0.634225,1.018188,1.214398,6.256701
0.050000,1.707564,2.596920,0.325150,0.688234,1.080165,1.239542,6.275014
0.050000,1.739640,2.596882,0.357226,0.641512,-0.934428,-40.291861,0.002070
0.050000,1.771166,2.596999,0.388752,0.630523,-0.219782,14.292915,0.005293
0.050000,1.803796,2.597220,0.421382,0.652608,0.441704,13.229729,0.008134
0.050000,1.837507,2.597536,0.455095,0.674256,0.432948,-0.175135,0.010533
0.050000,1.872277,2.597937,0.489867,0.695449,0.423856,-0.181839,0.012424
0.050000,1.908082,2.598407,0.525676,0.716170,0.414425,-0.188605,0.013741
0.050000,1.944899,2.598927,0.562496,0.736402,0.404652,-0.195462,0.014416
0.050000,1.982701,2.599474,0.600302,0.756129,0.394531,-0.202422,0.014378
0.050000,2.021464,2.600018,0.639069,0.775332,0.384057,-0.209480,0.013553
0.050000,2.061161,2.600525,0.678769,0.793993,0.373227,-0.216604,0.011865
0.050000,2.101763,2.600957,0.719373,0.812095,0.362041,-0.223723,0.009235
0.050000,2.143243,2.601268,0.760854,0.829620,0.350505,-0.230708,0.005582
0.050000,2.185570,2.601407,0.803182,0.846552,0.338637,-0.237366,0.000823
0.050000,2.228714,2.601318,0.846326,0.862876,0.326467,-0.243403,6.278057
0.050000,2.272641,2.600938,0.890255,0.878578,0.314046,-0.248417,6.270827
0.050000,2.317318,2.600199,0.934937,0.893651,0.301453,-0.251864,6.262230
0.050000,2.362707,2.599024,0.980342,0.908091,0.288802,-0.253021,6.252175
0.050000,2.408771,2.597333,1.026437,0.921903,0.276252,-0.251005,6.240576
0.050000,2.454709,2.595054,1.072432,0.919893,-0.040216,-6.329348,6.226909
0.050000,2.503154,2.592028,1.120970,0.970775,1.017648,21.157269,6.215208
0.050000,2.553693,2.588342,1.171644,1.013479,0.854090,-3.271159,6.206024
0.050000,2.606401,2.584081,1.224524,1.057589,0.882200,0.562213,6.199554
0.050000,2.661354,2.579362,1.279680,1.103115,0.910517,0.566336,6.195999
0.050000,2.718638,2.574327,1.337184,1.150083,0.939359,0.576833,6.195561
0.050000,2.778340,2.569152,1.397110,1.198531,0.968953,0.591891,6.198448
0.050000,2.840557,2.564051,1.459535,1.248499,0.999357,0.608068,6.204874
0.050000,2.905382,2.559277,1.524536,1.300016,1.030349,0.619856,6.215057
0.050000,2.972909,2.555130,1.592190,1.353082,1.061310,0.619216,6.229215
0.050000,3.037986,2.552013,1.657343,1.303048,-1.000669,-41.239580,6.234510
0.050000,3.098736,2.548676,1.718183,1.216816,-1.724645,-14.479526,6.222533
0.050000,3.161462,2.544546,1.781045,1.257239,0.808465,50.662199,6.212753
0.050000,3.226216,2.539721,1.845979,1.298677,0.828752,0.405736,6.205312
0.050000,3.293055,2.534323,1.913035,1.341122,0.848902,0.403012,6.200352
0.050000,3.362038,2.528499,1.982264,1.384580,0.869169,0.405332,6.198015
0.050000,3.433233,2.522419,2.053718,1.429068,0.889758,0.411773,6.198447
0.050000,3.506707,2.516284,2.127448,1.474608,0.910788,0.420603,6.201794
0.050000,3.582534,2.510325,2.203509,1.521220,0.932244,0.429125,6.208209
0.050000,3.662521,2.504962,2.283676,1.603329,1.642190,14.198928,6.224633
0.050000,3.743097,2.500780,2.364359,1.613677,0.206958,-28.704657,6.237075
0.050000,3.822804,2.497398,2.444139,1.595583,-0.361878,-11.376717,6.243484
0.050000,3.901513,2.494318,2.522908,1.575385,-0.403957,-0.841579,6.243567
0.050000,3.979094,2.491033,2.600558,1.553005,-0.447613,-0.873117,6.237015
0.050000,4.055407,2.487037,2.676976,1.528356,-0.492979,-0.907318,6.223513
0.050000,4.130299,2.481831,2.752049,1.501456,-0.538005,-0.900519,6.202742
0.050000,4.203603,2.474926,2.825677,1.472569,-0.577742,-0.794750,6.174427
0.050000,4.281179,2.465194,2.903861,1.563685,1.822329,48.001436,6.157140
0.050000,4.384551,2.454810,3.007753,2.077837,10.283031,169.214028,6.206979
0.050000,4.484395,2.449075,3.107762,2.000170,-1.553336,-236.727345,6.242394
0.050000,4.580165,2.446249,3.203573,1.916231,-1.678766,-2.508598,6.262510
0.050000,4.671530,2.444672,3.294952,1.827574,-1.773151,-1.887686,6.266669
0.050000,4.758219,2.442827,3.381660,1.734170,-1.868078,-1.898546,6.254208
