dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412959,3.322769,0.000619,0.024767,0.495349,9.906988,6.283115
0.050000,1.414967,3.322768,0.002627,0.040150,0.307652,-3.753953,6.282694
0.050000,1.418315,3.322766,0.005975,0.066960,0.536198,4.570928,6.281985
0.050000,1.423007,3.322758,0.010666,0.093835,0.537495,0.025928,6.280980
0.050000,1.429047,3.322740,0.016706,0.120800,0.539310,0.036312,6.279665
0.050000,1.436441,3.322708,0.024101,0.147882,0.541645,0.046707,6.278026
0.050000,1.445196,3.322654,0.032856,0.175108,0.544501,0.057115,6.276041
0.050000,1.455321,3.322570,0.042981,0.202501,0.547878,0.067532,6.273686
0.050000,1.466824,3.322445,0.054486,0.230090,0.551776,0.077955,6.270935
0.050000,1.479718,3.322267,0.067381,0.257900,0.556194,0.088372,6.267756
0.050000,1.494014,3.322020,0.081678,0.285957,0.561133,0.098768,6.264114
0.050000,1.509725,3.321688,0.097393,0.314286,0.566588,0.109114,6.259972
0.050000,1.526865,3.321250,0.114538,0.342914,0.572557,0.119372,6.255287
0.050000,1.545449,3.320683,0.133132,0.371865,0.579031,0.129486,6.250013
0.050000,1.565495,3.319959,0.153190,0.401165,0.586000,0.139378,6.244103
0.050000,1.587017,3.319047,0.174732,0.430838,0.593447,0.148942,6.237502
0.050000,1.610034,3.317910,0.197777,0.460905,0.601349,0.158036,6.230156
0.050000,1.634564,3.316509,0.222346,0.491389,0.609673,0.166474,6.222007
0.050000,1.660623,3.314795,0.248462,0.522307,0.618373,0.174017,6.212992
0.050000,1.688229,3.312717,0.276146,0.553677,0.627391,0.180358,6.203049
0.050000,1.717397,3.310215,0.305421,0.585509,0.636647,0.185116,6.192113
0.050000,1.748142,3.307223,0.336312,0.617811,0.646038,0.187820,6.180117
0.050000,1.774348,3.304469,0.362662,0.527006,-1.816106,-49.242874,6.182503
0.050000,1.799522,3.302066,0.387950,0.505764,-0.424839,27.825321,6.193227
0.050000,1.826315,3.299784,0.414840,0.537805,0.640821,21.313200,6.202929
0.050000,1.854792,3.297619,0.443399,0.571178,0.667462,0.532830,6.211420
0.050000,1.885018,3.295559,0.473696,0.605923,0.694897,0.548696,6.218509
0.050000,1.917061,3.293577,0.505800,0.642082,0.723175,0.565557,6.223996
0.050000,1.950991,3.291635,0.539785,0.679701,0.752384,0.584182,6.227676
0.050000,1.986879,3.289678,0.575726,0.718833,0.782643,0.605193,6.229336
0.050000,2.024800,3.287630,0.613703,0.759537,0.814085,0.628834,6.228755
0.050000,2.064832,3.285396,0.653797,0.801879,0.846823,0.654767,6.225703
0.050000,2.107052,3.282853,0.696093,0.845924,0.880913,0.681788,6.219941
0.050000,2.151537,3.279851,0.740680,0.891738,0.916284,0.707421,6.211219
0.050000,2.198364,3.276205,0.787649,0.939371,0.952659,0.727508,6.199281
0.050000,2.247600,3.271693,0.837091,0.988843,0.989438,0.735577,6.183870
0.050000,2.299300,3.266054,0.889097,1.040121,1.025558,0.722398,6.164730
0.050000,2.353495,3.258982,0.943751,1.093088,1.059333,0.675489,6.141623
0.050000,2.410182,3.250127,1.001127,1.147503,1.088298,0.579302,6.114347
0.050000,2.462789,3.240497,1.054608,1.069625,-1.557544,-52.916840,6.099624
0.050000,2.505291,3.233051,1.097757,0.862985,-4.132813,-51.505382,6.119321
0.050000,2.550074,3.226052,1.143083,0.906521,0.870716,100.070585,6.136379
0.050000,2.597206,3.219438,1.190677,0.951888,0.907346,0.732595,6.150542
