dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412935,2.967169,0.000619,0.024767,0.495349,9.906988,6.283115
0.050000,1.414792,2.967168,0.002477,0.049535,0.495349,0.000000,6.282694
0.050000,1.417888,2.967166,0.005573,0.074302,0.495349,-0.000000,6.281985
0.050000,1.422222,2.967158,0.009907,0.099070,0.495349,0.000000,6.280980
0.050000,1.427795,2.967143,0.015480,0.123837,0.495349,-0.000000,6.279665
0.050000,1.434606,2.967113,0.022291,0.148605,0.495349,0.000000,6.278026
0.050000,1.442655,2.967064,0.030340,0.173372,0.495349,0.000000,6.276041
0.050000,1.451943,2.966986,0.039628,0.198140,0.495349,0.000000,6.273686
0.050000,1.462468,2.966872,0.050154,0.222907,0.495349,-0.000000,6.270935
0.050000,1.474232,2.966709,0.061919,0.247675,0.495349,0.000000,6.267756
0.050000,1.487233,2.966485,0.074922,0.272442,0.495349,0.000000,6.264114
0.050000,1.501471,2.966184,0.089163,0.297210,0.495349,-0.000000,6.259972
0.050000,1.516945,2.965789,0.104643,0.321977,0.495349,0.000000,6.255287
0.050000,1.533656,2.965279,0.121361,0.346745,0.495349,-0.000000,6.250013
0.050000,1.551600,2.964631,0.139317,0.371512,0.495349,0.000000,6.244103
0.050000,1.570778,2.963818,0.158512,0.396280,0.495349,0.000000,6.237502
0.050000,1.591186,2.962810,0.178945,0.421047,0.495349,-0.000000,6.230156
0.050000,1.612822,2.961574,0.200617,0.445814,0.495349,0.000000,6.222007
0.050000,1.635683,2.960071,0.223526,0.470582,0.495349,-0.000000,6.212992
0.050000,1.659763,2.958259,0.247675,0.495349,0.495349,0.000000,6.203049
0.050000,1.685057,2.956089,0.273061,0.520117,0.495349,0.000000,6.192113
0.050000,1.711556,2.953510,0.299686,0.544884,0.495349,0.000000,6.180117
0.050000,1.738606,2.950670,0.327550,0.569652,0.495349,-0.000000,6.182503
0.050000,1.767576,2.947904,0.356652,0.594419,0.495349,0.000000,6.193227
0.050000,1.797807,2.945328,0.386992,0.619187,0.495349,0.000000,6.202929
0.050000,1.829294,2.942935,0.418570,0.643954,0.495349,0.000000,6.211420
0.050000,1.862035,2.940703,0.451387,0.668722,0.495349,0.000000,6.218509
0.050000,1.896025,2.938600,0.485442,0.693489,0.495349,-0.000000,6.223996
0.050000,1.931261,2.936583,0.520736,0.718257,0.495349,0.000000,6.227676
0.050000,1.967739,2.934593,0.557268,0.743024,0.495349,0.000000,6.229336
0.050000,2.005455,2.932557,0.595038,0.767792,0.495349,0.000000,6.228755
0.050000,2.044403,2.930383,0.634047,0.792559,0.495349,0.000000,6.225703
0.050000,2.084577,2.927964,0.674294,0.817327,0.495349,0.000000,6.219941
0.050000,2.125968,2.925171,0.715780,0.842094,0.495349,-0.000000,6.211219
0.050000,2.168563,2.921856,0.758504,0.866861,0.495349,0.000000,6.199281
0.050000,2.212342,2.917846,0.802466,0.891629,0.495349,-0.000000,6.183870
0.050000,2.257275,2.912946,0.847667,0.916396,0.495349,0.000000,6.164730
0.050000,2.303323,2.906939,0.894106,0.941164,0.495349,-0.000000,6.141623
0.050000,2.350428,2.899583,0.941783,0.965931,0.495349,0.000000,6.114347
0.050000,2.397881,2.890871,0.990699,0.990699,0.495349,-0.000000,6.099624
0.050000,2.447282,2.882214,1.040853,1.015466,0.495349,0.000000,6.119321
0.050000,2.498057,2.874277,1.092245,1.040234,0.495349,0.000000,6.136379
0.050000,2.550176,2.866962,1.144876,1.065001,0.495349,0.000000,6.150542
0.050000,2.603613,2.860147,1.198746,1.089769,0.495349,0.000000,6.161559
0.050000,2.658340,2.853687,1.253853,1.114536,0.495349,0.000000,6.169185
0.050000,2.714335,2.847407,1.310199,1.139304,0.495349,-0.000000,6.173175
0.050000,2.771574,2.841107,1.367784,1.164071,0.495349,0.000000,6.173277
