dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412910,2.611569,0.000619,0.024767,0.495349,9.906988,6.283115
0.050000,1.414617,2.611569,0.002327,0.034152,0.187698,-6.153035,6.282694
0.050000,1.417461,2.611566,0.005171,0.056877,0.454501,5.336060,6.281985
0.050000,1.421438,2.611559,0.009148,0.079538,0.453204,-0.025929,6.280980
0.050000,1.426543,2.611545,0.014253,0.102107,0.451389,-0.036314,6.279665
0.050000,1.432771,2.611518,0.020481,0.124560,0.449053,-0.046710,6.278026
0.050000,1.440115,2.611473,0.027824,0.146870,0.446197,-0.057118,6.276041
0.050000,1.448565,2.611402,0.036275,0.169011,0.442820,-0.067537,6.273686
0.050000,1.458112,2.611299,0.045823,0.190957,0.438922,-0.077961,6.270935
0.050000,1.468745,2.611152,0.056457,0.212682,0.434503,-0.088380,6.267756
0.050000,1.480451,2.610950,0.068165,0.234160,0.429564,-0.098777,6.264114
0.050000,1.493217,2.610680,0.080933,0.255365,0.424108,-0.109126,6.259972
0.050000,1.507026,2.610327,0.094747,0.276272,0.418139,-0.119388,6.255287
0.050000,1.521862,2.609874,0.109589,0.296856,0.411663,-0.129506,6.250013
0.050000,1.537706,2.609302,0.125444,0.317090,0.404693,-0.139403,6.244103
0.050000,1.554539,2.608589,0.142292,0.336952,0.397245,-0.148973,6.237502
0.050000,1.572338,2.607710,0.160113,0.356420,0.389341,-0.158074,6.230156
0.050000,1.591081,2.606639,0.178886,0.375470,0.381015,-0.166521,6.222007
0.050000,1.610743,2.605347,0.198590,0.394086,0.372311,-0.174074,6.212992
0.050000,1.631297,2.603800,0.219203,0.412250,0.363290,-0.180427,6.203049
0.050000,1.652716,2.601963,0.240701,0.429952,0.354030,-0.185198,6.192113
0.050000,1.674970,2.599797,0.263060,0.447184,0.344634,-0.187918,6.180117
0.050000,1.702864,2.596871,0.291107,0.560948,2.275285,38.613020,6.182503
0.050000,1.735630,2.593742,0.324022,0.658301,1.947074,-6.564230,6.193227
0.050000,1.769298,2.590873,0.357812,0.675796,0.349895,-31.943579,6.202929
0.050000,1.803797,2.588250,0.392410,0.691959,0.323256,-0.532766,6.211420
0.050000,1.839052,2.585846,0.427747,0.706750,0.295823,-0.548671,6.218509
0.050000,1.874990,2.583623,0.463754,0.720127,0.267545,-0.565553,6.223996
0.050000,1.911532,2.581531,0.500356,0.732044,0.238333,-0.584235,6.227676
0.050000,1.948599,2.579509,0.537478,0.742447,0.208068,-0.605308,6.229336
0.050000,1.986109,2.577483,0.575042,0.751278,0.176617,-0.629027,6.228755
0.050000,2.023973,2.575370,0.612966,0.758471,0.143863,-0.655062,6.225703
0.050000,2.062102,2.573075,0.651164,0.763959,0.109754,-0.682199,6.219941
0.050000,2.100399,2.570492,0.689548,0.767677,0.074354,-0.707992,6.211219
0.050000,2.138762,2.567507,0.728026,0.769574,0.037942,-0.728243,6.199281
0.050000,2.177083,2.563998,0.766508,0.769630,0.001115,-0.736533,6.183870
0.050000,2.215251,2.559838,0.804902,0.767877,-0.035064,-0.723573,6.164730
0.050000,2.253152,2.554896,0.843123,0.764431,-0.068909,-0.676903,6.141623
0.050000,2.290674,2.549040,0.881100,0.759533,-0.097953,-0.580895,6.114347
0.050000,2.332973,2.541245,0.924111,0.860218,2.013693,42.232919,6.099624
0.050000,2.389272,2.531378,0.981268,1.143148,5.658596,72.898064,6.119321
0.050000,2.446040,2.522502,1.038726,1.149154,0.120133,-110.769251,6.136379
0.050000,2.503147,2.514485,1.096392,1.153329,0.083500,-0.732664,6.150542
0.050000,2.560469,2.507174,1.154179,1.155732,0.048046,-0.709088,6.161559
0.050000,2.617889,2.500395,1.211998,1.156389,0.013147,-0.697963,6.169185
0.050000,2.675294,2.493956,1.269763,1.155296,-0.021866,-0.700262,6.173175
0.050000,2.732569,2.487652,1.327384,1.152415,-0.057608,-0.714847,6.173277
