dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.309657,3.293357,0.000620,0.024800,0.496000,9.920000,0.000069
0.050000,1.310238,3.293357,0.001201,0.011619,-0.263619,-15.192386,6.283156
0.050000,1.313396,3.293356,0.004360,0.063174,1.031096,25.894313,6.282991
0.050000,1.317819,3.293355,0.008783,0.088459,0.505710,-10.507726,6.282758
0.050000,1.323507,3.293352,0.014471,0.113761,0.506027,0.006345,6.282454
0.050000,1.330461,3.293345,0.021425,0.139083,0.506440,0.008246,6.282077
0.050000,1.338683,3.293334,0.029646,0.164430,0.506937,0.009953,6.281623
0.050000,1.348173,3.293317,0.039137,0.189806,0.507532,0.011900,6.281088
0.050000,1.358934,3.293291,0.049897,0.215217,0.508215,0.013653,6.280467
0.050000,1.370967,3.293254,0.061931,0.240667,0.508995,0.015606,6.279754
0.050000,1.384275,3.293203,0.075239,0.266160,0.509864,0.017374,6.278944
0.050000,1.398860,3.293134,0.089824,0.291701,0.510826,0.019236,6.278030
0.050000,1.414724,3.293045,0.105689,0.317295,0.511883,0.021151,6.277004
0.050000,1.431871,3.292929,0.122836,0.342947,0.513034,0.023008,6.275859
0.050000,1.450304,3.292782,0.141269,0.368661,0.514280,0.024934,6.274585
0.050000,1.470025,3.292599,0.160991,0.394442,0.515621,0.026816,6.273173
0.050000,1.491039,3.292372,0.182006,0.420295,0.517061,0.028792,6.271613
0.050000,1.513348,3.292095,0.204317,0.446225,0.518593,0.030651,6.269894
0.050000,1.536958,3.291759,0.227929,0.472236,0.520231,0.032756,6.268005
0.050000,1.561871,3.291355,0.252846,0.498334,0.521962,0.034628,6.265933
0.050000,1.588093,3.290873,0.279072,0.524524,0.523795,0.036660,6.263666
0.050000,1.615627,3.290301,0.306612,0.550811,0.525731,0.038708,6.261190
0.050000,1.644480,3.289628,0.335472,0.577199,0.527768,0.040745,6.258490
0.050000,1.674654,3.288839,0.365657,0.603695,0.529910,0.042834,6.255552
0.050000,1.706156,3.287918,0.397172,0.630303,0.532158,0.044955,6.252360
0.050000,1.738990,3.286849,0.430024,0.657028,0.534504,0.046927,6.248897
0.050000,1.773161,3.285613,0.464217,0.683876,0.536964,0.049200,6.245146
0.050000,1.808675,3.284190,0.499760,0.710852,0.539524,0.051204,6.241089
0.050000,1.845537,3.282557,0.536658,0.737962,0.542195,0.053421,6.236707
0.050000,1.883752,3.280689,0.574919,0.765210,0.544966,0.055416,6.231981
0.050000,1.923325,3.278561,0.614549,0.792602,0.547842,0.057529,6.226891
0.050000,1.964261,3.276142,0.655556,0.820144,0.550826,0.059663,6.221415
0.050000,2.006564,3.273402,0.697948,0.847838,0.553897,0.061433,6.215532
0.050000,2.050239,3.270305,0.741732,0.875692,0.557067,0.063404,6.209220
0.050000,2.095289,3.266814,0.786918,0.903708,0.560326,0.065172,6.202455
0.050000,2.141718,3.262890,0.833512,0.931891,0.563658,0.066636,6.195215
0.050000,2.189528,3.258488,0.881525,0.960244,0.567061,0.068060,6.187475
0.050000,2.238721,3.253561,0.930963,0.988770,0.570514,0.069067,6.179211
0.050000,2.289296,3.248059,0.981837,1.017470,0.574008,0.069886,6.170399
0.050000,2.341253,3.241929,1.034154,1.046346,0.577515,0.070131,6.161013
0.050000,2.394589,3.235111,1.087924,1.075397,0.581012,0.069949,6.151030
0.050000,2.449299,3.227545,1.143155,1.104620,0.584472,0.069197,6.140425
0.050000,2.505377,3.219164,1.199855,1.134013,0.587857,0.067692,6.129173
0.050000,2.562813,3.209898,1.258034,1.163569,0.591124,0.065341,6.117253
0.050000,2.621594,3.199674,1.317698,1.193281,0.594230,0.062119,6.104642
0.050000,2.681705,3.188415,1.378855,1.223136,0.597111,0.057617,6.091320
0.050000,2.743127,3.176037,1.441511,1.253122,0.599720,0.052193,6.077269
0.050000,2.805834,3.162456,1.505672,1.283221,0.601978,0.045142,6.062473
0.050000,2.869798,3.147583,1.571342,1.313411,0.603806,0.036560,6.046918
0.050000,2.934985,3.131327,1.638526,1.343669,0.605143,0.026752,6.030596
0.050000,3.001355,3.113593,1.707224,1.373963,0.605884,0.014819,6.013501
0.050000,3.068861,3.094284,1.777437,1.404261,0.605955,0.001425,5.995632
0.050000,3.137450,3.073305,1.849163,1.434524,0.605266,-0.013777,5.976996
0.050000,3.207063,3.050555,1.922399,1.464711,0.603739,-0.030545,5.957601
0.050000,3.277632,3.025939,1.997138,1.494776,0.601309,-0.048595,5.937466
0.050000,3.347023,3.000166,2.071161,1.480464,-0.286239,-17.750974,5.919023
