dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412616,4.543386,0.000618,0.024728,0.494552,9.891035,0.000025
0.050000,1.414324,4.543386,0.002326,0.034150,0.188449,-6.122056,6.283004
0.050000,1.417536,4.543385,0.005538,0.064247,0.601947,8.269957,6.282662
0.050000,1.422032,4.543381,0.010034,0.089918,0.513413,-1.770672,6.282188
0.050000,1.427810,4.543374,0.015812,0.115560,0.512847,-0.011314,6.281586
0.050000,1.434868,4.543360,0.022870,0.141166,0.512120,-0.014555,6.280859
0.050000,1.443205,4.543337,0.031207,0.166728,0.511230,-0.017794,6.280016
0.050000,1.452816,4.543302,0.040819,0.192237,0.510178,-0.021035,6.279063
0.050000,1.463701,4.543251,0.051703,0.217685,0.508964,-0.024282,6.278008
0.050000,1.475854,4.543182,0.063856,0.243064,0.507588,-0.027529,6.276862
0.050000,1.489272,4.543088,0.077274,0.268367,0.506049,-0.030778,6.275635
0.050000,1.503950,4.542968,0.091954,0.293584,0.504347,-0.034030,6.274339
0.050000,1.519885,4.542816,0.107889,0.318708,0.502483,-0.037281,6.272987
0.050000,1.537071,4.542629,0.125076,0.343731,0.500457,-0.040534,6.271594
0.050000,1.555501,4.542402,0.143508,0.368645,0.498267,-0.043785,6.270174
0.050000,1.575171,4.542132,0.163180,0.393440,0.495916,-0.047033,6.268745
0.050000,1.596075,4.541815,0.184085,0.418110,0.493402,-0.050281,6.267324
0.050000,1.618204,4.541448,0.206218,0.442647,0.490725,-0.053524,6.265931
0.050000,1.641552,4.541029,0.229570,0.467041,0.487887,-0.056765,6.264583
0.050000,1.666112,4.540556,0.254134,0.491285,0.484887,-0.060003,6.263304
0.050000,1.691875,4.540029,0.279903,0.515372,0.481725,-0.063238,6.262115
0.050000,1.718833,4.539446,0.306867,0.539292,0.478402,-0.066470,6.261040
0.050000,1.746978,4.538809,0.335019,0.563038,0.474916,-0.069703,6.260102
0.050000,1.776300,4.538120,0.364349,0.586601,0.471270,-0.072936,6.259329
0.050000,1.806790,4.537383,0.394848,0.609974,0.467461,-0.076171,6.258745
0.050000,1.838438,4.536603,0.426505,0.633149,0.463491,-0.079411,6.258380
0.050000,1.871233,4.535786,0.459311,0.656117,0.459358,-0.082657,6.258263
0.050000,1.905166,4.534942,0.493255,0.678870,0.455062,-0.085909,6.258423
0.050000,1.940226,4.534081,0.528324,0.701400,0.450604,-0.089168,6.258892
0.050000,1.976400,4.533216,0.564509,0.723699,0.445982,-0.092431,6.259703
0.050000,2.013678,4.532362,0.601797,0.745759,0.441198,-0.095693,6.260888
0.050000,2.052048,4.531535,0.640176,0.767571,0.436250,-0.098946,6.262484
0.050000,2.091497,4.530757,0.679632,0.789128,0.431142,-0.102175,6.264525
0.050000,2.132012,4.530051,0.720153,0.810422,0.425874,-0.105362,6.267050
0.050000,2.173580,4.529442,0.761726,0.831445,0.420450,-0.108477,6.270095
0.050000,2.216186,4.528959,0.804335,0.852188,0.414876,-0.111481,6.273700
0.050000,2.259178,4.528640,0.847328,0.859863,0.153502,-5.227463,6.278214
0.050000,2.303347,4.528563,0.891497,0.883372,0.470165,6.333252,0.001203
0.050000,2.349292,4.528732,0.937443,0.918917,0.710898,4.814667,0.005856
0.050000,2.397061,4.529090,0.985213,0.955408,0.729836,0.378750,0.008856
0.050000,2.446703,4.529568,1.034857,0.992869,0.749213,0.387541,0.010064
0.050000,2.498266,4.530077,1.086423,1.031324,0.769089,0.397527,0.009343
0.050000,2.551804,4.530511,1.139963,1.070799,0.789500,0.408206,0.006549
0.050000,2.607370,4.530746,1.195529,1.111320,0.810431,0.418635,0.001533
0.050000,2.665015,4.530632,1.253174,1.152910,0.831796,0.427299,6.277331
0.050000,2.724791,4.529997,1.312953,1.195580,0.853395,0.431980,6.267421
0.050000,2.786742,4.528642,1.374919,1.239323,0.874875,0.429602,6.254837
0.050000,2.848372,4.526551,1.436584,1.233298,-0.120503,-19.907577,6.243955
0.050000,2.912029,4.523713,1.500304,1.274401,0.822046,18.850980,6.233392
0.050000,2.976764,4.520152,1.565138,1.296676,0.445512,-7.530670,6.223175
0.050000,3.042559,4.515871,1.631071,1.318666,0.439798,-0.114272,6.213342
0.050000,3.109391,4.510877,1.698090,1.340370,0.434072,-0.114525,6.203935
0.050000,3.177241,4.505179,1.766179,1.361787,0.428342,-0.114605,6.194994
0.050000,3.246092,4.498795,1.835325,1.382917,0.422612,-0.114603,6.186558
0.050000,3.315925,4.491744,1.905513,1.403761,0.416882,-0.114593,6.178668
0.050000,3.385805,4.484155,1.975805,1.405830,0.041364,-7.510365,6.171455
0.050000,3.454464,4.476224,2.044919,1.382292,-0.470746,-10.242194,6.165042
0.050000,3.521563,4.468065,2.112513,1.351878,-0.608278,-2.750648,6.159429
0.050000,3.587124,4.459745,2.178600,1.321739,-0.602794,0.109680,6.154576
0.050000,3.651167,4.451325,2.243194,1.291869,-0.597389,0.108096,6.150447
0.050000,3.713710,4.442861,2.306307,1.262265,-0.592081,0.106159,6.147004
0.050000,3.775542,4.434252,2.368735,1.248565,-0.274008,6.361473,6.139826
0.050000,3.839617,4.424491,2.433550,1.296294,0.954579,24.571741,6.124642
0.050000,3.901259,4.414239,2.496038,1.249765,-0.930585,-37.703293,6.112525
0.050000,3.960554,4.403726,2.556259,1.204412,-0.907051,0.470686,6.103308
0.050000,4.017595,4.393151,2.614272,1.160257,-0.883091,0.479203,6.096822
0.050000,4.072470,4.382681,2.670136,1.117294,-0.859274,0.476345,6.092902
0.050000,4.125265,4.372460,2.723911,1.075497,-0.835928,0.466906,6.091381
0.050000,4.176059,4.362606,2.775653,1.034837,-0.813209,0.454392,6.092101
0.050000,4.224929,4.353214,2.825417,0.995280,-0.791146,0.441249,6.094905
0.050000,4.271943,4.344364,2.873257,0.956795,-0.769693,0.429058,6.099644
0.050000,4.317165,4.336114,2.919224,0.919357,-0.748758,0.418716,6.106170
0.050000,4.360652,4.328511,2.963372,0.882946,-0.728228,0.410601,6.114339
0.050000,4.402460,4.321585,3.005749,0.847546,-0.707993,0.404697,6.124008
0.050000,4.442637,4.315356,3.046406,0.813148,-0.687958,0.400687,6.135037
0.050000,4.481231,4.309832,3.085394,0.779745,-0.668056,0.398055,6.147286
0.050000,4.517872,4.305062,3.122343,0.738992,-0.815069,-2.940262,6.159628
0.050000,4.557699,4.300156,3.162472,0.802571,1.271576,41.732899,6.161714
0.050000,4.596161,4.295508,3.201213,0.774830,-0.554813,-36.527784,6.164224
0.050000,4.633273,4.291125,3.238584,0.747405,-0.548497,0.126321,6.167113
0.050000,4.669052,4.287011,3.274598,0.720287,-0.542372,0.122510,6.170338
0.050000,4.703511,4.283166,3.309271,0.693465,-0.536433,0.118770,6.173858
0.050000,4.736665,4.279589,3.342618,0.666931,-0.530679,0.115076,6.177631
0.050000,4.768527,4.276276,3.374652,0.640675,-0.525109,0.111400,6.181619
0.050000,4.799110,4.273223,3.405386,0.614689,-0.519723,0.107722,6.185785
0.050000,4.828424,4.270422,3.434834,0.588963,-0.514522,0.104022,6.190090
0.050000,4.856482,4.267864,3.463009,0.563488,-0.509508,0.100286,6.194501
0.050000,4.883294,4.265540,3.489921,0.538254,-0.504683,0.096504,6.198983
0.050000,4.908871,4.263439,3.515584,0.513251,-0.500049,0.092666,6.203504
0.050000,4.933221,4.261549,3.540007,0.488471,-0.495611,0.088771,6.208032
0.050000,4.956355,4.259859,3.563202,0.463902,-0.491370,0.084814,6.212538
0.050000,4.978280,4.258357,3.585179,0.439536,-0.487330,0.080806,6.216993
0.050000,4.999006,4.257028,3.605947,0.415361,-0.483493,0.076742,6.221370
0.050000,5.018539,4.255861,3.625516,0.391368,-0.479861,0.072641,6.225644
0.050000,5.036888,4.254842,3.643893,0.367546,-0.476435,0.068503,6.229791
0.050000,5.054060,4.253958,3.661087,0.343885,-0.473218,0.064342,6.233788
0.050000,5.070060,4.253198,3.677106,0.320375,-0.470210,0.060161,6.237613
0.050000,5.084896,4.252548,3.691956,0.297004,-0.467411,0.055990,6.241248
0.050000,5.098573,4.251997,3.705644,0.273763,-0.464820,0.051816,6.244674
0.050000,5.111097,4.251535,3.718176,0.250641,-0.462438,0.047647,6.247874
0.050000,5.122472,4.251150,3.729558,0.227628,-0.460261,0.043534,6.250832
0.050000,5.132703,4.250833,3.739794,0.204714,-0.458291,0.039404,6.253536
0.050000,5.141793,4.250574,3.748888,0.181888,-0.456523,0.035359,6.255973
0.050000,5.149748,4.250366,3.756845,0.159140,-0.454957,0.031312,6.258131
0.050000,5.156569,4.250202,3.763668,0.136460,-0.453592,0.027308,6.260002
0.050000,5.162259,4.250074,3.769360,0.113839,-0.452423,0.023373,6.261576
0.050000,5.166822,4.249978,3.773923,0.091267,-0.451451,0.019434,6.262847
0.050000,5.170257,4.249910,3.777360,0.068733,-0.450674,0.015555,6.263809
0.050000,5.172568,4.249866,3.779671,0.046228,-0.450089,0.011686,6.264459
0.050000,5.173755,4.249844,3.780858,0.023744,-0.449696,0.007864,6.264794
0.050000,5.174068,4.249838,3.781171,0.006253,-0.349821,1.997504,6.264882
0.050000,5.174068,4.249838,3.781171,0.000000,-0.125051,4.495408,6.264882
0.050000,5.174068,4.249838,3.781171,0.000000,0.000000,2.501010,6.264882
