dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412625,4.187786,0.000618,0.024728,0.494552,9.891035,0.000025
0.050000,1.414259,4.187786,0.002473,0.049455,0.494552,0.000000,6.283004
0.050000,1.417350,4.187785,0.005564,0.074183,0.494552,-0.000000,6.282662
0.050000,1.421677,4.187782,0.009891,0.098910,0.494552,0.000000,6.282188
0.050000,1.427241,4.187774,0.015455,0.123638,0.494552,0.000000,6.281586
0.050000,1.434041,4.187761,0.022255,0.148366,0.494552,-0.000000,6.280859
0.050000,1.442078,4.187739,0.030291,0.173093,0.494552,0.000000,6.280016
0.050000,1.451350,4.187705,0.039564,0.197821,0.494552,-0.000000,6.279063
0.050000,1.461859,4.187656,0.050073,0.222548,0.494552,0.000000,6.278008
0.050000,1.473605,4.187589,0.061819,0.247276,0.494552,-0.000000,6.276862
0.050000,1.486587,4.187499,0.074801,0.272003,0.494552,0.000000,6.275635
0.050000,1.500804,4.187382,0.089019,0.296731,0.494552,0.000000,6.274339
0.050000,1.516258,4.187235,0.104474,0.321459,0.494552,0.000000,6.272987
0.050000,1.532949,4.187053,0.121165,0.346186,0.494552,-0.000000,6.271594
0.050000,1.550875,4.186832,0.139093,0.370914,0.494552,0.000000,6.270174
0.050000,1.570037,4.186569,0.158257,0.395641,0.494552,0.000000,6.268745
0.050000,1.590435,4.186260,0.178657,0.420369,0.494552,0.000000,6.267324
0.050000,1.612068,4.185901,0.200293,0.445097,0.494552,0.000000,6.265931
0.050000,1.634938,4.185491,0.223166,0.469824,0.494552,-0.000000,6.264583
0.050000,1.659043,4.185027,0.247276,0.494552,0.494552,0.000000,6.263304
0.050000,1.684383,4.184507,0.272622,0.519279,0.494552,0.000000,6.262115
0.050000,1.710959,4.183933,0.299204,0.544007,0.494552,0.000000,6.261040
0.050000,1.738770,4.183303,0.327022,0.568734,0.494552,0.000000,6.260102
0.050000,1.767817,4.182621,0.356077,0.593462,0.494552,0.000000,6.259329
0.050000,1.798100,4.181889,0.386369,0.618190,0.494552,0.000000,6.258745
0.050000,1.829618,4.181112,0.417896,0.642917,0.494552,-0.000000,6.258380
0.050000,1.862372,4.180297,0.450660,0.667645,0.494552,0.000000,6.258263
0.050000,1.896362,4.179451,0.484661,0.692372,0.494552,0.000000,6.258423
0.050000,1.931588,4.178586,0.519898,0.717100,0.494552,0.000000,6.258892
0.050000,1.968051,4.177714,0.556371,0.741828,0.494552,-0.000000,6.259703
0.050000,2.005750,4.176850,0.594080,0.766555,0.494552,0.000000,6.260888
0.050000,2.044687,4.176011,0.633026,0.791283,0.494552,-0.000000,6.262484
0.050000,2.084862,4.175219,0.673209,0.816010,0.494552,0.000000,6.264525
0.050000,2.126274,4.174497,0.714627,0.840738,0.494552,-0.000000,6.267050
0.050000,2.168925,4.173872,0.757282,0.865466,0.494552,0.000000,6.270095
0.050000,2.212813,4.173375,0.801174,0.890193,0.494552,-0.000000,6.273700
0.050000,2.257410,4.173044,0.846302,0.914921,0.494552,0.000000,6.278214
0.050000,2.303775,4.172963,0.892666,0.939648,0.494552,0.000000,0.001203
0.050000,2.351375,4.173138,0.940266,0.964376,0.494552,0.000000,0.005856
0.050000,2.400210,4.173504,0.989103,0.989103,0.494552,0.000000,0.008856
0.050000,2.450281,4.173986,1.039177,1.013831,0.494552,0.000000,0.010064
0.050000,2.501589,4.174492,1.090487,1.038559,0.494552,0.000000,0.009343
0.050000,2.554133,4.174919,1.143033,1.063286,0.494552,0.000000,0.006549
0.050000,2.607915,4.175146,1.196815,1.088014,0.494552,-0.000000,0.001533
0.050000,2.662934,4.175038,1.251834,1.112741,0.494552,0.000000,6.277331
0.050000,2.719186,4.174441,1.308089,1.137469,0.494552,-0.000000,6.267421
0.050000,2.776663,4.173185,1.365581,1.162197,0.494552,0.000000,6.254837
0.050000,2.834425,4.171225,1.424309,1.186924,0.494552,-0.000000,6.243955
0.050000,2.894329,4.168554,1.484273,1.211652,0.494552,0.000000,6.233392
0.050000,2.955438,4.165192,1.545474,1.236379,0.494552,-0.000000,6.223175
0.050000,3.017743,4.161138,1.607911,1.261107,0.494552,0.000000,6.213342
0.050000,3.081239,4.156393,1.671585,1.285834,0.494552,0.000000,6.203935
0.050000,3.145921,4.150961,1.736495,1.310562,0.494552,0.000000,6.194994
0.050000,3.211785,4.144854,1.802641,1.335290,0.494552,0.000000,6.186558
0.050000,3.278826,4.138084,1.870024,1.360017,0.494552,0.000000,6.178668
0.050000,3.346157,4.130772,1.937750,1.349050,-0.219353,-14.278103,6.171455
0.050000,3.412549,4.123103,2.004585,1.324322,-0.494552,-5.503966,6.165042
0.050000,3.477668,4.115185,2.070183,1.299594,-0.494552,0.000000,6.159429
0.050000,3.541517,4.107082,2.134544,1.274867,-0.494552,0.000000,6.154576
0.050000,3.604103,4.098853,2.197669,1.250139,-0.494552,0.000000,6.150447
0.050000,3.665433,4.090553,2.259558,1.225412,-0.494552,0.000000,6.147004
0.050000,3.724737,4.082300,2.320210,1.200684,-0.494552,0.000000,6.139826
0.050000,3.783475,4.073351,2.379626,1.175956,-0.494552,0.000000,6.124642
0.050000,3.840866,4.063805,2.437806,1.151229,-0.494552,0.000000,6.112525
0.050000,3.896934,4.053863,2.494749,1.126501,-0.494552,0.000000,6.103308
0.050000,3.951708,4.043708,2.550456,1.101774,-0.494552,0.000000,6.096822
0.050000,4.005213,4.033500,2.604927,1.077046,-0.494552,0.000000,6.092902
0.050000,4.057477,4.023381,2.658161,1.052319,-0.494552,0.000000,6.091381
0.050000,4.108523,4.013478,2.710159,1.027591,-0.494552,-0.000000,6.092101
0.050000,4.158372,4.003899,2.760920,1.002863,-0.494552,0.000000,6.094905
0.050000,4.207042,3.994736,2.810445,0.978136,-0.494552,-0.000000,6.099644
0.050000,4.254546,3.986071,2.858733,0.953408,-0.494552,0.000000,6.106170
0.050000,4.300895,3.977967,2.905786,0.928681,-0.494552,-0.000000,6.114339
0.050000,4.346095,3.970480,2.951602,0.903953,-0.494552,0.000000,6.124008
0.050000,4.390148,3.963651,2.996181,0.879225,-0.494552,-0.000000,6.135037
0.050000,4.433054,3.957511,3.039524,0.854498,-0.494552,0.000000,6.147286
0.050000,4.474046,3.952173,3.081631,0.829770,-0.494552,0.000000,6.159628
0.050000,4.514610,3.947176,3.122501,0.805043,-0.494552,0.000000,6.161714
0.050000,4.553958,3.942422,3.162135,0.780315,-0.494552,0.000000,6.164224
0.050000,4.592090,3.937918,3.200533,0.755588,-0.494552,0.000000,6.167113
0.050000,4.629008,3.933673,3.237694,0.730860,-0.494552,0.000000,6.170338
0.050000,4.664711,3.929689,3.273619,0.706132,-0.494552,0.000000,6.173858
0.050000,4.699200,3.925968,3.308307,0.681405,-0.494552,0.000000,6.177631
0.050000,4.732472,3.922509,3.341759,0.656677,-0.494552,0.000000,6.181619
0.050000,4.764529,3.919308,3.373975,0.631950,-0.494552,0.000000,6.185785
0.050000,4.795367,3.916361,3.404954,0.607222,-0.494552,-0.000000,6.190090
0.050000,4.824988,3.913661,3.434697,0.582494,-0.494552,0.000000,6.194501
0.050000,4.853388,3.911199,3.463203,0.557767,-0.494552,0.000000,6.198983
0.050000,4.880566,3.908967,3.490474,0.533039,-0.494552,0.000000,6.203504
0.050000,4.906522,3.906953,3.516507,0.508312,-0.494552,0.000000,6.208032
0.050000,4.931253,3.905146,3.541305,0.483584,-0.494552,0.000000,6.212538
0.050000,4.954759,3.903535,3.564866,0.458856,-0.494552,0.000000,6.216993
0.050000,4.977038,3.902107,3.587190,0.434129,-0.494552,-0.000000,6.221370
0.050000,4.998089,3.900849,3.608279,0.409401,-0.494552,0.000000,6.225644
0.050000,5.017910,3.899748,3.628131,0.384674,-0.494552,0.000000,6.229791
0.050000,5.036501,3.898792,3.646746,0.359946,-0.494552,0.000000,6.233788
0.050000,5.053861,3.897967,3.664125,0.335219,-0.494552,0.000000,6.237613
0.050000,5.069988,3.897261,3.680268,0.310491,-0.494552,-0.000000,6.241248
0.050000,5.084882,3.896661,3.695174,0.285763,-0.494552,0.000000,6.244674
0.050000,5.098543,3.896157,3.708844,0.261036,-0.494552,0.000000,6.247874
0.050000,5.110969,3.895736,3.721278,0.236308,-0.494552,0.000000,6.250832
0.050000,5.122161,3.895389,3.732475,0.211581,-0.494552,-0.000000,6.253536
0.050000,5.132118,3.895106,3.742436,0.186853,-0.494552,0.000000,6.255973
0.050000,5.140839,3.894878,3.751160,0.162125,-0.494552,-0.000000,6.258131
0.050000,5.148325,3.894697,3.758648,0.137398,-0.494552,0.000000,6.260002
0.050000,5.154575,3.894557,3.764900,0.112670,-0.494552,-0.000000,6.261576
0.050000,5.159590,3.894452,3.769916,0.087943,-0.494552,0.000000,6.262847
0.050000,5.163368,3.894377,3.773694,0.063215,-0.494552,-0.000000,6.263809
0.050000,5.165910,3.894328,3.776237,0.038488,-0.494552,0.000000,6.264459
0.050000,5.167216,3.894304,3.777543,0.013760,-0.494552,0.000000,6.264794
0.050000,5.167560,3.894298,3.777887,0.000000,-0.275198,4.387069,6.264882
0.050000,5.167560,3.894298,3.777887,0.000000,0.000000,5.503966,6.264882
0.050000,5.167560,3.894298,3.777887,0.000000,0.000000,0.000000,6.264882
