dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412634,3.832186,0.000618,0.024728,0.494552,9.891035,0.000025
0.050000,1.414195,3.832186,0.002179,0.031220,0.129844,-7.294153,6.283004
0.050000,1.417164,3.832185,0.005149,0.059391,0.563416,8.671430,6.282662
0.050000,1.421323,3.832182,0.009307,0.083175,0.475690,-1.754508,6.282188
0.050000,1.426672,3.832175,0.014657,0.106988,0.476256,0.011318,6.281586
0.050000,1.433214,3.832162,0.021199,0.130837,0.476984,0.014552,6.280859
0.050000,1.440951,3.832141,0.028935,0.154731,0.477873,0.017793,6.280016
0.050000,1.449884,3.832108,0.037869,0.178677,0.478925,0.021037,6.279063
0.050000,1.460018,3.832061,0.048003,0.202684,0.480139,0.024280,6.278008
0.050000,1.471356,3.831996,0.059341,0.226760,0.481516,0.027528,6.276862
0.050000,1.483902,3.831909,0.071887,0.250912,0.483054,0.030778,6.275635
0.050000,1.497659,3.831796,0.085644,0.275150,0.484756,0.034030,6.274339
0.050000,1.512632,3.831653,0.100618,0.299481,0.486620,0.037282,6.272987
0.050000,1.528827,3.831477,0.116814,0.323914,0.488647,0.040533,6.271594
0.050000,1.546248,3.831262,0.134237,0.348455,0.490836,0.043785,6.270174
0.050000,1.564902,3.831006,0.152893,0.373115,0.493188,0.047035,6.268745
0.050000,1.584795,3.830704,0.172788,0.397900,0.495702,0.050281,6.267324
0.050000,1.605933,3.830354,0.193929,0.422819,0.498378,0.053526,6.265931
0.050000,1.628323,3.829952,0.216323,0.447880,0.501216,0.056766,6.264583
0.050000,1.651973,3.829497,0.239977,0.473090,0.504217,0.060004,6.263304
0.050000,1.676891,3.828986,0.264900,0.498459,0.507378,0.063239,6.262115
0.050000,1.703085,3.828420,0.291100,0.523994,0.510702,0.066472,6.261040
0.050000,1.730563,3.827798,0.318585,0.549704,0.514187,0.069703,6.260102
0.050000,1.759335,3.827122,0.347365,0.575595,0.517834,0.072936,6.259329
0.050000,1.789410,3.826395,0.377449,0.601678,0.521643,0.076171,6.258745
0.050000,1.820798,3.825621,0.408847,0.627958,0.525613,0.079410,6.258380
0.050000,1.853510,3.824807,0.441569,0.654446,0.529746,0.082655,6.258263
0.050000,1.887557,3.823960,0.475626,0.681148,0.534041,0.085906,6.258423
0.050000,1.922950,3.823091,0.511030,0.708073,0.538499,0.089164,6.258892
0.050000,1.959701,3.822212,0.547791,0.735229,0.543121,0.092425,6.259703
0.050000,1.997822,3.821338,0.585922,0.762624,0.547905,0.095684,6.260888
0.050000,2.037326,3.820488,0.625436,0.790266,0.552852,0.098934,6.262484
0.050000,2.078227,3.819681,0.666344,0.818164,0.557960,0.102161,6.264525
0.050000,2.120537,3.818944,0.708660,0.846326,0.563227,0.105343,6.267050
0.050000,2.164270,3.818303,0.752398,0.874758,0.568649,0.108454,6.270095
0.050000,2.209440,3.817791,0.797572,0.903469,0.574222,0.111452,6.273700
0.050000,2.255643,3.817449,0.843775,0.924072,0.412046,-3.243529,6.278214
0.050000,2.304202,3.817363,0.892335,0.971194,0.942454,10.608167,0.001203
0.050000,2.353457,3.817544,0.941590,0.985106,0.278230,-13.284485,0.005856
0.050000,2.403359,3.817918,0.991494,0.998070,0.259287,-0.378847,0.008856
0.050000,2.453860,3.818404,1.041997,1.010065,0.239903,-0.387691,0.010064
0.050000,2.504911,3.818908,1.093050,1.021066,0.220016,-0.397740,0.009343
0.050000,2.556462,3.819327,1.144603,1.031046,0.199591,-0.408493,0.006549
0.050000,2.608460,3.819547,1.196601,1.039978,0.178641,-0.419007,0.001533
0.050000,2.660852,3.819444,1.248993,1.047840,0.157252,-0.427770,6.277331
0.050000,2.713580,3.818885,1.301725,1.054621,0.135624,-0.432562,6.267421
0.050000,2.766584,3.817728,1.354741,1.060327,0.114109,-0.430305,6.254837
0.050000,2.820478,3.815898,1.408666,1.078503,0.363530,4.988433,6.243955
0.050000,2.876630,3.813394,1.464874,1.124164,0.913215,10.993700,6.233392
0.050000,2.934111,3.810233,1.522441,1.151344,0.543601,-7.392296,6.223175
0.050000,2.992927,3.806405,1.581382,1.178810,0.549317,0.114332,6.213342
0.050000,3.053087,3.801909,1.641710,1.206562,0.555045,0.114549,6.203935
0.050000,3.114601,3.796743,1.703440,1.234601,0.560776,0.114632,6.194994
0.050000,3.177477,3.790913,1.766586,1.262927,0.566508,0.114630,6.186558
0.050000,3.241727,3.784425,1.831163,1.291538,0.572238,0.114613,6.178668
0.050000,3.306508,3.777389,1.896325,1.303231,0.233857,-6.767635,6.171455
0.050000,3.370635,3.769982,1.960879,1.291075,-0.243133,-9.539803,6.165042
0.050000,3.433772,3.762304,2.024480,1.272034,-0.380802,-2.753380,6.159429
0.050000,3.495910,3.754418,2.087116,1.252720,-0.386291,-0.109768,6.154576
0.050000,3.557040,3.746381,2.148773,1.233135,-0.391700,-0.108176,6.150447
0.050000,3.617156,3.738246,2.209437,1.213284,-0.397010,-0.106216,6.147004
0.050000,3.673933,3.730348,2.266761,1.146466,-1.336375,-18.787288,6.139826
0.050000,3.727333,3.722211,2.320777,1.080324,-1.322837,0.270765,6.124642
0.050000,3.780473,3.713371,2.374647,1.077407,-0.058346,25.289815,6.112525
0.050000,3.833314,3.704001,2.428313,1.073310,-0.081929,-0.471658,6.103308
0.050000,3.885820,3.694265,2.481713,1.068014,-0.105929,-0.480009,6.096822
0.050000,3.937956,3.684318,2.534790,1.061525,-0.129780,-0.477008,6.092902
0.050000,3.989688,3.674302,2.587483,1.053867,-0.153151,-0.467432,6.091381
0.050000,4.040986,3.664350,2.639737,1.045073,-0.175891,-0.454805,6.092101
0.050000,4.091814,3.654583,2.691495,1.035174,-0.197970,-0.441563,6.094905
0.050000,4.142140,3.645109,2.742705,1.024202,-0.219434,-0.429284,6.099644
0.050000,4.191928,3.636027,2.793315,1.012184,-0.240377,-0.418870,6.106170
0.050000,4.241139,3.627424,2.843271,0.999138,-0.260912,-0.410695,6.114339
0.050000,4.289731,3.619376,2.892526,0.985080,-0.281149,-0.404737,6.124008
0.050000,4.337659,3.611947,2.941027,0.970021,-0.301183,-0.400684,6.135037
0.050000,4.384877,3.605190,2.988725,0.953967,-0.321083,-0.398008,6.147286
0.050000,4.430221,3.599284,3.034453,0.914552,-0.788311,-9.344542,6.159628
0.050000,4.471521,3.594197,3.076065,0.832242,-1.646193,-17.157640,6.161714
0.050000,4.511755,3.589335,3.116591,0.810527,-0.434293,24.237994,6.164224
0.050000,4.550908,3.584711,3.156016,0.788497,-0.440609,-0.126317,6.167113
0.050000,4.588965,3.580334,3.194324,0.766160,-0.446734,-0.122507,6.170338
0.050000,4.625912,3.576212,3.231500,0.743527,-0.452672,-0.118767,6.173858
0.050000,4.661734,3.572347,3.267530,0.720605,-0.458426,-0.115069,6.177631
0.050000,4.696418,3.568741,3.302401,0.697406,-0.463995,-0.111393,6.181619
0.050000,4.729948,3.565394,3.336098,0.673936,-0.469381,-0.107713,6.185785
0.050000,4.762311,3.562301,3.368608,0.650207,-0.474582,-0.104014,6.190090
0.050000,4.793493,3.559459,3.399919,0.626228,-0.479596,-0.100280,6.194501
0.050000,4.823481,3.556859,3.430020,0.602007,-0.484421,-0.096496,6.198983
0.050000,4.852261,3.554495,3.458897,0.577554,-0.489054,-0.092660,6.203504
0.050000,4.879823,3.552357,3.486541,0.552879,-0.493492,-0.088764,6.208032
0.050000,4.906152,3.550434,3.512941,0.527993,-0.497732,-0.084812,6.212538
0.050000,4.931238,3.548714,3.538086,0.502904,-0.501772,-0.080800,6.216993
0.050000,4.955071,3.547186,3.561967,0.477624,-0.505610,-0.076743,6.221370
0.050000,4.977638,3.545838,3.584575,0.452161,-0.509241,-0.072638,6.225644
0.050000,4.998932,3.544655,3.605902,0.426528,-0.512667,-0.068501,6.229791
0.050000,5.018942,3.543626,3.625938,0.400734,-0.515883,-0.064339,6.233788
0.050000,5.037661,3.542736,3.644678,0.374789,-0.518892,-0.060171,6.237613
0.050000,5.055079,3.541973,3.662113,0.348705,-0.521691,-0.055983,6.241248
0.050000,5.071191,3.541325,3.678238,0.322491,-0.524282,-0.051813,6.244674
0.050000,5.085988,3.540778,3.693046,0.296157,-0.526665,-0.047670,6.247874
0.050000,5.099467,3.540322,3.706531,0.269715,-0.528841,-0.043511,6.250832
