dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.397919,4.528680,0.000619,0.024750,0.494994,9.899871,0.000000
0.050000,1.399541,4.528680,0.002241,0.032440,0.153809,-6.823691,0.000000
0.050000,1.402634,4.528680,0.005334,0.061874,0.588681,8.697446,0.000000
0.050000,1.406966,4.528680,0.009666,0.086624,0.494994,-1.873755,0.000000
0.050000,1.412534,4.528680,0.015234,0.111374,0.494994,-0.000000,0.000000
0.050000,1.419340,4.528680,0.022040,0.136123,0.494994,0.000000,0.000000
0.050000,1.427384,4.528680,0.030084,0.160873,0.494994,0.000000,0.000000
0.050000,1.436665,4.528680,0.039365,0.185623,0.494994,0.000000,0.000000
0.050000,1.447184,4.528680,0.049884,0.210372,0.494994,-0.000000,0.000000
0.050000,1.458940,4.528680,0.061640,0.235122,0.494994,0.000000,0.000000
0.050000,1.471933,4.528680,0.074634,0.259872,0.494994,0.000000,0.000000
0.050000,1.486165,4.528680,0.088865,0.284621,0.494994,-0.000000,0.000000
0.050000,1.501633,4.528680,0.104333,0.309371,0.494994,0.000000,0.000000
0.050000,1.518339,4.528680,0.121039,0.334121,0.494994,0.000000,0.000000
0.050000,1.536283,4.528680,0.138983,0.358870,0.494994,-0.000000,0.000000
0.050000,1.555464,4.528680,0.158164,0.383620,0.494994,0.000000,0.000000
0.050000,1.575882,4.528680,0.178582,0.408370,0.494994,0.000000,0.000000
0.050000,1.597538,4.528680,0.200238,0.433119,0.494994,0.000000,0.000000
0.050000,1.620432,4.528680,0.223132,0.457869,0.494994,-0.000000,0.000000
0.050000,1.644562,4.528680,0.247263,0.482619,0.494994,0.000000,0.000000
0.050000,1.669931,4.528680,0.272631,0.507368,0.494994,-0.000000,0.000000
0.050000,1.696537,4.528680,0.299237,0.532118,0.494994,0.000000,0.000000
0.050000,1.724380,4.528680,0.327080,0.556868,0.494994,0.000000,0.000000
0.050000,1.753461,4.528680,0.356161,0.581617,0.494994,-0.000000,0.000000
0.050000,1.783779,4.528680,0.386479,0.606367,0.494994,0.000000,0.000000
0.050000,1.815335,4.528680,0.418035,0.631117,0.494994,-0.000000,0.000000
0.050000,1.848129,4.528680,0.450829,0.655866,0.494994,0.000000,0.000000
0.050000,1.882159,4.528680,0.484859,0.680616,0.494994,-0.000000,0.000000
0.050000,1.917428,4.528680,0.520128,0.705366,0.494994,0.000000,0.000000
0.050000,1.953933,4.528680,0.556634,0.730116,0.494994,-0.000000,0.000000
0.050000,1.991677,4.528680,0.594377,0.754865,0.494994,0.000000,0.000000
0.050000,2.030657,4.528680,0.633358,0.779615,0.494994,-0.000000,0.000000
0.050000,2.070876,4.528680,0.673576,0.804365,0.494994,0.000000,0.000000
0.050000,2.112331,4.528680,0.715031,0.829114,0.494994,0.000000,0.000000
0.050000,2.155025,4.528680,0.757725,0.853864,0.494994,0.000000,0.000000
0.050000,2.198955,4.528680,0.801655,0.878614,0.494994,-0.000000,0.000000
0.050000,2.244123,4.528680,0.846824,0.903363,0.494994,0.000000,0.000000
0.050000,2.291141,4.528613,0.893841,0.940349,0.739712,4.894361,6.279976
0.050000,2.339789,4.528383,0.942490,0.972975,0.652516,-1.743905,6.277148
0.050000,2.389262,4.528038,0.991963,0.989475,0.330008,-6.450166,6.275480
0.050000,2.439525,4.527635,1.042229,1.005301,0.316528,-0.269601,6.275067
0.050000,2.490545,4.527239,1.093250,1.020436,0.302695,-0.276655,6.276005
0.050000,2.542287,4.526923,1.144993,1.034861,0.288502,-0.283870,6.278396
0.050000,2.594715,4.526768,1.197421,1.048559,0.273957,-0.290893,6.282340
0.050000,2.647791,4.526865,1.250497,1.061514,0.259099,-0.297172,0.004757
0.050000,2.701475,4.527310,1.304183,1.073714,0.244003,-0.301908,0.012124
0.050000,2.755725,4.528210,1.358440,1.085154,0.228803,-0.304007,0.021362
0.050000,2.809078,4.529670,1.411814,1.067468,-0.353729,-11.650641,0.033949
0.050000,2.864496,4.531914,1.467277,1.109263,0.835895,23.792493,0.046757
0.050000,2.921547,4.534923,1.524407,1.142604,0.666833,-3.381249,0.058357
0.050000,2.980261,4.538665,1.583240,1.176656,0.681029,0.283921,0.068649
0.050000,3.040669,4.543096,1.643810,1.211408,0.695051,0.280434,0.077535
0.050000,3.102805,4.548164,1.706153,1.246857,0.708972,0.278420,0.084916
0.050000,3.166707,4.553799,1.770303,1.283001,0.722881,0.278180,0.090696
0.050000,3.232415,4.559920,1.836296,1.319845,0.736875,0.279893,0.094775
0.050000,3.299119,4.566348,1.903309,1.340266,0.408432,-6.568867,0.097038
0.050000,3.365607,4.572844,1.970113,1.336086,-0.083597,-9.840576,0.097462
0.050000,3.431487,4.579251,2.036304,1.323823,-0.245261,-3.233283,0.096131
0.050000,3.496737,4.585453,2.101848,1.310867,-0.259129,-0.277357,0.093141
0.050000,3.561330,4.591347,2.166709,1.297232,-0.272699,-0.271396,0.088589
0.050000,3.625241,4.596838,2.230856,1.282931,-0.286029,-0.266603,0.082567
0.050000,3.687446,4.601767,2.293255,1.247991,-0.698785,-8.255122,0.075738
0.050000,3.748135,4.606254,2.354111,1.217106,-0.617713,1.621448,0.072012
0.050000,3.807274,4.610433,2.413397,1.185732,-0.627481,-0.195369,0.069218
0.050000,3.864877,4.614367,2.471134,1.154740,-0.619828,0.153066,0.067301
0.050000,3.920958,4.618113,2.527340,1.124124,-0.612329,0.149984,0.066209
0.050000,3.975533,4.621720,2.582034,1.093874,-0.604993,0.146712,0.065890
0.050000,4.028616,4.625230,2.635233,1.063983,-0.597825,0.143359,0.066295
0.050000,4.080223,4.628681,2.686955,1.034442,-0.590825,0.140004,0.067373
0.050000,4.130368,4.632105,2.737218,1.005242,-0.583990,0.136696,0.069076
0.050000,4.179067,4.635528,2.786036,0.976376,-0.577317,0.133462,0.071359
0.050000,4.226334,4.638971,2.833428,0.947836,-0.570801,0.130311,0.074174
0.050000,4.272182,4.642452,2.879409,0.919614,-0.564439,0.127242,0.077478
0.050000,4.316627,4.645984,2.923994,0.891703,-0.558227,0.124242,0.081226
0.050000,4.359683,4.649577,2.967199,0.864095,-0.552163,0.121291,0.085376
0.050000,4.401361,4.653237,3.009038,0.836783,-0.546244,0.118372,0.089886
