dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412615,5.572822,0.000616,0.024630,0.492594,9.851871,0.000029
0.050000,1.414459,5.572822,0.002460,0.036885,0.245113,-4.949618,6.282832
0.050000,1.417760,5.572820,0.005761,0.066016,0.582609,6.749918,6.282207
0.050000,1.422371,5.572813,0.010373,0.092234,0.524371,-1.164757,6.281360
0.050000,1.428285,5.572799,0.016286,0.118265,0.520618,-0.075055,6.280315
0.050000,1.435487,5.572774,0.023489,0.144055,0.515801,-0.096341,6.279107
0.050000,1.443965,5.572734,0.031966,0.169551,0.509920,-0.117616,6.277777
0.050000,1.453700,5.572674,0.041701,0.194700,0.502980,-0.138804,6.276374
0.050000,1.464672,5.572592,0.052674,0.219450,0.494987,-0.159858,6.274954
0.050000,1.476859,5.572483,0.064861,0.243747,0.485942,-0.180910,6.273581
0.050000,1.490235,5.572346,0.078238,0.267539,0.475849,-0.201858,6.272326
0.050000,1.504773,5.572180,0.092777,0.290774,0.464706,-0.222851,6.271266
0.050000,1.520441,5.571986,0.108447,0.313400,0.452512,-0.243877,6.270489
0.050000,1.537208,5.571769,0.125215,0.335363,0.439259,-0.265060,6.270087
0.050000,1.555037,5.571536,0.143045,0.356610,0.424935,-0.286483,6.270160
0.050000,1.573890,5.571295,0.161899,0.377086,0.409521,-0.308280,6.270817
0.050000,1.593725,5.571062,0.181736,0.396735,0.392993,-0.330570,6.272174
0.050000,1.614499,5.570855,0.202511,0.415501,0.375318,-0.353487,6.274356
0.050000,1.636165,5.570696,0.224178,0.433324,0.356463,-0.377102,6.277495
0.050000,1.658672,5.570614,0.246685,0.450144,0.336389,-0.401490,6.281732
0.050000,1.681967,5.570642,0.269980,0.465897,0.315063,-0.426505,0.004032
0.050000,1.705992,5.570819,0.294006,0.480520,0.292465,-0.451976,0.010925
0.050000,1.730687,5.571190,0.318703,0.493950,0.268600,-0.477282,0.019391
0.050000,1.755986,5.571807,0.344009,0.506126,0.243521,-0.501591,0.029609
0.050000,1.781819,5.572725,0.369859,0.516994,0.217352,-0.523375,0.041762
0.050000,1.808113,5.574007,0.396185,0.526510,0.190326,-0.540515,0.056039
0.050000,1.834791,5.575721,0.422917,0.534652,0.162832,-0.549883,0.072635
0.050000,1.861771,5.577938,0.449989,0.541426,0.135473,-0.547191,0.091741
0.050000,1.888972,5.580734,0.477333,0.546882,0.109123,-0.526988,0.113543
0.050000,1.916311,5.584187,0.504889,0.551132,0.085006,-0.482347,0.138209
0.050000,1.943711,5.588379,0.532608,0.554368,0.064729,-0.405530,0.165884
0.050000,1.971100,5.593392,0.560452,0.556885,0.050323,-0.288132,0.196667
0.050000,1.998421,5.599312,0.588406,0.559092,0.044152,-0.123411,0.230601
0.050000,2.025632,5.606228,0.616483,0.561533,0.048815,0.093248,0.267656
0.050000,2.052717,5.614235,0.644727,0.564872,0.066780,0.359311,0.307703
0.050000,2.080049,5.623546,0.673601,0.577484,0.252240,3.709201,0.347907
0.050000,2.109639,5.634924,0.705303,0.634048,1.131289,17.580974,0.385154
0.050000,2.141333,5.648409,0.739747,0.688869,1.096418,-0.697412,0.418156
0.050000,2.175294,5.664101,0.777158,0.748216,1.186938,1.810388,0.446278
0.050000,2.211685,5.682052,0.817735,0.811552,1.266712,1.595492,0.468958
0.050000,2.250687,5.702255,0.861659,0.878483,1.338622,1.438192,0.485692
0.050000,2.292513,5.724643,0.909100,0.948808,1.406495,1.357469,0.496001
0.050000,2.337421,5.749079,0.960226,1.022523,1.474309,1.356269,0.499409
0.050000,2.385731,5.775347,1.015215,1.099792,1.545368,1.421186,0.495416
0.050000,2.437825,5.803137,1.074259,1.180861,1.621389,1.520410,0.483485
0.050000,2.494128,5.832009,1.137532,1.265478,1.692335,1.418918,0.461768
0.050000,2.556269,5.861598,1.206359,1.376528,2.221004,10.573384,0.429244
0.050000,2.615092,5.887842,1.270770,1.288233,-1.765891,-79.737896,0.412605
0.050000,2.669780,5.911693,1.330434,1.193264,-1.899385,-2.669871,0.412784
0.050000,2.719569,5.933935,1.384964,1.090608,-2.053112,-3.074548,0.430859
0.050000,2.763706,5.955117,1.433921,0.979136,-2.229457,-3.526904,0.468064
0.050000,2.801549,5.975516,1.476912,0.859825,-2.386219,-3.135242,0.525500
0.050000,2.832817,5.995195,1.513857,0.738896,-2.418581,-0.647242,0.603394
0.050000,2.864670,6.019520,1.553937,0.801595,1.253987,73.451367,0.674431
0.050000,2.916456,6.060975,1.620271,1.326679,10.501690,184.954071,0.676630
0.050000,2.967353,6.102147,1.685736,1.309299,-0.347603,-216.985872,0.684735
0.050000,3.017023,6.143255,1.750211,1.289499,-0.396005,-0.968036,0.699086
0.050000,3.064428,6.183903,1.812656,1.248911,-0.811763,-8.315170,0.719676
0.050000,3.108569,6.223586,1.872013,1.187134,-1.235528,-8.475289,0.746019
0.050000,3.149280,6.262379,1.928247,1.124681,-1.249076,-0.270971,0.777678
0.050000,3.186576,6.300427,1.981526,1.065584,-1.181943,1.342672,0.814183
0.050000,3.227459,6.345018,2.042021,1.209909,2.886509,81.369030,0.825382
0.050000,3.278143,6.398388,2.115624,1.472044,5.242709,47.124016,0.797810
0.050000,3.327776,6.448137,2.185897,1.405476,-1.331360,-131.481391,0.776138
0.050000,3.376008,6.494695,2.252934,1.340736,-1.294810,0.731002,0.760108
0.050000,3.422575,6.538459,2.316839,1.278092,-1.252875,0.838697,0.749424
0.050000,3.467278,6.579789,2.377720,1.217627,-1.209297,0.871558,0.743779
0.050000,3.509969,6.619001,2.435686,1.159318,-1.166192,0.862105,0.742870
0.050000,3.550540,6.656364,2.490841,1.103095,-1.124455,0.834741,0.746404
0.050000,3.588917,6.692108,2.543285,1.048889,-1.084129,0.806518,0.754095
0.050000,3.624964,6.726332,2.592991,0.994118,-1.095409,-0.225593,0.764708
0.050000,3.662854,6.762708,2.645516,1.050502,1.127669,44.461551,0.765247
0.050000,3.699937,6.798334,2.696940,1.028465,-0.440733,-31.368032,0.765422
0.050000,3.736219,6.833191,2.747252,1.006251,-0.444284,-0.071016,0.765257
0.050000,3.771705,6.867260,2.796445,0.983863,-0.447749,-0.069310,0.764776
0.050000,3.806398,6.900527,2.844511,0.961307,-0.451129,-0.067607,0.764004
0.050000,3.840300,6.932977,2.891440,0.938586,-0.454425,-0.065911,0.762964
0.050000,3.873413,6.964597,2.937225,0.915704,-0.457636,-0.064223,0.761678
0.050000,3.905736,6.995376,2.981858,0.892666,-0.460763,-0.062542,0.760168
0.050000,3.937267,7.025305,3.025332,0.869475,-0.463807,-0.060868,0.758456
0.050000,3.967027,7.053459,3.066299,0.819344,-1.002627,-10.776411,0.758193
0.050000,3.994436,7.079608,3.104181,0.757643,-1.234026,-4.627973,0.765278
0.050000,4.021219,7.105481,3.141420,0.744763,-0.257593,19.528666,0.770712
0.050000,4.047385,7.130995,3.177966,0.730926,-0.276738,-0.382908,0.774628
0.050000,4.072942,7.156076,3.213774,0.716163,-0.295267,-0.370574,0.777157
0.050000,4.097894,7.180656,3.248799,0.700506,-0.313137,-0.357401,0.778425
0.050000,4.122241,7.204673,3.282999,0.683989,-0.330338,-0.344026,0.778552
0.050000,4.145980,7.228072,3.316331,0.666645,-0.346879,-0.330816,0.777654
0.050000,4.169104,7.250802,3.348756,0.648506,-0.362778,-0.317976,0.775843
0.050000,4.191602,7.272821,3.380236,0.629603,-0.378056,-0.305568,0.773228
0.050000,4.213463,7.294087,3.410735,0.609967,-0.392735,-0.293574,0.769910
0.050000,4.234669,7.314568,3.440216,0.589625,-0.406831,-0.281923,0.765989
0.050000,4.255201,7.334233,3.468646,0.568607,-0.420357,-0.270516,0.761561
0.050000,4.275038,7.353057,3.495993,0.546941,-0.433319,-0.259249,0.756716
0.050000,4.294158,7.371018,3.522226,0.524655,-0.445719,-0.248006,0.751541
0.050000,4.312534,7.388099,3.547315,0.501778,-0.457555,-0.236715,0.746120
0.050000,4.330142,7.404285,3.571232,0.478337,-0.468820,-0.225294,0.740531
0.050000,4.346953,7.419565,3.593950,0.454361,-0.479505,-0.213702,0.734851
0.050000,4.362941,7.433931,3.615444,0.429881,-0.489601,-0.201918,0.729150
0.050000,4.378077,7.447378,3.635690,0.404926,-0.499097,-0.189925,0.723494
0.050000,4.392335,7.459901,3.654667,0.379527,-0.507985,-0.177760,0.717947
0.050000,4.405686,7.471500,3.672352,0.353714,-0.516258,-0.165457,0.712566
0.050000,4.418105,7.482174,3.688728,0.327519,-0.523909,-0.153011,0.707405
0.050000,4.429566,7.491926,3.703777,0.300972,-0.530936,-0.140551,0.702514
0.050000,4.440047,7.500758,3.717482,0.274105,-0.537338,-0.128044,0.697937
0.050000,4.449523,7.508673,3.729830,0.246949,-0.543119,-0.115613,0.693715
0.050000,4.457977,7.515675,3.740807,0.219535,-0.548279,-0.103209,0.689885
0.050000,4.465388,7.521769,3.750401,0.191894,-0.552830,-0.091003,0.686479
