dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412625,5.217222,0.000616,0.024630,0.492594,9.851871,0.000029
0.050000,1.414333,5.217222,0.002463,0.049259,0.492594,0.000000,6.282832
0.050000,1.417412,5.217220,0.005542,0.073889,0.492594,0.000000,6.282207
0.050000,1.421722,5.217214,0.009852,0.098519,0.492594,-0.000000,6.281360
0.050000,1.427264,5.217201,0.015394,0.123148,0.492594,0.000000,6.280315
0.050000,1.434037,5.217177,0.022167,0.147778,0.492594,-0.000000,6.279107
0.050000,1.442041,5.217139,0.030171,0.172408,0.492594,0.000000,6.277777
0.050000,1.451277,5.217083,0.039407,0.197037,0.492594,-0.000000,6.276374
0.050000,1.461745,5.217004,0.049875,0.221667,0.492594,0.000000,6.274954
0.050000,1.473443,5.216899,0.061574,0.246297,0.492594,0.000000,6.273581
0.050000,1.486373,5.216767,0.074505,0.270926,0.492594,-0.000000,6.272326
0.050000,1.500534,5.216605,0.088667,0.295556,0.492594,0.000000,6.271266
0.050000,1.515927,5.216415,0.104060,0.320186,0.492594,-0.000000,6.270489
0.050000,1.532550,5.216200,0.120685,0.344815,0.492594,0.000000,6.270087
0.050000,1.550405,5.215966,0.138542,0.369445,0.492594,-0.000000,6.270160
0.050000,1.569492,5.215723,0.157630,0.394075,0.492594,0.000000,6.270817
0.050000,1.589810,5.215484,0.177949,0.418704,0.492594,0.000000,6.272174
0.050000,1.611360,5.215269,0.199500,0.443334,0.492594,0.000000,6.274356
0.050000,1.634142,5.215102,0.222283,0.467964,0.492594,-0.000000,6.277495
0.050000,1.658155,5.215014,0.246297,0.492594,0.492594,0.000000,6.281732
0.050000,1.683401,5.215044,0.271542,0.517223,0.492594,-0.000000,0.004032
0.050000,1.709877,5.215240,0.298019,0.541853,0.492594,-0.000000,0.010925
0.050000,1.737582,5.215657,0.325727,0.566483,0.492594,0.000000,0.019391
0.050000,1.766513,5.216362,0.354667,0.591112,0.492594,0.000000,0.029609
0.050000,1.796665,5.217435,0.384839,0.615742,0.492594,-0.000000,0.041762
0.050000,1.828031,5.218966,0.416242,0.640372,0.492594,0.000000,0.056039
0.050000,1.860597,5.221059,0.448876,0.665001,0.492594,0.000000,0.072635
0.050000,1.894349,5.223834,0.482742,0.689631,0.492594,0.000000,0.091741
0.050000,1.929261,5.227424,0.517839,0.714261,0.492594,-0.000000,0.113543
0.050000,1.965302,5.231978,0.554168,0.738890,0.492594,0.000000,0.138209
0.050000,2.002429,5.237660,0.591728,0.763520,0.492594,-0.000000,0.165884
0.050000,2.040585,5.244647,0.630520,0.788150,0.492594,0.000000,0.196667
0.050000,2.079698,5.253125,0.670543,0.812779,0.492594,0.000000,0.230601
0.050000,2.119678,5.263290,0.711798,0.837409,0.492594,-0.000000,0.267656
0.050000,2.160418,5.275337,0.754284,0.862039,0.492594,0.000000,0.307703
0.050000,2.201284,5.289250,0.798002,0.886668,0.492594,0.000000,0.347907
0.050000,2.243239,5.305375,0.842951,0.911298,0.492594,0.000000,0.385154
0.050000,2.285734,5.323448,0.889131,0.935928,0.492594,-0.000000,0.418156
0.050000,2.328775,5.343329,0.936543,0.960557,0.492594,0.000000,0.446278
0.050000,2.372401,5.364842,0.985187,0.985187,0.492594,0.000000,0.468958
0.050000,2.416688,5.387779,1.035062,1.009817,0.492594,-0.000000,0.485692
0.050000,2.461747,5.411895,1.086169,1.034446,0.492594,0.000000,0.496001
0.050000,2.507720,5.436910,1.138507,1.059076,0.492594,-0.000000,0.499409
0.050000,2.554782,5.462500,1.192076,1.083706,0.492594,0.000000,0.495416
0.050000,2.603132,5.488296,1.246877,1.108335,0.492594,0.000000,0.483485
0.050000,2.652559,5.513652,1.302910,1.132965,0.492594,-0.000000,0.461768
0.050000,2.704264,5.538257,1.360174,1.157595,0.492594,0.000000,0.429244
0.050000,2.757686,5.562084,1.418669,1.182224,0.492594,0.000000,0.412605
0.050000,2.812433,5.585961,1.478396,1.206854,0.492594,-0.000000,0.412784
0.050000,2.868085,5.610834,1.539355,1.231484,0.492594,0.000000,0.430859
0.050000,2.924138,5.637764,1.601545,1.256113,0.492594,0.000000,0.468064
0.050000,2.979935,5.667896,1.664966,1.280743,0.492594,-0.000000,0.525500
0.050000,3.034598,5.702388,1.729619,1.305373,0.492594,0.000000,0.603394
0.050000,3.086726,5.741774,1.795503,1.330003,0.492594,-0.000000,0.674431
0.050000,3.139122,5.783718,1.862619,1.354632,0.492594,0.000000,0.676630
0.050000,3.192258,5.826704,1.930967,1.379262,0.492594,0.000000,0.684735
0.050000,3.245858,5.871068,2.000545,1.403892,0.492594,-0.000000,0.699086
0.050000,3.298819,5.916484,2.070314,1.386836,-0.341113,-16.674135,0.719676
0.050000,3.349922,5.962434,2.139040,1.362206,-0.492594,-3.029606,0.746019
0.050000,3.398779,6.008998,2.206534,1.337577,-0.492594,-0.000000,0.777678
0.050000,3.445156,6.056321,2.272797,1.312947,-0.492594,0.000000,0.814183
0.050000,3.488756,6.103823,2.337829,1.288317,-0.492594,-0.000000,0.825382
0.050000,3.532692,6.150081,2.401629,1.263688,-0.492594,0.000000,0.797810
0.050000,3.576884,6.194373,2.464198,1.239058,-0.492594,0.000000,0.776138
0.050000,3.621017,6.236969,2.525535,1.214428,-0.492594,-0.000000,0.760108
0.050000,3.664816,6.278130,2.585641,1.189798,-0.492594,0.000000,0.749424
0.050000,3.708046,6.318098,2.644515,1.165169,-0.492594,-0.000000,0.743779
0.050000,3.750499,6.357090,2.702157,1.140539,-0.492594,0.000000,0.742870
0.050000,3.791994,6.395305,2.758569,1.115909,-0.492594,0.000000,0.746404
0.050000,3.832372,6.432914,2.813748,1.091280,-0.492594,-0.000000,0.754095
0.050000,3.871155,6.469737,2.867697,1.066650,-0.492594,0.000000,0.764708
0.050000,3.909184,6.506245,2.920413,1.042020,-0.492594,0.000000,0.765247
0.050000,3.946312,6.541914,2.971899,1.017391,-0.492594,-0.000000,0.765422
0.050000,3.982551,6.576730,3.022152,0.992761,-0.492594,0.000000,0.765257
0.050000,4.017913,6.610682,3.071175,0.968131,-0.492594,-0.000000,0.764776
0.050000,4.052408,6.643758,3.118966,0.943502,-0.492594,0.000000,0.764004
0.050000,4.086043,6.675952,3.165525,0.918872,-0.492594,0.000000,0.762964
0.050000,4.118825,6.707256,3.210853,0.894242,-0.492594,-0.000000,0.761678
0.050000,4.150759,6.737666,3.254949,0.869613,-0.492594,-0.000000,0.760168
0.050000,4.181849,6.767175,3.297814,0.844983,-0.492594,0.000000,0.758456
0.050000,4.211541,6.795265,3.339447,0.820353,-0.492594,0.000000,0.758193
0.050000,4.240774,6.823153,3.379849,0.795724,-0.492594,-0.000000,0.765278
0.050000,4.268946,6.850368,3.419020,0.771094,-0.492594,-0.000000,0.770712
0.050000,4.296110,6.876854,3.456959,0.746464,-0.492594,0.000000,0.774628
0.050000,4.322308,6.902565,3.493666,0.721835,-0.492594,-0.000000,0.777157
0.050000,4.347582,6.927461,3.529142,0.697205,-0.492594,0.000000,0.778425
0.050000,4.371961,6.951510,3.563387,0.672575,-0.492594,0.000000,0.778552
0.050000,4.395472,6.974685,3.596400,0.647946,-0.492594,0.000000,0.777654
0.050000,4.418137,6.996964,3.628181,0.623316,-0.492594,-0.000000,0.775843
