dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412635,4.861622,0.000616,0.024630,0.492594,9.851871,0.000029
0.050000,1.414208,4.861622,0.002188,0.031448,0.136369,-7.124500,6.282832
0.050000,1.417064,4.861620,0.005045,0.057133,0.513691,7.546444,6.282207
0.050000,1.421073,4.861614,0.009053,0.080173,0.460817,-1.057474,6.281360
0.050000,1.426243,4.861602,0.014224,0.103402,0.464568,0.075014,6.280315
0.050000,1.432586,4.861580,0.020567,0.126871,0.469387,0.096380,6.279107
0.050000,1.440118,4.861544,0.028099,0.150635,0.475267,0.117614,6.277777
0.050000,1.448855,4.861491,0.036836,0.174745,0.482206,0.138771,6.276374
0.050000,1.458818,4.861416,0.046799,0.199255,0.490201,0.159893,6.274954
0.050000,1.470028,4.861316,0.058010,0.224217,0.499245,0.180884,6.273581
0.050000,1.482512,4.861188,0.070494,0.249684,0.509339,0.201884,6.272326
0.050000,1.496296,4.861030,0.084279,0.275708,0.520481,0.222841,6.271266
0.050000,1.511412,4.860844,0.099396,0.302342,0.532675,0.243883,6.270489
0.050000,1.527893,4.860630,0.115878,0.329638,0.545928,0.265055,6.270087
0.050000,1.545774,4.860396,0.133761,0.357651,0.560252,0.286483,6.270160
0.050000,1.565094,4.860150,0.153083,0.386434,0.575666,0.308271,6.270817
0.050000,1.585895,4.859905,0.173885,0.416044,0.592194,0.330558,6.272174
0.050000,1.608220,4.859683,0.196212,0.446537,0.609866,0.353455,6.274356
0.050000,1.632118,4.859508,0.220110,0.477973,0.628720,0.377079,6.277495
0.050000,1.657639,4.859414,0.245631,0.510413,0.648791,0.401413,6.281732
0.050000,1.684835,4.859447,0.272827,0.543918,0.670113,0.426451,0.004032
0.050000,1.713762,4.859661,0.301755,0.578554,0.692705,0.451835,0.010925
0.050000,1.744477,4.860124,0.332474,0.614382,0.716562,0.477145,0.019391
0.050000,1.777041,4.860918,0.365047,0.651463,0.741631,0.501366,0.029609
0.050000,1.811511,4.862145,0.399539,0.689853,0.767787,0.523131,0.041762
0.050000,1.847948,4.863924,0.436019,0.729593,0.794796,0.540179,0.056039
0.050000,1.886404,4.866397,0.474554,0.770706,0.822268,0.549426,0.072635
0.050000,1.926926,4.869729,0.515214,0.813186,0.849602,0.546691,0.091741
0.050000,1.969550,4.874114,0.558063,0.856982,0.875919,0.526330,0.113543
0.050000,2.014293,4.879769,0.603162,0.901982,0.900002,0.481659,0.138209
0.050000,2.061147,4.886942,0.650562,0.947994,0.920233,0.404618,0.165884
0.050000,2.110070,4.895902,0.700298,0.994724,0.934603,0.287409,0.196667
0.050000,2.160975,4.906938,0.752386,1.041760,0.940714,0.122222,0.230601
0.050000,2.213724,4.920351,0.806814,1.088561,0.936025,-0.093781,0.267656
0.050000,2.268118,4.936439,0.863537,1.134462,0.918032,-0.359870,0.307703
0.050000,2.322519,4.954955,0.921003,1.149315,0.297057,-12.419484,0.347907
0.050000,2.376838,4.975826,0.979193,1.163814,0.289974,-0.141666,0.385154
0.050000,2.430135,4.998487,1.037107,1.158272,-0.110829,-8.016058,0.418156
0.050000,2.482256,5.022556,1.094517,1.148206,-0.201324,-1.809898,0.446278
0.050000,2.533117,5.047633,1.151225,1.134151,-0.281109,-1.595708,0.468958
0.050000,2.582690,5.073304,1.207050,1.116498,-0.353066,-1.439139,0.485692
0.050000,2.630981,5.099148,1.261822,1.095446,-0.421024,-1.359152,0.496001
0.050000,2.678020,5.124741,1.315372,1.070998,-0.488961,-1.358748,0.499409
0.050000,2.723834,5.149654,1.367521,1.042989,-0.560189,-1.424567,0.495416
0.050000,2.768439,5.173455,1.418080,1.011167,-0.636433,-1.524873,0.483485
0.050000,2.810990,5.195295,1.465909,0.956576,-1.091828,-9.107891,0.461768
0.050000,2.852259,5.214917,1.511605,0.913931,-0.852900,4.778543,0.429244
0.050000,2.900281,5.236327,1.564183,1.051559,2.752555,72.109119,0.412605
0.050000,2.955086,5.260228,1.623974,1.195814,2.885111,2.651101,0.412784
0.050000,3.016602,5.287733,1.691358,1.347696,3.037635,3.050483,0.430859
0.050000,3.084571,5.320411,1.766774,1.508318,3.212438,3.496074,0.468064
0.050000,3.158320,5.360276,1.850608,1.676683,3.367302,3.097273,0.525500
0.050000,3.236380,5.409582,1.942937,1.846566,3.397662,0.607194,0.603394
0.050000,3.308782,5.464029,2.033526,1.811781,-0.695692,-81.867081,0.674431
0.050000,3.361787,5.506461,2.101424,1.357955,-9.076532,-167.616796,0.676630
0.050000,3.417164,5.551261,2.172653,1.424587,1.332651,208.183667,0.684735
0.050000,3.474694,5.598881,2.247334,1.493630,1.380864,0.964250,0.699086
0.050000,3.533209,5.649066,2.324423,1.541767,0.962735,-8.362565,0.719676
0.050000,3.591275,5.701283,2.402514,1.561828,0.401217,-11.230369,0.746019
0.050000,3.648277,5.755617,2.481264,1.574989,0.263224,-2.759865,0.777678
0.050000,3.703736,5.812215,2.560503,1.584793,0.196067,-1.343133,0.814183
0.050000,3.750053,5.862627,2.628963,1.369196,-4.311928,-90.159908,0.825382
0.050000,3.787241,5.901774,2.682957,1.079879,-5.786337,-29.488174,0.797810
0.050000,3.825992,5.940608,2.737818,1.097220,0.346811,122.662967,0.776138
0.050000,3.866025,5.979244,2.793454,1.112724,0.310077,-0.734685,0.760108
0.050000,3.907057,6.017802,2.849760,1.126123,0.267985,-0.841841,0.749424
0.050000,3.948813,6.056406,2.906627,1.137337,0.224276,-0.874171,0.743779
0.050000,3.991028,6.095180,2.963947,1.146390,0.181066,-0.864210,0.742870
0.050000,4.033447,6.134247,3.021614,1.153352,0.139246,-0.836398,0.746404
0.050000,4.075826,6.173720,3.079529,1.158295,0.098857,-0.807789,0.754095
0.050000,4.117347,6.213141,3.136783,1.145078,-0.264349,-7.264117,0.764708
0.050000,4.155514,6.249783,3.189691,1.058169,-1.738176,-29.476539,0.765247
0.050000,4.192686,6.285495,3.241239,1.030946,-0.544454,23.874447,0.765422
0.050000,4.228883,6.320270,3.291434,1.003901,-0.540904,0.071007,0.765257
0.050000,4.264122,6.354103,3.340285,0.977029,-0.537438,0.069303,0.764776
0.050000,4.298419,6.386990,3.387802,0.950326,-0.534058,0.067602,0.764004
0.050000,4.331787,6.418928,3.433991,0.923788,-0.530763,0.065908,0.762964
0.050000,4.364238,6.449916,3.478862,0.897411,-0.527552,0.064222,0.761678
0.050000,4.395783,6.479955,3.522421,0.871189,-0.524425,0.062542,0.760168
0.050000,4.426431,6.509046,3.564677,0.845120,-0.521381,0.060868,0.758456
0.050000,4.456055,6.537071,3.605457,0.815600,-0.590414,-1.380655,0.758193
0.050000,4.487112,6.566698,3.648379,0.858431,0.856629,28.940869,0.765278
0.050000,4.516674,6.595255,3.689481,0.822053,-0.727565,-31.683897,0.770712
0.050000,4.544834,6.622714,3.728813,0.786631,-0.708430,0.382711,0.774628
0.050000,4.571675,6.649054,3.766420,0.752136,-0.689909,0.370420,0.777157
0.050000,4.597269,6.674267,3.802346,0.718534,-0.672044,0.357291,0.778425
