dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412642,5.631647,0.000620,0.024800,0.496000,9.920000,6.283136
0.050000,1.414143,5.631648,0.002121,0.030011,0.104218,-7.835647,0.000469
0.050000,1.416938,5.631650,0.004915,0.055897,0.517720,8.270053,0.001327
0.050000,1.420854,5.631658,0.008832,0.078335,0.448769,-1.379026,0.002518
0.050000,1.425897,5.631674,0.013875,0.100854,0.450364,0.031900,0.004029
0.050000,1.432071,5.631705,0.020049,0.123474,0.452419,0.041091,0.005846
0.050000,1.439382,5.631755,0.027360,0.146221,0.454934,0.050313,0.007952
0.050000,1.447837,5.631832,0.035815,0.169117,0.457912,0.059550,0.010326
0.050000,1.457446,5.631944,0.045425,0.192184,0.461354,0.068856,0.012943
0.050000,1.468217,5.632099,0.056197,0.215448,0.465263,0.078172,0.015777
0.050000,1.480162,5.632306,0.068144,0.238930,0.469640,0.087533,0.018796
0.050000,1.493292,5.632573,0.081276,0.262654,0.474484,0.096886,0.021966
0.050000,1.507620,5.632912,0.095608,0.286644,0.479797,0.106261,0.025250
0.050000,1.523160,5.633331,0.111155,0.310923,0.485578,0.115615,0.028607
0.050000,1.539928,5.633839,0.127930,0.335514,0.491825,0.124945,0.031994
0.050000,1.557940,5.634447,0.145952,0.360441,0.498537,0.134237,0.035363
0.050000,1.577213,5.635161,0.165239,0.385726,0.505711,0.143487,0.038663
0.050000,1.597766,5.635989,0.185808,0.411393,0.513345,0.152685,0.041842
0.050000,1.619619,5.636938,0.207682,0.437465,0.521437,0.161836,0.044842
0.050000,1.642792,5.638010,0.230880,0.463965,0.529985,0.170948,0.047603
0.050000,1.667309,5.639210,0.255425,0.490914,0.538986,0.180031,0.050061
0.050000,1.693192,5.640535,0.281342,0.518336,0.548442,0.189114,0.052151
0.050000,1.720466,5.641982,0.308655,0.546254,0.558353,0.198218,0.053803
0.050000,1.749158,5.643545,0.337389,0.574690,0.568721,0.207371,0.054943
0.050000,1.779295,5.645213,0.367573,0.603667,0.579552,0.216605,0.055496
0.050000,1.810907,5.646969,0.399233,0.633210,0.590849,0.225939,0.055382
0.050000,1.844024,5.648793,0.432400,0.663341,0.602618,0.235379,0.054519
0.050000,1.878678,5.650657,0.467104,0.694084,0.614863,0.244905,0.052820
0.050000,1.914903,5.652527,0.503378,0.725463,0.627586,0.254456,0.050196
0.050000,1.952733,5.654361,0.541253,0.757502,0.640782,0.263919,0.046554
0.050000,1.992206,5.656109,0.580764,0.790224,0.654436,0.273091,0.041798
0.050000,2.033357,5.657711,0.621946,0.823650,0.668520,0.281675,0.035829
0.050000,2.076225,5.659095,0.664836,0.857799,0.682981,0.289230,0.028545
0.050000,2.120846,5.660179,0.709471,0.892686,0.697738,0.295141,0.019843
0.050000,2.167257,5.660867,0.755887,0.928319,0.712667,0.298579,0.009618
0.050000,2.213053,5.661063,0.801684,0.915939,-0.247608,-19.205505,0.001183
0.050000,2.255596,5.661278,0.844227,0.850869,-1.301397,-21.075784,0.008822
0.050000,2.299520,5.661827,0.888155,0.878552,0.553668,37.101301,0.016056
0.050000,2.344842,5.662711,0.933485,0.906607,0.561085,0.148343,0.022832
0.050000,2.391578,5.663928,0.980237,0.935039,0.568639,0.151078,0.029097
0.050000,2.439746,5.665470,1.028430,0.963855,0.576328,0.153780,0.034798
0.050000,2.489365,5.667327,1.078083,0.993063,0.584154,0.156514,0.039879
0.050000,2.540453,5.669482,1.129216,1.022669,0.592121,0.159349,0.044284
0.050000,2.593031,5.671912,1.181850,1.052681,0.600239,0.162348,0.047957
0.050000,2.647120,5.674590,1.236006,1.083107,0.608517,0.165564,0.050838
0.050000,2.702742,5.677482,1.291703,1.113955,0.616968,0.169034,0.052869
0.050000,2.759922,5.680544,1.348965,1.145235,0.625607,0.172777,0.053989
0.050000,2.818684,5.683729,1.407813,1.176958,0.634446,0.176783,0.054136
0.050000,2.879053,5.686979,1.468270,1.209132,0.643497,0.181003,0.053245
0.050000,2.941056,5.690227,1.530358,1.241771,0.652763,0.185337,0.051253
0.050000,3.004722,5.693398,1.594102,1.274883,0.662245,0.189628,0.048092
0.050000,3.070076,5.696406,1.659526,1.308479,0.671927,0.193646,0.043693
0.050000,3.137149,5.699153,1.726655,1.342568,0.681780,0.197062,0.037989
0.050000,3.205965,5.701532,1.795512,1.377156,0.691752,0.199445,0.030908
0.050000,3.276552,5.703420,1.866125,1.412244,0.701765,0.200242,0.022380
0.050000,3.348933,5.704685,1.938516,1.447829,0.711701,0.198737,0.012336
0.050000,3.423126,5.705177,2.012711,1.483900,0.721407,0.194106,0.000707
0.050000,3.492647,5.705292,2.082232,1.390422,-1.869550,-51.819140,0.003475
0.050000,3.563882,5.705671,2.153468,1.424711,0.685780,51.106603,0.007143
0.050000,3.636379,5.706320,2.225968,1.449998,0.505737,-3.600849,0.010743
0.050000,3.710139,5.707244,2.299734,1.475334,0.506713,0.019515,0.014268
0.050000,3.785166,5.708444,2.374770,1.500719,0.507703,0.019787,0.017710
0.050000,3.861459,5.709925,2.451078,1.526154,0.508705,0.020055,0.021062
0.050000,3.939021,5.711686,2.528660,1.551640,0.509721,0.020318,0.024319
0.050000,4.017854,5.713729,2.607519,1.577177,0.510750,0.020578,0.027472
0.050000,4.097958,5.716053,2.687657,1.602767,0.511792,0.020836,0.030513
0.050000,4.179337,5.718657,2.769078,1.628409,0.512846,0.021092,0.033436
0.050000,4.262428,5.721464,2.852216,1.662769,0.687194,3.486943,0.032864
0.050000,4.348331,5.724169,2.938162,1.718920,1.123022,8.716568,0.030035
0.050000,4.435604,5.726655,3.025470,1.746161,0.544810,-11.564237,0.026863
0.050000,4.524251,5.728882,3.114145,1.773494,0.546675,0.037301,0.023334
0.050000,4.614276,5.730810,3.204191,1.800922,0.548558,0.037660,0.019436
0.050000,4.705685,5.732394,3.295613,1.828445,0.550455,0.037943,0.015155
0.050000,4.798480,5.733586,3.388416,1.856063,0.552362,0.038134,0.010478
0.050000,4.892666,5.734336,3.482605,1.883777,0.554273,0.038212,0.005391
0.050000,4.986861,5.734591,3.576800,1.883902,0.002494,-11.035580,0.000243
0.050000,5.069395,5.735863,3.659344,1.650873,-4.660578,-93.261439,0.029639
0.050000,5.153650,5.739428,3.743675,1.686612,0.714787,107.507313,0.054013
0.050000,5.239619,5.744947,3.829821,1.722924,0.726238,0.229008,0.073283
0.050000,5.327304,5.752048,3.917793,1.759444,0.730411,0.083472,0.087420
0.050000,5.416721,5.760330,4.007592,1.795979,0.730696,0.005694,0.096421
0.050000,5.507897,5.769367,4.099215,1.832461,0.729631,-0.021296,0.100293
0.050000,5.597870,5.778455,4.189646,1.808624,-0.476743,-24.127483,0.105761
0.050000,5.680375,5.788451,4.272755,1.662167,-2.929142,-49.047992,0.133570
0.050000,5.766071,5.800831,4.359340,1.731716,1.390978,86.402417,0.151604
0.050000,5.855041,5.814875,4.449412,1.801427,1.394239,0.065214,0.159839
0.050000,5.947402,5.829768,4.542966,1.871085,1.393155,-0.021674,0.158281
0.050000,6.043300,5.844594,4.640003,1.940741,1.393123,-0.000653,0.146926
0.050000,6.142454,5.858279,4.740097,2.001871,1.222598,-3.410505,0.125883
0.050000,6.241215,5.869483,4.839491,1.987898,-0.279467,-30.041293,0.102042
0.050000,6.334507,5.878493,4.933217,1.874510,-2.267765,-39.765952,0.092589
0.050000,6.422112,5.886677,5.021203,1.759729,-2.295622,-0.557141,0.095790
0.050000,6.504104,5.895101,5.103627,1.648480,-2.224964,1.413163,0.111143
0.050000,6.580537,5.904593,5.180647,1.540397,-2.161677,1.265733,0.138202
0.050000,6.651456,5.915762,5.252440,1.435863,-2.090671,1.420123,0.176467
0.050000,6.716947,5.929018,5.319260,1.336396,-1.989339,2.026647,0.225224
0.050000,6.777201,5.944612,5.381499,1.244769,-1.832534,3.136081,0.283372
