dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.412607,4.920447,0.000620,0.024800,0.496000,9.920000,6.283136
0.050000,1.414476,4.920448,0.002489,0.037380,0.251602,-4.887960,0.000469
0.050000,1.417882,4.920451,0.005894,0.068103,0.614460,7.257155,0.001327
0.050000,1.422645,4.920460,0.010657,0.095265,0.543232,-1.424562,0.002518
0.050000,1.428762,4.920480,0.016775,0.122346,0.541635,-0.031929,0.004029
0.050000,1.436228,4.920517,0.024241,0.149325,0.539581,-0.041089,0.005846
0.050000,1.445037,4.920578,0.033050,0.176179,0.537066,-0.050295,0.007952
0.050000,1.455181,4.920670,0.043194,0.202883,0.534087,-0.059571,0.010326
0.050000,1.466651,4.920804,0.054665,0.229415,0.530645,-0.068846,0.012943
0.050000,1.479437,4.920988,0.067452,0.255752,0.526736,-0.078183,0.015777
0.050000,1.493528,4.921231,0.081546,0.281870,0.522360,-0.087521,0.018796
0.050000,1.508913,4.921545,0.096933,0.307746,0.517515,-0.096900,0.021966
0.050000,1.525576,4.921939,0.113601,0.333356,0.512202,-0.106255,0.025250
0.050000,1.543503,4.922422,0.131535,0.358677,0.506422,-0.115612,0.028607
0.050000,1.562679,4.923003,0.150719,0.383686,0.500174,-0.124941,0.031994
0.050000,1.583085,4.923691,0.171137,0.408359,0.493463,-0.134235,0.035363
0.050000,1.604704,4.924492,0.192771,0.432673,0.486289,-0.143481,0.038663
0.050000,1.627516,4.925412,0.215601,0.456606,0.478655,-0.152680,0.041842
0.050000,1.651500,4.926453,0.239608,0.480134,0.470563,-0.161831,0.044842
0.050000,1.676635,4.927616,0.264770,0.503235,0.462016,-0.170940,0.047603
0.050000,1.702897,4.928901,0.291064,0.525886,0.453015,-0.180028,0.050061
0.050000,1.730265,4.930302,0.318467,0.548064,0.443559,-0.189110,0.052151
0.050000,1.758712,4.931811,0.346954,0.569746,0.433649,-0.198214,0.053803
0.050000,1.788214,4.933418,0.376500,0.590910,0.423280,-0.207374,0.054943
0.050000,1.818744,4.935108,0.407077,0.611533,0.412449,-0.216612,0.055496
0.050000,1.850275,4.936859,0.438656,0.631590,0.401152,-0.225952,0.055382
0.050000,1.882778,4.938649,0.471209,0.651059,0.389382,-0.235401,0.054519
0.050000,1.916226,4.940448,0.504705,0.669916,0.377135,-0.244938,0.052820
0.050000,1.950587,4.942222,0.539112,0.688137,0.364409,-0.254505,0.050196
0.050000,1.985830,4.943932,0.574397,0.705697,0.351210,-0.263981,0.046554
0.050000,2.021924,4.945530,0.610525,0.722575,0.337552,-0.273177,0.041798
0.050000,2.058833,4.946967,0.647463,0.738748,0.323462,-0.281787,0.035829
0.050000,2.096523,4.948184,0.685173,0.754197,0.308994,-0.289370,0.028545
0.050000,2.134957,4.949119,0.723618,0.768909,0.294228,-0.295314,0.019843
0.050000,2.174097,4.949700,0.762762,0.782873,0.279288,-0.298797,0.009618
0.050000,2.213895,4.949864,0.802560,0.795965,0.261836,-0.349042,0.001183
0.050000,2.261870,4.950106,0.850536,0.959527,3.271230,60.187881,0.008822
