dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.383423,5.616941,0.000623,0.024936,0.498711,9.974225,0.000333
0.050000,1.384623,5.616943,0.001824,0.024018,-0.018356,-10.341337,0.002215
0.050000,1.386644,5.616950,0.003844,0.040403,0.327695,6.921004,0.005300
0.050000,1.389511,5.616971,0.006712,0.057349,0.338925,0.224600,0.009507
0.050000,1.393265,5.617017,0.010466,0.075085,0.354723,0.315962,0.014727
0.050000,1.397956,5.617101,0.015158,0.093842,0.375147,0.408484,0.020816
0.050000,1.403647,5.617239,0.020851,0.113854,0.400245,0.501970,0.027597
0.050000,1.410412,5.617450,0.027619,0.135357,0.430046,0.596014,0.034861
0.050000,1.418335,5.617757,0.035548,0.158584,0.464548,0.690029,0.042365
0.050000,1.427514,5.618182,0.044736,0.183770,0.503716,0.783369,0.049834
0.050000,1.438056,5.618746,0.055294,0.211145,0.547492,0.875515,0.056959
0.050000,1.450081,5.619473,0.067340,0.240935,0.595804,0.966242,0.063402
0.050000,1.463719,5.620378,0.081009,0.273364,0.648593,1.055781,0.068792
0.050000,1.479113,5.621471,0.096441,0.308656,0.705837,1.144886,0.072725
0.050000,1.496417,5.622753,0.113793,0.347035,0.767575,1.234756,0.074768
0.050000,1.515799,5.624206,0.133230,0.388731,0.833911,1.326727,0.074455
0.050000,1.537440,5.625791,0.154929,0.433980,0.904992,1.421615,0.071285
0.050000,1.561536,5.627438,0.179080,0.483026,0.980922,1.518600,0.064725
0.050000,1.588293,5.629038,0.205885,0.536106,1.061595,1.613460,0.054208
0.050000,1.617932,5.630431,0.235557,0.593426,1.146393,1.695967,0.039136
0.050000,1.650673,5.631391,0.268312,0.655111,1.233711,1.746345,0.018897
0.050000,1.685246,5.631629,0.302886,0.691477,0.727311,-10.127982,6.278700
0.050000,1.719899,5.631147,0.337543,0.693134,0.033136,-13.883517,6.260127
0.050000,1.755230,5.630025,0.372891,0.706960,0.276521,4.867715,6.243116
0.050000,1.791108,5.628309,0.408810,0.718387,0.228541,-0.959600,6.228004
0.050000,1.827407,5.626061,0.445179,0.727382,0.179903,-0.972760,6.215134
0.050000,1.864004,5.623369,0.481875,0.733908,0.130528,-0.987513,6.204853
0.050000,1.900775,5.620337,0.518770,0.737915,0.080138,-1.007802,6.197515
0.050000,1.937599,5.617089,0.555737,0.739330,0.028294,-1.036868,6.193484
0.050000,1.974351,5.613765,0.592639,0.738054,-0.025526,-1.076397,6.193139
0.050000,2.010906,5.610521,0.629338,0.733963,-0.081802,-1.125527,6.196875
0.050000,2.047128,5.607522,0.665684,0.726925,-0.140778,-1.179524,6.205107
0.050000,2.082876,5.604946,0.701525,0.716816,-0.202177,-1.227969,6.218266
0.050000,2.117999,5.602971,0.736703,0.703576,-0.264798,-1.252434,6.236791
0.050000,2.152342,5.601776,0.771067,0.687276,-0.325994,-1.223916,6.261114
0.050000,2.185753,5.601528,0.804478,0.668224,-0.381043,-1.100973,0.008436
0.050000,2.222621,5.602464,0.841358,0.737599,1.387506,35.370984,0.031245
0.050000,2.273347,5.603758,0.892101,1.014852,5.545046,83.150800,0.020029
0.050000,2.324808,5.604531,0.943568,1.029345,0.289868,-105.103574,0.010280
0.050000,2.376948,5.604847,0.995709,1.042805,0.269201,-0.413341,0.002146
0.050000,2.429709,5.604784,1.048470,1.055224,0.248376,-0.416489,6.278957
0.050000,2.483037,5.604430,1.101799,1.066588,0.227289,-0.421751,6.274490
0.050000,2.536878,5.603888,1.155643,1.076879,0.205820,-0.429365,6.272083
0.050000,2.591178,5.603269,1.209947,1.086072,0.183860,-0.439201,6.271890
0.050000,2.645882,5.602700,1.264654,1.094139,0.161328,-0.450649,6.274069
0.050000,2.700933,5.602316,1.319706,1.101049,0.138204,-0.462474,6.278781
0.050000,2.758085,5.602183,1.376858,1.143032,0.839658,14.029071,6.278492
0.050000,2.821538,5.601494,1.440314,1.269135,2.522072,33.648276,6.266582
0.050000,2.885315,5.600122,1.504107,1.275842,0.134130,-47.758824,6.257236
0.050000,2.949353,5.598233,1.568172,1.281318,0.109521,-0.492180,6.250626
0.050000,3.013592,5.596006,1.632450,1.285551,0.084669,-0.497043,6.246927
0.050000,3.077974,5.593633,1.696876,1.288511,0.059191,-0.509574,6.246318
0.050000,3.142440,5.591324,1.761383,1.290151,0.032796,-0.527892,6.248985
0.050000,3.206929,5.589296,1.825904,1.290419,0.005358,-0.548766,6.255120
0.050000,3.271375,5.587783,1.890367,1.289269,-0.023001,-0.567167,6.264922
0.050000,3.335704,5.587026,1.954701,1.286679,-0.051794,-0.575862,6.278594
0.050000,3.399838,5.587278,2.018835,1.282677,-0.080041,-0.564950,0.013148
0.050000,3.463688,5.588796,2.082704,1.277371,-0.106120,-0.521578,0.035139
0.050000,3.527165,5.591842,2.146253,1.270990,-0.127627,-0.430133,0.061532
0.050000,3.590176,5.596677,2.209450,1.263925,-0.141295,-0.273373,0.092422
0.050000,3.658712,5.603948,2.278370,1.378406,2.289633,48.618574,0.108847
0.050000,3.735485,5.612257,2.355591,1.544426,3.320385,20.615030,0.107316
0.050000,3.812286,5.620581,2.432842,1.545020,0.011887,-66.169958,0.109208
0.050000,3.889026,5.629184,2.510063,1.544416,-0.012090,-0.479531,0.114690
0.050000,3.964434,5.638194,2.586007,1.518886,-0.510599,-9.970188,0.123765
0.050000,4.037318,5.647699,2.659508,1.470024,-0.977234,-9.332702,0.136206
0.050000,4.107703,5.657885,2.730627,1.422366,-0.953156,0.481570,0.151842
0.050000,4.175615,5.668905,2.799427,1.376002,-0.927286,0.517384,0.170489
0.050000,4.241080,5.680881,2.865979,1.331039,-0.899248,0.560773,0.191952
0.050000,4.316224,5.695264,2.942486,1.530153,3.982276,97.630471,0.180376
0.050000,4.389262,5.708224,3.016666,1.483582,-0.931414,-98.273788,0.173381
0.050000,4.455708,5.720057,3.084157,1.349821,-2.675224,-34.876209,0.181688
0.050000,4.515649,5.731693,3.145217,1.221215,-2.572130,2.061887,0.204568
0.050000,4.569179,5.743747,3.200088,1.097410,-2.476100,1.920592,0.241346
0.050000,4.616454,5.756563,3.249068,0.979611,-2.355973,2.402533,0.291174
0.050000,4.657787,5.770282,3.292619,0.871021,-2.171802,3.683425,0.352761
0.050000,4.693746,5.784939,3.331450,0.776620,-1.888029,5.675472,0.424110
0.050000,4.735482,5.805205,3.377847,0.927922,3.026043,98.281438,0.469691
0.050000,4.780470,5.828943,3.428713,1.017333,1.788220,-24.756470,0.500200
0.050000,4.825657,5.854389,3.480572,1.037186,0.397068,-27.823033,0.524413
0.050000,4.871060,5.881237,3.533320,1.054951,0.355300,-0.835360,0.542624
0.050000,4.916702,5.909181,3.586836,1.070313,0.307245,-0.961107,0.555170
0.050000,4.962611,5.937914,3.640995,1.083194,0.257607,-0.992764,0.562399
0.050000,5.018325,5.972106,3.706365,1.307391,4.483952,84.526901,0.533363
0.050000,5.072344,6.003093,3.768640,1.245499,-1.237853,-114.436096,0.510755
0.050000,5.120370,6.029750,3.823568,1.098559,-2.938784,-34.018617,0.505305
0.050000,5.162289,6.053151,3.871577,0.960184,-2.767517,3.425343,0.515806
0.050000,5.198128,6.074004,3.913041,0.829281,-2.618047,2.989407,0.541204
0.050000,5.228039,6.092723,3.948326,0.705707,-2.471490,2.931135,0.580468
0.050000,5.252350,6.109520,3.977877,0.591003,-2.294082,3.548153,0.632351
0.050000,5.271620,6.124534,4.002305,0.488565,-2.048759,4.906459,0.695130
0.050000,5.287392,6.138662,4.023479,0.423484,-1.301610,14.942989,0.762408
0.050000,5.309210,6.160253,4.054174,0.613904,3.808388,102.199957,0.800557
0.050000,5.326850,6.179272,4.080114,0.518805,-1.901982,-114.207404,0.848570
0.050000,5.340454,6.195582,4.101354,0.424783,-1.880439,0.430862,0.906295
0.050000,5.350352,6.209065,4.118079,0.334515,-1.805359,1.501595,0.973206
0.050000,5.357079,6.219734,4.130692,0.252255,-1.645198,3.203219,1.048178
0.050000,5.361348,6.227840,4.139853,0.183223,-1.380630,5.291371,1.129351
0.050000,5.363932,6.233927,4.146466,0.132253,-1.019406,7.224469,1.214187
0.050000,5.365513,6.238780,4.151570,0.102078,-0.603501,8.318107,1.299760
0.050000,5.366560,6.243268,4.156178,0.092167,-0.198217,8.105687,1.383221
0.050000,5.367283,6.248158,4.161121,0.098865,0.133950,6.643327,1.462235
0.050000,5.370036,6.276707,4.189803,0.573632,9.495345,187.227903,1.469829
0.050000,5.373641,6.310542,4.223830,0.680535,2.138055,-147.145796,1.460046
0.050000,5.377201,6.341668,4.255159,0.626578,-1.079128,-64.343662,1.454344
0.050000,5.380585,6.370266,4.283956,0.575946,-1.012652,1.329516,1.452256
0.050000,5.383702,6.396504,4.310379,0.528460,-0.949715,1.258736,1.453338
0.050000,5.386497,6.420540,4.334576,0.483949,-0.890209,1.190127,1.457173
0.050000,5.388942,6.442517,4.356689,0.442258,-0.833831,1.127557,1.463363
0.050000,5.391026,6.462571,4.376851,0.403245,-0.780252,1.071595,1.471533
0.050000,5.392758,6.480829,4.395191,0.366785,-0.729204,1.020948,1.481324
0.050000,5.394156,6.497408,4.411829,0.332758,-0.680532,0.973440,1.492392
0.050000,5.395247,6.512420,4.426881,0.301049,-0.634196,0.926715,1.504413
0.050000,5.396064,6.525973,4.440458,0.271535,-0.590262,0.878688,1.517078
0.050000,5.396641,6.538164,4.452662,0.244092,-0.548870,0.827832,1.530095
0.050000,5.397016,6.549086,4.463591,0.218582,-0.510205,0.773316,1.543193
0.050000,5.397223,6.558827,4.473334,0.194859,-0.474455,0.714991,1.556121
0.050000,5.397296,6.567465,4.481973,0.172769,-0.441789,0.653322,1.568648
0.050000,5.397268,6.575073,4.489581,0.152153,-0.412325,0.589283,1.580569
0.050000,5.397166,6.581714,4.496223,0.132847,-0.386123,0.524037,1.591697
0.050000,5.397017,6.587447,4.501957,0.114688,-0.363181,0.458833,1.601873
0.050000,5.396844,6.592320,4.506833,0.097516,-0.343432,0.394994,1.610957
0.050000,5.396665,6.596374,4.510892,0.081178,-0.326770,0.333233,1.618833
0.050000,5.396497,6.599646,4.514168,0.065526,-0.313044,0.274517,1.625403
0.050000,5.396353,6.602163,4.516689,0.050420,-0.302105,0.218781,1.630591
0.050000,5.396243,6.603947,4.518476,0.035731,-0.293786,0.166388,1.634338
0.050000,5.396174,6.605011,4.519542,0.021333,-0.287958,0.116552,1.636604
0.050000,5.396150,6.605366,4.519898,0.007108,-0.284501,0.069138,1.637363
0.050000,5.396150,6.605366,4.519899,0.000012,-0.141922,2.851588,1.637364
0.050000,5.396150,6.605366,4.519899,0.000000,-0.000242,2.833599,1.637364
