dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.383541,5.261341,0.000623,0.024935,0.498691,9.973828,0.000333
0.050000,1.385411,5.261343,0.002493,0.049869,0.498691,0.000000,0.002215
0.050000,1.388528,5.261355,0.005610,0.074804,0.498691,0.000000,0.005299
0.050000,1.392891,5.261387,0.009974,0.099738,0.498691,0.000000,0.009507
0.050000,1.398501,5.261456,0.015584,0.124673,0.498691,0.000000,0.014727
0.050000,1.405357,5.261578,0.022441,0.149607,0.498691,0.000000,0.020815
0.050000,1.413458,5.261774,0.030545,0.174542,0.498691,0.000000,0.027596
0.050000,1.422804,5.262066,0.039895,0.199477,0.498691,0.000000,0.034860
0.050000,1.433393,5.262476,0.050493,0.224411,0.498691,0.000000,0.042363
0.050000,1.445225,5.263023,0.062336,0.249346,0.498691,0.000000,0.049832
0.050000,1.458297,5.263723,0.075427,0.274280,0.498691,0.000000,0.056958
0.050000,1.472608,5.264587,0.089764,0.299215,0.498691,0.000000,0.063401
0.050000,1.488158,5.265618,0.105349,0.324149,0.498691,0.000000,0.068791
0.050000,1.504946,5.266811,0.122179,0.349084,0.498691,0.000000,0.072724
0.050000,1.522975,5.268146,0.140257,0.374019,0.498691,0.000000,0.074768
0.050000,1.542245,5.269591,0.159581,0.398953,0.498691,0.000000,0.074455
0.050000,1.562761,5.271094,0.180152,0.423888,0.498691,0.000000,0.071287
0.050000,1.584528,5.272582,0.201970,0.448822,0.498691,0.000000,0.064728
0.050000,1.607551,5.273960,0.225034,0.473757,0.498691,0.000000,0.054212
0.050000,1.631835,5.275103,0.249346,0.498691,0.498691,0.000000,0.039143
0.050000,1.657381,5.275854,0.274904,0.523626,0.498691,0.000000,0.018906
0.050000,1.683639,5.276033,0.301708,0.548561,0.498691,0.000000,6.278708
0.050000,1.711687,5.275642,0.329760,0.573495,0.498691,0.000000,6.260135
0.050000,1.740970,5.274711,0.359058,0.598430,0.498691,0.000000,6.243123
0.050000,1.771480,5.273251,0.389603,0.623364,0.498691,0.000000,6.228011
0.050000,1.803210,5.271285,0.421394,0.648299,0.498691,0.000000,6.215140
0.050000,1.836160,5.268861,0.454433,0.673233,0.498691,0.000000,6.204858
0.050000,1.870329,5.266043,0.488718,0.698168,0.498691,0.000000,6.197518
0.050000,1.905723,5.262921,0.524249,0.723103,0.498691,0.000000,6.193486
0.050000,1.942352,5.259608,0.561028,0.748037,0.498691,0.000000,6.193138
0.050000,1.980228,5.256246,0.599053,0.772972,0.498691,0.000000,6.196872
0.050000,2.019366,5.253007,0.638325,0.797906,0.498691,0.000000,6.205100
0.050000,2.059780,5.250096,0.678844,0.822841,0.498691,0.000000,6.218255
0.050000,2.101479,5.247755,0.720609,0.847775,0.498691,0.000000,6.236777
0.050000,2.144464,5.246263,0.763621,0.872710,0.498691,0.000000,6.261095
0.050000,2.188720,5.245940,0.807880,0.897645,0.498691,0.000000,0.008411
0.050000,2.233696,5.247037,0.853386,0.922579,0.498691,0.000000,0.031254
0.050000,2.280433,5.248229,0.900138,0.947514,0.498691,0.000000,0.020037
0.050000,2.328426,5.248949,0.948137,0.972448,0.498691,0.000000,0.010287
0.050000,2.377671,5.249248,0.997383,0.997383,0.498691,0.000000,0.002152
0.050000,2.428163,5.249187,1.047875,1.022317,0.498691,0.000000,6.278961
0.050000,2.479901,5.248844,1.099615,1.047252,0.498691,0.000000,6.274493
0.050000,2.532885,5.248310,1.152600,1.072187,0.498691,0.000000,6.272085
0.050000,2.587114,5.247692,1.206833,1.097121,0.498691,0.000000,6.271889
0.050000,2.642590,5.247115,1.262313,1.122056,0.498691,0.000000,6.274066
0.050000,2.699315,5.246719,1.319039,1.146990,0.498691,0.000000,6.278776
0.050000,2.756361,5.246587,1.377012,1.171925,0.498691,0.000000,6.278504
0.050000,2.815577,5.245944,1.436231,1.196859,0.498691,0.000000,6.266592
0.050000,2.876029,5.244643,1.496698,1.221794,0.498691,0.000000,6.257243
0.050000,2.937715,5.242823,1.558411,1.246728,0.498691,0.000000,6.250631
0.050000,3.000637,5.240642,1.621370,1.271663,0.498691,0.000000,6.246929
0.050000,3.064800,5.238278,1.685577,1.296598,0.498691,0.000000,6.246317
0.050000,3.130211,5.235934,1.751030,1.321532,0.498691,0.000000,6.248980
0.050000,3.196878,5.233838,1.817730,1.346467,0.498691,0.000000,6.255111
0.050000,3.264806,5.232243,1.885677,1.371401,0.498691,0.000000,6.264909
0.050000,3.333994,5.231430,1.954870,1.396336,0.498691,0.000000,6.278577
0.050000,3.404433,5.231707,2.025310,1.421270,0.498691,0.000000,0.013126
0.050000,3.476098,5.233413,2.096997,1.446205,0.498691,0.000000,0.035111
0.050000,3.548945,5.236910,2.169931,1.471140,0.498691,0.000000,0.061498
0.050000,3.622905,5.242587,2.244111,1.496074,0.498691,0.000000,0.092382
0.050000,3.697249,5.250442,2.319538,1.521009,0.498691,0.000000,0.108851
0.050000,3.773478,5.258692,2.396212,1.545943,0.498691,0.000000,0.107316
0.050000,3.850945,5.267089,2.474133,1.570878,0.498691,0.000000,0.109203
0.050000,3.928999,5.275838,2.552676,1.570857,-0.000416,-9.982150,0.114624
0.050000,4.006370,5.285070,2.630596,1.545923,-0.498691,-9.965506,0.123495
0.050000,4.082402,5.294955,2.707268,1.520988,-0.498691,0.000000,0.135621
0.050000,4.157058,5.305700,2.782694,1.496053,-0.498691,0.000000,0.150835
0.050000,4.230293,5.317492,2.856874,1.471119,-0.498691,0.000000,0.168958
0.050000,4.302057,5.330486,2.929806,1.446184,-0.498691,0.000000,0.189799
0.050000,4.371911,5.343947,3.001492,1.421250,-0.498691,0.000000,0.182181
0.050000,4.441255,5.356318,3.071931,1.396315,-0.498691,0.000000,0.173413
0.050000,4.509388,5.368380,3.141124,1.371381,-0.498691,0.000000,0.179446
0.050000,4.576131,5.381100,3.209069,1.346446,-0.498691,0.000000,0.199549
0.050000,4.641289,5.395340,3.275768,1.321511,-0.498691,0.000000,0.233058
0.050000,4.704619,5.411851,3.341220,1.296577,-0.498691,0.000000,0.279199
0.050000,4.765813,5.431253,3.405426,1.271642,-0.498691,0.000000,0.336841
0.050000,4.824507,5.453999,3.468385,1.246708,-0.498691,0.000000,0.404262
0.050000,4.880104,5.479929,3.530097,1.221773,-0.498691,0.000000,0.459559
0.050000,4.933850,5.507626,3.590562,1.196839,-0.498691,0.000000,0.491181
0.050000,4.985692,5.536245,3.649781,1.171904,-0.498691,0.000000,0.516736
0.050000,5.035796,5.565403,3.707752,1.146969,-0.498691,0.000000,0.536490
0.050000,5.084331,5.594764,3.764477,1.122035,-0.498691,0.000000,0.550761
0.050000,5.131461,5.624032,3.819956,1.097100,-0.498691,0.000000,0.559886
0.050000,5.177034,5.652614,3.874187,1.072166,-0.498691,0.000000,0.550184
0.050000,5.222651,5.679565,3.927172,1.047231,-0.498691,0.000000,0.519859
0.050000,5.267761,5.704899,3.978911,1.022297,-0.498691,0.000000,0.506174
0.050000,5.311931,5.729362,4.029402,0.997362,-0.498691,0.000000,0.507895
0.050000,5.354794,5.753605,4.078647,0.972427,-0.498691,0.000000,0.523933
0.050000,5.396023,5.778178,4.126645,0.947493,-0.498691,0.000000,0.553301
0.050000,5.435302,5.803525,4.173396,0.922558,-0.498691,0.000000,0.594963
0.050000,5.472325,5.829974,4.218901,0.897624,-0.498691,0.000000,0.647632
0.050000,5.506795,5.857722,4.263158,0.872689,-0.498691,0.000000,0.709575
0.050000,5.538200,5.886502,4.306170,0.847755,-0.498691,0.000000,0.767891
0.050000,5.567719,5.916043,4.347934,0.822820,-0.498691,0.000000,0.805284
0.050000,5.595136,5.945871,4.388452,0.797885,-0.498691,0.000000,0.851360
0.050000,5.620222,5.976079,4.427722,0.772951,-0.498691,0.000000,0.905878
0.050000,5.642758,6.006697,4.465747,0.748016,-0.498691,0.000000,0.968283
0.050000,5.662557,6.037682,4.502524,0.723082,-0.498691,0.000000,1.037562
0.050000,5.679478,6.068915,4.538055,0.698147,-0.498691,0.000000,1.112156
0.050000,5.693459,6.100210,4.572339,0.673213,-0.498691,0.000000,1.190009
0.050000,5.704524,6.131330,4.605376,0.648278,-0.498691,0.000000,1.268773
0.050000,5.712799,6.162016,4.637167,0.623343,-0.498691,0.000000,1.346119
0.050000,5.718494,6.192017,4.667710,0.598409,-0.498691,0.000000,1.420056
0.050000,5.721865,6.220699,4.697007,0.573474,-0.498691,0.000000,1.479598
0.050000,5.724473,6.248628,4.725058,0.548540,-0.498691,0.000000,1.476054
0.050000,5.727038,6.275308,4.751861,0.523605,-0.498691,0.000000,1.474014
0.050000,5.729520,6.300745,4.777418,0.498671,-0.498691,0.000000,1.473294
0.050000,5.731883,6.324939,4.801729,0.473736,-0.498691,0.000000,1.473719
0.050000,5.734105,6.347896,4.824792,0.448801,-0.498691,0.000000,1.475122
0.050000,5.736166,6.369615,4.846609,0.423867,-0.498691,0.000000,1.477346
0.050000,5.738057,6.390098,4.867179,0.398932,-0.498691,0.000000,1.480242
0.050000,5.739773,6.409345,4.886502,0.373998,-0.498691,0.000000,1.483669
0.050000,5.741312,6.427355,4.904578,0.349063,-0.498691,0.000000,1.487496
0.050000,5.742679,6.444130,4.921408,0.324129,-0.498691,0.000000,1.491597
0.050000,5.743879,6.459666,4.936991,0.299194,-0.498691,0.000000,1.495857
0.050000,5.744922,6.473965,4.951328,0.274259,-0.498691,0.000000,1.500170
0.050000,5.745818,6.487024,4.964417,0.249325,-0.498691,0.000000,1.504437
0.050000,5.746579,6.498842,4.976260,0.224390,-0.498691,-0.000000,1.508568
0.050000,5.747218,6.509419,4.986856,0.199456,-0.498691,0.000000,1.512482
0.050000,5.747746,6.518753,4.996206,0.174521,-0.498691,0.000000,1.516106
0.050000,5.748176,6.526845,5.004308,0.149587,-0.498691,0.000000,1.519375
0.050000,5.748518,6.533692,5.011164,0.124652,-0.498691,-0.000000,1.522235
0.050000,5.748784,6.539295,5.016774,0.099717,-0.498691,0.000000,1.524638
0.050000,5.748981,6.543653,5.021136,0.074783,-0.498691,0.000000,1.526547
0.050000,5.749117,6.546766,5.024252,0.049848,-0.498691,0.000000,1.527931
0.050000,5.749196,6.548633,5.026121,0.024914,-0.498691,-0.000000,1.528770
0.050000,5.749222,6.549256,5.026744,0.000000,-0.498275,0.008322,1.529051
0.050000,5.749222,6.549256,5.026744,0.000000,0.000000,9.965506,1.529051
0.050000,5.749222,6.549256,5.026744,0.000000,0.000000,0.000000,1.529051
