dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.383659,4.905741,0.000623,0.024935,0.498691,9.973828,0.000333
0.050000,1.386199,4.905744,0.003163,0.050787,0.517046,0.367099,0.002215
0.050000,1.390412,4.905760,0.007376,0.084272,0.669700,3.053077,0.005299
0.050000,1.396272,4.905804,0.013236,0.117195,0.658471,-0.224576,0.009507
0.050000,1.403738,4.905894,0.020703,0.149329,0.642673,-0.315970,0.014727
0.050000,1.412758,4.906055,0.029725,0.180442,0.622250,-0.408463,0.020815
0.050000,1.423270,4.906309,0.040240,0.210299,0.597153,-0.501940,0.027596
0.050000,1.435198,4.906682,0.052173,0.238667,0.567354,-0.595971,0.034860
0.050000,1.448453,4.907195,0.065438,0.265310,0.532856,-0.689960,0.042363
0.050000,1.462938,4.907864,0.079938,0.289994,0.493692,-0.783280,0.049832
0.050000,1.478540,4.908700,0.095563,0.312490,0.449922,-0.875405,0.056958
0.050000,1.495138,4.909701,0.112191,0.332571,0.401616,-0.966117,0.063401
0.050000,1.512600,4.910859,0.129692,0.350013,0.348834,-1.055648,0.068791
0.050000,1.530784,4.912151,0.147922,0.364593,0.291596,-1.144762,0.072724
0.050000,1.549537,4.913540,0.166726,0.376086,0.229862,-1.234663,0.074768
0.050000,1.568697,4.914976,0.185939,0.384262,0.163528,-1.326695,0.074455
0.050000,1.588089,4.916397,0.205383,0.388884,0.092443,-1.421686,0.071287
0.050000,1.607529,4.917727,0.224869,0.389710,0.016502,-1.518830,0.064728
0.050000,1.626819,4.918883,0.244194,0.386500,-0.064194,-1.613919,0.054212
0.050000,1.645751,4.919775,0.263146,0.379048,-0.149031,-1.696745,0.039143
0.050000,1.664104,4.920318,0.281507,0.367228,-0.236409,-1.747550,0.018906
0.050000,1.682047,4.920437,0.299451,0.358868,-0.167195,1.384271,6.278708
0.050000,1.703491,4.920136,0.320897,0.428926,1.401167,31.367243,6.260135
