dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.120329,5.450497,0.002454,0.049078,0.490784,4.907842,0.000095
0.100000,0.127580,5.450499,0.009705,0.072509,0.234304,-2.564804,0.000475
0.100000,0.139657,5.450509,0.021782,0.120776,0.482677,2.483728,0.001132
0.100000,0.156551,5.450536,0.038676,0.168937,0.481603,-0.010733,0.002103
0.100000,0.178246,5.450596,0.060371,0.216947,0.480100,-0.015030,0.003441
0.100000,0.204722,5.450711,0.086847,0.264764,0.478167,-0.019332,0.005210
0.100000,0.235955,5.450908,0.118082,0.312344,0.475803,-0.023637,0.007492
0.100000,0.271918,5.451229,0.154046,0.359645,0.473009,-0.027945,0.010382
0.100000,0.312578,5.451723,0.194708,0.406623,0.469784,-0.032251,0.013992
0.100000,0.357895,5.452457,0.240032,0.453236,0.466129,-0.036546,0.018445
0.100000,0.407828,5.453511,0.289976,0.499441,0.462048,-0.040810,0.023883
0.100000,0.462328,5.454989,0.344496,0.545196,0.457547,-0.045009,0.030457
0.100000,0.521339,5.457016,0.403542,0.590459,0.452639,-0.049086,0.038338
0.100000,0.584800,5.459743,0.467061,0.635194,0.447344,-0.052950,0.047706
0.100000,0.652640,5.463351,0.534997,0.679364,0.441698,-0.056461,0.058753
0.100000,0.732686,5.467704,0.615161,0.801636,1.222724,7.810258,0.042420
0.100000,0.819974,5.470388,0.702490,0.873295,0.716593,-5.061301,0.020675
0.100000,0.909219,5.471634,0.791744,0.892538,0.192428,-5.241650,0.009147
0.100000,0.999807,5.472394,0.882335,0.905912,0.133737,-0.586914,0.009845
0.100000,1.091094,5.473863,0.973634,0.912988,0.070760,-0.629773,0.024920
0.100000,1.182357,5.477451,1.064967,0.913331,0.003431,-0.673287,0.056669
0.100000,1.272773,5.484728,1.155676,0.907086,-0.062449,-0.658797,0.107337
0.100000,1.375749,5.498365,1.259551,1.038748,1.316623,13.790719,0.127566
0.100000,1.500218,5.511966,1.384760,1.252097,2.133490,8.168668,0.093737
0.100000,1.622950,5.522621,1.507955,1.231942,-0.201553,-23.350430,0.083629
0.100000,1.742732,5.533379,1.628219,1.202646,-0.292965,-0.914115,0.100349
0.100000,1.858243,5.547423,1.744581,1.163615,-0.390306,-0.973417,0.147202
0.100000,1.974431,5.568838,1.862725,1.181448,0.178326,5.686320,0.202715
0.100000,2.107091,5.596720,1.998284,1.355583,1.741350,15.630243,0.217484
0.100000,2.233100,5.627529,2.128004,1.297207,-0.583757,-23.251071,0.268994
0.100000,2.349992,5.665109,2.250789,1.227849,-0.693579,-1.098215,0.360953
0.100000,2.457731,5.713630,2.368950,1.181605,-0.462441,2.311372,0.483769
0.100000,2.568336,5.778910,2.497382,1.284321,1.027166,14.896069,0.577175
0.100000,2.677436,5.855460,2.630659,1.332772,0.484506,-5.426592,0.641266
0.100000,2.787102,5.940779,2.769605,1.389462,0.566898,0.823915,0.667448
0.100000,2.909120,6.032455,2.922225,1.526198,1.367364,8.004664,0.631764
0.100000,3.012219,6.109374,3.050856,1.286307,-2.398916,-37.662803,0.661417
0.100000,3.093751,6.177985,3.157416,1.065600,-2.207067,1.918493,0.749725
0.100000,3.169211,6.256586,3.266376,1.089603,0.240026,24.470931,0.811221
0.100000,3.269401,6.355305,3.407030,1.406536,3.169330,29.293036,0.749247
0.100000,3.363521,6.439851,3.533547,1.265173,-1.413625,-45.829555,0.718928
0.100000,3.449084,6.514244,3.646928,1.133811,-1.313618,1.000079,0.716795
0.100000,3.524802,6.581456,3.748174,1.012457,-1.213546,1.000718,0.739398
0.100000,3.598057,6.649225,3.847968,0.997945,-0.145115,10.684309,0.748321
0.100000,3.669624,6.715762,3.945687,0.977184,-0.207615,-0.625005,0.749404
0.100000,3.737905,6.779283,4.038946,0.932596,-0.445880,-2.382644,0.748949
0.100000,3.802941,6.839649,4.127680,0.887340,-0.452554,-0.066745,0.747185
0.100000,3.864747,6.896750,4.211826,0.841453,-0.458877,-0.063224,0.744329
0.100000,3.923316,6.950503,4.291322,0.794968,-0.464850,-0.059733,0.740585
0.100000,3.975351,6.998299,4.361978,0.706552,-0.884160,-4.193104,0.747812
0.100000,4.024053,7.043803,4.428630,0.666520,-0.400316,4.838442,0.754438
0.100000,4.069820,7.086960,4.491535,0.629055,-0.374653,0.256630,0.757088
0.100000,4.112655,7.127432,4.550466,0.589306,-0.397492,-0.228384,0.756545
0.100000,4.152516,7.164958,4.605211,0.547457,-0.418486,-0.209949,0.753526
0.100000,4.189326,7.199338,4.655580,0.503688,-0.437692,-0.192052,0.748690
0.100000,4.222981,7.230427,4.701397,0.458172,-0.455154,-0.174621,0.742634
0.100000,4.253356,7.258127,4.742506,0.411083,-0.470894,-0.157402,0.735897
0.100000,4.280315,7.282375,4.778765,0.362592,-0.484910,-0.140159,0.728958
0.100000,4.303720,7.303138,4.810052,0.312873,-0.497186,-0.122757,0.722240
0.100000,4.323439,7.320405,4.836262,0.262103,-0.507703,-0.105172,0.716100
0.100000,4.339351,7.334179,4.857308,0.210458,-0.516449,-0.087463,0.710839
0.100000,4.351354,7.344471,4.873120,0.158116,-0.523421,-0.069723,0.706695
0.100000,4.359369,7.351294,4.883645,0.105254,-0.528625,-0.052036,0.703847
0.100000,4.363339,7.354659,4.888850,0.052047,-0.532070,-0.034454,0.702412
0.100000,4.364307,7.355479,4.890119,0.012688,-0.393590,1.384808,0.702060
0.100000,4.364307,7.355479,4.890119,0.000000,-0.126876,2.667138,0.702060
0.100000,4.364307,7.355479,4.890119,0.000000,0.000000,1.268759,0.702060
